id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910623002015,1,0,0,1,16,14.7,1.2,11,26.9,276180.2165284002,12712.930680319605
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910607021039,5,5,0,0,24,20.3,6,16.9,43.2,240842.00662022346,92.14596359543549
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910620003027,6,0,6,0,9,56.7,7.2,33.6,97.5,165884.04046477025,195.16486811003855
260910601003000,0,0,0,0,7,4.9,0,4.2,9.1,106266.4693807474,60.67999704418609
260910623004007,0,0,0,0,15,10.5,0,9,19.5,242439.1782773792,8989.338939079102
260910614004014,0,0,0,0,48,33.6,0,28.8,62.4,321047.2689558641,40921.17060788635
260910605002051,0,0,0,0,4,2.8,0,2.4,5.2,240160.8494990133,33.13622902582742
260910619005035,0,0,0,0,16,11.2,0,9.6,20.8,28310.54425334484,5013.456186469001
260910619003017,0,0,0,0,6,4.2,0,3.6,7.8,24907.18444422269,4709.34397106985
260910621004002,0,0,0,0,3,2.1,0,1.8,3.9,35039.813350673074,43.294034679547195
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910612002058,1,0,0,1,5,7,1.2,4.4,12.6,270160.6835950693,85.31605493034142
260910624003031,0,0,0,0,3,2.1,0,1.8,3.9,263591.7735388424,132.68024295695224
260910603013015,0,0,0,0,22,15.4,0,13.2,28.6,86225.4223223503,37.376391039498216
260910605002030,0,0,0,0,1,0.7,0,0.6,1.3,282577.4746484076,55.94730928442355
260910604021026,0,0,0,0,6,4.2,0,3.6,7.8,122730.23153203049,8.253196495191354
260910614004013,0,0,0,0,15,10.5,0,9,19.5,317274.6715237221,40705.35088424963
260910603012064,0,0,0,0,3,2.1,0,1.8,3.9,294925.2918455054,43.24244825045467
260910622001032,0,0,0,0,7,4.9,0,4.2,9.1,211104.60513431337,5559.809160031354
260910622002017,0,0,0,0,2,1.4,0,1.2,2.6,194562.7372925253,831.0180943751175
260910603013038,0,0,0,0,6,4.2,0,3.6,7.8,225314.372207186,9.39736009121635
260910606001044,0,0,0,0,2,1.4,0,1.2,2.6,252533.38739816018,33.23783817043441
260910617022027,0,0,0,0,10,7,0,6,13,237258.4919577728,15.888521865998824
260910613024009,0,0,0,0,28,19.6,0,16.8,36.4,321283.37376244715,46744.6790117351
260910616001013,0,0,0,0,14,9.8,0,8.4,18.2,313995.5214522984,46537.03032024575
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910614004002,53,7,6,40,6,199.5,63.6,91.3,354.4,324454.77612838725,40368.82393412586
260910616002017,0,0,0,0,3,2.1,0,1.8,3.9,321627.00745789974,56141.87308181423
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910604023028,23,0,0,23,32,102.9,27.6,51.4,181.9,154122.79054196237,629.4996745472354
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910621001051,3,3,0,0,9,8.4,3.6,6.9,18.9,78467.79470605266,35.98791607679743
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910622001040,30,30,0,0,7,25.9,36,19.2,81.1,196735.641379036,1182.648800984312
260910620002059,0,0,0,0,4,2.8,0,2.4,5.2,27579.027367972187,8.934586487020095
260910621003057,0,0,0,0,3,2.1,0,1.8,3.9,23482.89061680298,5.118672679986009
260910621004012,0,0,0,0,6,4.2,0,3.6,7.8,64697.02710158218,1803.019692696073
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910604011065,5,5,0,0,1,4.2,6,3.1,13.3,173784.00103322868,782.0029426126885
260910624003003,0,0,0,0,9,6.3,0,5.4,11.7,227567.31530617576,3958.001483068745
260910607011005,0,0,0,0,12,8.4,0,7.2,15.6,292706.7195468258,1096.3028011138977
260910619001022,0,0,0,0,5,3.5,0,3,6.5,20454.091305418,43.41033683155831
260910618003013,0,0,0,0,4,2.8,0,2.4,5.2,138943.62968127878,9584.810993886584
260910617011017,0,0,0,0,87,60.9,0,52.2,113.1,310234.6579535294,49111.58156200735
260910604023045,0,0,0,0,1,0.7,0,0.6,1.3,97390.96788257154,1296.2809520396208
260910604021013,0,0,0,0,15,10.5,0,9,19.5,22123.81666162918,64.55415911250351
260910618002023,0,0,0,0,2,1.4,0,1.2,2.6,210381.08861890412,592.7828511325083
260910619002042,0,0,0,0,13,9.1,0,7.8,16.9,58326.347846700395,35.41555145544888
260910605002016,0,0,0,0,7,4.9,0,4.2,9.1,155434.9724006153,19.693391868187724
260910601002040,0,0,0,0,1,0.7,0,0.6,1.3,64185.58915322299,8.49708939962772
260910620001031,0,0,0,0,2,1.4,0,1.2,2.6,67878.47766035821,4.1443168654716684
260910620002048,0,0,0,0,7,4.9,0,4.2,9.1,15947.06109836554,9.021384757505176
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910623001022,10,0,0,10,77,88.9,12,60.2,161.1,258326.86613073712,17364.398301800127
260910618001003,0,0,0,0,9,6.3,0,5.4,11.7,43018.07546508008,884.5819672579669
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910617011027,12,5,7,0,98,130.9,14.4,94.2,239.5,248036.6633550323,3039.472966545953
260910618002029,0,0,0,0,16,11.2,0,9.6,20.8,103221.47859881385,135.26422330331997
260910603013014,0,0,0,0,10,7,0,6,13,285373.9132496152,270.7253723923496
260910601003022,0,0,0,0,11,7.7,0,6.6,14.3,75090.65930651147,14.978818080089326
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910601002058,4,0,0,4,8,19.6,4.8,10.4,34.8,119140.81136628447,1819.7090088110197
260910620001010,0,0,0,0,7,4.9,0,4.2,9.1,212206.32815374286,17.457019842252794
260910620001013,0,0,0,0,5,3.5,0,3,6.5,149158.93457285964,9.37117964214335
260910620001017,0,0,0,0,19,13.3,0,11.4,24.7,164286.97704299548,73.33682286803648
260910606001019,0,0,0,0,29,20.3,0,17.4,37.7,288583.6118705115,46.75944816343857
260910601003072,0,0,0,0,2,1.4,0,1.2,2.6,67890.82522222649,9.637699966865942
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910624004022,2,0,2,0,6,21,2.4,13,36.4,278602.7152978569,7476.064813745572
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910607021025,5,5,0,0,23,19.6,6,16.3,41.9,198761.414661291,110.77105128208005
260910620002016,0,0,0,0,3,2.1,0,1.8,3.9,214320.62094846956,24.0965388101255
260910619004005,0,0,0,0,12,8.4,0,7.2,15.6,33370.66770656381,4334.55958048821
260910617011016,32,18,14,0,108,205.8,38.4,139.6,383.8,293069.3703204798,37820.03496290347
260910617011016,32,18,14,0,108,205.8,38.4,139.6,383.8,293069.3703204798,37820.03496290347
260910617011016,32,18,14,0,108,205.8,38.4,139.6,383.8,293069.3703204798,37820.03496290347
