id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
230190005003013,8,0,0,8,22,43.4,9.6,24.4,77.4,444049.8069807817,16806.68112690042
230190265002043,124,124,0,0,10,93.8,148.8,68,310.6,21393.317378270007,320.2806605371509
230190265002012,0,0,0,0,1,0.7,0,0.6,1.3,5290.022939287283,5.593360945501088
230190009002008,113,0,0,113,82,452.9,135.6,207.4,795.9,412962.5105441345,3585.7958986850444
230190300001026,0,0,0,0,9,6.3,0,5.4,11.7,16551.325404914238,6838.083748966874
230190300001028,0,0,0,0,13,9.1,0,7.8,16.9,16560.84783460105,6220.502668548689
230190270002003,0,0,0,0,1,0.7,0,0.6,1.3,27454.454850886497,2999.8493543517952
230190100003000,1412,739,98,575,124,3439.8,1694.4,1709.5,6843.7,418968.20549760666,7127.209428617081
230190312001032,0,0,0,0,11,7.7,0,6.6,14.3,12371.634291088592,30.186759903154766
230190312001046,0,0,0,0,12,8.4,0,7.2,15.6,21053.002893720717,27.004267344158237
230190215001029,11,3,5,3,40,82.6,13.2,53.2,149,245322.04718459604,150.65864451330705
230190225001020,0,0,0,0,1,0.7,0,0.6,1.3,34784.961938449815,120.81341320868233
230190180001036,3,0,0,3,2,11.9,3.6,5.4,20.9,268809.01328872866,167.06100611993324
230190245002034,5,5,0,0,18,16.1,6,13.3,35.4,13470.216025567293,35.05257554177434
230190225001066,0,0,0,0,37,25.9,0,22.2,48.1,4210.478603573531,56.45927739724927
230190063002008,8,0,0,8,102,99.4,9.6,72.4,181.4,388336.711416257,879.3059333108928
230190080012025,0,0,0,0,108,75.6,0,64.8,140.4,322507.7515875312,799.0024182397655
230190125001025,15,7,0,8,32,55.3,18,33.9,107.2,26731.40407663942,106.98923082150682
230190300003036,0,0,0,0,18,12.6,0,10.8,23.4,16445.564818462946,7594.13508376724
230190225001041,5,1,0,4,17,26.6,6,16.3,48.9,51766.13173658683,241.64754883859243
230190130002007,0,0,0,0,7,4.9,0,4.2,9.1,35093.23825076979,90.66946491546278
230190020001009,0,0,0,0,14,9.8,0,8.4,18.2,422543.91042244656,1771.2018140934128
230190280001022,5,0,0,5,26,35.7,6,22.6,64.3,24780.395413589857,66.37153218415337
230190265002046,0,0,0,0,3,2.1,0,1.8,3.9,652.4810382319469,2.955289157143146
230190071002008,0,0,0,0,3,2.1,0,1.8,3.9,348132.22691421077,7190.667683263953
230190005004004,133,0,0,133,95,532,159.6,243.2,934.8,438868.5047344351,12268.4048973764
230190006002001,0,0,0,0,37,25.9,0,22.2,48.1,441302.1082487036,45556.882333112924
230190255002089,0,0,0,0,4,2.8,0,2.4,5.2,889.2677003985946,4.967814820048649
230190280001007,0,0,0,0,7,4.9,0,4.2,9.1,17418.77015673909,8.994504059492137
230190312002015,0,0,0,0,13,9.1,0,7.8,16.9,19582.189656009108,24.38840478439758
230190280001017,38,31,7,0,23,96.6,45.6,62.2,204.4,20230.128526664746,203.98019348814722
230190312002023,5,1,0,4,33,37.8,6,25.9,69.7,24449.36066733629,74.61254360439729
230190150001012,6,4,0,2,122,95.2,7.2,78,180.4,12059.86465070961,774.4626040122627
230190007002025,0,0,0,0,11,7.7,0,6.6,14.3,445874.53934191994,14370.277280588203
230190150003059,0,0,0,0,23,16.1,0,13.8,29.9,14161.530344247569,28.999282670687844
230190290001429,0,0,0,0,5,3.5,0,3,6.5,14650.542810129946,6.152749123395498
230190265001047,0,0,0,0,17,11.9,0,10.2,22.1,14577.080081890816,84.74338311052803
230190043003009,0,0,0,0,14,9.8,0,8.4,18.2,430858.35158785817,14921.012451263708
230190020001010,0,0,0,0,74,51.8,0,44.4,96.2,406436.72038671863,1130.110698277314
230190135002025,0,0,0,0,6,4.2,0,3.6,7.8,161926.17074056715,16.90210403922005
230190155001010,0,0,0,0,7,4.9,0,4.2,9.1,9730.120854037054,8.996860603303812
230190030002008,14,6,0,8,53,69.3,16.8,46,132.1,233392.1136021975,142.9154684915546
230190002003002,29,0,0,29,44,132.3,34.8,67,234.1,438615.5343357746,62873.45843276289
230190312001021,16,0,0,16,18,68.6,19.2,33.2,121,14747.279857298656,172.6768187017637
230190290001428,0,0,0,0,1,0.7,0,0.6,1.3,13671.178938553925,2.7270101736487526
230190002003008,0,0,0,0,51,35.7,0,30.6,66.3,440483.66691415943,83139.16854686827
230190140001015,0,0,0,0,2,1.4,0,1.2,2.6,15398.861684879426,2.0004429832705393
230190290002041,0,0,0,0,4,2.8,0,2.4,5.2,3736.547878270349,1878.7060991284723
230190009003008,12,0,0,12,3,44.1,14.4,18.6,77.1,446729.7055677314,18586.85283636209
230190215001028,0,0,0,0,7,4.9,0,4.2,9.1,19494.625022767003,8.995720391410687
230190280001015,0,0,0,0,4,2.8,0,2.4,5.2,4356.396881973093,4.998767719347688
230190130002015,157,157,0,0,42,139.3,188.4,103.7,431.4,78486.3308545423,4260.23909439138
230190006003000,0,0,0,0,36,25.2,0,21.6,46.8,439928.55274893757,57020.864594200546
230190125002021,0,0,0,0,8,5.6,0,4.8,10.4,180617.54505393046,27.400440652449962
230190125002038,0,0,0,0,9,6.3,0,5.4,11.7,16276.916536324376,13.905181659702661
230190080013036,0,0,0,0,2,1.4,0,1.2,2.6,338058.2986398516,4612.584328210203
230190300002006,24,3,0,21,13,84.7,28.8,38.7,152.2,16596.440312803326,6714.816975638628
230190080011035,0,0,0,0,16,11.2,0,9.6,20.8,333742.1433721587,157.26070527117943
230190310001049,1,0,0,1,13,12.6,1.2,9.2,23,20599.81935139672,2838.332894592306
230190120001028,11,0,0,11,31,60.2,13.2,34,107.4,80958.97587076467,107.69862329765841
230190312001042,1,0,0,1,6,7.7,1.2,5,13.9,11440.688772174444,15.044248771368274
230190312001027,0,0,0,0,1,0.7,0,0.6,1.3,30358.457589219146,108.36762578581957
230190100002022,7,7,0,0,57,44.8,8.4,37.7,90.9,316058.4207634362,93.35636179678664
230190180001039,0,0,0,0,3,2.1,0,1.8,3.9,125959.07335563387,22.915938622840045
230190100002001,17,13,0,4,54,60.9,20.4,44.5,125.8,161526.652696431,132.92360580696254
230190130003003,6,6,0,0,13,13.3,7.2,10.8,31.3,12172.47342179103,42.613720338474266
230190300001025,0,0,0,0,9,6.3,0,5.4,11.7,16573.414610241685,6983.681300423387
230190006002005,27,0,0,27,35,119,32.4,58.8,210.2,441272.94728873344,30258.612611192904
230190135002014,0,0,0,0,11,7.7,0,6.6,14.3,120813.71868345024,148.1211737597314
230190090004008,0,0,0,0,1,0.7,0,0.6,1.3,344816.1319568026,357.3479936817258
230190270001031,1,0,0,1,7,8.4,1.2,5.6,15.2,27446.79405484359,6211.737662929878
230190245002092,0,0,0,0,4,2.8,0,2.4,5.2,22400.43490769394,78.11362863626897
230190090006002,135,17,64,54,102,809.9,162,446.1,1418,343777.76882910496,1519.2547622317506
230190140001013,24,24,0,0,15,27.3,28.8,21,77.1,21099.284802314276,129.2205659619622
230190155002004,0,0,0,0,5,3.5,0,3,6.5,16375.638272713328,6.020516955298743
230190290002062,0,0,0,0,1,0.7,0,0.6,1.3,3272.9597029528695,27.624748026285772
230190062003005,1,0,0,1,16,14.7,1.2,11,26.9,408616.7063086855,6641.504252232391
230190020002011,4,0,0,4,32,36.4,4.8,24.8,66,411748.99453764525,1132.4100145601208
230190150003062,1,0,0,1,36,28.7,1.2,22.999999999999996,52.9,13408.820333062691,52.11820437139037
230190071001006,0,0,0,0,14,9.8,0,8.4,18.2,370367.2553354902,8986.969541881484
230190080013042,0,0,0,0,5,3.5,0,3,6.5,311095.7258058739,1717.816665537728
230190002001005,20,0,4,16,43,119.7,24,67,210.7,438703.10348169977,62660.109176550504
230190007001058,6,2,0,4,1,16.1,7.2,7.2,30.5,446044.34920157475,12551.476887295192
230190265001022,67,0,8,59,40,301.7,80.4,144.2,526.3,22416.466892336808,667.52124352598
230190002002025,36,0,0,36,143,226.1,43.2,136.2,405.5,442177.97281711746,69868.29229629866
230190041002020,0,0,0,0,5,3.5,0,3,6.5,442131.3685130459,37010.20338371392
230190215002026,0,0,0,0,10,7,0,6,13,2528.2111543293922,26.018105149214296
230190150003061,0,0,0,0,3,2.1,0,1.8,3.9,12576.58160482632,12.001072776269373
230190130001036,8,8,0,0,1,6.3,9.6,4.6,20.5,44674.322871384684,24.947889268623015
230190245002084,0,0,0,0,1,0.7,0,0.6,1.3,3532.8367727370332,0.9999980927135236
230190020002006,6,6,0,0,15,14.7,7.2,12,33.9,424212.6405759032,1332.9251319486666
230190215002024,8,0,0,8,2,29.4,9.6,12.4,51.4,3354.0243656769503,56.17223655901603
230190043001003,22,0,22,0,75,237.3,26.4,148.4,412.1,419066.5329765038,7131.927985804093
230190140002033,0,0,0,0,4,2.8,0,2.4,5.2,33634.64422837194,1537.5122855100424
230190130002016,0,0,0,0,34,23.8,0,20.4,44.2,54104.48684557266,258.26073700463235
230190140001022,0,0,0,0,16,11.2,0,9.6,20.8,20369.123930387417,20.010550749235886
230190090005005,0,0,0,0,9,6.3,0,5.4,11.7,385940.50200188014,128.94813986805647
230190020003012,0,0,0,0,4,2.8,0,2.4,5.2,323538.7519037934,22.721061103762917
230190130001031,22,0,6,16,130,197.4,26.4,128.6,352.4,132160.4056886044,816.2925204743727
230190120001022,2,2,0,0,13,10.5,2.4,8.8,21.7,219432.4531723139,35.697616812480156
230190002002022,166,0,8,158,73,671.3,199.2,302.6,1173.1,444555.16381946136,79535.98708608655
230190125002029,0,0,0,0,2,1.4,0,1.2,2.6,157194.46106070158,47.548499781929934
230190290001518,0,0,0,0,1,0.7,0,0.6,1.3,7881.757620535269,1.9997182716175201
