id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
551110004012017,1,1,0,0,5,4.2,1.2,3.5,8.9,214248.96121090715,23783.06434741545
551110003012028,3,3,0,0,4,4.9,3.6,3.9,12.4,182925.07972908748,2558.6364817905846
551110001041021,0,0,0,0,10,7,0,6,13,170974.53355082477,4730.882770269041
551110005003021,0,0,0,0,4,2.8,0,2.4,5.2,0,4.995516742410674
551110004021000,0,0,0,0,12,8.4,0,7.2,15.6,212407.40909564678,25206.395909253344
551110010041001,12,0,0,12,30,63,14.4,34.8,112.2,108316.5565254829,1879.1544563525363
551110004021027,30,0,0,30,8,110.6,36,46.8,193.4,213376.24460716225,23946.863686733417
551110003012019,0,0,0,0,17,11.9,0,10.2,22.1,210008.4324824572,22402.85000435731
551110006021030,0,0,0,0,7,4.9,0,4.2,9.1,138592.01551641588,15765.087471586707
551110003032011,0,0,0,0,4,2.8,0,2.4,5.2,205725.19343360758,248.68750105401665
551110001011022,0,0,0,0,1,0.7,0,0.6,1.3,157451.61776719225,183.62257445340748
551110010041026,0,0,0,0,3,2.1,0,1.8,3.9,162172.08990474817,21117.385202562946
551110002002040,0,0,0,0,2,1.4,0,1.2,2.6,63188.43568492533,20.663418305429317
551110002005041,0,0,0,0,2,1.4,0,1.2,2.6,117555.26996133657,191.41599163922677
551110004013018,0,0,0,0,16,11.2,0,9.6,20.8,220629.74584756294,12029.905723639722
551110004022033,42,0,0,42,3,149.1,50.4,60.6,260.1,198728.36044705636,18375.32530317917
551110006032011,0,0,0,0,25,17.5,0,15,32.5,142748.90929002716,10682.05618567493
551110001041032,0,0,0,0,1,0.7,0,0.6,1.3,176901.1966536081,5021.673972092964
551110002002053,0,0,0,0,2,1.4,0,1.2,2.6,151429.29768476653,9.434599965360967
551110004014003,4,2,0,2,90,71.4,4.8,57.8,134,164933.76155682595,2155.7050502205093
551110008001039,0,0,0,0,3,2.1,0,1.8,3.9,23746.96500420374,6442.940964466449
551110006011126,28,28,0,0,27,38.5,33.6,30.2,102.3,88189.71922277047,106.06322643175429
551110008002004,0,0,0,0,3,2.1,0,1.8,3.9,105545.14208482494,5.560244338411015
551110004011034,19,0,0,19,13,75.6,22.8,34.4,132.8,198137.81098540378,11111.801805774563
551110009011025,0,0,0,0,22,15.4,0,13.2,28.6,144912.00773634628,3862.5812887460256
551110004022010,0,0,0,0,2,1.4,0,1.2,2.6,118713.68160127032,31.288028759667085
551110004012032,1,0,1,0,4,11.2,1.2,7.1,19.5,216086.29199229085,25461.523860002548
551110010031013,0,0,0,0,45,31.5,0,27,58.5,124094.49550054433,639.8327879218707
551110004013001,0,0,0,0,12,8.4,0,7.2,15.6,202069.61427468425,2004.7451608715933
551110003032026,0,0,0,0,1,0.7,0,0.6,1.3,182090.93971170095,2.6303487926755755
551110009021003,4,0,2,2,3,25.9,4.8,14,44.7,55734.60425128453,405.9546891754478
551110009031008,0,0,0,0,2,1.4,0,1.2,2.6,47020.28222305424,9.363814088704338
551110007001036,0,0,0,0,5,3.5,0,3,6.5,138047.55913954938,24639.497001852036
551110007001049,0,0,0,0,9,6.3,0,5.4,11.7,141687.72158783022,23959.244802921283
551110008002161,1,0,0,1,21,18.2,1.2,14,33.4,33545.088741289364,32.92855964289434
551110001031133,0,0,0,0,4,2.8,0,2.4,5.2,197658.45341354638,6.871154232105403
551110009011039,0,0,0,0,1,0.7,0,0.6,1.3,33113.08007951592,13.652367249500506
551110004012029,0,0,0,0,15,10.5,0,9,19.5,212797.4467719177,25342.825384550335
551110002003000,0,0,0,0,9,6.3,0,5.4,11.7,168822.3000346147,16.661165443292862
551110010022001,0,0,0,0,8,5.6,0,4.8,10.4,183081.58362684314,325.7498007769245
551110011003094,0,0,0,0,8,5.6,0,4.8,10.4,14756.580866134591,12.788769036545334
551110008001023,0,0,0,0,7,4.9,0,4.2,9.1,25961.906158050173,7101.408705578894
551110001031040,0,0,0,0,4,2.8,0,2.4,5.2,188926.6004303294,887.6872109944525
551110002002002,0,0,0,0,3,2.1,0,1.8,3.9,160252.687505001,32.674992165185145
551110009011016,0,0,0,0,1,0.7,0,0.6,1.3,60668.83622503124,142.08979891474416
551110006031025,17,0,0,17,21,74.2,20.4,36.4,131,129738.85842890853,3052.650064817148
551110003012051,0,0,0,0,2,1.4,0,1.2,2.6,175592.5813750759,1155.759287365243
551110010051004,0,0,0,0,1,0.7,0,0.6,1.3,144286.23096609174,6231.278021456052
551110003012038,0,0,0,0,9,6.3,0,5.4,11.7,205597.23406105206,21314.51429448752
551110001041098,55,0,0,55,1,193.2,66,77.6,336.8,198908.99075799,14747.884793288511
551110003031071,13,0,0,13,23,61.6,15.6,32,109.2,215171.77875275258,21849.88413697337
551110004022007,0,0,0,0,5,3.5,0,3,6.5,93761.9215034418,12.285790599035675
