id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
250010128003031,0,0,0,0,41,28.7,0,24.6,53.3,476334.00819651113,1899.752758082974
250010143004017,0,0,0,0,8,5.6,0,4.8,10.4,281199.45133957115,3579.7322180318138
250010112004006,16,0,2,14,30,86.8,19.2,47,153,356340.75217767985,2832.6612298874134
250010120014029,0,0,0,0,14,9.8,0,8.4,18.2,445111.82329205074,3190.445115067228
250010107002031,5,0,0,5,18,30.1,6,17.8,53.9,166608.22411529985,6159.3929026532815
250010127002020,78,43,0,35,13,161.7,93.6,78.3,333.6,474492.9874991467,12881.632107363426
250010151002045,447,93,9,345,87,1409.1,536.4,624,2569.5,350133.25112638704,2655.482666759179
250010128001000,13,9,2,2,88,91.7,15.6,69.5,176.8,465255.9105145836,3989.8442280583067
250010121011016,0,0,0,0,8,5.6,0,4.8,10.4,440262.31591328036,3323.480303256357
250010137004030,4,0,0,4,6,18.2,4.8,9.2,32.2,238699.56604340146,6029.912633029742
250010139003041,0,0,0,0,7,4.9,0,4.2,9.1,264409.44419944996,1828.7158525730315
250010139003017,0,0,0,0,15,10.5,0,9,19.5,256164.84370242918,1127.54280139963
250010148002043,0,0,0,0,12,8.4,0,7.2,15.6,246597.06609728225,23222.35474666613
250010140022007,0,0,0,0,17,11.9,0,10.2,22.1,285103.35678641504,2685.4274244112917
250010108001007,1,1,0,0,2,2.1,1.2,1.7,5,383606.9516754719,1365.9153557688528
250010131004007,1,1,0,0,20,14.7,1.2,12.5,28.4,442523.3507198571,953.5144435994533
250010109004003,0,0,0,0,10,7,0,6,13,224697.7410550056,520.1182514686276
250010105002022,0,0,0,0,6,4.2,0,3.6,7.8,142941.97548944427,308.719358823276
250010108005016,0,0,0,0,6,4.2,0,3.6,7.8,343482.9397244353,318.4328628334906
250010140021042,0,0,0,0,3,2.1,0,1.8,3.9,266241.4932173392,1212.471953335342
250010137003022,0,0,0,0,16,11.2,0,9.6,20.8,278474.9536769143,7562.035127746074
250010118021005,3,0,0,3,52,46.9,3.6,35.4,85.9,422797.09086204466,3691.64332348184
250010127004044,14,0,0,14,14,58.8,16.8,28,103.6,416361.8794825977,1791.6353127694176
250010111002012,2,2,0,0,25,18.9,2.4,16,37.3,367845.75124005665,646.0612508421023
250010109003008,0,0,0,0,84,58.8,0,50.4,109.2,303287.5470891528,2786.595548588669
250010143001062,0,0,0,0,9,6.3,0,5.4,11.7,234580.70306335043,1012.4589081046075
250010136001035,0,0,0,0,24,16.8,0,14.4,31.2,408094.36306020734,2974.2906574587514
250010145003051,0,0,0,0,12,8.4,0,7.2,15.6,329269.1643953426,640.8769614471306
250010103043017,0,0,0,0,5,3.5,0,3,6.5,186695.9228041944,1255.6512379675407
250010110022005,0,0,0,0,1,0.7,0,0.6,1.3,398403.48482602986,5627.852363064511
250010112002028,10,5,0,5,4,23.8,12,11.9,47.7,325998.2055852065,1721.8260250200667
250010107003034,0,0,0,0,4,2.8,0,2.4,5.2,269569.69144449284,624.6455446096118
250010152001039,7,7,0,0,28,24.5,8.4,20.3,53.2,260832.56259772115,143.14463287306393
250010120021024,0,0,0,0,15,10.5,0,9,19.5,429663.7167461557,10423.420048753153
250010130021031,1,0,0,1,9,9.8,1.2,6.8,17.8,341169.6124835324,725.3715097386392
250010110023006,0,0,0,0,9,6.3,0,5.4,11.7,364593.2909202068,2139.4900189847403
250010113001028,0,0,0,0,16,11.2,0,9.6,20.8,365901.13029198535,460.77375470382214
250010113001018,11,0,0,11,18,51.1,13.2,26.2,90.5,358500.76385838544,486.1351532506288
250010104004016,0,0,0,0,2,1.4,0,1.2,2.6,299743.02387013816,311.7728431838345
250010112004002,0,0,0,0,29,20.3,0,17.4,37.7,352434.7595967827,2896.29529719412
250010102083007,8,0,0,8,10,35,9.6,17.2,61.8,40829.46626455813,73.75791168107182
250010135001009,0,0,0,0,7,4.9,0,4.2,9.1,454585.39715212525,892.0021039944972
250010128003022,1,0,0,1,64,48.3,1.2,39.8,89.3,465843.1223645735,1347.9781820817775
250010120011012,0,0,0,0,5,3.5,0,3,6.5,432185.511766,1069.2536034490938
250010106003025,0,0,0,0,10,7,0,6,13,205754.04550128756,7254.511488193244
250010106003030,0,0,0,0,6,4.2,0,3.6,7.8,218670.2868908111,8307.352944623213
250010103061037,0,0,0,0,5,3.5,0,3,6.5,129880.72380263623,3053.3372873129283
250010122001016,13,6,0,7,35,53.2,15.6,33.8,102.6,410119.91682739556,308.095116653267
250010113003019,61,5,3,53,3,216.3,73.2,92.6,382.1,405084.8516278693,2340.029390940492
250010118021006,0,0,0,0,7,4.9,0,4.2,9.1,414972.11234709504,4108.675837885784
250010146001018,0,0,0,0,13,9.1,0,7.8,16.9,346233.89433255943,3182.2802236671996
250010122003026,9,9,0,0,20,20.3,10.8,16.5,47.6,444306.63457371545,565.6725460230911
250010112002006,0,0,0,0,2,1.4,0,1.2,2.6,327913.8316247044,1551.9135874888927
250010140021012,0,0,0,0,2,1.4,0,1.2,2.6,97665.97070024052,278.1252141839082
250010112001016,0,0,0,0,16,11.2,0,9.6,20.8,366524.85001286067,3440.6577846288114
250010106002006,0,0,0,0,21,14.7,0,12.6,27.3,269834.0889953867,523.4443746800487
250010149002010,0,0,0,0,3,2.1,0,1.8,3.9,206315.29396481687,7427.348437369003
250010146002007,0,0,0,0,4,2.8,0,2.4,5.2,344418.0048161124,2984.047932068712
250010152002092,0,0,0,0,1,0.7,0,0.6,1.3,313732.17619776516,177.99466127089394
250010144021021,0,0,0,0,16,11.2,0,9.6,20.8,290450.1419136186,1107.6965702793675
250010118024006,0,0,0,0,4,2.8,0,2.4,5.2,451803.3659600829,2475.883702498793
250010137003013,5,0,0,5,5,21,6,10,37,288917.8246479127,8236.54834584154
250010116003028,0,0,0,0,5,3.5,0,3,6.5,367087.42846014106,1586.2312277753138
250010152002059,1,0,0,1,81,60.2,1.2,50,111.4,201031.01142910655,629.4900633071063
250010152002005,3,0,0,3,14,20.3,3.6,12.6,36.5,333289.81057006726,470.7104291936262
250010152002048,0,0,0,0,5,3.5,0,3,6.5,298881.87144683406,1183.8506883471348
250010121015018,0,0,0,0,10,7,0,6,13,434607.80034290225,5546.024290461491
250010121022010,0,0,0,0,14,9.8,0,8.4,18.2,449818.09532063897,3858.0217167724923
250010133003014,0,0,0,0,5,3.5,0,3,6.5,347861.86495108757,5269.01701585007
250010136002031,15,0,0,15,59,93.8,18,56.4,168.2,394024.6108644501,630.8449639963051
250010126022013,0,0,0,0,12,8.4,0,7.2,15.6,469609.8813466671,62413.88857535106
250010103063037,0,0,0,0,7,4.9,0,4.2,9.1,114681.43009678509,1618.8015831215748
