id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
361070203006005,0,0,0,0,13,9.1,0,7.8,16.9,629185.5836776553,287.02655701434645
361070206004050,2,0,2,0,5,20.3,2.4,12.4,35.1,178593.7326887708,198.6580982669155
361070207012004,0,0,0,0,3,2.1,0,1.8,3.9,18643.04031678679,92.99009515776297
361070206001016,0,0,0,0,14,9.8,0,8.4,18.2,209789.81010979041,305.26250731261155
361070205004026,9,0,0,9,36,56.7,10.8,34.2,101.7,469810.23569302686,16530.291010141966
361070201011080,0,0,0,0,9,6.3,0,5.4,11.7,40847.464572560704,103.7917856820888
361070201011074,0,0,0,0,4,2.8,0,2.4,5.2,13124.624508995395,4.999783071885696
361070203005017,0,0,0,0,17,11.9,0,10.2,22.1,647888.3784869593,2505.7724260863297
361070203003000,0,0,0,0,6,4.2,0,3.6,7.8,80502.0136431168,37.692750787360715
361070207021007,0,0,0,0,2,1.4,0,1.2,2.6,22260.527929640997,4.798184890605309
360070138002002,13,0,0,13,20,59.5,15.6,30.2,105.3,663632.070309727,41796.4438884428
360070142003001,0,0,0,0,22,15.4,0,13.2,28.6,661572.8289256438,22558.33425487468
360070128001003,0,0,0,0,25,17.5,0,15,32.5,661733.9117429409,18224.888279426483
360070015002007,18,0,0,18,19,76.3,21.6,36.6,134.5,650728.7560168253,60271.53901492479
360070123003056,0,0,0,0,1,0.7,0,0.6,1.3,273422.6245373493,52.84149161118609
360070121012016,0,0,0,0,20,14,0,12,26,561222.5883904846,129.19740386945384
360070144004021,80,0,0,80,79,335.3,96,159.4,590.7,659213.2077431725,11826.824248545798
360070124002011,0,0,0,0,16,11.2,0,9.6,20.8,4763.5685638704,19.99435295294529
361070201011016,0,0,0,0,5,3.5,0,3,6.5,2150.9372013981347,8.796893624868819
361070207022021,0,0,0,0,14,9.8,0,8.4,18.2,107312.49531220444,54.02729081430853
361070207021053,0,0,0,0,3,2.1,0,1.8,3.9,26898.236505190376,19.475840145667018
361070201011072,0,0,0,0,2,1.4,0,1.2,2.6,19909.003468184677,25.70215230499558
361070207013045,0,0,0,0,14,9.8,0,8.4,18.2,9667.209457242634,28.514127610851556
361070202001064,0,0,0,0,1,0.7,0,0.6,1.3,32831.5705822717,16.29328233660239
360070119031072,0,0,0,0,3,2.1,0,1.8,3.9,153642.84680212996,92.38539017615375
360070137003003,12,0,0,12,25,59.5,14.4,31.8,105.7,663486.4910081159,20093.80739229665
360070134001005,0,0,0,0,15,10.5,0,9,19.5,645093.3945261111,13168.961549020833
360070124002029,0,0,0,0,2,1.4,0,1.2,2.6,28488.47852513797,1235.5719213506168
360070124002039,0,0,0,0,3,2.1,0,1.8,3.9,33835.90632838025,1598.9856190348469
360070119022027,1,0,0,1,2,4.9,1.2,2.6,8.7,368084.60635517474,82.9447011683882
360070120001033,0,0,0,0,30,21,0,18,39,44088.6166988425,60.45630708448766
360070132021008,1,0,0,1,11,11.2,1.2,8,20.4,643645.2021212474,8724.678017564396
360070121012017,0,0,0,0,8,5.6,0,4.8,10.4,600294.66149567,2639.625675217771
360070002001010,4,0,0,4,27,32.9,4.8,21.8,59.5,648873.6468623105,48794.46930428056
360070102002002,0,0,0,0,11,7.7,0,6.6,14.3,460675.4755913018,158.12807449390314
360070003003006,0,0,0,0,19,13.3,0,11.4,24.7,656491.9139579161,42907.88211774328
360070003002005,16,0,0,16,29,76.3,19.2,39.8,135.3,653359.6124129453,85461.99900517982
360070133043008,2,0,0,2,34,30.8,2.4,23.2,56.4,640239.548334027,3958.7462528714027
360070133042003,0,0,0,0,42,29.4,0,25.2,54.6,640501.8062467312,4353.875560489225
360070002003020,34,0,12,22,101,248.5,40.8,147.8,437.1,654425.4818610003,30406.042912586978
361070204021011,0,0,0,0,27,18.9,0,16.2,35.1,595857.7106134357,1804.718701516038
360070127011024,0,0,0,0,12,8.4,0,7.2,15.6,296325.86948360095,75.46095927277896
361070201012059,0,0,0,0,6,4.2,0,3.6,7.8,30260.44091805551,34.57616756142907
360070132022020,0,0,0,0,8,5.6,0,4.8,10.4,648570.8609090442,13493.961854930738
360070126005006,0,0,0,0,2,1.4,0,1.2,2.6,554095.9773979586,548.9927879356454
360070127023015,1,1,0,0,9,7,1.2,5.9,14.1,619691.2041674346,632.0708537232409
360070138004005,0,0,0,0,14,9.8,0,8.4,18.2,661690.9758177048,35230.25364186192
361070202001002,0,0,0,0,1,0.7,0,0.6,1.3,13692.194512879854,7.415441460943196
361070202004030,0,0,0,0,3,2.1,0,1.8,3.9,25296.54026862495,5.8832136411328655
361070202004012,0,0,0,0,41,28.7,0,24.6,53.3,21189.211976939154,53.00091818366783
361070202002032,0,0,0,0,2,1.4,0,1.2,2.6,33695.90043066834,17.64753698772487
361070206003022,0,0,0,0,15,10.5,0,9,19.5,19924.629579459153,21.82418269363674
360070141002007,2,0,2,0,26,35,2.4,25,62.4,653726.0266738258,18889.61854214823
360070126004027,15,15,0,0,1,11.2,18,8.1,37.3,577470.0162572715,408.62891521934785
360070126004029,7,0,5,2,27,67.9,8.4,42.5,118.8,589953.4975876726,375.6552396760826
360070119031002,0,0,0,0,9,6.3,0,5.4,11.7,9577.129607274863,17.337110809935865
360070119031021,0,0,0,0,11,7.7,0,6.6,14.3,13762.71026148141,19.350067544804123
360070123002026,0,0,0,0,29,20.3,0,17.4,37.7,54999.93169568644,38.43112022912059
360070144002012,5,5,0,0,9,9.8,6,7.9,23.7,657535.4138823458,5675.986362401605
360070009001011,10,6,0,4,91,81.9,12,63.2,157.1,651760.0685697292,18834.608507776615
360070125012062,0,0,0,0,2,1.4,0,1.2,2.6,346812.0296405447,19.5150625546435
360070131003002,9,0,9,0,11,83.3,10.8,48.9,143,660898.1185909525,17092.777042056427
360070123002008,0,0,0,0,17,11.9,0,10.2,22.1,89288.0387531912,176.0377068773986
360070006003005,11,0,0,11,29,58.8,13.2,32.8,104.8,654480.3497098495,34080.27723843246
360070123002052,0,0,0,0,6,4.2,0,3.6,7.8,248696.6988822335,25.52697092894031
360070126003001,0,0,0,0,41,28.7,0,24.6,53.3,577870.7052010105,117.2019695149897
361070206003047,29,0,0,29,9,107.8,34.8,45.99999999999999,188.6,51109.27630696276,192.97790518198545
361070206002000,0,0,0,0,42,29.4,0,25.2,54.6,160290.67120317116,147.40800511766298
