id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
181050015023026,0,0,0,0,17,11.9,0,10.2,22.1,415306.57070512587,346.55075297656714
181050012005033,45,45,0,0,6,35.7,54,26.1,115.8,228527.0729151406,114.96039340153986
181050014032015,0,0,0,0,8,5.6,0,4.8,10.4,430115.66934831504,12.414275836746137
181050009011010,0,0,0,0,6,4.2,0,3.6,7.8,477709.55554380413,62319.3924079352
181050013051008,18,8,0,10,34,64.4,21.6,38.4,124.4,488229.90144518384,1779.9499158520046
181199557022010,2,2,0,0,7,6.3,2.4,5.2,13.9,1839.280352838663,16.192606126730894
181050013013008,493,339,24,130,89,956.2,591.6,517.7,2065.5,485418.9750429627,7952.769458260066
181050012004043,0,0,0,0,7,4.9,0,4.2,9.1,59420.20372269042,36.18180607911583
181050013051025,0,0,0,0,9,6.3,0,5.4,11.7,490633.30951956403,3170.6940958234927
181199557011044,0,0,0,0,12,8.4,0,7.2,15.6,74192.06194570374,28.897681747140272
181199555001069,0,0,0,0,3,2.1,0,1.8,3.9,105555.70664389674,1523.7496823708743
181199557011025,0,0,0,0,1,0.7,0,0.6,1.3,93699.56940402318,22.72783776955378
181199556004009,0,0,0,0,3,2.1,0,1.8,3.9,3804.8035454785254,4.9863926722900205
181050010024001,1,0,0,1,181,130.2,1.2,110,241.4,462189.6985783089,10039.570981585362
181050010011015,6,6,0,0,21,18.9,7.2,15.6,41.7,463078.3791309699,771.6040753430595
181050004013008,0,0,0,0,7,4.9,0,4.2,9.1,483006.6562578003,19911.441632918595
181050016002018,0,0,0,0,26,18.2,0,15.6,33.8,486459.2371213401,134970.34381560973
181050006012003,14,0,0,14,110,126,16.8,85.6,228.4,477388.0303955163,49243.78456795977
181199556005013,0,0,0,0,10,7,0,6,13,21016.092777990507,17.564335627764144
181199555001061,0,0,0,0,3,2.1,0,1.8,3.9,84276.84810468141,1511.3059983252622
181050003021017,1,0,0,1,10,10.5,1.2,7.4,19.1,475975.10690492933,143671.36938870046
181050006011017,0,0,0,0,9,6.3,0,5.4,11.7,483387.1841321097,175439.64104881856
181199559001011,5,2,0,3,9,18.2,6,10.6,34.8,316473.1799737325,61.20266849896009
181199559003028,0,0,0,0,28,19.6,0,16.8,36.4,417325.55879302754,64.2951063186688
181199558001018,0,0,0,0,1,0.7,0,0.6,1.3,278181.51177511906,11.006811329322382
181050008012043,2,2,0,0,3,3.5,2.4,2.8,8.7,485656.31934675836,6829.061659547527
181050015021041,20,1,0,19,17,79.1,24,37.3,140.4,225554.90637848573,146.64755232329154
181050003024002,0,0,0,0,16,11.2,0,9.6,20.8,473664.6573223365,59973.87783811963
181199559003013,6,6,0,0,40,32.2,7.2,27,66.4,400199.83476434834,66.07457138776961
181050004014000,10,0,8,2,355,322.7,12,253.4,588.1,481742.19261728856,2235.0794289190685
181050004023004,0,0,0,0,114,79.8,0,68.4,148.2,468806.400159991,3639.4865102315907
181050010021004,0,0,0,0,28,19.6,0,16.8,36.4,463131.5861089644,12910.038910997808
181199558001017,3,3,0,0,34,25.9,3.6,21.9,51.4,260814.75521850568,61.98483451902884
