id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
500110105004047,0,0,0,0,7,4.9,0,4.2,9.1,120348.00356025988,75.22465097743509
500110101012036,0,0,0,0,2,1.4,0,1.2,2.6,56280.494079864846,97.34296904156292
500110105002036,0,0,0,0,14,9.8,0,8.4,18.2,118775.51804814464,7425.475272688163
500110109002063,0,0,0,0,1,0.7,0,0.6,1.3,147874.28332762478,52.675887685496825
500070021032041,1,0,0,1,4,6.3,1.2,3.8,11.3,505501.6568406055,35.27467800188133
500070027012018,0,0,0,0,2,1.4,0,1.2,2.6,710634.5763971632,15676.315146010616
500070035013036,6,1,0,5,4,21,7.2,9.9,38.1,370669.00310939667,198.3270807609561
500070031021027,10,10,0,0,30,28,12,23,63,645420.1455893164,81.04643615992937
500110101012055,0,0,0,0,2,1.4,0,1.2,2.6,72004.97872139952,5.7123205548745535
500070035022004,0,0,0,0,3,2.1,0,1.8,3.9,675623.8457421872,88.33607946203271
500110106003019,0,0,0,0,12,8.4,0,7.2,15.6,154271.46975762173,274.2902824982044
500070033011024,0,0,0,0,30,21,0,18,39,649435.8124740428,899.4824866915237
500070036002011,233,20,101,112,167,1371.3,279.6,741.7,2392.6,714029.901970532,46163.86572212518
500070023011014,12,7,1,4,8,32.9,14.4,18.6,65.9,687547.6569842333,879.3743464989029
500070029005031,0,0,0,0,5,3.5,0,3,6.5,262500.52685043326,82.45153136898365
500070028002050,0,0,0,0,4,2.8,0,2.4,5.2,143305.55930095457,48.64071677622277
500070027012002,41,6,7,28,60,203,49.2,111.1,363.3,702294.0658890683,928.5923570922746
500110102003094,0,0,0,0,11,7.7,0,6.6,14.3,15769.436882567104,13.998781355495982
500070026014011,62,24,13,25,31,235.2,74.4,126.7,436.3,704057.639046564,26455.559513642274
500070035031083,0,0,0,0,4,2.8,0,2.4,5.2,5630.387834625961,29.991893408365705
500070009002003,19,1,0,18,38,90.3,22.8,48.5,161.6,705536.1635254053,161217.0196205074
500070027012029,0,0,0,0,8,5.6,0,4.8,10.4,711751.2377596946,13929.351934556982
500110102001029,58,58,0,0,19,53.9,69.6,40.4,163.9,14985.348003841858,162.95114205468096
500110101022009,2,2,0,0,10,8.4,2.4,7,17.8,7520.480255657042,45.805799239143546
500110110003004,3,0,0,3,51,46.2,3.6,34.8,84.6,1493.1726502703652,83.77420507532429
500070029006032,2,0,0,2,1,7.7,2.4,3.4,13.5,143178.02522701697,266.62529734410845
500070028002019,2,1,0,1,30,25.2,2.4,19.9,47.5,384353.02650056843,117.26145808393323
500070027011007,15,12,0,3,46,51.1,18,37.8,106.9,538058.3189304038,149.0906891031312
500110110001000,0,0,0,0,3,2.1,0,1.8,3.9,94363.96849553495,27.342090802481568
500110104002024,7,0,0,7,10,31.5,8.4,15.8,55.7,784.4796746753245,50.582873161690394
500070030002068,7,0,5,2,5,52.5,8.4,29.3,90.2,554152.8178552111,131.08124419644628
500070031013034,1,0,0,1,16,14.7,1.2,11,26.9,699801.4000683008,10548.130120356926
500070035031007,0,0,0,0,3,2.1,0,1.8,3.9,26854.301805439787,8.176452065461977
500110110002109,3,0,0,3,20,24.5,3.6,16.2,44.3,230330.73050711807,2383.925040664109
500110110002105,0,0,0,0,2,1.4,0,1.2,2.6,109346.77516905189,167.35020027884673
500110101012001,0,0,0,0,1,0.7,0,0.6,1.3,24376.40657889272,3.9824807236122872
500070023031011,28,5,1,22,248,262.5,33.6,186.8,482.9,587716.340109276,1006.3274296490182
500070011001002,1,1,0,0,28,20.3,1.2,17.3,38.8,706462.8028249652,108095.70762233964
500070027022016,0,0,0,0,5,3.5,0,3,6.5,653583.0705398723,274.5287778827443
500070030001012,2,0,0,2,40,35,2.4,26.8,64.2,221168.03811174713,67.28942421411993
500070021012026,15,15,0,0,15,21,18,16.5,55.5,323060.37122526235,359.66674889154854
500110110003007,0,0,0,0,13,9.1,0,7.8,16.9,7587.497293559628,16.021076396308015
500070028002030,0,0,0,0,46,32.2,0,27.6,59.8,522406.2266168838,125.19570238090073
500070023033001,0,0,0,0,8,5.6,0,4.8,10.4,631153.6827288005,631.5230296042151
500070035024015,0,0,0,0,3,2.1,0,1.8,3.9,616858.1728204957,4476.166211794144
500070029002026,1,0,0,1,19,16.8,1.2,12.8,30.8,87137.46362846732,257.5817854392796
500070039001016,0,0,0,0,9,6.3,0,5.4,11.7,707726.4994279859,135110.28086106104
500070026023011,0,0,0,0,14,9.8,0,8.4,18.2,669371.2961870832,7863.473316128419
500070027013003,6,3,0,3,26,30.8,7.2,21.3,59.3,666735.2049136446,8714.453618916174
500070029001027,0,0,0,0,3,2.1,0,1.8,3.9,152067.56176549802,11.926915807384642
500070009001009,34,6,0,28,74,154,40.8,86.6,281.4,705648.9478281923,198422.89348789016
500070026011012,0,0,0,0,41,28.7,0,24.6,53.3,702844.7802370412,23645.16086577072
500070040022012,253,0,8,245,25,942.2,303.6,395.6,1641.4,724759.7926925477,104641.36238031283
500070035021025,6,6,0,0,20,18.2,7.2,15,40.4,208809.4881776257,48.797112504644296
500130201003006,2,0,0,2,9,13.3,2.4,8.2,23.9,13830.91421841797,23.485006411125546
500130201002006,1,0,0,1,34,27.3,1.2,21.8,50.3,925.2097854390165,49.96037634566212
500130201001021,5,0,0,5,47,50.4,6,35.2,91.6,49222.800331957704,561.3379273712856
500130201003007,71,8,16,47,120,388.5,85.2,217,690.7,16753.69529531932,763.356348786308
500110102003083,0,0,0,0,4,2.8,0,2.4,5.2,14473.158460974828,9.366834649850022
500110106003018,0,0,0,0,5,3.5,0,3,6.5,90897.32159616753,83.73350529520587
500070033041008,1,0,0,1,9,9.8,1.2,6.8,17.8,701915.9405872404,41129.44573564006
500070002002008,0,0,0,0,68,47.6,0,40.8,88.4,635270.0195988821,13471.501320542993
500070029001055,0,0,0,0,5,3.5,0,3,6.5,263480.92628793244,86.68271906091533
500070023042007,21,9,0,12,137,144.2,25.2,103.5,272.9,678422.8804893916,1654.1538701880277
500070023011029,1,0,0,1,11,11.2,1.2,8,20.4,751097.4949951437,401.64879742255624
500070008001008,4,0,0,4,55,52.5,4.8,38.6,95.9,695092.0010555821,103260.68068121193
500110110001034,3,1,0,2,25,25.2,3.6,18.3,47.1,28886.379579477845,61.03006523090437
500110105004015,0,0,0,0,34,23.8,0,20.4,44.2,112630.56038171644,4164.390819710083
500070034022006,1,0,0,1,2,4.9,1.2,2.6,8.7,534965.6185450765,307.65570523297583
500070031011019,0,0,0,0,27,18.9,0,16.2,35.1,692320.5065120388,10890.317061236185
500110110001051,8,0,7,1,56,101.5,9.6,67.9,179,83458.553772188,219.12755077290942
500110109001038,6,6,0,0,7,9.1,7.2,7.2,23.5,504873.0659921502,920.3746080601454
500110101022018,25,23,2,0,63,76.99999999999999,30,58.7,165.7,18945.577836050405,164.90354223024804
500110103001013,0,0,0,0,12,8.4,0,7.2,15.6,13422.980162899392,23.378029953346516
500110110002106,0,0,0,0,1,0.7,0,0.6,1.3,91098.81100397497,174.66354681570004
500070030001035,2,2,0,0,9,7.7,2.4,6.4,16.5,557072.0643104056,187.25926430979905
500070026014004,0,0,0,0,16,11.2,0,9.6,20.8,698960.3085992166,32180.690484176055
500070009001000,285,0,0,285,2,998.9,342,400.2,1741.1,715208.7611891867,237470.68552607822
500070027013021,0,0,0,0,19,13.3,0,11.4,24.7,668353.9935284641,1680.233846148315
500070035025010,0,0,0,0,26,18.2,0,15.6,33.8,508504.13020055566,224.3087316921226
500070034011023,6,4,0,2,12,18.2,7.2,12,37.4,528517.8690760686,148.4203315278698
500110105002019,0,0,0,0,20,14,0,12,26,131683.5752744035,7510.31080072528
500110108001005,5,0,0,5,26,35.7,6,22.6,64.3,222426.59693902973,23408.84663063816
500110106003006,0,0,0,0,16,11.2,0,9.6,20.8,140052.40787672848,215.48158763971324
500070026013007,3,0,0,3,55,49,3.6,37.2,89.8,696634.3622360232,10486.44924659798
500070002003008,14,0,0,14,7,53.9,16.8,23.8,94.5,614916.6627319627,7128.601574914477
500070031012003,14,0,14,0,14,127.4,16.8,74.2,218.4,636749.2409999217,954.4202057933198
500110101012033,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,29870.617376797105,53.27531667689366
500110105002041,27,27,0,0,10,25.9,32.4,19.5,77.8,101872.52636857999,3945.5228850181657
500110110003045,0,0,0,0,1,0.7,0,0.6,1.3,39454.876959200476,84.51971003118304
500110110003021,0,0,0,0,2,1.4,0,1.2,2.6,8613.576726946232,2.06577082158616
500110103003027,4,3,0,1,51,41.3,4.8,33.5,79.6,9657.613870087585,78.99880060075975
500070022021011,0,0,0,0,11,7.7,0,6.6,14.3,646006.1788540108,33.06077645829954
500070030002004,0,0,0,0,2,1.4,0,1.2,2.6,225317.8703094451,2.013213960539975
500110101021089,0,0,0,0,4,2.8,0,2.4,5.2,123633.95871637581,37.565247576482996
500110102001064,0,0,0,0,4,2.8,0,2.4,5.2,23528.921285464563,69.71548962827059
500110101022001,3,3,0,0,12,10.5,3.6,8.7,22.8,19063.132391512798,22.343104752100803
500070028001009,52,5,0,47,139,265.3,62.4,151.7,479.4,515791.35783421336,1675.6675564777154
500110101022021,1,1,0,0,6,4.9,1.2,4.1,10.2,47395.338075769505,422.58932168410513
500110109001029,0,0,0,0,7,4.9,0,4.2,9.1,451582.9932644719,584.4931916567101
500110107004013,115,102,0,13,3,118.99999999999999,138,71,328,305688.5277379566,7201.140933173041
500110101021059,12,0,0,12,6,46.2,14.4,20.4,81,20263.193672373887,83.99400273610867
500110102001045,0,0,0,0,1,0.7,0,0.6,1.3,16982.70932203544,583.7374931452465
500110109001002,0,0,0,0,17,11.9,0,10.2,22.1,198038.29328853675,137.3927871623292
500070021032045,0,0,0,0,32,22.4,0,19.2,41.6,429398.8620269075,1791.1449409363422
