id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
390599780003119,0,0,0,0,1,0.7,0,0.6,1.3,22107.516115492406,3.585738789029238
390599775003008,0,0,0,0,19,13.3,0,11.4,24.7,103524.57183461732,22775.390255529343
390599780003062,0,0,0,0,5,3.5,0,3,6.5,32301.958973823374,147.0599530172828
390599772003000,0,0,0,0,1,0.7,0,0.6,1.3,39837.18880724795,1.390916000412324
390599780003041,0,0,0,0,5,3.5,0,3,6.5,19525.56836280633,6.988868890035156
390599774003036,0,0,0,0,16,11.2,0,9.6,20.8,103611.6841239808,20250.414625842644
390599774003011,6,0,0,6,4,23.8,7.2,10.8,41.8,102936.54185783719,17689.482832126843
390599779001052,0,0,0,0,6,4.2,0,3.6,7.8,103444.9605314307,4666.476574716823
390599777001092,0,0,0,0,8,5.6,0,4.8,10.4,101086.9552013485,88.40789109665556
390599776001000,7,4,0,3,42,42.7,8.4,31.4,82.5,101614.29776943404,1801.2595525962954
390599777002056,13,0,9,4,30,110.6,15.6,65.9,192.1,97322.20625095567,212.9237021062169
390599778001066,0,0,0,0,4,2.8,0,2.4,5.2,96452.15024101172,484.25692528772197
390599773001031,0,0,0,0,4,2.8,0,2.4,5.2,103787.55301208042,1181.6492159147238
390599779004000,11,8,0,3,1,16.8,13.2,8.8,38.8,104288.1255972771,3480.502952581908
390599778002009,0,0,0,0,9,6.3,0,5.4,11.7,94614.7430789939,26.362361319053456
390599771002139,0,0,0,0,5,3.5,0,3,6.5,98382.33460779402,159.3472039791826
390599778003023,0,0,0,0,5,3.5,0,3,6.5,35029.64806078952,31.290245834340556
390599776002046,0,0,0,0,5,3.5,0,3,6.5,104547.33268411986,27261.630555239553
390599777003042,0,0,0,0,1,0.7,0,0.6,1.3,101004.05207852554,104.65599929115689
390599777003038,0,0,0,0,1,0.7,0,0.6,1.3,103110.11561566078,190.33773553942638
390599779002044,7,0,7,0,16,70,8.4,42.5,120.9,103426.14768522624,4296.130563261513
390599779004035,0,0,0,0,2,1.4,0,1.2,2.6,94983.97560602371,11.188505741019117
390599772004063,0,0,0,0,3,2.1,0,1.8,3.9,92926.81125696274,196.56197348267418
390599774003014,0,0,0,0,4,2.8,0,2.4,5.2,103223.44157386753,13413.017655193347
390599776002050,0,0,0,0,8,5.6,0,4.8,10.4,104305.87522704942,29260.4956197759
390599774003019,0,0,0,0,1,0.7,0,0.6,1.3,103469.59423512567,16138.649716088643
390599780001065,0,0,0,0,20,14,0,12,26,94054.34956135416,28.53559554965612
390599772003067,0,0,0,0,4,2.8,0,2.4,5.2,44044.976703176326,7.884273865663135
