id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
170579536001009,0,0,0,0,7,4.9,0,4.2,9.1,56533.21165303687,11801.0583628489
170579528003007,12,12,0,0,3,10.5,14.4,7.8,32.7,47582.3989201826,5096.640999115491
170579532002042,0,0,0,0,1,0.7,0,0.6,1.3,41220.42831830396,2151.57339025773
170579532003052,0,0,0,0,4,2.8,0,2.4,5.2,38012.39463262807,2136.5192421230486
170579538003019,0,0,0,0,5,3.5,0,3,6.5,35181.33753713505,5182.047985376823
170579533001014,0,0,0,0,9,6.3,0,5.4,11.7,56217.3852980593,7645.858118313263
170579528001011,0,0,0,0,32,22.4,0,19.2,41.6,45657.95524396715,4573.858266615689
170579533002009,0,0,0,0,1,0.7,0,0.6,1.3,54797.65463418444,2712.0422694829135
170579532002041,0,0,0,0,3,2.1,0,1.8,3.9,40385.59725129844,2151.68644353021
170579537001116,1,0,0,1,4,6.3,1.2,3.8,11.3,38928.23221603807,10.999769406857284
170579532003020,2,0,0,2,48,40.6,2.4,31.6,74.6,38522.5919387083,2142.951293980823
170579530004028,18,18,0,0,13,21.7,21.6,16.8,60.1,24732.832930522334,64.85612830075831
170579539004066,0,0,0,0,1,0.7,0,0.6,1.3,10999.028319040468,11.584808315573309
170579537001093,0,0,0,0,20,14,0,12,26,44071.80125441818,25.999835610474104
170579528003011,2,0,0,2,30,28,2.4,20.8,51.2,45091.54565720488,4337.226059021478
170579538001047,0,0,0,0,4,2.8,0,2.4,5.2,31945.192260198783,5624.81867924719
170579539004054,0,0,0,0,1,0.7,0,0.6,1.3,10975.453215973432,68.69673027304945
170579533002015,8,0,0,8,37,53.9,9.6,33.4,96.9,54392.067009492384,1121.0466950137275
170579539002009,0,0,0,0,1,0.7,0,0.6,1.3,4926.25869238409,1.40127100953169
170579536002006,0,0,0,0,11,7.7,0,6.6,14.3,57608.47871508625,17230.602224688715
170579532003015,0,0,0,0,4,2.8,0,2.4,5.2,39607.475872251984,2135.789982140398
170579529003038,0,0,0,0,10,7,0,6,13,15934.233840728364,14.56789882766532
170579533001021,84,0,0,84,10,301,100.8,123.6,525.4,56299.132872982096,8401.603904666757
170579539003044,0,0,0,0,2,1.4,0,1.2,2.6,5027.068564028727,332.43939366926844
170579537002038,0,0,0,0,3,2.1,0,1.8,3.9,9744.977633810931,3.583092805450062
170579530002129,0,0,0,0,2,1.4,0,1.2,2.6,3155.131728345452,2.0723143444943983
170579532004036,0,0,0,0,1,0.7,0,0.6,1.3,23853.514620573496,8.670748286808958
170579528002021,0,0,0,0,6,4.2,0,3.6,7.8,47476.955279478796,4469.560075599392
170579532003017,0,0,0,0,3,2.1,0,1.8,3.9,37893.23243476595,2137.314903122781
170579531002088,0,0,0,0,3,2.1,0,1.8,3.9,7829.675164446664,420.7665007712336
170579534001018,125,0,0,125,97,505.4,150,233.2,888.6,58003.94110751302,20782.564364187856
170579534001034,0,0,0,0,6,4.2,0,3.6,7.8,58109.908905113545,19293.859994905066
170579535001029,0,0,0,0,7,4.9,0,4.2,9.1,58254.59175820916,17447.473593082443
170579535003033,7,0,0,7,1,25.2,8.4,10.4,44,58332.12196539992,5635.525567374581
170579534001010,132,0,0,132,3,464.1,158.4,186.6,809.1,57778.50186821876,22520.265521515135
170579531002110,0,0,0,0,2,1.4,0,1.2,2.6,9506.099629851558,433.0143620769119
170579537001009,0,0,0,0,1,0.7,0,0.6,1.3,35854.22561881697,5.821564854952636
170579538002002,2,2,0,0,39,28.7,2.4,24.4,55.5,28801.546034578714,195.6723546169789
170579533001006,227,0,183,44,38,1717.8,272.4,944.5,2934.7,54230.63196085785,5529.541498015364
170579531001027,0,0,0,0,2,1.4,0,1.2,2.6,8202.048700458221,2.8983115858476007
170579531004100,0,0,0,0,4,2.8,0,2.4,5.2,8114.193751062348,4.996542463921432
170579532004007,0,0,0,0,8,5.6,0,4.8,10.4,51807.58714780572,141.70236883357254
170579536001037,0,0,0,0,4,2.8,0,2.4,5.2,56357.48157602191,11620.394416639789
170579538002018,3,3,0,0,4,4.9,3.6,3.9,12.4,30047.535301872682,5399.768266198164
170579538002008,21,21,0,0,1,15.4,25.2,11.1,51.7,24147.88000598607,3288.8187326788093
170579538002027,0,0,0,0,4,2.8,0,2.4,5.2,13819.290918830766,39.76549560304692
170579530002034,0,0,0,0,2,1.4,0,1.2,2.6,2339.7543852138288,2.1171157232438
170579531003014,0,0,0,0,2,1.4,0,1.2,2.6,8896.014994890045,2.74459677583078
170579529001102,40,37,0,3,28,56,48,39.5,143.5,40692.98142845859,788.4020436807547
170579531004060,0,0,0,0,1,0.7,0,0.6,1.3,7893.876671682362,1.4303645463284487
170579532004046,0,0,0,0,1,0.7,0,0.6,1.3,35631.5653434401,1.3730675368126581
170579539004023,11,11,0,0,4,10.5,13.2,7.9,31.6,10912.335276691125,31.771482121025596
170579535002026,0,0,0,0,2,1.4,0,1.2,2.6,57344.8459903447,3244.971198119737
170579530003038,0,0,0,0,2,1.4,0,1.2,2.6,1648.2224472457376,23.019361147460515
170579528001016,0,0,0,0,7,4.9,0,4.2,9.1,47645.79534827583,4513.612550158767
170579528002005,0,0,0,0,11,7.7,0,6.6,14.3,46233.77241080366,4217.8099785111535
170579533002033,0,0,0,0,8,5.6,0,4.8,10.4,56265.1795824223,6921.197233904802
170579537001002,0,0,0,0,3,2.1,0,1.8,3.9,24849.705491076624,8.990028960625803
170579535002037,0,0,0,0,7,4.9,0,4.2,9.1,55665.949397055876,11846.337320575545
170579539003062,0,0,0,0,4,2.8,0,2.4,5.2,8684.220547250132,1737.3029018476864
170579531002096,71,0,0,71,1,249.2,85.2,99.99999999999999,434.4,6754.223646355094,436.357176587539
170579535003009,0,0,0,0,3,2.1,0,1.8,3.9,57548.45372769636,11726.881720250756
170579531002057,0,0,0,0,4,2.8,0,2.4,5.2,7806.01764424302,420.5943037132047
170579539002065,0,0,0,0,1,0.7,0,0.6,1.3,4586.118569848257,709.7010234600847
170579530004050,0,0,0,0,1,0.7,0,0.6,1.3,31444.114763252954,3.057096779389247
170579537002040,0,0,0,0,20,14,0,12,26,13979.59236531378,25.998035365163762
170579535002005,3,0,0,3,1,11.2,3.6,4.8,19.6,56612.4727169386,2202.371190229842
170579531001058,0,0,0,0,1,0.7,0,0.6,1.3,5074.09738488335,72.71217787699807
170579534001025,0,0,0,0,8,5.6,0,4.8,10.4,57843.06405029477,19498.043444461335
170579530002036,0,0,0,0,1,0.7,0,0.6,1.3,1999.2371099739578,1.7655489159219744
170579531003038,0,0,0,0,5,3.5,0,3,6.5,11708.581602584616,540.8916376851314
170579533002028,0,0,0,0,4,2.8,0,2.4,5.2,56416.90719767457,11130.563035313242
170579530002054,0,0,0,0,4,2.8,0,2.4,5.2,1683.8523905613563,4.996770820484409
170579532002028,0,0,0,0,7,4.9,0,4.2,9.1,37272.3003395962,2047.5623192375397
170579531004013,0,0,0,0,1,0.7,0,0.6,1.3,10488.779376364215,294.17820555755816
170579530002077,0,0,0,0,4,2.8,0,2.4,5.2,3803.0653982065287,38.49504110886655
170579529001103,0,0,0,0,4,2.8,0,2.4,5.2,44979.917013941726,855.6986185878942
170579530003020,4,0,0,4,29,34.3,4.8,23,62.1,2170.162849683619,1462.5175219783805
170579539003045,0,0,0,0,4,2.8,0,2.4,5.2,8355.672080704073,1657.666602719794
170579535003031,0,0,0,0,5,3.5,0,3,6.5,56541.07452914475,4439.064628773054
170579530002126,0,0,0,0,3,2.1,0,1.8,3.9,2203.5883543056934,4.34972824532382
170579531001029,0,0,0,0,1,0.7,0,0.6,1.3,6840.130946482455,3.8192038523832657
170579531001048,0,0,0,0,1,0.7,0,0.6,1.3,3005.9016032130116,45.652908978781284
170579539002048,0,0,0,0,3,2.1,0,1.8,3.9,4537.1556159576585,640.2050351526506
170579529002000,0,0,0,0,2,1.4,0,1.2,2.6,49630.990324781305,5.93141738439737
170579529002026,0,0,0,0,1,0.7,0,0.6,1.3,50707.85953791393,8.012687025560822
170579531004077,0,0,0,0,2,1.4,0,1.2,2.6,10175.267243475686,3.152171933982876
170579538002005,0,0,0,0,4,2.8,0,2.4,5.2,33242.560012603266,5632.005765760197
170579531001045,0,0,0,0,4,2.8,0,2.4,5.2,4676.572338588926,72.819380660355975
170579534002013,10,0,1,9,9,46.2,12,22.7,80.9,57114.92426864174,22265.321962191996
170579538003065,0,0,0,0,2,1.4,0,1.2,2.6,33054.53401009914,5670.4207066148965
170579528002016,27,3,24,0,12,212.1,32.4,121.5,366.00000000000006,47628.656758247234,4606.571517461372
170579530004061,0,0,0,0,2,1.4,0,1.2,2.6,33849.91658231367,7.959286816882523
170579533003005,0,0,0,0,11,7.7,0,6.6,14.3,57851.28775759373,16429.010637096286
170579534001003,0,0,0,0,4,2.8,0,2.4,5.2,58195.41796928973,22520.705048609
170579534001012,111,0,0,111,5,392,133.2,158.4,683.6,58031.8655508054,22062.440179513032
170579539003083,1,0,0,1,9,9.8,1.2,6.8,17.8,3653.834514529908,17.000915184437737
170579530004016,1,0,0,1,4,6.3,1.2,3.8,11.3,975.2278602881918,11.686705383170317
170579530002128,0,0,0,0,2,1.4,0,1.2,2.6,2214.5195077584876,7.159042639935415
170579529002069,0,0,0,0,1,0.7,0,0.6,1.3,37700.808034045775,9.86918216950446
170579535001042,12,0,0,12,3,44.1,14.4,18.6,77.1,58555.787406249736,13439.521734478236
170579531004016,10,0,9,1,1,79.8,12,44.3,136.1,10906.186292754523,298.894890291286
170579538003032,0,0,0,0,5,3.5,0,3,6.5,33807.06531466258,5698.450053139994
170579530001044,0,0,0,0,7,4.9,0,4.2,9.1,9160.793434578025,318.3891809301511
170579536004020,0,0,0,0,22,15.4,0,13.2,28.6,55184.04152449697,9222.260289537202
170579533003027,4,0,2,2,120,107.8,4.8,84.2,196.8,58021.84575460089,21348.582432599425
170579529001019,0,0,0,0,7,4.9,0,4.2,9.1,31636.315847457132,29.633190578414958
170579538002013,0,0,0,0,24,16.8,0,14.4,31.2,23289.35773193983,170.13628956984857
170579531004110,0,0,0,0,4,2.8,0,2.4,5.2,8594.796869372483,7.5698008900448865
170579530002056,0,0,0,0,1,0.7,0,0.6,1.3,2092.174532824713,3.0778517481279604
170579539001044,0,0,0,0,5,3.5,0,3,6.5,9335.210656203319,1772.8168024948602
170579530003029,8,0,0,8,7,32.9,9.6,15.4,57.9,2253.8174058906166,1474.5546122017304
170579537002043,7,0,0,7,15,35,8.4,18.8,62.2,12376.303084126233,62.034939194318824
170579538001025,6,0,1,5,51,61.6,7.2,42.3,111.1,36238.25267711136,3884.110399718006
170579529003042,2,2,0,0,18,14,2.4,11.8,28.2,44743.0480135443,28.219698082323017
170579528001028,0,0,0,0,8,5.6,0,4.8,10.4,46146.08375681245,4415.16141796398
170579538001051,0,0,0,0,8,5.6,0,4.8,10.4,29980.1435909597,5323.53798185223
170579537003046,0,0,0,0,4,2.8,0,2.4,5.2,55031.21264438733,1618.7099848652854
170579531001002,0,0,0,0,8,5.6,0,4.8,10.4,4583.254824521823,12.920518592618262
170579530002049,0,0,0,0,1,0.7,0,0.6,1.3,2080.7521852818236,2.8408254992476083
170579535002003,39,30,0,9,26,70.7,46.8,43.2,160.7,55501.35535226975,1544.7137064062001
170579539002091,0,0,0,0,1,0.7,0,0.6,1.3,4642.388524626713,716.6540797231266
170579536004004,0,0,0,0,11,7.7,0,6.6,14.3,54677.028552854645,7377.6412549565375
170579529003023,0,0,0,0,4,2.8,0,2.4,5.2,45094.215279440745,52.6421926051848
170579536003004,0,0,0,0,13,9.1,0,7.8,16.9,58510.15557993404,18602.30833764406
170579539002079,3,0,0,3,5,14,3.6,7.2,24.8,4714.818800598146,716.8737920186311
170579535001015,0,0,0,0,2,1.4,0,1.2,2.6,58540.475119548086,18369.146907162652
170579536004029,0,0,0,0,1,0.7,0,0.6,1.3,55512.594485758375,8761.061227536109
170579532002046,0,0,0,0,2,1.4,0,1.2,2.6,40895.98812449677,2151.750667177102
170579538002022,1,0,0,1,11,11.2,1.2,8,20.4,22977.811875700852,3938.260426534077
170579532003005,0,0,0,0,15,10.5,0,9,19.5,40002.38586834508,2124.4053958879417
170579530002073,0,0,0,0,1,0.7,0,0.6,1.3,4318.91262342744,41.11220713911063
170579530002031,0,0,0,0,3,2.1,0,1.8,3.9,1753.3625528969565,2.9986434474167583
170579530002086,0,0,0,0,1,0.7,0,0.6,1.3,1689.1257153100266,0.9992458020799436
170579538003013,0,0,0,0,5,3.5,0,3,6.5,35872.281648819226,5426.4984500912815
170579530002010,0,0,0,0,3,2.1,0,1.8,3.9,2126.413285440255,3.0032521311941798
170579536001035,0,0,0,0,7,4.9,0,4.2,9.1,56287.21563439955,11121.448390273279
170579532004057,0,0,0,0,3,2.1,0,1.8,3.9,12381.366185161129,3.002769560022903
170579533001013,0,0,0,0,98,68.6,0,58.8,127.4,55748.96268183583,5505.798903611703
170579529001007,0,0,0,0,4,2.8,0,2.4,5.2,12935.917177403626,5.118691413197938
170579530002137,0,0,0,0,2,1.4,0,1.2,2.6,4529.130936807105,42.198475679331125
170579536001006,0,0,0,0,23,16.1,0,13.8,29.9,55939.77415496706,9731.601883970476
170579536005008,0,0,0,0,10,7,0,6,13,57885.73324615554,18175.4210394632
170579534003001,1,0,0,1,15,14,1.2,10.4,25.6,58145.55460638074,18342.421153375377
170579539002051,0,0,0,0,1,0.7,0,0.6,1.3,4517.449384741126,668.2843882405897
170579529001084,0,0,0,0,4,2.8,0,2.4,5.2,9327.179080304955,7.682498989348719
170579532003025,0,0,0,0,6,4.2,0,3.6,7.8,39177.04130537673,2156.781445829195
170579539001052,0,0,0,0,12,8.4,0,7.2,15.6,8795.763536840495,1766.0462701195302
170579536004019,0,0,0,0,22,15.4,0,13.2,28.6,55225.797653305766,9253.721737200112
