id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
170770103003086,0,0,0,0,2,1.4,0,1.2,2.6,15473.888730943669,132.7908637057266
170770103003106,0,0,0,0,5,3.5,0,3,6.5,18420.274082327698,576.4770004338508
170770109002015,12,0,1,11,28,66.5,14.4,36.9,117.8,179292.29419711742,10708.075574762057
170770110024008,0,0,0,0,15,10.5,0,9,19.5,180025.1580261454,56015.85322004531
170770103003141,0,0,0,0,10,7,0,6,13,15418.362716918304,529.5840448390451
170770108005023,0,0,0,0,8,5.6,0,4.8,10.4,179922.43840382172,45360.93278006108
170770117012003,0,0,0,0,5,3.5,0,3,6.5,177932.7912631144,783.0438702049075
170770102003154,0,0,0,0,9,6.3,0,5.4,11.7,179143.16319989046,1543.322809223223
170770108001051,0,0,0,0,1,0.7,0,0.6,1.3,179358.00731349285,338.77300532359163
170770103003085,0,0,0,0,5,3.5,0,3,6.5,14712.129406834496,103.21174296718404
170770110021004,1,0,0,1,8,9.1,1.2,6.2,16.5,179202.14766297876,10607.757098676155
170770102001026,0,0,0,0,3,2.1,0,1.8,3.9,121473.81671111852,220.13124935322455
170770106022008,0,0,0,0,22,15.4,0,13.2,28.6,178943.90383499218,8940.74257533571
170770103002184,0,0,0,0,4,2.8,0,2.4,5.2,18777.600897546632,6.835900316655061
170770106011035,0,0,0,0,4,2.8,0,2.4,5.2,162844.62227208007,60.04737156281397
170770106024024,0,0,0,0,7,4.9,0,4.2,9.1,177434.86669537757,4538.6495849291705
170770101002031,0,0,0,0,2,1.4,0,1.2,2.6,3846.328929019802,63.62013710055757
170770110022013,0,0,0,0,28,19.6,0,16.8,36.4,179497.1110927294,17056.247131943506
170770103002000,0,0,0,0,7,4.9,0,4.2,9.1,2784.3955932614335,9.050335886278392
170770108001039,0,0,0,0,24,16.8,0,14.4,31.2,179068.5410980734,226.52020382486933
170770103002186,0,0,0,0,1,0.7,0,0.6,1.3,28782.218507887912,6.869946522162642
170770102002043,0,0,0,0,3,2.1,0,1.8,3.9,159436.31750845714,688.8810922039294
170770107002030,3,0,3,0,16,36.4,3.6,23.7,63.7,180395.9405325406,15919.028348637667
170770107002032,93,0,0,93,5,329,111.6,133.2,573.8,180550.4798277476,15364.177325416222
170770117012026,0,0,0,0,18,12.6,0,10.8,23.4,165190.1242583931,682.4207005758022
170770114001002,0,0,0,0,115,80.5,0,69,149.5,179208.91066497707,7175.019761049218
170770108004033,0,0,0,0,7,4.9,0,4.2,9.1,179839.8042040496,26370.085784742456
170770102002052,0,0,0,0,7,4.9,0,4.2,9.1,157953.25489395432,743.7311259521689
170770108004005,0,0,0,0,2,1.4,0,1.2,2.6,179440.36846623712,2242.914231443894
170770104001051,0,0,0,0,2,1.4,0,1.2,2.6,162901.62384189005,16.693159007239792
170770101002083,0,0,0,0,3,2.1,0,1.8,3.9,10300.045587375778,7.477983358703152
170770108003012,0,0,0,0,54,37.8,0,32.4,70.2,179994.85596799102,49347.27643519981
170770108002005,0,0,0,0,3,2.1,0,1.8,3.9,180119.85485369345,62263.29005307793
170770109003028,8,0,3,5,3,44.8,9.6,22.9,77.3,179922.18262641886,42701.34446376473
170770109003023,49,0,3,46,3,188.3,58.8,80.3,327.4,180247.9397720973,47345.14774598055
170770102002063,0,0,0,0,9,6.3,0,5.4,11.7,163245.6823408667,751.7054861572192
170770109003000,0,0,0,0,19,13.3,0,11.4,24.7,179509.03879853484,28666.520412688893
170770106023024,0,0,0,0,18,12.6,0,10.8,23.4,178254.68202920712,6258.640018363206
170770103003157,0,0,0,0,1,0.7,0,0.6,1.3,11744.545261902416,1.0082541271440506
170770102002121,0,0,0,0,5,3.5,0,3,6.5,154553.66245410213,32.2709937532422
170770101002016,0,0,0,0,2,1.4,0,1.2,2.6,23924.43200938036,708.9311513180459
170770102003165,5,0,5,0,3,44.1,6,25.3,75.4,179242.2769321623,1801.9551652746484
170770111002003,2,0,0,2,46,39.2,2.4,30.4,72,180092.0111593974,65288.813411626186
170770106021017,0,0,0,0,8,5.6,0,4.8,10.4,177863.09418980093,5027.591306374135
170770107003018,0,0,0,0,7,4.9,0,4.2,9.1,179065.63989563572,12406.066516261177
170770103003095,0,0,0,0,14,9.8,0,8.4,18.2,16961.114192636993,578.0294986873447
170770107003021,22,7,0,15,14,67.2,26.4,32.9,126.5,178780.0669486884,14207.513548129094
170770101001046,0,0,0,0,7,4.9,0,4.2,9.1,2342.597105102954,9.529294853208564
170770102003093,0,0,0,0,1,0.7,0,0.6,1.3,178272.94230051426,1824.1930065368938
170770110022005,0,0,0,0,34,23.8,0,20.4,44.2,179922.64583031827,18606.497718068273
170770104002014,0,0,0,0,2,1.4,0,1.2,2.6,176481.87828884542,1903.5755474304437
170770103002028,0,0,0,0,2,1.4,0,1.2,2.6,1014.1827658191181,1.9996921965449501
170770104003031,0,0,0,0,12,8.4,0,7.2,15.6,179136.25475697985,2531.3821828195682
170770110011060,0,0,0,0,5,3.5,0,3,6.5,177229.1914677819,464.0739443661081
170770108004001,65,45,7,13,38,162.4,78,96.4,336.8,179433.1677890671,1974.910687912381
170770109002035,0,0,0,0,1,0.7,0,0.6,1.3,179349.14841435236,28324.80392410337
170770106023014,0,0,0,0,13,9.1,0,7.8,16.9,179929.07266547234,15318.639336332057
170770109002027,0,0,0,0,24,16.8,0,14.4,31.2,179161.84527104985,20523.09302737825
170770104002001,0,0,0,0,1,0.7,0,0.6,1.3,169895.71936914208,93.30120865903787
170770106024036,0,0,0,0,12,8.4,0,7.2,15.6,177971.40759670662,5255.298189426096
170770108005011,0,0,0,0,23,16.1,0,13.8,29.9,179965.92413869262,48251.827550217866
170770108005001,0,0,0,0,21,14.7,0,12.6,27.3,179846.16587444517,34783.95909210599
170770101003098,0,0,0,0,7,4.9,0,4.2,9.1,119210.22246395159,28.82838665313678
170770110021009,1,0,0,1,10,10.5,1.2,7.4,19.1,178001.088058522,842.6628406338125
170770102003212,0,0,0,0,5,3.5,0,3,6.5,179144.0729203779,1772.2212318346617
170770107002043,0,0,0,0,17,11.9,0,10.2,22.1,180624.8142862889,14070.01325838845
170770106011045,0,0,0,0,15,10.5,0,9,19.5,174622.32710787375,158.24837781060475
170770102003175,0,0,0,0,11,7.7,0,6.6,14.3,178916.82971867142,1835.7405045148823
170770102003211,0,0,0,0,4,2.8,0,2.4,5.2,179445.28943211495,1803.4318065992813
170770110024006,5,0,0,5,7,22.4,6,11.2,39.6,180106.60065888206,61391.54069852042
170770103003014,0,0,0,0,11,7.7,0,6.6,14.3,41982.94527261624,13.99827057471192
170770107005047,50,0,50,0,12,428.4,60,242.2,730.6,179707.94635385353,2142.4256598440447
170770102002025,0,0,0,0,9,6.3,0,5.4,11.7,160913.62397150503,750.6678736223831
170770110023007,0,0,0,0,25,17.5,0,15,32.5,179761.01768473396,43115.67436911637
170770103003084,0,0,0,0,8,5.6,0,4.8,10.4,18735.051154229004,556.8947948209847
170770109003004,0,0,0,0,3,2.1,0,1.8,3.9,179698.2732484382,32343.600345232648
170770112002008,0,0,0,0,14,9.8,0,8.4,18.2,180055.02301522586,63315.24137320932
170770111002013,0,0,0,0,4,2.8,0,2.4,5.2,180035.91206632848,65332.66759766442
170770101002018,0,0,0,0,5,3.5,0,3,6.5,23495.87443583783,883.7009287943276
170770101002021,0,0,0,0,7,4.9,0,4.2,9.1,22844.27300773334,898.7358265997323
170770116002029,0,0,0,0,1,0.7,0,0.6,1.3,167774.77638266917,152.38887999429852
170770101002020,0,0,0,0,1,0.7,0,0.6,1.3,25204.801411091506,885.1719499068428
170770102003180,0,0,0,0,14,9.8,0,8.4,18.2,177888.54557332868,1802.6602644614422
170770111004007,0,0,0,0,249,174.3,0,149.4,323.7,179666.18032040275,57656.2190258093
170770111002012,0,0,0,0,15,10.5,0,9,19.5,180023.72919090063,66258.03062999113
170770110023014,1,0,0,1,30,24.5,1.2,19.4,45.1,179284.6514317213,37380.8686986312
170770117012005,0,0,0,0,2,1.4,0,1.2,2.6,177343.0624684261,186.0880474493337
170770101002036,0,0,0,0,3,2.1,0,1.8,3.9,22587.640299029474,890.3940888435061
170770108004007,0,0,0,0,3,2.1,0,1.8,3.9,179440.36846623712,2242.914231443894
170770104001115,0,0,0,0,1,0.7,0,0.6,1.3,161847.03208654938,26.92218655171289
170770107001008,0,0,0,0,11,7.7,0,6.6,14.3,179359.72047030093,14541.817438222053
170770103002005,0,0,0,0,2,1.4,0,1.2,2.6,2163.890039061755,6.141043624820121
170770104003040,0,0,0,0,9,6.3,0,5.4,11.7,178611.36834981345,3604.0219810552244
170770103003052,0,0,0,0,2,1.4,0,1.2,2.6,40771.48964456514,2.0032114251088284
170770102003158,0,0,0,0,3,2.1,0,1.8,3.9,179168.12432538185,1681.418097135226
170770111002018,0,0,0,0,33,23.1,0,19.8,42.9,180149.69535842037,65021.78610435283
170770108005025,0,0,0,0,8,5.6,0,4.8,10.4,179953.71241014806,47342.904736232435
170770111004001,21,4,0,17,3,64.4,25.2,27.6,117.2,179912.42932612117,62155.65451662387
170770103002094,0,0,0,0,1,0.7,0,0.6,1.3,3570.9608597260803,7.021924898746401
170770102003172,3,0,0,3,1,11.2,3.6,4.8,19.6,179436.58333640418,1797.6956816532895
170770116002013,0,0,0,0,5,3.5,0,3,6.5,169362.4151654492,306.1393295568439
170770117022054,0,0,0,0,116,81.2,0,69.6,150.8,178372.38820492802,276.9617843798444
170770106023016,0,0,0,0,1,0.7,0,0.6,1.3,178343.0426666376,9858.153378718687
170770107003011,0,0,0,0,7,4.9,0,4.2,9.1,178911.5498557476,13302.024392966709
170770108005013,0,0,0,0,9,6.3,0,5.4,11.7,179919.7677374486,42345.34971664097
170770110024012,0,0,0,0,32,22.4,0,19.2,41.6,179507.377113958,42449.484169040814
170770101002058,10,0,0,10,1,35.7,12,14.6,62.3,22640.729760346563,897.7981307190604
170770104001000,0,0,0,0,1,0.7,0,0.6,1.3,93822.39632605952,3.825581634940085
170770107005029,7,0,0,7,2,25.9,8.4,10.999999999999998,45.3,180843.33931308903,6313.469461530862
170770102002050,0,0,0,0,8,5.6,0,4.8,10.4,154228.09799106122,703.4531397940749
170770104001080,0,0,0,0,4,2.8,0,2.4,5.2,174422.56568781167,106.18815589837286
170770102003089,0,0,0,0,5,3.5,0,3,6.5,175953.26256998698,991.1700698741325
170770111001011,0,0,0,0,20,14,0,12,26,179847.33054041502,56486.95102981233
170770111002006,304,0,0,304,1,1064.7,364.8,426.2,1855.7,180256.73730807236,65774.58955128286
170770102003193,0,0,0,0,3,2.1,0,1.8,3.9,179094.7137236155,1724.1433595233245
170770102003171,0,0,0,0,1,0.7,0,0.6,1.3,179174.9228004018,1786.19290369939
170770110024007,9,0,0,9,51,67.2,10.8,43.2,121.2,179599.87984991225,48677.581652102665
170770101003092,0,0,0,0,2,1.4,0,1.2,2.6,127093.31219528691,31.266457263493805
170770106023004,14,0,0,14,10,56,16.8,25.6,98.4,180046.69094554748,15034.924825370834
170770111002016,0,0,0,0,3,2.1,0,1.8,3.9,180213.26108225432,64089.87335514327
170770112001044,0,0,0,0,12,8.4,0,7.2,15.6,177275.24716614562,4611.468129887634
170770110021006,0,0,0,0,1,0.7,0,0.6,1.3,179708.32516648492,11096.816275371755
170770104001096,5,0,0,5,22,32.9,6,20.2,59.1,175912.11495044729,761.4105444896812
170770116001045,0,0,0,0,9,6.3,0,5.4,11.7,138170.928792633,36.39491419819189
170770102003133,0,0,0,0,4,2.8,0,2.4,5.2,173736.18613602078,21.062925432275282
170770102002035,0,0,0,0,8,5.6,0,4.8,10.4,153120.45827396153,739.6845773730599
170770106022014,0,0,0,0,15,10.5,0,9,19.5,179683.02782000767,14974.646311765062
170770112001014,0,0,0,0,8,5.6,0,4.8,10.4,175664.2518948315,201.967796407525
170770101001017,0,0,0,0,3,2.1,0,1.8,3.9,6018.436032558259,516.741908270688
170770104002017,0,0,0,0,44,30.8,0,26.4,57.2,178633.6641659452,5791.87977159015
170770101003043,0,0,0,0,2,1.4,0,1.2,2.6,148206.80048207747,250.92225035860338
170770102002037,0,0,0,0,8,5.6,0,4.8,10.4,154102.90326465038,739.0705045065916
170770107002003,0,0,0,0,8,5.6,0,4.8,10.4,180593.6391115258,14725.830034942444
170770103003083,0,0,0,0,4,2.8,0,2.4,5.2,20433.97488954728,565.2596894232952
170770103003016,0,0,0,0,1,0.7,0,0.6,1.3,11944.120634272476,0.9988946661701515
170770102003177,0,0,0,0,3,2.1,0,1.8,3.9,178134.60258353353,1827.931899169074
170770107002009,31,7,0,24,5,92.4,37.2,40.1,169.7,180838.9224069231,14919.930336035246
170770106024017,0,0,0,0,11,7.7,0,6.6,14.3,179629.7566135898,12196.862958545094
170770102001047,0,0,0,0,2,1.4,0,1.2,2.6,110733.8598192311,127.96120238386428
170770112002033,0,0,0,0,4,2.8,0,2.4,5.2,179822.03639595964,54193.204713895844
170770110022020,0,0,0,0,11,7.7,0,6.6,14.3,179295.76433467944,36134.21138391016
170770102003105,0,0,0,0,6,4.2,0,3.6,7.8,178393.32088003654,1831.5771165895499
170770104003063,0,0,0,0,2,1.4,0,1.2,2.6,179896.9632166818,6480.755155950428
170770108005017,8,8,0,0,3,7.7,9.6,5.8,23.1,179936.88707868784,42089.53972125967
170770101002019,0,0,0,0,3,2.1,0,1.8,3.9,23934.444815627165,884.6845528447113
170770108005004,0,0,0,0,11,7.7,0,6.6,14.3,179943.31773290463,34593.14475736965
170770106022004,0,0,0,0,21,14.7,0,12.6,27.3,178917.297777549,10232.215100658785
170770107003013,0,0,0,0,2,1.4,0,1.2,2.6,179051.1021162223,13631.260145139699
170770112002024,0,0,0,0,54,37.8,0,32.4,70.2,179950.19886103965,60662.657309638475
170770109003009,0,0,0,0,28,19.6,0,16.8,36.4,179705.03710793305,34652.132953350054
170770103003075,0,0,0,0,2,1.4,0,1.2,2.6,4716.770622316125,11.481178803846483
170770109003029,0,0,0,0,6,4.2,0,3.6,7.8,180041.14837310903,43245.48731683784
170770108004029,0,0,0,0,6,4.2,0,3.6,7.8,179464.8555706311,20251.058831597034
170770101003048,0,0,0,0,5,3.5,0,3,6.5,136905.83221641893,257.5813449904865
170770117021018,0,0,0,0,1,0.7,0,0.6,1.3,178266.33631328755,1564.8522216996369
170770101002040,0,0,0,0,8,5.6,0,4.8,10.4,14502.224689890709,823.0277929932279
170770102002026,0,0,0,0,4,2.8,0,2.4,5.2,156854.3301006789,712.2928041005046
170770117022025,1,1,0,0,4,3.5,1.2,2.9,7.6,178013.57291854848,9428.239927075469
170770104003011,0,0,0,0,17,11.9,0,10.2,22.1,175292.07705162815,700.8357640046132
170770107005036,5,0,5,0,4,44.8,6,25.9,76.7,178341.05103233233,1089.111456134181
170770109003016,0,0,0,0,1,0.7,0,0.6,1.3,180064.49188052854,40954.23786552513
170770112002013,33,0,33,0,51,312.9,39.6,185.7,538.2,180012.8128995392,53550.8984145861
170770102003160,0,0,0,0,4,2.8,0,2.4,5.2,179161.76810581147,1739.7575729837004
170770112005004,37,0,28,9,1,267.4,44.4,144.8,456.6,177836.04084370658,20086.45338397999
170770104001097,0,0,0,0,7,4.9,0,4.2,9.1,176927.4149632689,249.6522532527091
170770112001043,0,0,0,0,17,11.9,0,10.2,22.1,177692.8600605106,5906.553511178208
170770111002005,22,0,4,18,8,102.2,26.4,48.8,177.4,180014.97239349704,65940.92309139554
170770102003029,0,0,0,0,3,2.1,0,1.8,3.9,169494.0893519964,9.630617328345913
170770103002198,0,0,0,0,5,3.5,0,3,6.5,74069.89938872839,82.09575201144966
170770103003079,0,0,0,0,3,2.1,0,1.8,3.9,13978.556222610674,466.4557667158008
170770111002001,64,26,8,30,12,198.8,76.8,99.8,375.4,180272.59188426405,63158.85046042771
170770106024005,0,0,0,0,3,2.1,0,1.8,3.9,180155.4652615776,15574.655015592436
170770107005033,24,24,0,0,1,17.5,28.8,12.6,58.9,179593.93038333798,2311.0083978679227
170770106024014,0,0,0,0,5,3.5,0,3,6.5,179979.7419819182,12897.831309016838
170770101003060,0,0,0,0,3,2.1,0,1.8,3.9,147547.19849288822,258.2227977458496
170770101002046,0,0,0,0,6,4.2,0,3.6,7.8,8701.213285762102,111.513512032814
170770102002039,0,0,0,0,9,6.3,0,5.4,11.7,155671.72590347053,751.8061382789704
170770101002077,0,0,0,0,10,7,0,6,13,18651.02231298453,822.9236304092275
170770103002086,0,0,0,0,3,2.1,0,1.8,3.9,17117.360353957476,3.0257509323242795
170770112002029,0,0,0,0,9,6.3,0,5.4,11.7,179968.9701867877,62369.393974417726
170770102003155,0,0,0,0,6,4.2,0,3.6,7.8,179163.29037551713,1598.7225412776115
170770117021002,0,0,0,0,8,5.6,0,4.8,10.4,179120.57191695584,1503.1662347798285
170770103003101,0,0,0,0,10,7,0,6,13,20978.281659221593,564.3705800148157
170770108001071,334,252,5,77,50,522.9,400.8,287.3,1211,178204.5008878608,2085.4334681417736
170770108001059,0,0,0,0,8,5.6,0,4.8,10.4,180309.17575546613,2571.0448026328854
170770111001012,0,0,0,0,40,28,0,24,52,179607.9486639316,59392.39905687738
170770108004027,0,0,0,0,11,7.7,0,6.6,14.3,179460.3635182459,16999.754331860295
170770110021051,0,0,0,0,1,0.7,0,0.6,1.3,175665.1004214413,49.800291107205695
170770102001034,0,0,0,0,7,4.9,0,4.2,9.1,126896.11531110812,220.95279931661008
170770102002049,0,0,0,0,6,4.2,0,3.6,7.8,154013.08400318926,701.8637041897125
170770112001024,0,0,0,0,11,7.7,0,6.6,14.3,177857.12072707686,11995.038561762858
170770117021009,0,0,0,0,7,4.9,0,4.2,9.1,177321.63337321332,1166.1932544638732
170770102003168,16,0,0,16,3,58.1,19.2,24.2,101.5,179181.08365143577,1760.693941671221
170770102003191,0,0,0,0,8,5.6,0,4.8,10.4,179015.74300646,1649.8589259372234
170770102003188,0,0,0,0,3,2.1,0,1.8,3.9,179121.53234837975,1731.2542500612722
170770112003014,1,0,0,1,9,9.8,1.2,6.8,17.8,179743.54441251748,43701.826455456496
170770106024016,0,0,0,0,6,4.2,0,3.6,7.8,178637.3878809175,7341.6536610851945
170770110011025,0,0,0,0,9,6.3,0,5.4,11.7,179708.25243362918,8830.166394289916
170770103002101,0,0,0,0,2,1.4,0,1.2,2.6,2860.74815397198,2.12087175915866
170770104003059,0,0,0,0,14,9.8,0,8.4,18.2,178666.5015360997,4582.979249752057
170770102001025,0,0,0,0,9,6.3,0,5.4,11.7,112667.93976599058,217.41921592971602
170770101003057,0,0,0,0,2,1.4,0,1.2,2.6,146395.70207889215,262.4356999876756
170770104001105,0,0,0,0,8,5.6,0,4.8,10.4,177588.5588622574,1517.0449949625665
170770107005013,0,0,0,0,7,4.9,0,4.2,9.1,180541.086776615,4214.459724320986
170770109002023,0,0,0,0,7,4.9,0,4.2,9.1,179384.34697314005,16290.763227121215
170770109001047,0,0,0,0,3,2.1,0,1.8,3.9,173904.14290195136,532.023751664339
170770106023011,0,0,0,0,32,22.4,0,19.2,41.6,179653.77108403825,15144.183040478936
170770111001008,0,0,0,0,18,12.6,0,10.8,23.4,179870.90545516266,60480.75821548749
170770110022011,0,0,0,0,25,17.5,0,15,32.5,179584.59016034627,18865.420347150626
170770102002055,0,0,0,0,12,8.4,0,7.2,15.6,155590.05871230518,732.6665347251568
170770114002010,5,0,0,5,3,19.6,6,8.8,34.4,177759.746736926,3472.2657124929465
170770110021028,0,0,0,0,20,14,0,12,26,179485.13169247916,11362.77834150854
170770110021024,0,0,0,0,47,32.9,0,28.2,61.1,178523.7737162336,3304.105338833256
170770102003140,0,0,0,0,3,2.1,0,1.8,3.9,177843.8450267067,294.8202351989279
170770107003008,0,0,0,0,8,5.6,0,4.8,10.4,179351.9088674017,13631.016089335533
170770102001024,0,0,0,0,4,2.8,0,2.4,5.2,111906.8974214824,205.6061705408328
170770114002027,2,0,0,2,34,30.8,2.4,23.2,56.4,177544.06487915086,547.8718844837675
170770117011000,0,0,0,0,10,7,0,6,13,179082.84497606097,1475.252634498535
170770107004019,0,0,0,0,17,11.9,0,10.2,22.1,180978.40146229893,14913.662900589574
170770102001037,0,0,0,0,2,1.4,0,1.2,2.6,125603.48057143623,226.11003245849412
