id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
391419566001027,0,0,0,0,4,2.8,0,2.4,5.2,187505.68824543493,1048.5178403100972
391419566001053,0,0,0,0,4,2.8,0,2.4,5.2,129571.8237816035,32.56314084615351
391419558011024,24,0,24,0,9,207.9,28.8,118.2,354.9,171991.3057981842,1744.1703065187926
391419558011023,12,0,0,12,21,56.7,14.4,29.4,100.5,175658.69453592898,1775.2827985285417
391419569004032,0,0,0,0,2,1.4,0,1.2,2.6,58826.2173154449,1846.9420595511256
391419566001079,0,0,0,0,5,3.5,0,3,6.5,74867.11759881058,6.092825388029571
391419557003033,0,0,0,0,2,1.4,0,1.2,2.6,157300.9399251084,69.2332497739726
391419560001005,0,0,0,0,31,21.7,0,18.6,40.3,198093.31395708586,11895.076545146749
391419565002009,23,23,0,0,23,32.2,27.6,25.3,85.1,197481.35223024237,24336.161066963745
391419567004006,0,0,0,0,5,3.5,0,3,6.5,29922.007810838626,10.848944127935038
391419565002012,0,0,0,0,14,9.8,0,8.4,18.2,198164.59541267977,22960.290583612106
391419565002014,0,0,0,0,23,16.1,0,13.8,29.9,197261.00529705395,18482.948255468815
391419566001063,0,0,0,0,4,2.8,0,2.4,5.2,194715.11175059318,985.0876372869758
391419559001008,0,0,0,0,7,4.9,0,4.2,9.1,169340.0032011339,77.50749855550762
391419567001032,0,0,0,0,8,5.6,0,4.8,10.4,189410.97677589144,255.2564311334021
391419557002065,5,5,0,0,22,18.9,6,15.7,40.6,4541.826417516993,40.68436368949598
391419558021021,0,0,0,0,8,5.6,0,4.8,10.4,188690.6741203366,453.63296351661063
391419555005005,0,0,0,0,6,4.2,0,3.6,7.8,165080.57312759515,1593.4633134545359
391419567002047,0,0,0,0,14,9.8,0,8.4,18.2,145964.59910669076,116.16676943369195
391419568003016,0,0,0,0,18,12.6,0,10.8,23.4,172484.30410361572,46.74418144024143
391419562001007,0,0,0,0,5,3.5,0,3,6.5,196133.0217603378,8941.11073631106
391419559001014,0,0,0,0,62,43.4,0,37.2,80.6,177873.00539193844,86.67270206101524
391419567002035,0,0,0,0,1,0.7,0,0.6,1.3,187886.48305697102,76.24427153206103
391419555002023,0,0,0,0,15,10.5,0,9,19.5,187738.2007781613,47.28920970120377
391419558013003,0,0,0,0,7,4.9,0,4.2,9.1,75439.35305263104,9.131127805870483
391419569003030,3,3,0,0,5,5.6,3.6,4.5,13.7,11206.03202983034,13.15018500420253
391419556033031,0,0,0,0,31,21.7,0,18.6,40.3,191772.7184691243,1135.7296238625368
391419557003034,10,0,10,0,12,92.4,12,54.2,158.6,131507.40339907169,252.73274059822697
391419555004034,0,0,0,0,11,7.7,0,6.6,14.3,10190.822300482145,294.1218506470599
391419567003004,0,0,0,0,14,9.8,0,8.4,18.2,126694.8174502743,73.60410265518824
391419558022029,1,0,0,1,28,23.1,1.2,18.2,42.5,152041.9719750033,44.839527755956986
391419560001009,0,0,0,0,26,18.2,0,15.6,33.8,198204.52182918036,12962.690287523847
391419561002016,0,0,0,0,7,4.9,0,4.2,9.1,198519.34225272742,16610.80776303011
391419567003064,0,0,0,0,9,6.3,0,5.4,11.7,177446.61842069394,246.67834258188927
391419556032012,0,0,0,0,3,2.1,0,1.8,3.9,90702.64517627271,5.789001418741516
391419555004046,0,0,0,0,10,7,0,6,13,19512.041843723462,23.202401092832027
391419560003011,0,0,0,0,18,12.6,0,10.8,23.4,197143.49219847072,4756.227717025044
391419557001009,0,0,0,0,11,7.7,0,6.6,14.3,39859.368735244636,18.71611089510843
