id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
390351762001004,0,0,0,0,39,27.3,0,23.4,50.7,3487305.6979073216,2154.506967303428
390351381092011,0,0,0,0,38,26.6,0,22.8,49.4,4621988.717372347,16971.160012068965
390351189002015,6,0,0,6,13,30.1,7.2,16.2,53.5,4826943.443244293,281394.41599821363
391034173002015,13,13,0,0,29,29.4,15.6,23.9,68.9,368422.5192828158,8998.196515034188
391034171001014,37,0,0,37,19,142.8,44.4,63.2,250.4,401094.6289697322,13498.038432066716
391034171001016,0,0,0,0,24,16.8,0,14.4,31.2,399767.0414855356,13187.224429358757
391034170023000,0,0,0,0,31,21.7,0,18.6,40.3,351250.18472303933,63.00756996768142
391034171002025,0,0,0,0,5,3.5,0,3,6.5,416667.5896742197,2520.4987029577665
390351711031010,0,0,0,0,39,27.3,0,23.4,50.7,4868795.176487833,7736.033719694901
391034090012012,3,3,0,0,11,9.8,3.6,8.1,21.5,189701.70895830836,22.630157189375097
391034172001001,0,0,0,0,11,7.7,0,6.6,14.3,227028.93492044232,354.9526419026416
391034130002030,0,0,0,0,2,1.4,0,1.2,2.6,228000.2466309138,130.71481642057267
391034083052005,8,6,0,2,116,92.4,9.6,75.4,177.4,918934.8875193846,441.79912447831003
391034130003019,56,14,0,42,52,193.2,67.2,97,357.4,509032.5466374705,1568.627920686664
391034020003005,15,1,0,14,31,71.4,18,38.7,128.1,517468.3273114018,1462.8295827068982
391034120003019,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,384376.24153448147,23.34345256486493
391034090022016,0,0,0,0,7,4.9,0,4.2,9.1,308936.3221369711,339.3016972812464
390351712041000,56,4,10,42,112,312.2,67.2,175,554.4,4699783.361057076,13989.067621235718
391034161002020,0,0,0,0,3,2.1,0,1.8,3.9,1865678.516763941,628.3855149715381
391034083012019,17,6,0,11,110,119.7,20.4,84.4,224.5,1118532.0883514353,533.6347211533646
391034154002000,0,0,0,0,23,16.1,0,13.8,29.9,1461667.4303388658,3285.062863179006
391034110023008,8,0,0,8,9,34.3,9.6,16.6,60.5,392157.20693643874,5363.342948136687
391034171003017,71,0,0,71,32,270.9,85.2,118.6,474.7,370449.8479048343,11349.674637522718
391034154001008,0,0,0,0,58,40.6,0,34.8,75.4,1407443.6753370122,2695.3038848684255
391034170021002,0,0,0,0,19,13.3,0,11.4,24.7,454460.96816375986,15464.630784580046
391034090023039,0,0,0,0,7,4.9,0,4.2,9.1,374577.22592996777,1335.4267022909075
390351048002001,60,0,0,60,60,252,72,120,444,5182164.077482799,68559.24860134552
391034161003012,85,12,46,27,93,554.4,102,315.8,972.2,1258515.892965553,4352.902374072804
391034120003056,32,6,10,16,23,160.3,38.4,86.2,284.9,467860.2072697823,309.31119781424695
390351861074005,4,1,1,2,49,50.4,4.8,37.4,92.6,3176222.6825762293,3983.239830135049
390351361013004,17,14,0,3,38,46.9,20.4,34,101.3,3027009.5963183087,126.99716195390678
390351551012016,10,10,0,0,64,51.8,12,43.4,107.2,3001985.1881609536,4751.989589217693
390351771032010,0,0,0,0,63,44.1,0,37.8,81.9,4729472.089377139,14207.583602643923
390351978001011,115,0,2,113,32,434.7,138,186.8,759.5,5240205.436017628,31837.39277741293
390351196001002,4,0,4,0,36,58.8,4.8,40.4,104,4846905.133108775,25652.901327137875
391034130002015,0,0,0,0,4,2.8,0,2.4,5.2,267408.2685333089,164.22993348910703
391034130002008,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,362717.11869064596,147.8085345425875
390351012011005,245,223,8,14,105,345.8,294,231.7,871.5,4670322.322317735,27390.254749572516
390351197021004,0,0,0,0,34,23.8,0,20.4,44.2,4640671.958070737,27257.81938403339
390351243004002,2,0,0,2,37,32.9,2.4,25,60.3,5050929.960820292,12786.371797526675
390351891084002,2,1,0,1,38,30.8,2.4,24.7,57.9,3262027.712782827,10863.974269913784
391034130001021,19,0,0,19,62,109.9,22.8,63.8,196.5,472582.52140800504,2100.2507187255587
390351861052003,15,9,5,1,249,226.1,18,178.8,422.9,3104191.256484014,2465.8861265995497
390351773031001,243,123,51,69,59,797.3,291.6,433.2,1522.1,5372064.049013777,21063.05959438478
390351204003013,0,0,0,0,20,14,0,12,26,4727280.1428105105,13394.898120917
390070013041074,0,0,0,0,5,3.5,0,3,6.5,10835.530073402413,293.7992402244382
390070006012012,1,0,0,1,3,5.6,1.2,3.2,10,177955.89167211027,6804.549862516875
391034001001006,6,0,0,6,2,22.4,7.2,9.6,39.2,1690121.2175016634,268.4904414276739
390351821031008,0,0,0,0,23,16.1,0,13.8,29.9,4851935.018592351,56202.29891314137
390351323021003,8,0,0,8,7,32.9,9.6,15.4,57.9,3727122.0762465345,10385.523737797928
390351851032000,0,0,0,0,38,26.6,0,22.8,49.4,3667598.70605475,21965.143182543776
390351781021004,147,0,0,147,239,681.8,176.4,349.2,1207.4,4371957.620990922,17458.116556451416
390351148002005,0,0,0,0,1,0.7,0,0.6,1.3,5160027.749010036,10711.815876006485
390351342053006,1,0,0,1,36,28.7,1.2,22.999999999999996,52.9,3519548.429302948,5617.856699502378
390351731061013,0,0,0,0,41,28.7,0,24.6,53.3,3888420.21337663,5386.790798748221
390351852031010,11,0,0,11,14,48.3,13.2,23.8,85.3,3848678.742597173,22513.145955620723
390351775011012,0,0,0,0,3,2.1,0,1.8,3.9,4586302.523487337,9432.007678969476
390351051002006,0,0,0,0,65,45.5,0,39,84.5,5178861.6309220595,19525.799562060958
390351371022017,0,0,0,0,36,25.2,0,21.6,46.8,4975488.432836194,13386.256979715761
390351977001006,0,0,0,0,15,10.5,0,9,19.5,5038596.7469781,50874.43992740472
390351518002003,0,0,0,0,52,36.4,0,31.2,67.6,4407246.284785629,17195.961412195145
390351812044002,3,0,0,3,22,25.9,3.6,17.4,46.9,4103213.6690094457,35616.2136553319
390351841032005,2,0,0,2,59,48.3,2.4,38.2,88.9,3704130.5987128075,10988.416451443418
390351751081000,283,24,0,259,986,1613.5,339.6,966.2,2919.3,3168512.5945803914,4796.917167273023
390351776072007,1,1,0,0,21,15.4,1.2,13.1,29.7,3347941.7043493437,1874.022843602841
391034020004006,4,4,0,0,30,23.8,4.8,20,48.6,873455.8385558574,207.94992699011237
390351741072011,7,7,0,0,262,188.3,8.4,160.7,357.4,4235040.056356908,9705.036511002427
390351409001003,33,24,2,7,27,77,39.6,47.4,164,4084149.6733356686,31995.427305381327
390351891071006,40,10,11,19,78,220.5,48,130.1,398.6,3456639.494894489,5905.303461405177
390351711044006,0,0,0,0,15,10.5,0,9,19.5,4960637.991260219,27189.173273428973
390351218002009,3,0,3,0,40,53.2,3.6,38.1,94.9,4390535.953410917,18178.02565592806
390351993002006,33,0,33,0,1,277.9,39.6,155.7,473.2,4326894.926258711,15567.390731086325
390351403022011,0,0,0,0,6,4.2,0,3.6,7.8,4105409.9436374935,23266.97926184885
390351525022001,0,0,0,0,32,22.4,0,19.2,41.6,4362888.339642295,16564.79930662498
390351214032018,0,0,0,0,34,23.8,0,20.4,44.2,4549035.12852384,11330.523431077228
390351722022006,20,4,0,16,6,63,24,28,115,3347388.1638441696,8522.657293201632
391034090023004,0,0,0,0,16,11.2,0,9.6,20.8,384048.6568224928,1356.334835866951
391034060002027,2,2,0,0,8,7,2.4,5.8,15.2,509765.43352695805,1300.3678257155514
