id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
391279662003013,0,0,0,0,10,7,0,6,13,48158.582288955855,10247.183309679727
391290216002050,0,0,0,0,17,11.9,0,10.2,22.1,17537.086282249602,23.142879049080946
391279662002006,0,0,0,0,2,1.4,0,1.2,2.6,43662.31516715612,1425.9409470343242
391279663012062,0,0,0,0,1,0.7,0,0.6,1.3,139238.52621139708,1687.872335502515
391290215002083,0,0,0,0,5,3.5,0,3,6.5,76219.80376235791,7.248369486692268
391290203101002,18,0,0,18,5,66.5,21.6,28.2,116.3,459508.48110534117,19582.400783244364
391290203101006,0,0,0,0,14,9.8,0,8.4,18.2,405472.39080385637,18403.013184256415
391290204002041,0,0,0,0,14,9.8,0,8.4,18.2,262889.714485216,6329.202871760206
391290214012026,0,0,0,0,13,9.1,0,7.8,16.9,1578225.9501166434,557.6072667427751
391179653001006,0,0,0,0,12,8.4,0,7.2,15.6,31902.77143727865,18.253168677246926
391179654021007,0,0,0,0,9,6.3,0,5.4,11.7,34920.69298232918,31.023112143332813
391290203102004,0,0,0,0,21,14.7,0,12.6,27.3,305223.96129314735,9024.623036734125
390450313002003,0,0,0,0,10,7,0,6,13,475742.0239923574,27383.916185277074
390450327011010,0,0,0,0,44,30.8,0,26.4,57.2,4059677.874756223,4101.968583042478
390450326022090,14,0,0,14,7,53.9,16.8,23.8,94.5,327394.1484377172,2310.958531538076
390450307002011,0,0,0,0,105,73.5,0,63,136.5,3319846.95699675,1963.2229476349257
390450325021025,0,0,0,0,6,4.2,0,3.6,7.8,264698.4810594051,192.56323644857653
390450325021017,0,0,0,0,27,18.9,0,16.2,35.1,346827.91203364555,165.0640540771634
390450322002033,22,0,9,13,6,125.3,26.4,64.1,215.8,607440.7473197349,44490.81239090283
390450313003026,0,0,0,0,5,3.5,0,3,6.5,537408.4762786803,32673.404538253617
390450320003004,0,0,0,0,9,6.3,0,5.4,11.7,786587.2272008535,42628.45630753729
390450309021005,0,0,0,0,2,1.4,0,1.2,2.6,1780048.9184584448,1165.9727634764135
390450309022006,0,0,0,0,19,13.3,0,11.4,24.7,603261.629563268,88.95982406219295
390450316001020,106,7,5,94,4,378.7,127.2,161,666.9,854879.6791961095,7731.848033174572
391179653001037,0,0,0,0,7,4.9,0,4.2,9.1,85918.69580484091,907.287883453854
390450314021001,19,1,0,18,131,155.4,22.8,104.3,282.5,342931.20800317207,2832.7522414648165
390450310003029,40,0,8,32,10,186.2,48,88.4,322.6,382788.4957191871,3390.004363763792
390970411004048,0,0,0,0,29,20.3,0,17.4,37.7,123897.96029812066,49.52035792481354
390970401021050,35,2,0,33,20,130.9,42,59.2,232.1,1527785.497817764,258.614107849142
390970401012027,0,0,0,0,6,4.2,0,3.6,7.8,2284800.3401376912,202.55943436440728
390970401012024,0,0,0,0,29,20.3,0,17.4,37.7,1626813.4209361302,197.82204052654185
391279658012011,0,0,0,0,1,0.7,0,0.6,1.3,100155.61592582839,15.187892321417493
390970402021041,0,0,0,0,1,0.7,0,0.6,1.3,1255989.5509963338,360.83575707978287
390450330002015,2,0,0,2,25,24.5,2.4,17.8,44.7,3657146.294124653,1953.0357560936043
390450313003023,49,0,0,49,7,176.4,58.8,72.8,308,527747.0713455183,19743.458921015826
390450308001032,0,0,0,0,7,4.9,0,4.2,9.1,1804291.3594174564,201.78620566712388
390450311002044,297,291,0,6,5,228.2,356.4,156.9,741.5,205782.18127016237,2400.772040588641
390450321001028,0,0,0,0,7,4.9,0,4.2,9.1,537847.8607022009,30928.600778750682
390450321001030,0,0,0,0,9,6.3,0,5.4,11.7,528943.518793225,31114.695336119563
390450322002030,0,0,0,0,7,4.9,0,4.2,9.1,586193.3896079954,40428.09295134725
390450309013037,1,0,0,1,8,9.1,1.2,6.2,16.5,549243.3495143799,79.31193954781745
390450310003038,0,0,0,0,9,6.3,0,5.4,11.7,309377.2832740104,790.1794643923927
390450311002021,0,0,0,0,3,2.1,0,1.8,3.9,228486.1149438554,997.2966213720855
391179652013010,0,0,0,0,3,2.1,0,1.8,3.9,62306.087860755644,1635.5028254044353
391179652011035,0,0,0,0,10,7,0,6,13,84294.87691566542,7615.404835316034
390450316003009,0,0,0,0,35,24.5,0,21,45.5,575677.5105269605,7885.966954087404
390450306022003,0,0,0,0,55,38.5,0,33,71.5,2260782.5367303677,154.68079891599066
390450301003029,8,0,0,8,7,32.9,9.6,15.4,57.9,1113416.0514410897,67.77663828805449
390450317005005,0,0,0,0,15,10.5,0,9,19.5,664436.8731723077,38375.62495526967
391290215002019,2,2,0,0,35,25.9,2.4,22,50.3,110089.3980837303,50.33158055390043
391290204002062,0,0,0,0,24,16.8,0,14.4,31.2,214878.04038265417,4644.880898468808
391290212022001,0,0,0,0,9,6.3,0,5.4,11.7,2542026.4062835798,1805.6125747821163
391279658023025,0,0,0,0,8,5.6,0,4.8,10.4,226401.2387352665,36.98141763131453
390450321001033,0,0,0,0,10,7,0,6,13,510805.78821871703,31144.52423675261
390450326022041,2,2,0,0,1,2.1,2.4,1.6,6.1,112458.05124330288,12.48992925311226
390450309023029,0,0,0,0,2,1.4,0,1.2,2.6,507754.56568753085,118.69510514399948
390450327032002,0,0,0,0,24,16.8,0,14.4,31.2,4407288.244606146,9657.553541886551
390450310002032,0,0,0,0,11,7.7,0,6.6,14.3,372043.1364436172,1370.893661881276
