id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
180419546001009,0,0,0,0,14,9.8,0,8.4,18.2,47987.087281125634,268.89738538829806
180419544002017,0,0,0,0,1,0.7,0,0.6,1.3,48243.23222992702,14914.690273224694
180419544005025,0,0,0,0,9,6.3,0,5.4,11.7,48245.26131904878,17488.452765372254
180419541004016,0,0,0,0,5,3.5,0,3,6.5,48155.776821150685,11682.914028388026
180419541004006,0,0,0,0,12,8.4,0,7.2,15.6,48150.032546274495,11937.601088926645
180419540002023,0,0,0,0,10,7,0,6,13,46986.76912193782,128.84798362869708
180419540002014,0,0,0,0,9,6.3,0,5.4,11.7,48088.81103980822,566.8796862238439
180419544005005,0,0,0,0,15,10.5,0,9,19.5,48298.59427020972,16734.7808987539
180419543002008,0,0,0,0,16,11.2,0,9.6,20.8,48189.61543303583,14738.697283212412
180419542002011,0,0,0,0,3,2.1,0,1.8,3.9,3806.8567169024063,3.028939056636825
180419542001017,0,0,0,0,14,9.8,0,8.4,18.2,46679.45342647528,124.34164895151355
180419541001040,0,0,0,0,6,4.2,0,3.6,7.8,47926.09417010992,5347.294323661243
180419544006005,0,0,0,0,52,36.4,0,31.2,67.6,48224.69209472393,6373.46777721125
180419542002044,0,0,0,0,1,0.7,0,0.6,1.3,7171.365002689208,11.08866401622462
180419545002000,50,0,21,29,4,280.7,60,141.7,482.4,48354.35501969972,12999.933313385745
180419543002027,0,0,0,0,8,5.6,0,4.8,10.4,48205.77006539353,16035.094548010286
180419544004050,0,0,0,0,2,1.4,0,1.2,2.6,48494.286429768246,18202.09494027377
180419546001021,0,0,0,0,1,0.7,0,0.6,1.3,42594.452617575844,1.1440345510032779
180419540002038,0,0,0,0,13,9.1,0,7.8,16.9,40978.89753700232,18.619268508633187
180419545001016,2,2,0,0,1,2.1,2.4,1.6,6.1,48227.42410940543,1221.59974734683
180419544001033,0,0,0,0,17,11.9,0,10.2,22.1,48263.60628895293,17183.54531589888
180419543002021,0,0,0,0,7,4.9,0,4.2,9.1,48202.44343259306,15198.017742638642
180419544004052,1,0,0,1,33,26.6,1.2,21.2,49,48442.5932025764,17177.81970941086
180419545002011,0,0,0,0,10,7,0,6,13,48444.49821415292,16259.077071713999
180419544006023,0,0,0,0,7,4.9,0,4.2,9.1,48294.07847191923,9656.61543682309
180419542003019,0,0,0,0,11,7.7,0,6.6,14.3,48220.38069327158,1022.8729622043043
180419542001029,0,0,0,0,4,2.8,0,2.4,5.2,47243.58869560804,274.6143010896774
180419544004020,7,0,0,7,15,35,8.4,18.8,62.2,48391.16118156429,17748.0515379913
180419544005008,20,0,0,20,4,72.8,24,30.4,127.2,48407.414344801335,20513.690716244222
180419546001032,0,0,0,0,3,2.1,0,1.8,3.9,41141.31957870319,11.898964243327068
180419540002041,0,0,0,0,2,1.4,0,1.2,2.6,46885.9113740103,20.072996294098274
180419544003012,0,0,0,0,63,44.1,0,37.8,81.9,48199.88377453882,7985.118206204023
