id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
361019620002021,0,0,0,0,3,2.1,0,1.8,3.9,26653.866297658722,6.7306630108031085
361019622001007,0,0,0,0,4,2.8,0,2.4,5.2,147496.62777367217,39.45812245424403
361019602001031,0,0,0,0,2,1.4,0,1.2,2.6,50369.97139906977,1419.2225534356376
361019603001031,0,0,0,0,6,4.2,0,3.6,7.8,13918.273053404031,7.187642782274867
361019603002013,0,0,0,0,2,1.4,0,1.2,2.6,20008.151368953662,10.522995456996615
361019630004029,0,0,0,0,5,3.5,0,3,6.5,79888.1701489091,9.075814012196771
361019620005025,0,0,0,0,5,3.5,0,3,6.5,14000.869965025422,20.91358082180753
361019603002040,0,0,0,0,9,6.3,0,5.4,11.7,41363.220218506984,15.913590595696887
361019602004046,0,0,0,0,5,3.5,0,3,6.5,7722.485574013579,6.7894787621957775
361019623021026,0,0,0,0,3,2.1,0,1.8,3.9,183160.36466542058,26886.021794984918
361019613001026,0,0,0,0,3,2.1,0,1.8,3.9,192373.32979163574,415.39770159920124
361019601002005,0,0,0,0,12,8.4,0,7.2,15.6,7581.1221728534965,32.72806861328103
361019611004089,0,0,0,0,2,1.4,0,1.2,2.6,49946.162201852094,17.91580520754267
361019605001060,0,0,0,0,14,9.8,0,8.4,18.2,14143.86020434505,18.016121683578138
361019628003007,13,13,0,0,11,16.8,15.6,13.1,45.5,134162.5117791527,112.69215147378235
361019601002009,0,0,0,0,3,2.1,0,1.8,3.9,8977.373192023682,35.05171574701673
361019602002088,2,0,0,2,25,24.5,2.4,17.8,44.7,54352.15211120444,89.40972460405787
361019628001023,0,0,0,0,1,0.7,0,0.6,1.3,179170.05432022165,24703.70727673959
361019620003067,0,0,0,0,9,6.3,0,5.4,11.7,47096.620123512585,66.27244157120117
361019602003044,5,0,0,5,1,18.2,6,7.6,31.8,32960.089789036174,385.28805512966534
361019601002007,0,0,0,0,3,2.1,0,1.8,3.9,14368.20121193067,5.978879385274816
361019616002004,0,0,0,0,6,4.2,0,3.6,7.8,33781.95909930201,15.80046350657879
361019627003009,4,0,0,4,13,23.1,4.8,13.4,41.3,171632.05582454024,37661.87306485171
361019606001013,0,0,0,0,2,1.4,0,1.2,2.6,77029.15484892725,1746.0687655667455
361019630002040,0,0,0,0,5,3.5,0,3,6.5,82459.66205312416,36.15475253746096
361019610003075,0,0,0,0,1,0.7,0,0.6,1.3,82458.59225844847,16.85003545731452
361019621002011,0,0,0,0,1,0.7,0,0.6,1.3,129143.47803802155,18.098473343941325
361019602002029,0,0,0,0,10,7,0,6,13,28804.267554125458,19.256054049053233
361019619003041,0,0,0,0,12,8.4,0,7.2,15.6,59376.34612260112,5178.405265546501
361019611001021,0,0,0,0,29,20.3,0,17.4,37.7,45009.11636171054,44.97003846383669
361019624001034,0,0,0,0,18,12.6,0,10.8,23.4,176220.31329551814,58907.71041593964
361019610001016,0,0,0,0,7,4.9,0,4.2,9.1,61204.980571859756,579.4535574332206
361019623012019,0,0,0,0,13,9.1,0,7.8,16.9,156603.9430843225,719.2154620932102
361019613002033,0,0,0,0,4,2.8,0,2.4,5.2,116023.14320039815,27.541925538616184
361019629002011,14,14,0,0,8,15.4,16.8,11.8,44,140960.97537092303,312.2754241279346
361019611001025,3,3,0,0,1,2.8,3.6,2.1,8.5,156772.55834135486,573.130837919927
361019610002060,0,0,0,0,4,2.8,0,2.4,5.2,35864.656433640834,19.28334483771676
361019617003007,0,0,0,0,1,0.7,0,0.6,1.3,127707.83867647364,8.012028815268883
361019612001017,14,0,0,14,4,51.8,16.8,21.999999999999996,90.6,167142.66086909716,2069.1272241297106
361019602001047,0,0,0,0,2,1.4,0,1.2,2.6,25619.298015481883,10.278725227182271
361019602001046,0,0,0,0,2,1.4,0,1.2,2.6,50777.19978567302,9.475091843754893
361019604002017,0,0,0,0,12,8.4,0,7.2,15.6,54514.19003565674,5032.164530576295
361019613004015,0,0,0,0,21,14.7,0,12.6,27.3,193333.47658511432,1154.9082784905258
361019630003026,0,0,0,0,2,1.4,0,1.2,2.6,137344.20824940997,52.51743034342848
361019616001017,0,0,0,0,2,1.4,0,1.2,2.6,159588.29907294837,26.695721097207397
361019605003049,0,0,0,0,7,4.9,0,4.2,9.1,49535.68522521479,11.270035526107732
361019628001012,38,0,0,38,19,146.3,45.6,64.6,256.5,176778.94326066642,23078.419185921302
361019604002009,799,783,16,0,21,697.2,958.8,479.3,2135.3,35616.20881345944,3871.7308801193644
361019603002005,0,0,0,0,2,1.4,0,1.2,2.6,24878.66049777403,14.344991589712395
361019604004027,0,0,0,0,33,23.1,0,19.8,42.9,14989.188637800171,65.99896732487174
361019620002030,0,0,0,0,4,2.8,0,2.4,5.2,10947.85321678713,11.680806990801024
361019626001052,0,0,0,0,14,9.8,0,8.4,18.2,171170.1188112816,51932.88539809279
361019618002023,0,0,0,0,2,1.4,0,1.2,2.6,41895.02231719949,2.9848701718887862
361019619003016,0,0,0,0,16,11.2,0,9.6,20.8,56979.84441092679,2612.5395206245594
361019630003042,0,0,0,0,6,4.2,0,3.6,7.8,73085.07162070557,9.936600224849665
361019614001007,0,0,0,0,9,6.3,0,5.4,11.7,32750.060856990298,11.038724786627576
361019606001067,0,0,0,0,2,1.4,0,1.2,2.6,82372.7014192741,1477.3298315615182
361019620001013,0,0,0,0,6,4.2,0,3.6,7.8,50379.936192753696,28.56410448933354
361019620004018,2,2,0,0,3,3.5,2.4,2.8,8.7,1666.303414739413,8.076713756088585
361019602004013,0,0,0,0,4,2.8,0,2.4,5.2,17949.240081647786,8.179401111482537
361019603001093,25,3,0,22,18,91.7,30,43.1,164.8,59727.21814853576,1121.3148792266181
361019606001036,112,112,0,0,1,79.1,134.4,56.6,270.1,67699.75415119853,1764.8795668086082
361019604004041,0,0,0,0,19,13.3,0,11.4,24.7,66708.29243415422,57.14983935810311
361019605001001,0,0,0,0,3,2.1,0,1.8,3.9,31348.79549673167,4.729427521680647
361019618002060,0,0,0,0,2,1.4,0,1.2,2.6,21263.588058538062,10.176672669025802
361019609002026,0,0,0,0,24,16.8,0,14.4,31.2,78002.04452757518,28257.627336425005
361019623022014,429,422,0,7,134,413.7,514.8,301.2,1229.7,182847.09527843408,24523.287825382344
361019625001012,0,0,0,0,2,1.4,0,1.2,2.6,172176.84578063304,22408.34045041588
361019617001002,0,0,0,0,11,7.7,0,6.6,14.3,189458.58288222845,618.2846166378102
361019626002021,0,0,0,0,8,5.6,0,4.8,10.4,172887.02121784657,47704.391527152555
361019626002025,0,0,0,0,10,7,0,6,13,169984.0140497387,40143.48625495637
361019610003047,12,12,0,0,3,10.5,14.4,7.8,32.7,166633.53499577567,187.35241274991537
361019615001056,0,0,0,0,1,0.7,0,0.6,1.3,49525.0789337379,10.279652522354905
361019604004045,0,0,0,0,6,4.2,0,3.6,7.8,25408.615746314365,38.23619008806237
361019617003032,0,0,0,0,1,0.7,0,0.6,1.3,187926.1377646846,1713.4216075884387
361019614001041,0,0,0,0,9,6.3,0,5.4,11.7,45163.364253075495,49.73942642950597
361019613003079,0,0,0,0,2,1.4,0,1.2,2.6,137217.3626263021,26.299130501116366
361019623013001,0,0,0,0,14,9.8,0,8.4,18.2,172986.77730160017,6111.977728326776
361019605002006,0,0,0,0,6,4.2,0,3.6,7.8,47547.52838392761,118.48237803505681
361019605003044,0,0,0,0,3,2.1,0,1.8,3.9,60593.44345942823,13.320819630561596
361019630001007,0,0,0,0,24,16.8,0,14.4,31.2,112421.61296133735,52.14899311173693
361019630002010,0,0,0,0,28,19.6,0,16.8,36.4,91571.12098024676,52.53071554298923
361019613003003,1,0,0,1,17,15.4,1.2,11.6,28.2,186037.98061617502,456.8094826732946
361019621002009,0,0,0,0,2,1.4,0,1.2,2.6,62126.44403430602,15.153739299530354
361019615002054,0,0,0,0,15,10.5,0,9,19.5,24948.507514095774,52.53989617396381
361019609001003,0,0,0,0,23,16.1,0,13.8,29.9,71385.6184313656,20930.70948781161
361019611004018,0,0,0,0,9,6.3,0,5.4,11.7,66615.07827076751,11.148495291117541
361019608004017,6,0,0,6,19,34.3,7.2,19.8,61.3,73724.4701175603,20985.019940525628
361019618001057,0,0,0,0,7,4.9,0,4.2,9.1,141892.4204830203,69.97354699923298
