id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
390572003003005,0,0,0,0,38,26.6,0,22.8,49.4,1989620.808039018,13408.974578627127
390572004001006,0,0,0,0,4,2.8,0,2.4,5.2,2096156.6441590358,15250.209727982918
390572009012005,0,0,0,0,14,9.8,0,8.4,18.2,1842253.750280749,2265.488280086671
390572104012010,2,0,0,2,84,65.8,2.4,53.2,121.4,2100854.3716956833,8844.17968923168
390572601004049,0,0,0,0,3,2.1,0,1.8,3.9,68541.73800692898,22.988628538430774
390572550003027,0,0,0,0,4,2.8,0,2.4,5.2,1293319.9990103527,11281.372506484187
390572407002017,1,0,1,0,6,12.6,1.2,8.3,22.1,1504543.2185743325,10833.047938489899
390572601003007,0,0,0,0,14,9.8,0,8.4,18.2,113857.68076705452,19.581693092660394
390572001032000,86,0,28,58,424,735,103.2,467.2,1305.4,1998349.8820638086,10274.623295508107
390572104013008,0,0,0,0,57,39.9,0,34.2,74.1,2042448.9652499612,4031.8897756165957
390572003002012,0,0,0,0,17,11.9,0,10.2,22.1,1941620.0855938294,10607.74360426992
390572405004006,0,0,0,0,16,11.2,0,9.6,20.8,1079736.469454986,2916.574476659466
390572403021000,20,1,8,11,4,109.2,24,55.9,189.1,1618352.2680681567,25255.76322899082
390572402003011,0,0,0,0,6,4.2,0,3.6,7.8,1703272.4289641683,12644.70331833357
390572101022005,0,0,0,0,18,12.6,0,10.8,23.4,2025418.4870071427,11293.484025370135
390572550004004,91,0,0,91,23,334.6,109.2,141.2,585,875825.9156441747,6246.725548886674
390572403024022,0,0,0,0,16,11.2,0,9.6,20.8,1483868.4244723672,371.7473933176822
390572701002009,0,0,0,0,10,7,0,6,13,224944.36771261168,707.3721308393026
390572403033009,0,0,0,0,34,23.8,0,20.4,44.2,1757409.553860903,6911.778620876544
390572405001006,0,0,0,0,2,1.4,0,1.2,2.6,1024554.2965582596,1787.0313153139275
390572406001024,0,0,0,0,5,3.5,0,3,6.5,387686.65463817504,48.41003113343356
390572550002011,104,18,0,86,26,331.8,124.8,145,601.6,1498468.4682284119,8259.0517885372
391130807002019,136,129,5,2,19,152.6,163.2,102.2,417.99999999999994,2311551.0843355907,6973.466486883928
391130043001028,1,0,0,1,7,8.4,1.2,5.6,15.2,2199376.167940441,5245.8129526507255
391130903025028,0,0,0,0,1,0.7,0,0.6,1.3,2281401.6595216305,4140.090157025174
390572006003019,4,4,0,0,43,32.9,4.8,27.8,65.5,2149226.4517875235,14961.689717991221
390572106021002,0,0,0,0,32,22.4,0,19.2,41.6,1763316.5879170042,1764.8098587318577
390572003003008,0,0,0,0,25,17.5,0,15,32.5,2017210.220682724,14621.160957282951
390572406004011,0,0,0,0,2,1.4,0,1.2,2.6,1316865.744332594,8903.53420374296
391130903024002,0,0,0,0,12,8.4,0,7.2,15.6,2111066.565664199,1818.9488914228948
391130404051016,1,0,1,0,45,39.9,1.2,31.7,72.8,1853264.7441741547,5886.82921539346
391130505033020,0,0,0,0,7,4.9,0,4.2,9.1,1729398.6751749315,4433.435668295892
391130006002001,0,0,0,0,11,7.7,0,6.6,14.3,2296741.778345182,19251.07895850324
391130705003033,0,0,0,0,19,13.3,0,11.4,24.7,1747655.3890609536,4411.255579414582
