id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
390399587001008,69,0,0,69,8,247.1,82.8,101.4,431.3,91807.96555528545,20947.929396523945
390399585002043,0,0,0,0,7,4.9,0,4.2,9.1,91838.9581813821,25803.663090897106
390399582004078,0,0,0,0,24,16.8,0,14.4,31.2,13130.203787456729,32.12599052144257
390399582003031,3,3,0,0,2,3.5,3.6,2.7,9.8,25009.089459084447,11.317095713989405
390399581004059,0,0,0,0,12,8.4,0,7.2,15.6,89368.55630489254,73.24158156014992
390399586004005,0,0,0,0,1,0.7,0,0.6,1.3,90434.5036166601,1124.4574067020217
390399584004010,0,0,0,0,3,2.1,0,1.8,3.9,15468.283352511366,17.42720705825779
390399584003031,0,0,0,0,4,2.8,0,2.4,5.2,82498.42840518682,617.3089254787708
390399585001004,4,0,0,4,76,67.2,4.8,51.2,123.2,90619.51706639232,844.2153599893122
390399586003010,4,0,0,4,17,25.9,4.8,15.8,46.5,91393.53538607383,14904.254137623495
390399588001020,5,0,0,5,21,32.2,6,19.6,57.8,91276.42667838722,14987.709908808141
390399581001038,0,0,0,0,5,3.5,0,3,6.5,65471.159160317315,9.724857369741688
390399585002050,0,0,0,0,41,28.7,0,24.6,53.3,91462.39508404573,11633.23872598127
390399589002038,0,0,0,0,25,17.5,0,15,32.5,89956.66248100277,906.9657010250727
390399582004049,0,0,0,0,1,0.7,0,0.6,1.3,11163.67553346089,4.352369439225246
390399584004015,0,0,0,0,2,1.4,0,1.2,2.6,17343.463056979257,2.237414395224444
390399584002058,0,0,0,0,7,4.9,0,4.2,9.1,9817.765848043262,20.647398895650415
390399583004028,0,0,0,0,9,6.3,0,5.4,11.7,17056.735732725137,6498.069877280328
390399581003001,0,0,0,0,11,7.7,0,6.6,14.3,90054.7912190715,603.9332715917515
390399584002020,0,0,0,0,5,3.5,0,3,6.5,84085.41383941693,23.27855775123468
390399587001028,0,0,0,0,3,2.1,0,1.8,3.9,91289.6187497529,18360.656230274766
390399587001032,0,0,0,0,25,17.5,0,15,32.5,91418.39994538233,17179.33788774228
390399589003017,0,0,0,0,8,5.6,0,4.8,10.4,78987.90433545277,38.375798988309064
390399582004076,0,0,0,0,5,3.5,0,3,6.5,13816.20139947974,7.273674861337093
390399584004071,10,10,0,0,7,11.9,12,9.2,33.1,15535.202878844648,36.68976349056797
390399582004052,0,0,0,0,1,0.7,0,0.6,1.3,15797.905956805222,26.623266100748637
390399587001010,0,0,0,0,7,4.9,0,4.2,9.1,91574.2054917661,19478.96024940009
390399586002021,23,0,0,23,57,120.4,27.6,66.4,214.4,91299.46115651213,16543.647777708877
390399581004055,4,4,0,0,29,23.1,4.8,19.4,47.3,85398.25185741165,54.19325878555975
390399584004056,0,0,0,0,6,4.2,0,3.6,7.8,34048.85558067779,54.48748372490561
390399584001027,0,0,0,0,4,2.8,0,2.4,5.2,89732.84925091216,557.703013809739
390399582003012,0,0,0,0,2,1.4,0,1.2,2.6,22025.64237181095,14.314425929120796
