id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
360150002001001,0,0,0,0,6,4.2,0,3.6,7.8,251895.57954206667,13319.079408960713
360150009001004,22,4,18,0,20,168.00000000000003,26.4,98.6,293.00000000000006,251637.59946128566,50146.46118366243
360150109002002,0,0,0,0,4,2.8,0,2.4,5.2,247210.93653604403,4649.654150022077
360150108003011,0,0,0,0,22,15.4,0,13.2,28.6,251189.46220113442,12917.819997902026
360150106002019,0,0,0,0,36,25.2,0,21.6,46.8,251449.43081850678,12905.718403343404
360150110002004,0,0,0,0,6,4.2,0,3.6,7.8,155674.02164093612,42.76294312600443
360150102004012,0,0,0,0,7,4.9,0,4.2,9.1,237905.49115838436,68.8406959108914
360150102005008,0,0,0,0,1,0.7,0,0.6,1.3,185755.80633606104,5.770224333439735
360150102006039,0,0,0,0,1,0.7,0,0.6,1.3,213124.66478987716,25.32069851888194
360150107022016,0,0,0,0,8,5.6,0,4.8,10.4,240115.38233169416,313.1870051140149
360150109001008,0,0,0,0,28,19.6,0,16.8,36.4,248063.22813617392,20660.101886604873
360150111024017,0,0,0,0,17,11.9,0,10.2,22.1,243034.27992153092,3377.0095109327794
360150006003007,1,0,0,1,12,11.9,1.2,8.6,21.7,251897.72098505226,54099.1505966158
360150103011031,0,0,0,0,7,4.9,0,4.2,9.1,232427.99814452347,95.74995362139173
360150103012032,0,0,0,0,37,25.9,0,22.2,48.1,242856.37823568733,1402.7347406978106
360150107021018,0,0,0,0,21,14.7,0,12.6,27.3,226468.00595671436,451.7921268574343
360150001003005,0,0,0,0,2,1.4,0,1.2,2.6,251530.86985539342,36254.58629584928
360150009004001,0,0,0,0,34,23.8,0,20.4,44.2,248896.166514318,5475.867520798961
360150111023009,0,0,0,0,19,13.3,0,11.4,24.7,247613.69495035365,8054.892923316075
360150105003043,74,0,23,51,19,385,88.8,190.9,664.7,251621.83139010138,12758.604203446006
360150101002042,0,0,0,0,1,0.7,0,0.6,1.3,145650.11261428185,10.766048298273772
360150101001042,0,0,0,0,3,2.1,0,1.8,3.9,194279.35664048945,162.9983267187389
360150112005068,8,0,8,0,1,67.9,9.6,38.2,115.7,235925.67194869727,838.094240190893
360150101003019,0,0,0,0,5,3.5,0,3,6.5,64895.08742885002,19.679957907391035
360150111012015,0,0,0,0,6,4.2,0,3.6,7.8,247678.25954726702,4661.973934782844
360150101004017,0,0,0,0,5,3.5,0,3,6.5,24391.988091143146,810.8099931944324
360150112005071,0,0,0,0,11,7.7,0,6.6,14.3,234612.74552159215,405.76247550030587
360150103022024,0,0,0,0,6,4.2,0,3.6,7.8,245076.8589964149,559.5005781378553
360150010003009,0,0,0,0,22,15.4,0,13.2,28.6,249711.16615663553,26618.83002832854
360150011003004,16,8,0,8,20,47.6,19.2,27.2,94,247688.96916253964,14777.90068000675
360150109002010,2,0,0,2,16,18.2,2.4,12.4,33,248408.82599578734,7542.261257132848
360150005002022,0,0,0,0,39,27.3,0,23.4,50.7,250135.3430758424,24923.473585720476
360150109002021,0,0,0,0,23,16.1,0,13.8,29.9,246719.50962346242,4670.30556950836
360150106001028,0,0,0,0,5,3.5,0,3,6.5,249272.39629268646,5516.347562644392
360150007001008,0,0,0,0,23,16.1,0,13.8,29.9,251420.602839739,51579.82718224325
360150112001002,3,0,0,3,1,11.2,3.6,4.8,19.6,227439.54579285337,29.819671425591785
360150102002015,0,0,0,0,7,4.9,0,4.2,9.1,13490.637259839144,248.11382812250613
360150101004034,0,0,0,0,1,0.7,0,0.6,1.3,9316.072684472174,130.58076860866703
360150103011020,0,0,0,0,18,12.6,0,10.8,23.4,242797.9596387219,2173.0231899595965
360150004003017,4,0,3,1,27,47.6,4.8,31.7,84.1,250290.44877667303,31055.659441078937
360150111024005,0,0,0,0,27,18.9,0,16.2,35.1,241287.8556931182,2109.3778739128848
360150001003011,0,0,0,0,12,8.4,0,7.2,15.6,251028.52099697938,27780.45151754758
360150102003008,1,1,0,0,18,13.3,1.2,11.3,25.8,228804.8681306282,34.98658060208955
360150112004004,0,0,0,0,6,4.2,0,3.6,7.8,182156.46543353368,23.44320084753333
360150111023019,0,0,0,0,14,9.8,0,8.4,18.2,245577.99215554973,9144.91770521042
360150105002012,0,0,0,0,13,9.1,0,7.8,16.9,252024.1208950068,13020.195931437896
360150106001031,0,0,0,0,5,3.5,0,3,6.5,250453.41299226327,7877.57977407492
360150111022006,19,0,4,15,24,102.9,22.8,54.2,179.9,247945.88145095267,8257.1561025094
360150109001010,0,0,0,0,17,11.9,0,10.2,22.1,224606.51945508696,56.70508224243204
360150009001008,0,0,0,0,31,21.7,0,18.6,40.3,250493.87093980671,39332.757640516975
360150107023074,0,0,0,0,2,1.4,0,1.2,2.6,223982.13394443475,4.597809158150379
360150101003035,0,0,0,0,12,8.4,0,7.2,15.6,24201.792442792237,813.5322476166253
360150110003002,0,0,0,0,2,1.4,0,1.2,2.6,13043.361925963714,15.809820128673035
360150010003007,30,0,26,4,7,237.3,36,132,405.3,251148.78378194105,48109.43290613735
360150006001025,0,0,0,0,2,1.4,0,1.2,2.6,251446.23270099692,54042.60177861308
360150103023001,0,0,0,0,2,1.4,0,1.2,2.6,239760.0415931731,73.83448500549777
360150109004001,0,0,0,0,7,4.9,0,4.2,9.1,240987.19710959686,1251.8475237975076
360150106002028,0,0,0,0,2,1.4,0,1.2,2.6,251870.0860178454,13625.561648552373
360150110003038,0,0,0,0,1,0.7,0,0.6,1.3,29276.549319477155,39.412324605552676
360150001002005,123,8,0,115,13,417.2,147.6,172.8,737.6,250531.8038473512,21495.340030081206
360150004002000,19,0,0,19,34,90.3,22.8,47,160.1,249489.40081620976,19396.758159948506
360150112005054,0,0,0,0,9,6.3,0,5.4,11.7,241454.47301976135,825.1197804794904
360150109002028,0,0,0,0,15,10.5,0,9,19.5,249089.52001411063,8269.46290964113
360150103022023,2,1,0,1,26,22.4,2.4,17.5,42.3,243970.54151852342,534.3899396598756
360150109004024,0,0,0,0,16,11.2,0,9.6,20.8,247313.5886410071,2369.4359861567805
360150102003012,0,0,0,0,25,17.5,0,15,32.5,248657.22827552372,673.7764513724181
360150110003032,0,0,0,0,1,0.7,0,0.6,1.3,8314.100999652825,1.689760972326825
360150102001040,0,0,0,0,4,2.8,0,2.4,5.2,222788.4716267409,67.75644925717528
360150108002023,0,0,0,0,8,5.6,0,4.8,10.4,251522.90409456994,8998.243744993093
360150001002017,0,0,0,0,17,11.9,0,10.2,22.1,251266.17312456487,16365.35309909129
360150103012016,0,0,0,0,7,4.9,0,4.2,9.1,182025.36156202893,16.683483414285472
360150111024013,0,0,0,0,54,37.8,0,32.4,70.2,242020.16036358307,1653.0254695180547
360150112005070,0,0,0,0,27,18.9,0,16.2,35.1,233532.08273468897,406.07797856539196
360150109001026,0,0,0,0,36,25.2,0,21.6,46.8,247288.3277657084,2524.2563074681652
360150103013006,0,0,0,0,31,21.7,0,18.6,40.3,243018.49554817285,602.5703243081306
360150103012041,0,0,0,0,9,6.3,0,5.4,11.7,242044.6088198546,1939.2149364960317
360150006002025,0,0,0,0,7,4.9,0,4.2,9.1,250758.09293331386,45126.94877478578
360150112003009,0,0,0,0,5,3.5,0,3,6.5,207381.41468235265,8.317496021995005
360150011001001,0,0,0,0,30,21,0,18,39,249039.8124187038,11978.072483925234
360150002001014,0,0,0,0,19,13.3,0,11.4,24.7,251594.25389645324,23692.844242879968
360150109003001,0,0,0,0,94,65.8,0,56.4,122.2,249748.76563241964,4646.093846997107
360150108005006,0,0,0,0,4,2.8,0,2.4,5.2,251517.11764342096,10958.266485912975
360150101002015,0,0,0,0,10,7,0,6,13,225474.44529926882,249.06537828614714
360150001003013,0,0,0,0,15,10.5,0,9,19.5,251076.1281055413,35687.92180361474
360150002001003,0,0,0,0,16,11.2,0,9.6,20.8,251306.1803342668,15103.152776095081
360150004001008,0,0,0,0,10,7,0,6,13,250426.50682453037,31395.05709298496
360150011001000,0,0,0,0,11,7.7,0,6.6,14.3,248927.2019974925,12123.098071083838
360150010002017,6,6,0,0,26,22.4,7.2,18.6,48.2,249199.947677281,17971.40301392024
360150103023027,7,7,0,0,17,16.8,8.4,13.7,38.9,245092.1355674069,665.4629534770405
360150109002020,0,0,0,0,5,3.5,0,3,6.5,246537.51629935397,4119.096535854566
360150112005016,0,0,0,0,2,1.4,0,1.2,2.6,241595.35736747974,220.01260933980416
360150106001016,0,0,0,0,19,13.3,0,11.4,24.7,252052.49899859537,3988.6356724866832
360150110001029,0,0,0,0,7,4.9,0,4.2,9.1,212897.79536367935,30.362523566951413
360150102006050,0,0,0,0,29,20.3,0,17.4,37.7,242939.27715368714,170.55991807211336
360150103013017,0,0,0,0,5,3.5,0,3,6.5,245059.53625631038,2021.2868156731765
360150102005022,0,0,0,0,1,0.7,0,0.6,1.3,217306.52671924714,47.840103978821325
360150109001011,0,0,0,0,5,3.5,0,3,6.5,244758.22441522474,840.7745148892152
360150105002011,0,0,0,0,39,27.3,0,23.4,50.7,252367.51823117977,13043.316492924054
360150103011026,0,0,0,0,18,12.6,0,10.8,23.4,235939.0795348937,481.089654960642
360150103011035,0,0,0,0,8,5.6,0,4.8,10.4,241180.49405584906,982.7088319756839
360150104003008,0,0,0,0,31,21.7,0,18.6,40.3,251715.2325635917,7414.753706590409
360150104001009,0,0,0,0,60,42,0,36,78,251677.10562910218,7952.606434992348
360150104003001,0,0,0,0,24,16.8,0,14.4,31.2,250523.24869970302,9182.831053279308
360150007003048,307,7,4,296,6,1078.7,368.4,440.3,1887.4,251747.9224738467,59050.52119135066
360150109001020,0,0,0,0,18,12.6,0,10.8,23.4,244910.9597476316,1422.49093627058
360150104002020,0,0,0,0,24,16.8,0,14.4,31.2,250797.1293653081,3817.1422209330963
360150101001032,0,0,0,0,4,2.8,0,2.4,5.2,136570.98469586147,15.42515614347169
360150102006007,0,0,0,0,2,1.4,0,1.2,2.6,224970.09012825537,78.47594734749782
360150007001010,0,0,0,0,26,18.2,0,15.6,33.8,251672.72389254323,56748.78532071799
360150103013016,0,0,0,0,28,19.6,0,16.8,36.4,246753.51427727158,640.2338896884833
