id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420490107001026,1,1,0,0,17,12.6,1.2,10.7,24.5,780788.9085483274,31351.214496986868
420490026003003,0,0,0,0,32,22.4,0,19.2,41.6,760372.3363193643,36898.522800651284
420490109033025,1,0,1,0,3,10.5,1.2,6.5,18.2,751497.625676344,333.595263311768
420490107002017,4,0,0,4,8,19.6,4.8,10.4,34.8,779734.2920641477,21707.73512311987
420490016004017,0,0,0,0,14,9.8,0,8.4,18.2,727755.7270912931,12525.523876338599
420490115083014,4,2,0,2,51,44.1,4.8,34.4,83.3,726406.6327451109,2767.5397487310147
420490109031010,15,0,0,15,5,56,18,24,98,754247.9070962579,4150.534422749841
420490118021004,0,0,0,0,17,11.9,0,10.2,22.1,34104.957201154306,46.30705670832288
420490117011045,0,0,0,0,11,7.7,0,6.6,14.3,394400.15722095233,12040.492965491732
420490027001005,81,0,11,70,2,338.8,97.2,150.9,586.9,751446.719625805,9825.404851035511
420490009011015,7,0,0,7,21,39.2,8.4,22.4,70,777064.311093082,38300.30812161382
420490110011003,0,0,0,0,7,4.9,0,4.2,9.1,779769.8584255204,21578.001674306863
420490029001043,0,0,0,0,1,0.7,0,0.6,1.3,776128.1311193125,20513.3523833341
420490112013047,0,0,0,0,6,4.2,0,3.6,7.8,534464.7868829031,58.215921351711074
420490120022009,2,0,0,2,18,19.6,2.4,13.6,35.6,99242.07271912857,2961.053859711661
420490109043014,0,0,0,0,11,7.7,0,6.6,14.3,761452.9202963812,1887.3957015078872
420490109032009,0,0,0,0,29,20.3,0,17.4,37.7,763510.327986963,8853.30751796928
420490027004013,34,0,13,21,3,184.8,40.8,92.3,317.9,778116.9866191247,15574.74849835782
420490120024008,0,0,0,0,10,7,0,6,13,129561.8634029977,6021.497019692367
420490024002008,33,14,0,19,41,105,39.6,58.2,202.8,769760.3755710433,72917.35123723412
420490118021042,0,0,0,0,4,2.8,0,2.4,5.2,52575.86692021848,37.010673093914974
420490016002012,0,0,0,0,29,20.3,0,17.4,37.7,738501.7627681524,14097.953411188995
420490111011016,0,0,0,0,12,8.4,0,7.2,15.6,749539.9386899236,1450.9973361648072
420490103032068,0,0,0,0,5,3.5,0,3,6.5,519687.3214302462,19.878829426202078
420490102024006,1,0,0,1,5,7,1.2,4.4,12.6,625841.2509558495,2635.163349109265
420490120011031,0,0,0,0,3,2.1,0,1.8,3.9,50387.65692496173,11.732677431696317
420490115033006,0,0,0,0,24,16.8,0,14.4,31.2,659126.7903994928,2925.8531519514886
420490122012003,0,0,0,0,4,2.8,0,2.4,5.2,584186.7468359846,16.14573294010186
420490115092033,5,0,3,2,25,49.7,6,31.9,87.6,597198.5236926769,494.5096754253247
420490010002011,57,36,21,0,17,213.5,68.4,126.9,408.8,790467.0490438542,34055.035687145675
420490021001026,0,0,0,0,21,14.7,0,12.6,27.3,774684.6974850249,25636.406160221173
420490027006031,0,0,0,0,27,18.9,0,16.2,35.1,755844.4132288141,14829.665127025668
420490013002002,0,0,0,0,10,7,0,6,13,773030.7794193059,124071.58391327671
