id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
260490126032026,0,0,0,0,20,14,0,12,26,765037.8275884195,619.770758205541
260490121001001,0,0,0,0,15,10.5,0,9,19.5,691521.8187949694,54.270087583353586
260490037002021,0,0,0,0,10,7,0,6,13,1965019.481133098,30664.915558206863
260490112122006,0,0,0,0,23,16.1,0,13.8,29.9,1812221.7782585514,1819.4555778083723
260490105021011,0,0,0,0,12,8.4,0,7.2,15.6,1662643.6896690277,300.4646780159748
260490121001022,0,0,0,0,15,10.5,0,9,19.5,1485048.1842102415,96.34784683761595
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490101122017,6,0,0,6,1,21.7,7.2,8.999999999999998,37.9,1491953.5885563619,8563.06352399078
260490109104023,0,0,0,0,12,8.4,0,7.2,15.6,1972229.3858916222,48661.88551010378
260490016002004,0,0,0,0,10,7,0,6,13,1908374.1841985746,61218.877833835664
260490112131002,0,0,0,0,15,10.5,0,9,19.5,1670516.4324403433,2721.6099683049106
260490101162019,0,0,0,0,10,7,0,6,13,902454.8791249136,55.312232125433006
260490101173000,12,0,0,12,126,130.2,14.4,92.4,237,1097483.5893724444,1776.9257357937654
260490101173000,12,0,0,12,126,130.2,14.4,92.4,237,1097483.5893724444,1776.9257357937654
260490101173000,12,0,0,12,126,130.2,14.4,92.4,237,1097483.5893724444,1776.9257357937654
