id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
171770004001056,37,10,0,27,4,104.3,44.4,45.2,193.9,91975.76737151909,1703.04034498876
171770010001000,0,0,0,0,16,11.2,0,9.6,20.8,110843.81934344157,19871.584399910273
171770002002042,0,0,0,0,7,4.9,0,4.2,9.1,56701.783458182705,12.903252287287822
171770006003029,0,0,0,0,9,6.3,0,5.4,11.7,93613.79958478433,10.999391720534037
171770006001091,0,0,0,0,2,1.4,0,1.2,2.6,67210.29480892353,3.553944848897497
171770006001031,0,0,0,0,25,17.5,0,15,32.5,87498.71966763708,40.894174119909934
171770001002078,0,0,0,0,7,4.9,0,4.2,9.1,41251.455789230684,10.94546050117049
171770001004039,0,0,0,0,5,3.5,0,3,6.5,67267.36753611169,740.7577726590062
171770008003009,5,0,0,5,26,35.7,6,22.6,64.3,111725.276567308,25309.939831195945
171770011001000,3,0,0,3,52,46.9,3.6,35.4,85.9,111333.46164729056,28922.36812966834
171770013001001,0,0,0,0,3,2.1,0,1.8,3.9,110159.88909496856,14055.857635970866
171770001004050,0,0,0,0,19,13.3,0,11.4,24.7,67405.51140284644,692.812089645394
171770008001012,15,0,8,7,27,110.6,18,63.6,192.2,111713.61759918563,30248.204053547746
171770013003005,0,0,0,0,24,16.8,0,14.4,31.2,110131.68425810004,21216.807989094756
171770010004006,0,0,0,0,8,5.6,0,4.8,10.4,110255.76197126888,10557.139145124907
171770004001093,0,0,0,0,1,0.7,0,0.6,1.3,15661.923994589208,6.169138137315884
171770005002016,0,0,0,0,3,2.1,0,1.8,3.9,107686.6321729417,4.771885766864649
171770003002187,1,1,0,0,5,4.2,1.2,3.5,8.9,29576.26095988941,12.414926454679524
171770002003027,0,0,0,0,3,2.1,0,1.8,3.9,65144.1653082256,127.19932872040091
171770004001072,0,0,0,0,4,2.8,0,2.4,5.2,10448.514361476902,4.989256315465135
171770006003045,0,0,0,0,2,1.4,0,1.2,2.6,83946.56669892593,3.5329652537197056
171770001004062,0,0,0,0,15,10.5,0,9,19.5,63739.18486798376,691.4638938974441
171770005001030,0,0,0,0,25,17.5,0,15,32.5,108308.63625009806,138.82049347679276
171770012004013,0,0,0,0,22,15.4,0,13.2,28.6,110394.03085187777,31951.57860121812
171770002004018,0,0,0,0,1,0.7,0,0.6,1.3,85483.747829625,1.2792120332894694
171770004001010,0,0,0,0,1,0.7,0,0.6,1.3,110192.31631764655,134.55193870498402
171770011002017,0,0,0,0,28,19.6,0,16.8,36.4,110748.78328143744,23475.21693891793
171770002003031,0,0,0,0,1,0.7,0,0.6,1.3,37373.527597239314,26.83032650916049
171770004003037,5,5,0,0,9,9.8,6,7.9,23.7,9076.204728072807,23.219859132030678
171770006002021,0,0,0,0,1,0.7,0,0.6,1.3,57721.55707102554,1.2004113247293098
171770002002053,0,0,0,0,10,7,0,6,13,87708.47971376189,61.61002474578813
171770002003014,0,0,0,0,1,0.7,0,0.6,1.3,42317.59118340029,34.89327972031876
171770001002073,0,0,0,0,4,2.8,0,2.4,5.2,65114.18146337962,5.303353514975774
171770013001020,0,0,0,0,1,0.7,0,0.6,1.3,110888.38957950742,19072.760195749768
171770003002162,0,0,0,0,21,14.7,0,12.6,27.3,102771.25361731334,5104.208132007616
171770012004011,0,0,0,0,18,12.6,0,10.8,23.4,110859.92555160481,30248.127555710533
