id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
170950012001040,0,0,0,0,6,4.2,0,3.6,7.8,133269.10267095073,226.80394692172297
170950016002025,0,0,0,0,12,8.4,0,7.2,15.6,103736.29674454076,77.28604210389378
170950002004073,0,0,0,0,7,4.9,0,4.2,9.1,9736.932763433657,58.47714584822641
170950003003008,0,0,0,0,11,7.7,0,6.6,14.3,134388.72258753958,3103.1611829438302
170950002001041,0,0,0,0,6,4.2,0,3.6,7.8,106471.0409405805,7.186405043186438
170950004001042,4,0,0,4,1,14.7,4.8,6.2,25.7,135911.5144495988,3994.1723132441225
170950001001021,0,0,0,0,4,2.8,0,2.4,5.2,2974.311980358836,4.999154241871511
170950016002107,0,0,0,0,4,2.8,0,2.4,5.2,10262.435289083443,5.003887373979616
170950002001068,0,0,0,0,8,5.6,0,4.8,10.4,130972.93020619989,334.72344735240574
170950005002013,0,0,0,0,2,1.4,0,1.2,2.6,136286.95292539682,4770.037497632196
170950013001021,0,0,0,0,2,1.4,0,1.2,2.6,135311.1916775985,3699.544953984228
170950003005014,0,0,0,0,34,23.8,0,20.4,44.2,135651.85357954833,20592.26984745158
170950006004010,0,0,0,0,12,8.4,0,7.2,15.6,136355.41069642492,35312.89034168393
170950010001019,0,0,0,0,8,5.6,0,4.8,10.4,135861.75641494858,18691.64060173228
170950010004038,0,0,0,0,18,12.6,0,10.8,23.4,135512.18584217294,1159.8037023219308
170950001003066,0,0,0,0,1,0.7,0,0.6,1.3,3374.7889767221623,4.035520461709685
170950005002003,13,13,0,0,1,9.8,15.6,7.1,32.5,136376.19463465852,1471.3325951063339
170950002004061,0,0,0,0,1,0.7,0,0.6,1.3,5465.761167243099,4.463933878299976
170950002001019,0,0,0,0,13,9.1,0,7.8,16.9,121527.64674640214,33.81969187352828
170950001003078,0,0,0,0,1,0.7,0,0.6,1.3,43838.594648817285,1.973068990079542
170950011001032,29,11,6,12,6,104.3,34.8,54.1,193.2,135771.82670877315,14754.45088467268
170950016003029,0,0,0,0,4,2.8,0,2.4,5.2,4114.304128069694,761.6330914654587
170950002001034,0,0,0,0,1,0.7,0,0.6,1.3,130241.66651798236,19.711018225124235
170950014001090,0,0,0,0,2,1.4,0,1.2,2.6,73570.60562100614,4.138128152723447
170950015002008,0,0,0,0,3,2.1,0,1.8,3.9,110837.48626032758,3716.964754341803
170950016002033,0,0,0,0,5,3.5,0,3,6.5,120402.89730547837,86.34803325680062
170950016003011,0,0,0,0,4,2.8,0,2.4,5.2,4982.341823281817,550.5669503986513
170950010002008,0,0,0,0,11,7.7,0,6.6,14.3,136123.18348661106,35651.61796093849
170950009001037,0,0,0,0,7,4.9,0,4.2,9.1,136047.50025488346,21559.415557342192
170950014001023,0,0,0,0,4,2.8,0,2.4,5.2,131925.89726272583,9.889367673329458
170950002001065,0,0,0,0,2,1.4,0,1.2,2.6,130983.84192290285,324.6086317060138
170950010002012,5,0,0,5,23,33.6,6,20.8,60.4,135985.1686529733,34539.5442597927
170950001003134,0,0,0,0,1,0.7,0,0.6,1.3,69846.02179273321,1.2156064926450227
170950011002013,0,0,0,0,18,12.6,0,10.8,23.4,136337.70410258602,15286.211029484237
170950015003008,0,0,0,0,8,5.6,0,4.8,10.4,114348.65676629935,5714.890055373331
170950004003026,18,0,3,15,9,84,21.6,40.5,146.1,136133.71469358122,22396.811953376993
170950016002047,0,0,0,0,5,3.5,0,3,6.5,31778.010006381275,5.999808987815991
170950016001064,0,0,0,0,5,3.5,0,3,6.5,25056.614601509384,5.990246320400518
170950013002049,0,0,0,0,9,6.3,0,5.4,11.7,135833.2366402738,4862.293124463748
170950016002022,0,0,0,0,1,0.7,0,0.6,1.3,47948.34714800563,1.582691626645432
170950004004010,0,0,0,0,23,16.1,0,13.8,29.9,135809.1032599242,20650.225885325857
170950015001022,0,0,0,0,9,6.3,0,5.4,11.7,117028.52892470222,4986.144760267609
170950016004014,0,0,0,0,1,0.7,0,0.6,1.3,48243.133005590345,378.32924390425654
