id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
390539536003076,0,0,0,0,1,0.7,0,0.6,1.3,72046.20630582448,20.53650694503881
390539539013018,0,0,0,0,1,0.7,0,0.6,1.3,65430.78289263751,6.104298623640546
390539535001055,0,0,0,0,3,2.1,0,1.8,3.9,66484.04598089017,36.1590264322224
390539535004019,1,0,0,1,2,4.9,1.2,2.6,8.7,76655.01190645674,107.02307810425627
390539537001033,0,0,0,0,4,2.8,0,2.4,5.2,73251.44782240294,54.04405652330943
390539537002111,0,0,0,0,2,1.4,0,1.2,2.6,25694.13126969971,4.463457260756057
390539541002040,0,0,0,0,5,3.5,0,3,6.5,77681.72280104044,10414.10978869795
390539535002000,0,0,0,0,12,8.4,0,7.2,15.6,36172.12926886555,30.816167086380826
390539541001083,0,0,0,0,1,0.7,0,0.6,1.3,78252.99410752083,5991.264932909252
390539538004012,0,0,0,0,1,0.7,0,0.6,1.3,15975.983871785453,302.13752442063173
390539539022040,0,0,0,0,1,0.7,0,0.6,1.3,68942.07388599424,13.278719376772814
390539541002037,0,0,0,0,11,7.7,0,6.6,14.3,77342.8777364502,10279.428211772767
390539539022024,0,0,0,0,22,15.4,0,13.2,28.6,56399.88124926508,70.4200352808568
390539539022038,0,0,0,0,1,0.7,0,0.6,1.3,61252.46050821949,51.21129419289308
390539541001017,0,0,0,0,1,0.7,0,0.6,1.3,75238.60986958662,40.44122900382467
390539540001036,0,0,0,0,1,0.7,0,0.6,1.3,77108.96224916646,7276.573771527709
390539541001028,0,0,0,0,1,0.7,0,0.6,1.3,78850.19525426922,432.4909511680323
390539536003106,0,0,0,0,5,3.5,0,3,6.5,78041.48180388003,209.24560017621104
390539536002041,0,0,0,0,29,20.3,0,17.4,37.7,41048.68963091149,594.9717467333049
390539536002085,0,0,0,0,13,9.1,0,7.8,16.9,13437.958603074783,18.95823358761753
390539539021003,0,0,0,0,2,1.4,0,1.2,2.6,78878.69500950114,389.67922632410387
390539541001053,0,0,0,0,7,4.9,0,4.2,9.1,78233.73618323292,275.0308428148115
390539540002012,24,0,14,10,21,167.3,28.8,92.4,288.5,79703.03157928327,11786.46889445656
390539537001022,0,0,0,0,7,4.9,0,4.2,9.1,63524.791360359966,17.183248182536964
390539539022023,0,0,0,0,6,4.2,0,3.6,7.8,65771.72149448197,73.37505143886717
390539536001069,0,0,0,0,1,0.7,0,0.6,1.3,63929.271083285574,33.36846704795137
390539537002091,0,0,0,0,1,0.7,0,0.6,1.3,6079.922832180809,10.39834712837413
390539541001055,0,0,0,0,8,5.6,0,4.8,10.4,78072.00075313804,271.3927536724756
390539535003041,0,0,0,0,3,2.1,0,1.8,3.9,76135.0049653516,128.15685845290596
390539535001056,0,0,0,0,1,0.7,0,0.6,1.3,60498.05152856168,28.43027897323096
390539535004016,0,0,0,0,6,4.2,0,3.6,7.8,52613.454644454905,11.814076539603276
390539535001044,0,0,0,0,9,6.3,0,5.4,11.7,54995.61061515605,16.19269080818241
390539538002008,0,0,0,0,19,13.3,0,11.4,24.7,39141.27420570099,25.18621152732889
390539541002031,299,56,47,196,1,1120.7,358.8,523.9,2003.4,77093.1178859781,7481.850934625325
390539535001039,0,0,0,0,2,1.4,0,1.2,2.6,59048.920719933056,12.476467579471024
390539539022033,0,0,0,0,2,1.4,0,1.2,2.6,68399.0602397765,32.64352324531542
390539535001043,0,0,0,0,1,0.7,0,0.6,1.3,60462.40991547257,17.213650230280678
390539539012000,0,0,0,0,1,0.7,0,0.6,1.3,76101.78950169365,259.07476300785885
390539536003089,22,22,0,0,13,24.5,26.4,18.8,69.7,78449.47671929804,309.46312786331595
390539535005026,0,0,0,0,7,4.9,0,4.2,9.1,76074.93951244473,771.6661411712169
390539541002009,50,0,0,50,1,175.7,60,70.6,306.3,78190.5109955512,10909.52989370903
390539541001070,0,0,0,0,4,2.8,0,2.4,5.2,78037.99404385706,5862.338549507758
390539540003023,8,0,4,4,30,68.6,9.6,42.4,120.6,78770.69645004772,9919.129485821059
390539535005004,0,0,0,0,4,2.8,0,2.4,5.2,71713.18764856076,558.3686734860831
390539535004031,0,0,0,0,3,2.1,0,1.8,3.9,70686.18343982034,67.8951418371756
390539535002046,71,0,0,71,6,252.7,85.2,102.99999999999999,440.9,68919.50056782836,2315.2860597959434
390539535003002,0,0,0,0,9,6.3,0,5.4,11.7,75072.90834158787,126.17505517509525
390539541001026,0,0,0,0,5,3.5,0,3,6.5,79029.72560088862,368.4330946358991
390539540003015,188,0,0,188,20,672,225.6,275.2,1172.8,78596.15972068209,11447.093957322742
390539535005023,0,0,0,0,4,2.8,0,2.4,5.2,76612.10944558062,842.5797665335629
390539537002090,0,0,0,0,2,1.4,0,1.2,2.6,6453.618084598366,22.361742776788226
390539540001016,1,0,0,1,22,18.9,1.2,14.6,34.7,78201.16300061299,195.6282615524967
390539538002012,0,0,0,0,20,14,0,12,26,20021.890498373265,27.0706001547126
390539536003008,0,0,0,0,7,4.9,0,4.2,9.1,56418.287519863705,38.545954623080995
390539537003057,0,0,0,0,1,0.7,0,0.6,1.3,19186.221132103266,27.81117219807707
390539541001084,18,0,0,18,6,67.2,21.6,28.8,117.6,78081.81275028025,5396.1806630139645
