id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420619504005044,13,0,0,13,18,58.1,15.6,29,102.7,79199.19846572414,27942.046973131895
420619503014002,340,0,0,340,11,1197.7,408,482.6,2088.3,73494.82838361539,6339.1808099548925
420619503014042,49,0,19,30,62,308,58.8,168.5,535.3,63328.83169812889,538.4448577375911
420619512002009,0,0,0,0,12,8.4,0,7.2,15.6,31020.091992691814,2209.75205101994
420619504004050,3,0,0,3,14,20.3,3.6,12.6,36.5,79905.88826211484,23715.726540463198
420619512001011,53,0,44,9,8,406.7,63.6,224.2,694.5,19030.946090848014,736.3591381261836
420619511002040,0,0,0,0,1,0.7,0,0.6,1.3,5660.035271650889,32.200958842162485
420619504001032,0,0,0,0,3,2.1,0,1.8,3.9,75656.43788859321,12354.874286428954
420619509001033,0,0,0,0,3,2.1,0,1.8,3.9,74116.772370208,5586.460625150513
420619512004048,0,0,0,0,2,1.4,0,1.2,2.6,7352.519917860147,6.167240222292619
420619504003027,0,0,0,0,15,10.5,0,9,19.5,78278.06599849221,19121.072517132343
420619502001009,2,2,0,0,18,14,2.4,11.8,28.2,1313.9367500871203,31.562204113584976
420619513002081,0,0,0,0,10,7,0,6,13,4510.857086458036,632.4586111183487
420619501002012,0,0,0,0,2,1.4,0,1.2,2.6,6791.926239326263,17.40746630934363
420619504005008,2,0,0,2,10,14,2.4,8.8,25.2,78816.08797258345,21430.105729834086
420619508003017,9,9,0,0,21,21,10.8,17.1,48.9,2250.998423643781,47.938904432265915
420619503013011,21,6,9,6,59,142.1,25.2,89.1,256.4,73363.50477599513,265.84418613133045
420619503012050,0,0,0,0,4,2.8,0,2.4,5.2,71451.2372585843,224.58939511362533
420619501002011,0,0,0,0,14,9.8,0,8.4,18.2,5263.179200361241,19.180559707994348
420619509002015,0,0,0,0,11,7.7,0,6.6,14.3,73238.71307560452,6216.277117734385
420619502003015,0,0,0,0,1,0.7,0,0.6,1.3,56436.99173756422,26.71592519785975
420619509003029,0,0,0,0,8,5.6,0,4.8,10.4,73242.71418136892,6547.159827820862
420619506002013,0,0,0,0,3,2.1,0,1.8,3.9,64268.4524838055,63.032959264401114
420619502002010,0,0,0,0,9,6.3,0,5.4,11.7,7067.851627781324,71.98830622037434
420619503014036,52,0,0,52,5,185.5,62.4,75.8,323.7,80504.70586932603,25596.46135822984
420619506001027,0,0,0,0,2,1.4,0,1.2,2.6,72236.37424682548,97.92903806337188
420619510002028,0,0,0,0,7,4.9,0,4.2,9.1,70844.28828034658,3851.488561687344
420619503014013,11,0,0,11,14,48.3,13.2,23.8,85.3,79889.5940062945,18781.20949314263
420619510001028,0,0,0,0,3,2.1,0,1.8,3.9,53264.38897525598,431.1739947033521
420619512003031,0,0,0,0,2,1.4,0,1.2,2.6,19649.559078348695,557.962600457181
420619513002095,0,0,0,0,4,2.8,0,2.4,5.2,4430.234065088952,640.907018396202
420619504003028,5,0,0,5,13,26.6,6,14.8,47.4,77998.2979801047,17178.714290001746
420619503014023,17,0,0,17,10,66.5,20.4,29.8,116.7,79947.94972632357,29790.197724255268
420619510001018,0,0,0,0,2,1.4,0,1.2,2.6,36328.30948654263,10.942291368124772
420619502002039,0,0,0,0,4,2.8,0,2.4,5.2,51713.172433638494,1023.0692459513981
420619502002029,1,1,0,0,4,3.5,1.2,2.9,7.6,30207.75017578472,12.293092813637791
420619508001050,0,0,0,0,1,0.7,0,0.6,1.3,74713.54762549407,718.013979311305
420619510001046,0,0,0,0,1,0.7,0,0.6,1.3,49315.832309313744,490.04048891387754
420619503013020,0,0,0,0,3,2.1,0,1.8,3.9,40246.75370891009,2.9987658909741137
420619506002053,9,0,0,9,2,32.9,10.8,13.8,57.5,29514.46856309238,62.90900021806377
420619509002019,0,0,0,0,15,10.5,0,9,19.5,73221.45694271183,5998.160387794064
420619512001081,0,0,0,0,3,2.1,0,1.8,3.9,17786.60370514826,12.201835175830189
420619502001029,5,5,0,0,14,13.3,6,10.9,30.2,42126.55860300121,54.89544637755348
420619501002037,0,0,0,0,11,7.7,0,6.6,14.3,13335.460152481846,15.971121092489692
420619501002032,0,0,0,0,21,14.7,0,12.6,27.3,29135.781917852124,27.048419820914948
420619501001069,10,0,10,0,4,86.8,12,49.4,148.2,15207.25667379727,293.6526915181842
420619504004021,0,0,0,0,23,16.1,0,13.8,29.9,79901.27663394428,27994.791278370176
420619508002060,0,0,0,0,9,6.3,0,5.4,11.7,6339.329629351331,11.653723516759555
420619508003029,0,0,0,0,9,6.3,0,5.4,11.7,9002.571492842393,27.043995010220222
420619502002000,0,0,0,0,34,23.8,0,20.4,44.2,2668.2227145693855,45.5643952283138
420619511001044,0,0,0,0,4,2.8,0,2.4,5.2,3905.1045839816848,5.684199056007723
420619513002053,0,0,0,0,5,3.5,0,3,6.5,2919.238322832522,113.88279209347066
420619513001038,0,0,0,0,3,2.1,0,1.8,3.9,2845.838087060689,2.999824499266515
420619504002019,0,0,0,0,4,2.8,0,2.4,5.2,75772.79533971631,7472.730648070454
420619505001015,0,0,0,0,6,4.2,0,3.6,7.8,64451.37930401087,8.30388694653927
420619506001058,0,0,0,0,2,1.4,0,1.2,2.6,58795.77858387114,58.977555787764395
420619508002046,3,3,0,0,7,6.999999999999999,3.6,5.7,16.3,22498.233949850786,28.676247658070395
420619503013032,0,0,0,0,17,11.9,0,10.2,22.1,73832.08928197646,99.21064868446476
420619504003033,0,0,0,0,19,13.3,0,11.4,24.7,78356.77727479192,20045.389019478294
420619508001041,0,0,0,0,1,0.7,0,0.6,1.3,75850.95024864167,725.070482948698
420619506001077,0,0,0,0,4,2.8,0,2.4,5.2,30282.299634209947,8.37164747010748
420619508003007,0,0,0,0,3,2.1,0,1.8,3.9,5560.384222636176,57.26152985579646
420619512004000,0,0,0,0,31,21.7,0,18.6,40.3,8625.64909952753,39.99628146965857
420619503012010,0,0,0,0,1,0.7,0,0.6,1.3,38681.77488395864,1.6623749190064532
420619512001071,0,0,0,0,21,14.7,0,12.6,27.3,16099.54932201712,37.00474960268262
420619512004056,0,0,0,0,2,1.4,0,1.2,2.6,4722.9132043458,2.5374052467316703
420619506002008,0,0,0,0,25,17.5,0,15,32.5,64347.56538129975,98.52553305904938
420619502002031,25,0,0,25,53,124.6,30,66.8,221.4,6741.499151600254,282.66985212810386
420619511002021,12,3,8,1,2,74.2,14.4,41.7,130.3,18859.530362513648,483.1516363823869
420619503012053,0,0,0,0,7,4.9,0,4.2,9.1,72870.35632695309,750.1725684626633
420619503012024,10,3,0,7,12,35,12,18.5,65.5,73445.25856918852,719.4111092830294
420619504004006,40,0,0,40,1,140.7,48,56.6,245.3,79969.75082477274,30093.93431627086
420619509001040,3,0,3,0,3,27.3,3.6,15.9,46.8,74807.81572890333,6123.1298527668405
420619505003036,0,0,0,0,1,0.7,0,0.6,1.3,78997.99392158295,853.492228673387
420619502003001,29,10,0,19,25,91,34.8,46.6,172.4,25766.754541596616,234.44848552187827
420619509001036,0,0,0,0,3,2.1,0,1.8,3.9,74982.57120702328,5526.982296547278
420619503011010,8,0,0,8,12,36.4,9.6,18.4,64.4,16057.569816912208,66.35446383951731
420619504003025,0,0,0,0,8,5.6,0,4.8,10.4,77804.3981905351,16445.840316881746
420619504003021,0,0,0,0,13,9.1,0,7.8,16.9,78295.78974614183,19137.47741089017
420619504005025,20,0,0,20,18,82.6,24,38.8,145.4,79011.97727971093,22940.955513788722
420619504003003,0,0,0,0,1,0.7,0,0.6,1.3,77139.42235947568,10839.888306753037
420619508001028,14,6,0,8,16,43.4,16.8,23.8,84,74376.7443335245,727.396532936694
420619504003030,0,0,0,0,17,11.9,0,10.2,22.1,78405.64853316748,19564.55670939559
420619501001025,0,0,0,0,1,0.7,0,0.6,1.3,18919.008202798297,141.91043715039837
420619509002003,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,65260.463772989206,3315.822376581793
420619501002017,0,0,0,0,5,3.5,0,3,6.5,5252.622929122364,6.249540420439913
420619510001030,5,0,5,0,14,51.8,6,31.9,89.7,25787.815199672263,98.64906351344534
420619506002023,0,0,0,0,11,7.7,0,6.6,14.3,58473.887920723086,56.25174705045869
