id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
210890405022042,0,0,0,0,9,6.3,0,5.4,11.7,296353.96946140873,4131.498960165688
211279305001004,0,0,0,0,4,2.8,0,2.4,5.2,56454.7353269573,5638.77922733477
211279301011069,0,0,0,0,2,1.4,0,1.2,2.6,198363.79573171603,29.47161039116638
211279301012011,0,0,0,0,5,3.5,0,3,6.5,56728.29804934478,35.34649291812836
211279305002034,0,0,0,0,1,0.7,0,0.6,1.3,20823.447375852793,4.481979243838833
210890402022033,0,0,0,0,6,4.2,0,3.6,7.8,409224.0561240842,4946.754018203208
210890404001031,0,0,0,0,7,4.9,0,4.2,9.1,292318.354146761,402.46918081370114
210890404002023,0,0,0,0,5,3.5,0,3,6.5,312930.4580074437,104.87169251479804
210890407003057,0,0,0,0,2,1.4,0,1.2,2.6,46217.304709757285,73.94314605195625
210890405022007,0,0,0,0,3,2.1,0,1.8,3.9,283821.6299949832,3053.503243516885
211279305001044,0,0,0,0,1,0.7,0,0.6,1.3,21509.16651044005,15.304498470339734
211279305002003,0,0,0,0,5,3.5,0,3,6.5,26992.41953875371,5.999913774961901
210890403003018,6,0,0,6,5,24.5,7.2,11.4,43.1,350151.6360960927,685.609074632112
210890407003065,0,0,0,0,5,3.5,0,3,6.5,30532.615360960408,14.75121929091333
210890405012064,0,0,0,0,10,7,0,6,13,238768.80227537727,665.3393321715407
210190312001008,0,0,0,0,22,15.4,0,13.2,28.6,580216.675654782,189.87491435006962
210190308003001,3,0,0,3,16,21.7,3.6,13.8,39.1,582010.2657534445,26477.405935252053
210190306004001,25,0,0,25,60,129.5,30,71,230.5,562780.7047155139,4752.91593173431
210190306002014,33,0,0,33,83,173.6,39.6,96,309.2,560398.0755863306,6766.925270236287
210190305001020,32,0,32,0,23,284.9,38.4,164.2,487.5,544299.4893837017,10502.730309123208
210190307002025,4,0,0,4,8,19.6,4.8,10.4,34.8,547820.4778847452,10899.511546351334
210190306001021,0,0,0,0,5,3.5,0,3,6.5,595156.2589788148,11829.114987692044
210190311012026,56,0,9,47,24,256.9,67.2,122.5,446.6,520196.25927424774,524.8660634677444
210190305002034,0,0,0,0,17,11.9,0,10.2,22.1,598984.2257720112,1491.3865570250584
210190302002122,324,0,0,324,5,1137.5,388.8,456.6,1982.9,599773.2994986924,60395.41350708782
210439606021051,101,2,13,86,67,458.5,121.2,222.7,802.4,202836.03501943185,14432.191478675284
210439602003013,2,0,0,2,20,21,2.4,14.8,38.2,41893.37709639019,166.25989597701013
210439603003033,0,0,0,0,24,16.8,0,14.4,31.2,31850.49733935917,30.99840736551662
210190308002004,8,0,0,8,172,148.4,9.6,114.4,272.4,556310.7599591991,20927.96739363382
210190309004038,0,0,0,0,38,26.6,0,22.8,49.4,437662.9639840465,1345.9345702623184
210190303003000,15,7,0,8,4,35.7,18,17.1,70.8,618494.5243278483,44071.92605101865
210190311022041,0,0,0,0,1,0.7,0,0.6,1.3,232871.59105773745,9.326621900737615
210190310011008,0,0,0,0,4,2.8,0,2.4,5.2,430952.7776999178,15.788091422585195
210190309001003,1,0,0,1,27,22.4,1.2,17.6,41.2,471994.0980993475,5796.156064211797
210190310042028,1,0,0,1,44,34.3,1.2,27.8,63.3,408713.3573271611,788.9089296648584
210190311014036,0,0,0,0,1,0.7,0,0.6,1.3,98772.17358433708,3.980590211729859
210439605002051,0,0,0,0,7,4.9,0,4.2,9.1,114403.98517886233,30.67450990177091
210439601002022,0,0,0,0,5,3.5,0,3,6.5,10637.542887680764,37.459573996658655
210439602003008,0,0,0,0,3,2.1,0,1.8,3.9,53799.61765231049,1061.0716443611163
210439602002012,0,0,0,0,12,8.4,0,7.2,15.6,49817.13941220161,3294.267469371949
210439607002015,0,0,0,0,11,7.7,0,6.6,14.3,52653.447206858924,83.71472206031112
210190307002007,9,0,0,9,11,39.2,10.8,19.2,69.2,557061.5931067145,11898.601724698648
210190313002014,0,0,0,0,3,2.1,0,1.8,3.9,704413.3736127465,5115.980078851702
210190313002017,0,0,0,0,6,4.2,0,3.6,7.8,750047.1527574403,9087.158958931126
210439603001035,0,0,0,0,4,2.8,0,2.4,5.2,24688.159615750996,5.417353471062408
210890403001146,0,0,0,0,8,5.6,0,4.8,10.4,352715.2089017857,1885.7642267183937
210890405022030,54,31,0,23,3,104.3,64.8,49.5,218.6,282433.9225318723,3844.156697212866
211279301012017,0,0,0,0,1,0.7,0,0.6,1.3,43542.37136080892,11.161593030330692
210890403001078,0,0,0,0,3,2.1,0,1.8,3.9,390508.3568355569,2684.0703051376345
210890405011020,41,0,0,41,9,149.8,49.2,62.8,261.8,92807.72559373133,388.5214209170497
210890405022033,0,0,0,0,7,4.9,0,4.2,9.1,298052.60641777446,4034.7684546864516
211279305001034,0,0,0,0,2,1.4,0,1.2,2.6,19897.091618354083,29.834367917055054
211279301012069,5,0,0,5,10,24.5,6,13,43.5,33710.033497590135,57.13723776989677
210890405024079,0,0,0,0,1,0.7,0,0.6,1.3,69217.80830432277,2.0657897003566617
211279304001006,0,0,0,0,5,3.5,0,3,6.5,36458.12683668638,74.11928579339009
211279303002008,0,0,0,0,1,0.7,0,0.6,1.3,2050.135532633403,24.61461103267625
211279301023030,0,0,0,0,5,3.5,0,3,6.5,60451.79881237657,8720.808722482236
211279303002025,0,0,0,0,1,0.7,0,0.6,1.3,891.0527560738997,1.0319200588127753
211279302001003,0,0,0,0,16,11.2,0,9.6,20.8,21502.26815120691,21.14495249381213
211279301012022,0,0,0,0,17,11.9,0,10.2,22.1,24845.063312118466,22.00151465726447
211279303002061,0,0,0,0,1,0.7,0,0.6,1.3,685.7809350782202,8.019111548403409
210890405023009,0,0,0,0,1,0.7,0,0.6,1.3,319256.6693555625,3008.306590947848
210890406002012,0,0,0,0,7,4.9,0,4.2,9.1,34762.999202116385,161.32771848766214
210890403001030,0,0,0,0,1,0.7,0,0.6,1.3,370224.1145544081,794.3910437469217
210890403003015,0,0,0,0,5,3.5,0,3,6.5,384325.66287079925,3876.6920434958356
210890401005002,0,0,0,0,3,2.1,0,1.8,3.9,397074.71147188026,316.21829829240215
210190306001023,0,0,0,0,12,8.4,0,7.2,15.6,575849.1295781411,9932.614331119772
210890406001014,0,0,0,0,15,10.5,0,9,19.5,54927.4002516809,2050.9999182699667
210890404004003,0,0,0,0,4,2.8,0,2.4,5.2,287425.2243082303,558.3475304175372
210890401002025,20,0,1,19,60,116.9,24,67.3,208.2,479532.3451162896,11184.049180906848
210890403001055,0,0,0,0,6,4.2,0,3.6,7.8,383551.9838158621,2164.8152734877563
210190306002023,0,0,0,0,7,4.9,0,4.2,9.1,524111.85841502546,4485.321762900484
210190311012008,0,0,0,0,11,7.7,0,6.6,14.3,297324.68758180295,55.302456487010566
210190305001002,0,0,0,0,1,0.7,0,0.6,1.3,550020.9581320969,15609.470540108347
210190306003016,1,1,0,0,71,50.4,1.2,43.1,94.7,486743.51951678185,4492.556776568348
210190303001003,3,0,0,3,67,57.4,3.6,44.4,105.4,605640.2852236015,57888.494852415475
210439606023010,0,0,0,0,9,6.3,0,5.4,11.7,340125.1707766075,95.20707907330029
210439602003022,0,0,0,0,5,3.5,0,3,6.5,45550.726916512525,406.49799195527487
210190302002118,18,0,3,15,1,78.4,21.6,35.7,135.7,612566.7573233695,65411.438561294985
210190303001012,48,0,0,48,6,172.2,57.6,70.8,300.6,638746.9169396624,70998.57659890671
210190302002080,169,0,1,168,1,597.1,202.8,240.5,1040.4,645318.8866854536,71674.85003804613
210190309001004,4,0,4,0,67,80.5,4.8,59,144.3,526376.985029004,4255.344560902069
210190305002014,0,0,0,0,13,9.1,0,7.8,16.9,541009.605162621,4297.057819237511
210190311022017,4,4,0,0,3,4.9,4.8,3.8,13.5,250985.17110265495,16.468766995005982
210190309004004,1,0,0,1,18,16.1,1.2,12.2,29.5,481798.9770866608,2563.227335065028
210190306002016,0,0,0,0,2,1.4,0,1.2,2.6,611142.7437043965,8448.046491010477
210439607003041,0,0,0,0,6,4.2,0,3.6,7.8,42797.205531267275,58.990613740379096
210439601002038,0,0,0,0,4,2.8,0,2.4,5.2,12276.171578019073,21.027412086912747
210439606011002,0,0,0,0,6,4.2,0,3.6,7.8,451529.63066606276,79.15672787764407
210190309002023,37,6,0,31,17,124.6,44.4,56.6,225.6,537017.0892318934,11508.67300107232
210439602002006,0,0,0,0,5,3.5,0,3,6.5,57064.8838435957,765.6375123275755
210439602002020,6,0,4,2,5,44.1,7.2,24.6,75.9,52223.14910360485,4262.363185650786
210439607002006,0,0,0,0,3,2.1,0,1.8,3.9,39700.8603055248,53.70244798186554
210439601001054,0,0,0,0,27,18.9,0,16.2,35.1,18470.89068916975,56.8961936001364
210190313003016,0,0,0,0,7,4.9,0,4.2,9.1,731343.7005512989,5256.921128788032
210439602003025,0,0,0,0,15,10.5,0,9,19.5,45855.716764540826,1656.6078330094633
210439605002052,2,2,0,0,14,11.2,2.4,9.4,23,207584.61760339895,1219.5786467539513
211279304001060,0,0,0,0,9,6.3,0,5.4,11.7,26483.128211233652,13.15624823614664
210890403001109,0,0,0,0,5,3.5,0,3,6.5,404922.37623266433,2570.488243493589
210890401002009,0,0,0,0,44,30.8,0,26.4,57.2,450329.45275774394,3966.2041196575015
211279304003059,0,0,0,0,3,2.1,0,1.8,3.9,19602.02362672326,17.189780098096744
210890405023012,0,0,0,0,4,2.8,0,2.4,5.2,251677.4692055797,411.3431559193313
210890404002063,0,0,0,0,20,14,0,12,26,248978.79796175018,36.90491232518322
210890403001158,0,0,0,0,8,5.6,0,4.8,10.4,352045.531658504,1749.5465475606077
211279304003005,0,0,0,0,13,9.1,0,7.8,16.9,27947.397551202786,110.01512316603133
210890405024063,6,0,0,6,4,23.8,7.2,10.8,41.8,69743.86234863168,51.975397290920654
210890402012001,0,0,0,0,7,4.9,0,4.2,9.1,395919.1488444534,7722.053865531007
211279303001000,0,0,0,0,4,2.8,0,2.4,5.2,1091.6956466796123,4.998685088776076
210890407002022,0,0,0,0,3,2.1,0,1.8,3.9,88031.47618401825,11.907939063415707
210190303003015,0,0,0,0,27,18.9,0,16.2,35.1,608346.1715807307,34879.77577445214
210890405012050,0,0,0,0,10,7,0,6,13,242035.71528469253,590.178895518257
210890405022014,53,0,0,53,1,186.2,63.6,74.8,324.6,286957.5242774604,3646.874975896244
210890406001032,8,0,0,8,15,38.5,9.6,20.2,68.3,64039.10478348074,2081.3200612651576
210890406003039,0,0,0,0,1,0.7,0,0.6,1.3,60151.86105837431,2022.5560208280574
210190305002021,0,0,0,0,16,11.2,0,9.6,20.8,544350.1021628362,1912.9839925540691
210190306003015,0,0,0,0,19,13.3,0,11.4,24.7,523273.05731124186,6678.685741696602
210190309003003,2,0,0,2,18,19.6,2.4,13.6,35.6,437987.1336085343,4497.8789964770085
210190313003034,81,0,19,62,41,405.3,97.2,200.7,703.2,725783.9369494929,2961.6279460328287
210190311011010,15,0,5,10,2,78.4,18,38.7,135.1,520678.0722977704,2122.2213693721333
210190305001007,0,0,0,0,11,7.7,0,6.6,14.3,526356.840523925,9961.719988490717
210190311014015,0,0,0,0,1,0.7,0,0.6,1.3,149062.97035613877,37.61066478248559
210190311011025,18,7,8,3,50,117.6,21.6,75.3,214.5,549663.558425579,1860.6497009824907
210190309003031,0,0,0,0,27,18.9,0,16.2,35.1,448149.7124688307,5516.634580826288
210190313001007,0,0,0,0,20,14,0,12,26,686969.6867454766,2235.5343049376374
210439602002051,0,0,0,0,2,1.4,0,1.2,2.6,43388.103209374036,187.30209941276925
210190309002028,0,0,0,0,10,7,0,6,13,511666.39893211215,8369.006189797356
210439607001030,0,0,0,0,1,0.7,0,0.6,1.3,51069.04728028466,7.322430157077661
211279304003024,0,0,0,0,3,2.1,0,1.8,3.9,25275.853924125335,138.53646552327842
211279302001030,0,0,0,0,19,13.3,0,11.4,24.7,252.34623519954425,24.72980029476248
211279301011017,0,0,0,0,6,4.2,0,3.6,7.8,155624.87452969188,12.927550684290857
211279301012009,0,0,0,0,2,1.4,0,1.2,2.6,56899.39650122774,40.99821426013776
210890401004004,0,0,0,0,25,17.5,0,15,32.5,446418.03648700746,2980.8900101864997
210890403001014,0,0,0,0,4,2.8,0,2.4,5.2,347089.85346404824,1689.525857373089
210890407003055,0,0,0,0,1,0.7,0,0.6,1.3,56092.17329553888,158.63081775000245
210890405021036,0,0,0,0,3,2.1,0,1.8,3.9,59252.601226370076,19.025327620150456
211279305002001,0,0,0,0,7,4.9,0,4.2,9.1,24412.89209674762,19.247343600071538
211279305001041,0,0,0,0,1,0.7,0,0.6,1.3,28149.294333072237,1.9895592834792655
211279305001035,0,0,0,0,6,4.2,0,3.6,7.8,30663.6904155598,29.701129582467725
210890405011105,0,0,0,0,6,4.2,0,3.6,7.8,120664.77764723724,13.999616812660685
210890403001009,2,2,0,0,2,2.8,2.4,2.2,7.4,377886.28483839275,1904.6881919276757
211279304002019,0,0,0,0,1,0.7,0,0.6,1.3,4564.347055837487,14.601481760204436
211279302001015,0,0,0,0,27,18.9,0,16.2,35.1,8782.334614091395,39.84801154029075
211279302001019,0,0,0,0,2,1.4,0,1.2,2.6,20864.218496226666,10.586863374881318
