id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420639602001110,3,0,0,3,4,13.3,3.6,6.6,23.5,7617.521710184178,33.15022624426704
420639610002021,0,0,0,0,2,1.4,0,1.2,2.6,206275.24197275547,49888.36349260428
420639613003020,0,0,0,0,3,2.1,0,1.8,3.9,180549.12448265112,3115.084983253556
420639616003041,9,0,0,9,4,34.3,10.8,15,60.1,198286.7340716087,146.90526938973449
420639608003023,0,0,0,0,13,9.1,0,7.8,16.9,204427.83669430285,24280.282744563658
420639613003081,0,0,0,0,2,1.4,0,1.2,2.6,180718.97561596113,3185.0724389661245
420639610001042,0,0,0,0,13,9.1,0,7.8,16.9,206719.2984949021,51479.1165364025
420639619004007,0,0,0,0,3,2.1,0,1.8,3.9,70049.35721079106,2178.5343839454986
420639604003009,0,0,0,0,1,0.7,0,0.6,1.3,159654.35093409682,168.55945873761692
420639621001015,0,0,0,0,1,0.7,0,0.6,1.3,185634.2830854049,6801.2592571577
420639619004000,0,0,0,0,52,36.4,0,31.2,67.6,75565.75943766208,2178.768611748171
420639619001003,4,0,0,4,15,24.5,4.8,14.6,43.9,183638.83747028286,177.54939690818452
420639616003049,0,0,0,0,1,0.7,0,0.6,1.3,183768.85447066842,23.225700743269588
420639619002018,0,0,0,0,1,0.7,0,0.6,1.3,56319.08385657635,34.268790442673684
420639620003092,0,0,0,0,6,4.2,0,3.6,7.8,174656.56550751725,5020.3691805324825
420639606001047,0,0,0,0,2,1.4,0,1.2,2.6,83226.63529921455,10.446367332777292
420639611022015,265,11,3,251,6,915.6,318,374.6,1608.2,203629.75980582868,8782.772675742886
420639611031012,0,0,0,0,8,5.6,0,4.8,10.4,206215.1718765361,48122.547626600426
420639613003067,40,0,34,6,7,311.5,48,172.4,531.9,180063.70961864846,3283.0281277574004
420639619004029,0,0,0,0,4,2.8,0,2.4,5.2,88105.83777142603,2536.40770677483
420639622002033,9,6,0,3,4,17.5,10.8,9.6,37.9,153894.8616151602,503.94845984974194
420639614001049,0,0,0,0,3,2.1,0,1.8,3.9,8746.696561307514,3.9990830437207356
420639622001030,0,0,0,0,6,4.2,0,3.6,7.8,100009.0088570396,216.58967821647414
420639612002001,4,0,0,4,8,19.6,4.8,10.4,34.8,207124.60151005205,34963.22892901816
420639620002010,0,0,0,0,9,6.3,0,5.4,11.7,189463.65385099754,651.7369814537083
420639602004010,0,0,0,0,3,2.1,0,1.8,3.9,88553.81405294569,266.8483452526257
420639618002069,0,0,0,0,2,1.4,0,1.2,2.6,50348.57771801088,28.157733825891533
420639611032022,17,3,0,14,8,56.7,20.4,25.9,103,206191.933888294,50857.887133524964
420639612001015,0,0,0,0,11,7.7,0,6.6,14.3,206025.1915284848,39732.7544764786
420639615003013,0,0,0,0,1,0.7,0,0.6,1.3,75199.72513000034,5.28361245375514
420639620002045,0,0,0,0,4,2.8,0,2.4,5.2,184091.7949604097,3781.783827246591
420639615001013,0,0,0,0,18,12.6,0,10.8,23.4,79879.23342833246,27.042355628784392
420639617002013,42,0,0,42,7,151.9,50.4,63,265.3,203864.0017914602,5678.581312950851
420639620003025,6,6,0,0,16,15.4,7.2,12.6,35.2,99620.76688675144,80.15952976320712
420639606002092,0,0,0,0,4,2.8,0,2.4,5.2,148642.04321086252,9.343273967795165
420639613001050,0,0,0,0,7,4.9,0,4.2,9.1,163069.88768330426,87.12016080918751
420639620003028,0,0,0,0,11,7.7,0,6.6,14.3,147480.7618361198,522.3494295559367
420639614003038,39,39,0,0,15,37.8,46.8,28.5,113.1,51310.23401726566,149.08094835847544
420639619004054,0,0,0,0,5,3.5,0,3,6.5,90356.75733599225,2255.1165575245923
