id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
330019653001012,0,0,0,0,3,2.1,0,1.8,3.9,169830.16352129565,96.14245830734613
330019659004007,1,0,0,1,16,14.7,1.2,11,26.9,185346.15842973554,27245.169221606884
330019660003008,17,0,2,15,1,70,20.4,31,121.4,187724.41757738672,32858.584443952546
330019653001014,0,0,0,0,21,14.7,0,12.6,27.3,172119.36696711602,124.89140508024607
330019657001034,6,0,0,6,7,25.9,7.2,12.6,45.7,25320.827551135397,382.3061516535507
330019659004000,0,0,0,0,7,4.9,0,4.2,9.1,182182.21521095448,15656.17440019628
330019662002024,24,0,2,22,25,111.3,28.8,55.2,195.3,178330.69684628013,18437.922884532214
330019657003038,0,0,0,0,11,7.7,0,6.6,14.3,19094.39623144671,80.54330269842586
330019665022017,4,0,0,4,47,46.9,4.8,33.8,85.5,21909.870635183,142.3734377968991
330019658022012,0,0,0,0,2,1.4,0,1.2,2.6,153368.87503141744,300.49587211356624
330019657003039,0,0,0,0,4,2.8,0,2.4,5.2,28036.783881236883,1052.1361470820452
330019657002023,0,0,0,0,3,2.1,0,1.8,3.9,44829.21844098147,201.61594909623153
330019654002050,3,3,0,0,35,26.6,3.6,22.5,52.7,97809.56800232823,75.35539839401737
330019661005018,0,0,0,0,2,1.4,0,1.2,2.6,150307.9678224839,705.9430176535552
330019658023012,0,0,0,0,4,2.8,0,2.4,5.2,177125.8187628627,2224.2971356999387
330019656003033,0,0,0,0,12,8.4,0,7.2,15.6,53191.23883721367,128.9909376000382
330019664011011,76,1,0,75,70,312.2,91.2,147.5,550.9,153608.22416057842,567.1090967612679
330019655983042,75,49,13,13,2,190.4,90,105,385.4,173724.74073015712,12372.974315004549
330019657001017,0,0,0,0,14,9.8,0,8.4,18.2,18368.609639733615,227.33167379459397
330019658022007,0,0,0,0,15,10.5,0,9,19.5,166731.32628147272,495.385088480413
330019655983018,0,0,0,0,8,5.6,0,4.8,10.4,171727.48534596947,914.2217268272354
330019665012043,5,4,0,1,15,16.8,6,12.4,35.2,79693.57592389591,220.06253933403408
330019658012023,0,0,0,0,10,7,0,6,13,181755.22035860302,500.0961588884832
330019657002030,0,0,0,0,7,4.9,0,4.2,9.1,18842.51987183815,132.81040199400323
330019665012023,1,1,0,0,45,32.2,1.2,27.5,60.9,10731.240510527137,60.03551794119362
330019665021044,0,0,0,0,3,2.1,0,1.8,3.9,20604.260571025658,52.22360309851766
330019658021006,29,0,14,15,31,191.8,34.8,105.4,332,174789.18709714114,602.710663475818
330019655981006,40,16,8,16,2,135.8,48,69.2,253,134642.36741393595,2373.5043617084752
330019653002030,0,0,0,0,15,10.5,0,9,19.5,143795.9889681879,103.51617387415645
330019664011036,0,0,0,0,7,4.9,0,4.2,9.1,153505.01377225568,543.5593526688921
330019665022028,0,0,0,0,3,2.1,0,1.8,3.9,43999.364460810946,88.6152048526898
330019657002003,0,0,0,0,17,11.9,0,10.2,22.1,10007.845885094688,22.17075136588421
330019664011029,0,0,0,0,7,4.9,0,4.2,9.1,142926.9597734771,422.25054114031997
330019664011052,0,0,0,0,19,13.3,0,11.4,24.7,175794.20121701434,11288.924422614564
330019661005027,0,0,0,0,4,2.8,0,2.4,5.2,117006.47734674672,218.27165631001216
330019664011071,0,0,0,0,16,11.2,0,9.6,20.8,172766.53175991,216.86027848429828
330019661003018,0,0,0,0,1,0.7,0,0.6,1.3,184955.56205434614,9459.12927552209
330019665022020,0,0,0,0,3,2.1,0,1.8,3.9,40289.09875358381,40.91328244945832
330019659004011,1,1,0,0,121,85.4,1.2,73.1,159.7,176674.0447982799,16815.446922473962
330019659004003,0,0,0,0,6,4.2,0,3.6,7.8,183913.66313144684,26478.170594103532
330019653002016,30,1,0,29,21,116.9,36,53.7,206.6,166190.22916648508,1936.1479903903319
330019659004018,26,26,0,0,1,18.9,31.2,13.6,63.7,185823.00855836767,2932.1780849958072
330019655981007,0,0,0,0,6,4.2,0,3.6,7.8,147825.93710421963,11402.170892350208
330019661002023,8,0,0,8,73,79.1,9.6,55,143.7,175740.41696686577,1050.4205373582076
330019662002000,275,66,68,141,34,1134.7,330,570.4,2035.1,173578.4299249768,13781.997610130087
330019658012005,3,0,0,3,10,17.5,3.6,10.2,31.3,184538.11934694406,4491.294767482104
330019662001002,0,0,0,0,5,3.5,0,3,6.5,154562.81570262476,2333.3203423584987
330019651002031,4,4,0,0,50,37.8,4.8,32,74.6,47461.818840499865,73.99764418306388
330019651003082,0,0,0,0,5,3.5,0,3,6.5,29730.524915905626,19.99059185035666
330019655982033,94,12,75,7,18,675.5,112.8,379.1,1167.4,142890.06051390964,10007.433411292404
330019665012001,0,0,0,0,2,1.4,0,1.2,2.6,38241.603384158785,64.73670096925623
330019664042024,0,0,0,0,31,21.7,0,18.6,40.3,162878.04429291395,197.74784169135492
330019656001028,0,0,0,0,3,2.1,0,1.8,3.9,110944.03015065631,10.568526633284403
330019653001009,8,2,0,6,38,49,9.6,32.2,90.8,105507.13840754695,89.99844310779685
330019657002014,0,0,0,0,14,9.8,0,8.4,18.2,21241.73037358622,439.6394683238211
330019655982017,0,0,0,0,21,14.7,0,12.6,27.3,83303.61147052381,68.24207723790822
330019665021013,6,0,0,6,9,27.3,7.2,13.8,48.3,10576.949805041417,49.52324446808569
330019665023015,0,0,0,0,5,3.5,0,3,6.5,62635.67576904246,635.5246866552997
330019654001005,9,9,0,0,20,20.3,10.8,16.5,47.6,118041.27087171895,60.59036898830359
330019665012007,8,3,0,5,65,65.1,9.6,47.5,122.2,136261.29872605414,203.73778815781364
330019651002027,0,0,0,0,6,4.2,0,3.6,7.8,145844.75354089716,74.21939869725766
330019652003007,62,22,0,40,94,221.2,74.4,123.4,419,128856.54468419871,4242.37336839322
330019664031008,5,5,0,0,9,9.8,6,7.9,23.7,165100.30003899825,409.77869502859716
330019658023002,0,0,0,0,5,3.5,0,3,6.5,177755.92468751987,800.1673014327216
330019653001047,0,0,0,0,21,14.7,0,12.6,27.3,153748.01539402816,101.72633894434114
330019651002041,24,22,0,2,20,36.4,28.8,25.8,90.99999999999999,66275.15964428247,89.92161181783902
330019664011015,0,0,0,0,37,25.9,0,22.2,48.1,154727.2069637118,161.13722860074927
330019657002002,4,4,0,0,8,8.4,4.8,6.8,20,12749.778198282997,168.27468770783483
