id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420710101031025,0,0,0,0,3,2.1,0,1.8,3.9,281816.8127847014,66.26985599218426
420710142012011,0,0,0,0,5,3.5,0,3,6.5,150489.34230630178,146.97026665208753
420710115041026,0,0,0,0,15,10.5,0,9,19.5,1255622.708678549,6328.499001149138
420710115021033,22,0,0,22,7,81.9,26.4,35,143.3,1157206.9552967492,3350.0904302907757
420710141011032,66,66,0,0,48,79.8,79.2,61.8,220.8,690688.7206469739,292.93666424008336
420710130021009,0,0,0,0,3,2.1,0,1.8,3.9,971684.1433908293,43.85657967343804
420710145012023,0,0,0,0,4,2.8,0,2.4,5.2,380955.29982269916,23.035719129510486
420710143011030,13,5,3,5,17,58.1,15.6,33.8,107.5,460679.8715493529,667.4011767983433
420710131022011,0,0,0,0,12,8.4,0,7.2,15.6,1297450.33779722,8292.750163065275
420710142011027,4,4,0,0,19,16.1,4.8,13.4,34.3,522927.0655747542,213.42933769514363
420710120023001,0,0,0,0,6,4.2,0,3.6,7.8,1362471.1067440407,28011.61994587925
420710118073005,2,0,0,2,25,24.5,2.4,17.8,44.7,1436395.5578890278,6100.664924520902
420710108043030,0,0,0,0,15,10.5,0,9,19.5,943203.5457791105,2152.528397706158
420710142021044,16,16,0,0,14,21,19.2,16.4,56.6,337387.2716662637,270.5810840376658
420710127013013,0,0,0,0,24,16.8,0,14.4,31.2,906997.7025339509,2139.412289526989
420710003002004,5,0,0,5,54,55.3,6,39.4,100.7,1481045.805035371,136224.21712312553
420710002001018,0,0,0,0,13,9.1,0,7.8,16.9,1478259.1543994453,131789.36628533227
420710120022008,48,31,0,17,5,84.7,57.6,42.3,184.6,1361155.5724970887,24838.377000984314
420710104002008,0,0,0,0,17,11.9,0,10.2,22.1,1218950.4592470597,11772.935475291966
420710103022010,0,0,0,0,17,11.9,0,10.2,22.1,1271273.73007985,588.163145545876
420710003002002,78,0,0,78,99,342.3,93.6,168.6,604.5,1470156.8330797676,132305.4454040835
420710007002001,0,0,0,0,21,14.7,0,12.6,27.3,1467005.0609438238,147298.74456511514
420710126014014,0,0,0,0,20,14,0,12,26,311665.97172060265,1369.2850229275743
420710119031017,0,0,0,0,1,0.7,0,0.6,1.3,1512254.1282258318,5525.440608926344
420710135052008,0,0,0,0,3,2.1,0,1.8,3.9,1319954.2648190085,6874.75795396607
420710142023028,0,0,0,0,8,5.6,0,4.8,10.4,665977.9775668308,1901.2106798954865
420710125013033,0,0,0,0,6,4.2,0,3.6,7.8,799047.1235687948,2376.9508770144334
420710131022020,6,6,0,0,3,6.3,7.2,4.8,18.3,933506.566953388,253.6555718079051
420710118024005,19,0,0,19,8,72.1,22.8,31.4,126.3,1542575.1306250738,95733.52641555283
420710007001003,0,0,0,0,74,51.8,0,44.4,96.2,1483152.953135566,127846.13542619695
420710002002018,147,2,25,120,66,677.6,176.4,326.1,1180.1,1462089.191682148,157915.17781569218
420710118023004,0,0,0,0,9,6.3,0,5.4,11.7,1501831.177415049,45148.80635016404
420710137012024,0,0,0,0,5,3.5,0,3,6.5,1281667.3200621016,3086.412481902796
420710136011013,5,0,0,5,43,47.6,6,32.8,86.4,1263645.9642123969,10634.695627322517
420710137042001,1,0,0,1,21,18.2,1.2,14,33.4,1272001.1809276287,2697.8046493102997
420710125023043,0,0,0,0,2,1.4,0,1.2,2.6,902782.9481221009,220.07574042007911
420710104002021,0,0,0,0,7,4.9,0,4.2,9.1,1233794.2573836655,12219.800351128122
420710108042032,0,0,0,0,5,3.5,0,3,6.5,390582.80935786467,51.52314523161479
420710115051014,0,0,0,0,2,1.4,0,1.2,2.6,1305289.0748564436,10292.024501510934
420710108041022,0,0,0,0,3,2.1,0,1.8,3.9,339511.03216320666,188.60821566898787
420710135043009,3,0,0,3,22,25.9,3.6,17.4,46.9,1195963.0757426051,2118.670232304483
