id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650031031014,4,0,0,4,54,51.8,4.8,38,94.6,3026644.2248528586,40744.562599463854
260650034002001,0,0,0,0,18,12.6,0,10.8,23.4,2929917.1284007425,12610.406638475793
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650057001012,24,1,23,0,4,196.7,28.8,111.00000000000001,336.5,1886814.7033636884,1033.9217443956038
260650036021012,0,0,0,0,4,2.8,0,2.4,5.2,2983621.988673404,12196.740274633472
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650066002066,74,24,5,45,47,249.2,88.8,126.7,464.7,3058258.4376223385,407386.1572977411
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650053052022,3,2,0,1,59,46.2,3.6,37.8,87.6,2903020.3359793928,1062.610266601277
260650060023028,0,0,0,0,9,6.3,0,5.4,11.7,77843.70130338534,5968.917628817186
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650026001012,1,1,0,0,41,29.4,1.2,25.1,55.7,3031788.3602539115,57044.2287167946
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
260650041001011,3,0,3,0,32,47.6,3.6,33.3,84.5,3021454.2600145577,91798.36581986699
