id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
421190907002021,0,0,0,0,3,2.1,0,1.8,3.9,121008.54659352961,29396.136996224424
421190906002048,0,0,0,0,6,4.2,0,3.6,7.8,121669.22658885378,27143.43933074202
421190903003003,0,0,0,0,13,9.1,0,7.8,16.9,111203.04106928298,3811.2370558135576
421190903002040,0,0,0,0,1,0.7,0,0.6,1.3,115392.6231743248,8780.381755780454
421190904003040,48,48,0,0,5,37.1,57.6,27,121.7,102570.91275286996,1383.743404436149
421190907001028,0,0,0,0,5,3.5,0,3,6.5,121579.64664499152,31108.408741809177
421190907001017,0,0,0,0,13,9.1,0,7.8,16.9,121716.6820648186,32458.53386460008
421190904003030,0,0,0,0,5,3.5,0,3,6.5,102655.59344332307,1409.9905402723925
421190905025000,1242,0,26,1216,59,4515.7,1490.4,1859.9999999999998,7866.1,121144.35234030998,29068.461615698627
421190905022027,0,0,0,0,5,3.5,0,3,6.5,118824.84264744465,79.0741276142211
421190904003005,8,5,0,3,17,25.9,9.6,16.9,52.4,97908.3760174868,1333.9983109698417
421190904002040,16,5,0,11,16,53.2,19.2,27.5,99.9,105921.45733455686,122.96441908818063
421190906002047,0,0,0,0,7,4.9,0,4.2,9.1,121711.71229975717,25162.713522011614
421190901024020,0,0,0,0,6,4.2,0,3.6,7.8,111563.25419452833,51.23081906902795
421199805011000,0,0,0,0,1,0.7,0,0.6,1.3,117801.92646184778,54.819754675290014
421190903002037,0,0,0,0,5,3.5,0,3,6.5,114694.5481699089,9077.091996358082
421190905022078,0,0,0,0,10,7,0,6,13,112701.4481054587,79.23545739745065
421190903002003,0,0,0,0,19,13.3,0,11.4,24.7,110087.92151763059,2508.739802740461
421190903002017,0,0,0,0,10,7,0,6,13,114650.38346550918,10380.24770018108
421190902021119,0,0,0,0,4,2.8,0,2.4,5.2,72140.42182872731,93.35228989108077
421190902022038,0,0,0,0,4,2.8,0,2.4,5.2,79244.91839802693,49.33885364897506
421190905025005,0,0,0,0,1,0.7,0,0.6,1.3,121341.71776846993,25472.349297136556
