id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
230010420003042,0,0,0,0,3,2.1,0,1.8,3.9,303211.0147293736,171.78615102704285
230010203031026,0,0,0,0,16,11.2,0,9.6,20.8,350824.467404031,95417.9413622424
230010104001022,0,0,0,0,8,5.6,0,4.8,10.4,349811.7114144706,12716.542020932005
230010203031012,21,0,21,0,60,218.4,25.2,134.7,378.3,350915.7904452905,91313.4209940525
230010102002051,50,0,0,50,6,179.2,60,73.6,312.8,308445.72535907966,343.98249783758524
230010465002024,4,2,0,2,37,34.3,4.8,26,65.1,192056.195145662,106.97877593686718
230010209001015,0,0,0,0,14,9.8,0,8.4,18.2,347147.45029931725,16322.078494010715
230010301001005,0,0,0,0,17,11.9,0,10.2,22.1,312613.5520362551,449.2798982927389
230010410006006,0,0,0,0,14,9.8,0,8.4,18.2,304124.70818613825,72.45631537896656
230010301002003,361,319,34,8,41,565.6,433.2,355.1,1353.9,300561.9230372124,1412.5272542724867
230010460002006,0,0,0,0,1,0.7,0,0.6,1.3,306360.98617065215,408.8894152419919
230010400001017,2,2,0,0,9,7.7,2.4,6.4,16.5,116190.39205428309,40.52163742659511
230010301003004,33,0,20,13,153,320.6,39.6,204,564.2,321505.84757891955,1309.8701619880183
230010415002033,0,0,0,0,9,6.3,0,5.4,11.7,300261.33296796563,3524.60005037026
230010102003009,198,0,159,39,30,1493.1,237.6,819.9,2550.6,340637.17298261024,5026.873526898803
230010107002022,0,0,0,0,2,1.4,0,1.2,2.6,342392.471971376,913.8335196003591
230010465002002,0,0,0,0,14,9.8,0,8.4,18.2,190791.53016256687,211.97365906755797
230010410004007,0,0,0,0,6,4.2,0,3.6,7.8,223444.41782061363,882.1206551736274
230010108001000,39,2,0,37,149,235.2,46.8,142.2,424.2,343391.60856063094,1039.4995051114395
230010208023000,0,0,0,0,1,0.7,0,0.6,1.3,344969.58147630846,8340.83879555578
230010415005011,0,0,0,0,42,29.4,0,25.2,54.6,204462.4011300491,54.406483095762795
230010105001011,0,0,0,0,23,16.1,0,13.8,29.9,351598.4874758953,23837.434271242444
230010205005001,0,0,0,0,21,14.7,0,12.6,27.3,348923.42294931517,47418.382201978035
230010105001009,0,0,0,0,9,6.3,0,5.4,11.7,351478.33483766165,32561.09992390185
230010105002007,0,0,0,0,40,28,0,24,52,351443.0425395957,31772.399196517348
230010415001015,1,1,0,0,42,30.1,1.2,25.7,57,248040.56616663374,651.7187134751508
230010209003000,4,1,1,2,57,56,4.8,42.2,103,348436.37651930744,21277.05819858831
230010440002070,0,0,0,0,2,1.4,0,1.2,2.6,8994.068062040602,45.246591946541926
230010410006015,0,0,0,0,7,4.9,0,4.2,9.1,285231.1599662739,64.59015757573673
230010207005011,0,0,0,0,4,2.8,0,2.4,5.2,349365.6637058875,27101.297340258952
230010208012001,0,0,0,0,5,3.5,0,3,6.5,345707.12427892775,10863.82932289614
230010301003005,0,0,0,0,57,39.9,0,34.2,74.1,321991.43448078766,1773.8558967796819
230010301003001,11,0,0,11,3,40.6,13.2,17.2,71,335538.8498188646,2047.1763743144797
230010106002019,0,0,0,0,2,1.4,0,1.2,2.6,347635.4658272055,4827.777283751212
230010302002045,0,0,0,0,16,11.2,0,9.6,20.8,299768.65359848336,4017.782490239316
230010204011007,0,0,0,0,107,74.9,0,64.2,139.1,351389.8429752158,80412.26938553868
230010465001025,27,16,0,11,50,84.7,32.4,53.4,170.5,304127.6526803147,418.61226429682273
230010206003001,0,0,0,0,4,2.8,0,2.4,5.2,329491.4714429837,489.82225854719843
230010208024005,0,0,0,0,34,23.8,0,20.4,44.2,335194.9825747666,1213.1758114918719
230010465003007,7,5,0,2,34,34.3,8.4,25.7,68.4,308171.94046458404,268.8824734715642
230010102001000,47,0,42,5,4,373.1,56.4,206.8,636.3,350483.74056261685,15836.394066335155
230010102002054,0,0,0,0,5,3.5,0,3,6.5,346567.0442657189,14201.179282849665
230010460002015,16,16,0,0,29,31.5,19.2,25.4,76.1,284885.98489071935,241.4155186987209
230010208011000,0,0,0,0,26,18.2,0,15.6,33.8,342319.29920156964,3858.997132132835
230010410005004,0,0,0,0,13,9.1,0,7.8,16.9,323559.57597644255,382.60035616364803
230010105002011,0,0,0,0,39,27.3,0,23.4,50.7,353537.0224622303,44290.325687619064
230010207003007,1,1,0,0,42,30.1,1.2,25.7,57,350337.61702769715,33863.36004457765
230010106002005,7,2,4,1,14,48.3,8.4,29.6,86.3,346776.3583309666,2891.816378887333
230010450001062,0,0,0,0,1,0.7,0,0.6,1.3,69474.86702430624,29.950213165485337
230010108001017,3,3,0,0,32,24.5,3.6,20.7,48.8,352066.1672790877,25560.679995540355
230010203021002,10,0,0,10,45,66.5,12,41,119.5,348911.9861463584,57044.22026089132
230010103002006,0,0,0,0,14,9.8,0,8.4,18.2,353652.23264139553,55610.20619810381
230010108001020,14,14,0,0,60,51.8,16.8,43,111.6,350302.6492488639,36812.36431437108
230010102003007,0,0,0,0,15,10.5,0,9,19.5,352177.1451942134,35129.31144703322
230010415003021,0,0,0,0,1,0.7,0,0.6,1.3,224051.00608932576,55.04675430766478
230010302002032,42,2,0,40,17,153.3,50.4,67.2,270.9,306523.8944496592,4846.17257201776
230010208024010,0,0,0,0,6,4.2,0,3.6,7.8,337988.01591197244,452.161799909865
230010207004015,6,0,0,6,5,24.5,7.2,11.4,43.1,351478.7914383156,47700.41577443092
230010450001075,52,3,0,49,28,193.2,62.4,86.9,342.5,61529.18557604489,342.1448174458632
230010209002005,0,0,0,0,8,5.6,0,4.8,10.4,343355.53782003705,1350.4394691262846
230010204011006,115,0,0,115,68,450.1,138,201.8,789.9,350432.8865523953,80134.31329998864
230010420002005,0,0,0,0,5,3.5,0,3,6.5,168051.86261565724,212.35713565797602
