id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420350303003021,0,0,0,0,6,4.2,0,3.6,7.8,76754.34939590393,342.6347299786056
420350304002056,0,0,0,0,2,1.4,0,1.2,2.6,70866.14255440571,375.46864276053424
420350308003026,2,0,2,0,7,21.7,2.4,13.6,37.7,72809.1486764278,1010.5070066522185
420350308002019,0,0,0,0,29,20.3,0,17.4,37.7,81930.61858320746,311.0696474463752
420350304001013,0,0,0,0,8,5.6,0,4.8,10.4,75927.51409656562,1057.690489422964
420350304004004,6,0,0,6,12,29.4,7.2,15.6,52.2,77075.37226767288,3195.229373136065
420350306002003,0,0,0,0,9,6.3,0,5.4,11.7,82802.97272681323,21341.543984512926
420350307016013,25,0,0,25,5,91,30,38,159,82546.53017052582,23848.105809732515
420350305001017,0,0,0,0,8,5.6,0,4.8,10.4,83058.85746007653,16193.535126435258
420350308001000,0,0,0,0,5,3.5,0,3,6.5,12687.570274577156,7.61091040954534
420350307015055,12,11,0,1,33,34.3,14.4,26.7,75.4,82825.00484813469,23306.984261031583
420350302001079,0,0,0,0,2,1.4,0,1.2,2.6,73030.10827517806,28.631464656623706
420350308003060,14,14,0,0,15,20.3,16.8,16,53.1,77681.45762248832,1165.6306237622232
420350305002034,0,0,0,0,2,1.4,0,1.2,2.6,79834.13025704343,1952.2542756998732
420350304001024,0,0,0,0,1,0.7,0,0.6,1.3,77187.7370812664,1187.018633331842
420350301001259,0,0,0,0,1,0.7,0,0.6,1.3,6140.078052409669,1209.8458916970612
420350301002313,0,0,0,0,5,3.5,0,3,6.5,5417.914244483416,2810.1938454407864
420350305002013,1,0,1,0,9,14.7,1.2,10.1,26,77781.80161418815,1081.0173693501558
420350301001092,0,0,0,0,7,4.9,0,4.2,9.1,6053.5266218951765,931.3476361376512
420350309004005,0,0,0,0,2,1.4,0,1.2,2.6,30651.390816121188,257.11456488071093
420350303001147,0,0,0,0,4,2.8,0,2.4,5.2,78001.52353968291,205.4700123905401
420350307012012,0,0,0,0,10,7,0,6,13,82268.38978298825,27422.05777072346
420350301001094,0,0,0,0,6,4.2,0,3.6,7.8,6386.889569904589,877.4139686019219
420350301001228,0,0,0,0,1,0.7,0,0.6,1.3,4103.1818308383945,1.0399092835011017
