id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
171990212003012,0,0,0,0,10,7,0,6,13,207548.31579461283,22159.873080228812
171990201002096,0,0,0,0,2,1.4,0,1.2,2.6,200045.30475496195,562.4579635741519
171990205003011,0,0,0,0,10,7,0,6,13,202522.98090417913,14550.944973544982
171990212002013,0,0,0,0,33,23.1,0,19.8,42.9,206667.57454107917,13266.634348650765
171990207005033,96,19,0,77,1,283.5,115.2,117.9,516.6,205084.1698113383,5557.070486415256
171990210031035,0,0,0,0,3,2.1,0,1.8,3.9,207982.4113731925,15537.193085689945
171990202012010,0,0,0,0,13,9.1,0,7.8,16.9,204171.5713484108,4738.635090157444
171990208021037,0,0,0,0,2,1.4,0,1.2,2.6,118611.98689546491,67.51298540368666
171990208023078,0,0,0,0,2,1.4,0,1.2,2.6,102692.39476826576,491.7278035966036
171990208022074,0,0,0,0,3,2.1,0,1.8,3.9,4126.804778998838,75.22516533379354
171990202014004,60,0,0,60,1,210.7,72,84.6,367.3,201664.92067149442,486.8477869846959
171990207006016,0,0,0,0,3,2.1,0,1.8,3.9,202576.75775383908,4709.8508553831925
171990209002031,0,0,0,0,9,6.3,0,5.4,11.7,199002.3940858154,172.3034633571312
171990205001032,0,0,0,0,13,9.1,0,7.8,16.9,204013.22102721324,17189.59105777809
171990202012027,104,0,0,104,3,366.1,124.8,147.4,638.3,205617.92417874595,6046.308444296146
171990201002040,1,1,0,0,5,4.2,1.2,3.5,8.9,191562.48880025282,149.2098266477055
171990205001016,0,0,0,0,13,9.1,0,7.8,16.9,204143.93339865978,17717.446630801205
171990206003072,0,0,0,0,9,6.3,0,5.4,11.7,201116.790293469,5941.19284544043
171990206001034,0,0,0,0,7,4.9,0,4.2,9.1,200404.79924211968,2628.091023335174
171990211003027,0,0,0,0,11,7.7,0,6.6,14.3,207601.20135011908,24376.20500486217
171990204001049,12,0,0,12,9,48.3,14.4,22.2,84.9,205440.0130539438,21347.161248204164
171990210021029,5,0,2,3,8,32.9,6,18.4,57.3,204424.24950402335,2484.2402027626363
171990207005036,0,0,0,0,1,0.7,0,0.6,1.3,204356.79935931414,5466.957129838655
171990203002042,0,0,0,0,3,2.1,0,1.8,3.9,206285.51760595068,5404.9382958387905
