id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
180530108002043,0,0,0,0,4,2.8,0,2.4,5.2,148274.39231299245,975.1584587136898
180530106002005,35,0,0,35,1,123.2,42,49.6,214.8,184684.25332087325,404.9814351506084
180530103002024,0,0,0,0,3,2.1,0,1.8,3.9,181774.43359362453,3000.32007515278
180530104003027,0,0,0,0,9,6.3,0,5.4,11.7,179620.47592219856,50.911118465272374
180530107003036,0,0,0,0,3,2.1,0,1.8,3.9,131367.36703787913,11.50417386778983
180530001004019,0,0,0,0,13,9.1,0,7.8,16.9,187887.7683311633,33563.77514536301
180530005001060,0,0,0,0,5,3.5,0,3,6.5,184879.77668110127,23974.975890448775
180530007004041,0,0,0,0,17,11.9,0,10.2,22.1,185053.543162187,5378.3644361835295
180530005002000,20,0,0,20,62,113.4,24,65.2,202.6,181762.44331231905,10054.8144337823
180530106002036,0,0,0,0,18,12.6,0,10.8,23.4,128854.62355213806,70.07210834413509
180530105002035,6,2,4,0,5,38.5,7.2,22.8,68.5,187667.28983048265,10609.56233609548
180530107002012,0,0,0,0,3,2.1,0,1.8,3.9,162011.3951239292,6793.203249545736
180530107003078,0,0,0,0,14,9.8,0,8.4,18.2,97504.44367864731,59.24990585686306
180530005001008,0,0,0,0,17,11.9,0,10.2,22.1,175072.27677551747,445.6688036853567
180530102004017,0,0,0,0,2,1.4,0,1.2,2.6,112026.56598445908,4.300362942320377
180530008004025,0,0,0,0,3,2.1,0,1.8,3.9,187260.60437164898,29584.16080266392
180530106002015,0,0,0,0,2,1.4,0,1.2,2.6,185057.1322934688,5906.994418901973
180530009002011,0,0,0,0,18,12.6,0,10.8,23.4,185854.00153155252,9773.85964194894
180530102001037,325,0,292,33,5,2571.8,390,1421.6,4383.4,187663.6383083869,24138.16133302968
180530102002042,0,0,0,0,2,1.4,0,1.2,2.6,166306.6786454544,1237.4625433354622
180530101003029,0,0,0,0,13,9.1,0,7.8,16.9,151494.18952280073,19.173115975198368
180530106001038,0,0,0,0,7,4.9,0,4.2,9.1,187415.93487781702,174.31850559021635
180530007004033,95,0,18,77,93,485.8,114,248.2,848,186048.90441357077,8602.029241759841
180530009001043,0,0,0,0,2,1.4,0,1.2,2.6,185918.12629694756,2852.4685656580536
180530104002004,3,3,0,0,10,9.1,3.6,7.5,20.2,186602.75878751028,2685.999954818829
180530107003082,0,0,0,0,3,2.1,0,1.8,3.9,46001.422764347924,11.65216627412578
180530105002033,20,0,12,8,18,141.4,24,78.4,243.8,187755.44033745534,9002.59541961007
