id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
271230307026006,4,0,0,4,47,46.9,4.8,33.8,85.5,6713223.77136729,78921.25413089104
271230302013014,0,0,0,0,38,26.6,0,22.8,49.4,9061345.792273821,167390.55074175127
271230339002001,0,0,0,0,8,5.6,0,4.8,10.4,9521470.216290794,228980.22918090035
271230407062002,0,0,0,0,32,22.4,0,19.2,41.6,5150742.0966937905,829.490976036226
271230405031003,11,0,0,11,33,61.6,13.2,35.2,110,6235282.258683762,12132.180238569432
271230375001007,2,0,0,2,26,25.2,2.4,18.4,46,9107623.357501619,24613.60347174236
271230305003001,0,0,0,0,19,13.3,0,11.4,24.7,9342309.204888092,89480.8896995397
271230374022004,0,0,0,0,16,11.2,0,9.6,20.8,8257190.547647825,28240.624595183875
271230304003004,0,0,0,0,24,16.8,0,14.4,31.2,8491398.044226166,31441.709059418576
271230372004013,0,0,0,0,9,6.3,0,5.4,11.7,8063119.05300782,44965.2818710276
271230411032003,21,4,0,17,34,86.1,25.2,46.2,157.5,8858453.928403743,14342.360109167576
271230302023006,379,0,0,379,370,1585.5,454.8,752.6,2792.9,8563677.45239694,95198.10638483532
271230363003001,32,0,0,32,55,150.5,38.4,77.8,266.7,9405937.699142206,90717.79468483593
271230426012004,0,0,0,0,19,13.3,0,11.4,24.7,7068922.981081428,25759.721623589834
271230332002013,2,0,2,0,117,98.7,2.4,79.6,180.7,9652997.63237545,288734.50942624296
271230405021013,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,5880187.051032188,20249.448324235258
271230308003016,0,0,0,0,14,9.8,0,8.4,18.2,8531242.272441855,120401.41700966582
271230427003004,0,0,0,0,14,9.8,0,8.4,18.2,6749872.471331462,19458.222118072972
271230402001034,0,0,0,0,10,7,0,6,13,5647135.378511192,14956.933025915878
271230346012014,0,0,0,0,15,10.5,0,9,19.5,8411117.27098771,148771.32435639188
271230421011035,15,0,0,15,17,64.4,18,31.2,113.6,7833717.115661587,10195.83213590814
271230407051023,0,0,0,0,14,9.8,0,8.4,18.2,8173652.627683786,2162.172378003674
271230410012007,3,0,0,3,10,17.5,3.6,10.2,31.3,7890367.727196541,10045.389830109447
271230414003027,0,0,0,0,18,12.6,0,10.8,23.4,9276664.927521283,43236.74145276105
271230346012005,7,0,0,7,29,44.8,8.4,27.2,80.4,8251732.166835805,107846.32485981766
271230346012025,2,0,0,2,76,60.2,2.4,48.4,111,8300559.0535772275,201125.72867120078
271230403011020,0,0,0,0,30,21,0,18,39,6077572.214617205,5721.936711261906
271230375004002,41,0,0,41,16,154.7,49.2,67,270.9,9532075.761102263,164268.0858252753
271230333003005,118,0,0,118,22,428.4,141.6,178.4,748.4,10201987.249490058,196638.29696027414
271230307023005,15,15,0,0,21,25.2,18,20.1,63.3,6916379.041922748,63709.287859506774
271230347013001,0,0,0,0,26,18.2,0,15.6,33.8,7774981.614683385,61416.71136184516
271230372002002,0,0,0,0,72,50.4,0,43.2,93.6,8357358.226722426,97560.65145023342
271230301001013,6,0,0,6,13,30.1,7.2,16.2,53.5,9431381.164636182,107621.69173057251
270530266142010,0,0,0,0,66,46.2,0,39.6,85.8,7260402.40829319,8958.806960372505
270530256033013,0,0,0,0,116,81.2,0,69.6,150.8,9438500.174989725,90022.5220983557
271230375001013,0,0,0,0,12,8.4,0,7.2,15.6,9096957.227068758,30632.35574862947
271230415001007,3,0,0,3,36,35.7,3.6,25.8,65.1,9290091.614126341,16497.553696992345
271230415004010,3,3,0,0,30,23.1,3.6,19.5,46.2,8893859.69415647,6511.796470464843
271230366003003,0,0,0,0,28,19.6,0,16.8,36.4,9364242.340261199,101727.14223084186
271230375005002,0,0,0,0,39,27.3,0,23.4,50.7,9429654.608863844,105895.85468543455
