id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
180350013001027,18,0,0,18,46,95.2,21.6,52.8,169.6,339981.2014849413,3733.120558128647
180350009041000,0,0,0,0,17,11.9,0,10.2,22.1,346473.86888696114,54897.33647894548
180350009043019,0,0,0,0,10,7,0,6,13,343758.19917907787,46138.72899317696
180350021001032,5,5,0,0,18,16.1,6,13.3,35.4,338619.9279650684,94.52862148210367
180350004001037,17,0,17,0,16,154,20.4,89.5,263.9,345115.83819919836,21294.649834025335
180350028003054,0,0,0,0,6,4.2,0,3.6,7.8,345962.1698944983,28788.052868533723
180350028002015,0,0,0,0,4,2.8,0,2.4,5.2,345817.18541900517,30387.015036077777
180350025012048,0,0,0,0,1,0.7,0,0.6,1.3,246359.0424404701,206.1312616125742
180350025013026,0,0,0,0,4,2.8,0,2.4,5.2,269194.6041204714,55.03050240215068
180350016002017,0,0,0,0,2,1.4,0,1.2,2.6,343710.0192816996,10139.421156283013
180350011001009,163,85,18,60,50,455.7,195.6,241.1,892.4,341982.54889454495,14552.336782424272
180350016001000,247,221,0,26,1,246.4,296.4,147.5,690.3,342988.67417477473,11368.627763816896
180350028003019,0,0,0,0,3,2.1,0,1.8,3.9,345767.11471277964,26933.11297919628
180350023011017,0,0,0,0,17,11.9,0,10.2,22.1,329362.3347614963,1289.2206984606685
180350025013010,0,0,0,0,10,7,0,6,13,234329.42273884604,1145.2579957897403
180350007002003,0,0,0,0,19,13.3,0,11.4,24.7,346247.58709869115,37773.04505611098
180350025021080,0,0,0,0,3,2.1,0,1.8,3.9,318223.2986054947,60.20637087508169
180350027005027,9,0,0,9,13,40.6,10.8,20.4,71.8,299398.4248111211,3710.338718080085
180350027004003,0,0,0,0,11,7.7,0,6.6,14.3,301112.50288967404,3528.784485623835
180350023023024,0,0,0,0,42,29.4,0,25.2,54.6,296863.17658155394,2346.688366338955
180350023012000,4,0,0,4,35,38.5,4.8,26.6,69.9,268194.4078715599,72.11582238838466
180350021002010,15,0,0,15,41,81.2,18,45.6,144.8,338842.6324370082,4538.153053776103
180350027004008,7,0,7,0,16,70,8.4,42.5,120.9,291487.29459564254,3168.2635475210445
180350024042006,0,0,0,0,11,7.7,0,6.6,14.3,326502.8882163257,289.5568063903354
180350013003007,0,0,0,0,1,0.7,0,0.6,1.3,343761.6996858157,10906.993978348462
180350027002033,0,0,0,0,4,2.8,0,2.4,5.2,298855.7561722918,3610.7497155129736
180350028003029,0,0,0,0,4,2.8,0,2.4,5.2,346213.54504209524,29136.37230897197
180350023023028,2,1,0,1,35,28.7,2.4,22.9,54,296974.90166242153,2303.8618266245307
180350025022017,298,0,272,26,12,2384.2,357.6,1322.0000000000002,4063.8,296401.40994365455,4372.072385154917
180350029002000,0,0,0,0,1,0.7,0,0.6,1.3,339980.9386992518,9502.293985289183
180350012003011,0,0,0,0,13,9.1,0,7.8,16.9,342231.4396303424,9585.822530893938
180350016002023,0,0,0,0,16,11.2,0,9.6,20.8,342927.03819868335,7836.504915746478
180350024032016,2,0,0,2,13,16.1,2.4,10.6,29.1,205616.85700351838,31.02759675586364
180350009042009,0,0,0,0,28,19.6,0,16.8,36.4,345588.77889706934,8633.57675647775
180350027002064,1,0,0,1,13,12.6,1.2,9.2,23,313605.9004808964,203.8676495381155
180350027003007,0,0,0,0,8,5.6,0,4.8,10.4,275919.68773889676,101.42184616475122
180350011003007,0,0,0,0,17,11.9,0,10.2,22.1,345637.38252306986,25886.67311414076
180350023024053,0,0,0,0,16,11.2,0,9.6,20.8,189176.26256178768,35.86133554645421
180350022015033,6,6,0,0,9,10.5,7.2,8.4,26.1,298786.9253366925,71.81374999203413
180350026042012,0,0,0,0,5,3.5,0,3,6.5,338891.4178494079,1397.0235114566362
180350004001018,0,0,0,0,13,9.1,0,7.8,16.9,345656.0930547737,28705.10282830957
180350009042003,178,0,64,114,75,989.1,213.6,505.4,1708.1,341836.908843406,27226.927369954534
180350029003006,20,0,0,20,40,98,24,52,174,345998.1549381911,12736.212260472443
180350026023001,0,0,0,0,10,7,0,6,13,251282.20475743912,1875.3432804714114
180350026023014,0,0,0,0,19,13.3,0,11.4,24.7,264996.35128312605,1911.4488327445024
180350012003000,111,88,11,12,327,424.9,133.2,308.7,866.8,340789.6310386972,6292.584947076677
180350020001006,0,0,0,0,16,11.2,0,9.6,20.8,344272.9276108644,23706.38961141603
180350026022004,0,0,0,0,1,0.7,0,0.6,1.3,253623.25349025743,1879.3109728426177
180350008003000,250,13,44,193,24,1071,300,497.9,1868.9,345199.6205521629,58515.263621772756
180350008003018,0,0,0,0,13,9.1,0,7.8,16.9,342705.84288147994,17336.319139762603
180350022011044,6,6,0,0,22,19.6,7.2,16.2,43,263161.01131358946,594.8450301326175
180350021001017,0,0,0,0,11,7.7,0,6.6,14.3,341821.1836143117,3249.3020685423844
180350026022017,13,13,0,0,5,12.6,15.6,9.5,37.7,261563.72918450786,2014.1966516827447
180350026022031,0,0,0,0,6,4.2,0,3.6,7.8,254440.7585995383,1967.4879055956098
180350015001015,0,0,0,0,14,9.8,0,8.4,18.2,344434.52306279197,13139.01017894619
180350016001033,2,0,0,2,8,12.6,2.4,7.6,22.6,340813.95000028564,11317.439340075764
180350028001043,52,24,3,25,17,141.4,62.4,71.3,275.1,347213.191208343,36418.62329691057
180350024032030,19,0,0,19,54,104.3,22.8,59,186.1,332352.7455647586,535.6417407168548
180350022014007,0,0,0,0,12,8.4,0,7.2,15.6,340139.2197718842,731.5691952067717
180350010003014,0,0,0,0,17,11.9,0,10.2,22.1,345603.2356531504,27487.258959632443
180350026032038,0,0,0,0,22,15.4,0,13.2,28.6,327417.4591053626,504.4289712258415
180350014001001,19,0,0,19,18,79.1,22.8,37.4,139.3,343584.1900442741,9835.806935126027
180350024041011,0,0,0,0,11,7.7,0,6.6,14.3,340281.3291419751,8745.414518259127
180350008001049,0,0,0,0,21,14.7,0,12.6,27.3,343995.95730341045,49745.95772609744
180350023024026,0,0,0,0,13,9.1,0,7.8,16.9,279839.98428618186,1543.406556746689
180350010003019,0,0,0,0,20,14,0,12,26,345248.5961282119,32598.477845625865
180350007001020,0,0,0,0,12,8.4,0,7.2,15.6,345177.6366191546,54931.55376144977
180350024033037,0,0,0,0,17,11.9,0,10.2,22.1,327194.0725674985,1599.638074388759
180350027004006,0,0,0,0,4,2.8,0,2.4,5.2,297890.6597732821,3403.3092386063654
180350006001007,17,0,0,17,4,62.3,20.4,26.2,108.9,346888.42252302216,42198.51364026873
180350008003011,0,0,0,0,3,2.1,0,1.8,3.9,342892.13922311785,36283.45007468913
180350010002002,0,0,0,0,28,19.6,0,16.8,36.4,345717.6750634485,23030.15700408242
180350022015027,243,3,0,240,7,847,291.6,341.7,1480.3,259765.5674651272,1515.3761622394477
180350011001013,0,0,0,0,4,2.8,0,2.4,5.2,344027.68568976707,25226.303750442126
180350009022007,1249,0,76,1173,1,4744.6,1498.8,1999.9999999999998,8243.4,343552.62090523524,64360.41129083783
180350026043022,0,0,0,0,5,3.5,0,3,6.5,343165.13734744035,2864.612017012011
180350026023058,0,0,0,0,8,5.6,0,4.8,10.4,251075.44227063403,1815.09109310222
180350005003043,0,0,0,0,19,13.3,0,11.4,24.7,343851.4147609849,14875.509860634575
180350022021036,0,0,0,0,29,20.3,0,17.4,37.7,223074.57846256573,53.197229987565
180350025022020,45,0,0,45,5,161,54,66,281,338802.4074903082,9392.140775895017
180350024013006,0,0,0,0,6,4.2,0,3.6,7.8,337404.6433949313,4874.738750430558
180350024012037,0,0,0,0,12,8.4,0,7.2,15.6,333110.9597995491,2715.981019441709
180350006003010,92,22,11,59,73,365.4,110.4,189.1,664.9,344733.63620501116,18631.972573968647
180350012001008,0,0,0,0,8,5.6,0,4.8,10.4,338364.18248016026,1997.7430769070647
180350020005005,0,0,0,0,6,4.2,0,3.6,7.8,339463.86823896505,1423.6198451589962
180350020005007,0,0,0,0,6,4.2,0,3.6,7.8,343102.9837162794,1862.1914359524571
180350022021000,0,0,0,0,18,12.6,0,10.8,23.4,147592.7423766202,29.231828921133786
180350013003032,0,0,0,0,7,4.9,0,4.2,9.1,342959.27711140964,10311.209499440229
180350011002004,0,0,0,0,12,8.4,0,7.2,15.6,344861.3145286369,26426.048528600055
180350005003030,5,0,0,5,14,27.3,6,15.4,48.7,344600.8522846671,16026.833031740882
180350022012006,0,0,0,0,31,21.7,0,18.6,40.3,340796.622544614,1551.2086432146232
180350013002000,21,0,4,17,2,94.5,25.2,43.8,163.5,342827.6848887994,3939.4436293314957
180350029001023,0,0,0,0,15,10.5,0,9,19.5,344429.7120326972,18385.334541911605
180350016003011,0,0,0,0,11,7.7,0,6.6,14.3,344875.1645441183,15941.629622369868
180350024015006,5,4,0,1,90,69.3,6,57.4,132.7,327999.65045256156,460.96611204760745
180350028003046,0,0,0,0,4,2.8,0,2.4,5.2,345784.1862510765,29414.341915280118
180350027005043,2,2,0,0,2,2.8,2.4,2.2,7.4,274949.24574547395,2682.6789433038666
180350016002011,0,0,0,0,11,7.7,0,6.6,14.3,343621.2732192286,11297.926921253465
180350024043003,0,0,0,0,3,2.1,0,1.8,3.9,340905.0370388073,1684.096764083754
180350023011036,0,0,0,0,12,8.4,0,7.2,15.6,331448.45631512,242.432055964014
180350013002012,0,0,0,0,16,11.2,0,9.6,20.8,341577.29658695764,7074.067248589308
180350022012010,0,0,0,0,9,6.3,0,5.4,11.7,342998.031587439,2028.9922172448046
180350016001023,0,0,0,0,1,0.7,0,0.6,1.3,342503.0355996299,10074.214943436484
180350023024006,0,0,0,0,55,38.5,0,33,71.5,279018.77254194795,1804.765844274431
180350005003009,0,0,0,0,17,11.9,0,10.2,22.1,344784.7906821173,18221.68899718469
180350007001018,0,0,0,0,3,2.1,0,1.8,3.9,345015.6143300611,60089.145862502985
180350010004007,0,0,0,0,9,6.3,0,5.4,11.7,345325.58906029986,33290.64675060948
