id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
261210009001025,0,0,0,0,13,9.1,0,7.8,16.9,783713.7655662817,11640.699680976177
261210036002024,0,0,0,0,3,2.1,0,1.8,3.9,783608.8330719216,951.1258429079174
261210026013007,0,0,0,0,4,2.8,0,2.4,5.2,800988.3683620234,12092.258428619783
261210009002016,0,0,0,0,21,14.7,0,12.6,27.3,781642.726190824,19277.7668115508
261210042004008,0,0,0,0,1,0.7,0,0.6,1.3,815218.2168321606,76159.59017316431
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210042002021,9,6,0,3,12,23.1,10.8,14.4,48.3,818660.4739539608,91600.28322772363
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210026021020,4,0,4,0,115,114.1,4.8,87.8,206.7,802102.9031057431,4136.875030972664
261210003002007,0,0,0,0,10,7,0,6,13,820290.8066635228,39398.12880203075
261210003003014,0,0,0,0,6,4.2,0,3.6,7.8,818334.9757559554,41929.30826184172
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004021024,28,11,2,15,17,88.9,33.6,46.1,168.6,823504.2998307976,25728.06298073556
261210004013004,0,0,0,0,23,16.1,0,13.8,29.9,819347.0909114513,26536.519042377367
261210013002010,0,0,0,0,2,1.4,0,1.2,2.6,818482.4505019392,69779.30433324786
261210014024004,0,0,0,0,9,6.3,0,5.4,11.7,800749.1841012767,44737.736479024155
261210015004013,0,0,0,0,2,1.4,0,1.2,2.6,775798.4964589475,1851.5105201989888
261210001003006,0,0,0,0,8,5.6,0,4.8,10.4,820095.5251767839,15988.02782050404
261210031003007,0,0,0,0,13,9.1,0,7.8,16.9,700061.2612740344,105.87323542105977
261210036003024,0,0,0,0,4,2.8,0,2.4,5.2,782194.0322514141,920.7551186776607
261210019022009,0,0,0,0,8,5.6,0,4.8,10.4,824586.0708719768,30635.804376794717
261210019024004,0,0,0,0,16,11.2,0,9.6,20.8,824461.9409293948,24741.680954275485
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210020002002,14,0,12,2,24,124.6,16.8,73.6,215,815986.3015225927,12608.779044879342
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019021001,11,0,0,11,67,85.4,13.2,55.6,154.2,813899.5336980254,11136.79557428109
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210019011008,1,0,1,0,47,41.3,1.2,32.9,75.4,789994.6549839485,269.8685247870184
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210035002010,2,0,0,2,27,25.9,2.4,19,47.3,624394.640298784,305.0844483303603
261210012003025,0,0,0,0,6,4.2,0,3.6,7.8,808122.4760329067,31063.20211246367
261210005006005,0,0,0,0,13,9.1,0,7.8,16.9,819548.7368292355,25756.364002739443
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210043002043,31,0,29,2,4,253.4,37.2,141.5,432.1,810024.6839177087,21671.494602566247
261210025022009,0,0,0,0,17,11.9,0,10.2,22.1,761315.810562095,5767.247845264703
261210003003013,0,0,0,0,11,7.7,0,6.6,14.3,815480.9123898108,45027.87999704415
261210036004018,0,0,0,0,7,4.9,0,4.2,9.1,763136.2841991093,879.8054953304019
261210001003008,0,0,0,0,20,14,0,12,26,818727.0296158624,17592.762883876014
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210038001017,6,0,0,6,3,23.1,7.2,10.2,40.5,530951.1034189903,4966.845194003279
261210037021040,0,0,0,0,9,6.3,0,5.4,11.7,726260.7645945384,23386.91049275881
261210029003039,0,0,0,0,21,14.7,0,12.6,27.3,352807.3907139879,1863.8525807764186
261210036004037,0,0,0,0,1,0.7,0,0.6,1.3,763365.9225479803,877.7928795566229
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210026011005,47,0,0,47,19,177.8,56.4,77.2,311.4,818630.0180282327,84653.72093001907
261210014023003,0,0,0,0,17,11.9,0,10.2,22.1,794302.7928449562,25819.778673631394
261210014022015,0,0,0,0,16,11.2,0,9.6,20.8,795277.7579105704,28046.761552538937
261210038001033,0,0,0,0,4,2.8,0,2.4,5.2,564670.1320870157,8466.74016097122
261210035002016,0,0,0,0,38,26.6,0,22.8,49.4,525654.2519596799,270.65185213192296
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210026021021,39,36,0,3,4,38.5,46.8,24.6,109.9,804466.9821642345,6284.403003857933
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210015001005,103,0,0,103,11,368.2,123.6,150.8,642.6,817407.0349173672,17336.857840915458
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210030002057,13,6,0,7,7,33.6,15.6,17,66.2,141593.84174565956,445.5115523136998
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210028003007,11,3,0,8,47,63,13.2,40.9,117.1,754098.3926036624,2033.9765115135783
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001024,2,0,2,0,14,26.6,2.4,17.8,46.8,795589.6580389047,14440.962131756236
261210008001033,0,0,0,0,13,9.1,0,7.8,16.9,799682.1194927967,16447.90161207831
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210024001004,5,0,0,5,4,20.3,6,9.4,35.7,803350.6432498273,66545.8676575596
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210037022001,87,0,36,51,215,631.4,104.4,369.6,1105.4,704746.5836566936,14503.60629668488
261210030002038,0,0,0,0,7,4.9,0,4.2,9.1,80288.75591344929,57.65021858576878
261210008003002,0,0,0,0,8,5.6,0,4.8,10.4,813458.7129024914,36491.27927053233
261210003003023,0,0,0,0,12,8.4,0,7.2,15.6,816149.6883107929,41938.09451133339
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210017002002,129,0,24,105,164,683.9,154.8,358.2,1196.9,756713.026360687,2563.6940676129148
261210023003007,0,0,0,0,14,9.8,0,8.4,18.2,746709.6892993577,7510.8246744394
261210033003013,0,0,0,0,2,1.4,0,1.2,2.6,651950.4346185056,18.460397547714447
261210014023025,0,0,0,0,1,0.7,0,0.6,1.3,801021.1043757417,7040.618905316632
261210030003030,0,0,0,0,2,1.4,0,1.2,2.6,373628.1274514594,78.63744066286745
261210030003007,0,0,0,0,46,32.2,0,27.6,59.8,424052.49578287243,72.527586294961
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210028004033,5,5,0,0,17,15.4,6,12.7,34.1,766030.5030634267,8991.533795965002
261210009003012,0,0,0,0,12,8.4,0,7.2,15.6,763892.571823366,9174.557870253439
261210005003002,0,0,0,0,21,14.7,0,12.6,27.3,815592.8112188712,25145.99766055633
261210013001002,0,0,0,0,17,11.9,0,10.2,22.1,814359.8676356379,29130.3932620623
261210025023022,0,0,0,0,9,6.3,0,5.4,11.7,737525.5274767344,5480.3445472906315
261210042001015,0,0,0,0,5,3.5,0,3,6.5,822836.2377065766,19482.89939545961
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210006011000,13,0,0,13,16,56.7,15.6,27.8,100.1,817619.7421598005,93185.3258856017
261210014023008,0,0,0,0,12,8.4,0,7.2,15.6,799646.6197590871,32484.289418237837
261210010001024,0,0,0,0,7,4.9,0,4.2,9.1,745444.8834916842,2340.6345300187736
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210030001038,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,69663.93646320376,66.80620169723665
261210025012013,0,0,0,0,9,6.3,0,5.4,11.7,741331.6215433239,547.4999454711184
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210015004005,1,1,0,0,27,19.6,1.2,16.7,37.5,789320.5710320389,1865.860298097995
261210028004046,0,0,0,0,6,4.2,0,3.6,7.8,737033.9103139073,488.6067150345002
261210034001000,0,0,0,0,9,6.3,0,5.4,11.7,801162.3720251643,190.16288129196792
261210019024013,0,0,0,0,16,11.2,0,9.6,20.8,820592.7690559548,18829.50764448009
261210017001006,0,0,0,0,16,11.2,0,9.6,20.8,807876.3540817932,5651.919119044354
261210027012011,0,0,0,0,3,2.1,0,1.8,3.9,791823.8972058264,2513.962141928517
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210036001028,1,1,0,0,73,51.8,1.2,44.3,97.3,634496.8153580601,533.0107313958542
261210020003029,0,0,0,0,9,6.3,0,5.4,11.7,782139.8160584691,1788.4357364426332
261210026022016,0,0,0,0,74,51.8,0,44.4,96.2,792182.7781300287,34726.19999805826
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210030003016,10,0,0,10,19,48.3,12,25.4,85.7,116978.22081267645,174.75124087533115
261210015001027,0,0,0,0,11,7.7,0,6.6,14.3,815874.2903092032,18937.463132208457
261210029003036,0,0,0,0,36,25.2,0,21.6,46.8,453111.4725616512,4401.546779226384
261210014023014,0,0,0,0,13,9.1,0,7.8,16.9,795015.8396248185,31807.4302178086
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210006011029,5,0,0,5,2,18.9,6,8.2,33.1,809509.065660389,31478.64315759239
261210038001006,0,0,0,0,11,7.7,0,6.6,14.3,150069.25785893176,14.983662546053894
261210034002028,3,3,0,0,22,17.5,3.6,14.7,35.8,783631.7101980997,156.31589823180434
261210034002028,3,3,0,0,22,17.5,3.6,14.7,35.8,783631.7101980997,156.31589823180434
261210034002028,3,3,0,0,22,17.5,3.6,14.7,35.8,783631.7101980997,156.31589823180434
261210034002028,3,3,0,0,22,17.5,3.6,14.7,35.8,783631.7101980997,156.31589823180434
