id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
250199502012008,0,0,0,0,18,12.6,0,10.8,23.4,43367.514360722365,6912.597961023081
250199502011013,38,16,0,22,82,145.6,45.6,88,279.2,43445.00540295307,16226.72118759959
250199504002015,23,3,0,20,50,107.1,27.6,59.5,194.2,43382.05756391733,4752.312391225181
250199501001037,3,1,0,2,1,8.4,3.6,3.9,15.9,43378.68179901177,15677.218044408817
250199502012015,82,18,0,64,35,261.1,98.4,119.6,479.1,43350.143914631364,4908.349059611216
250199502021004,11,10,0,1,13,19.6,13.2,14.2,47,43341.93315346664,3659.1554691196407
250199501002081,3,0,0,3,13,19.6,3.6,12,35.2,43412.10287763419,23061.100117131635
250199502011001,7,0,5,2,15,59.5,8.4,35.3,103.2,43437.66165389325,21724.452318525222
250199503071045,0,0,0,0,3,2.1,0,1.8,3.9,40881.04291370921,593.4991529469569
250199503071017,0,0,0,0,7,4.9,0,4.2,9.1,41252.73946609357,241.40098270695546
250199502021000,136,87,4,45,186,382.2,163.2,236.9,782.3,43405.86495302041,10397.811795552634
250199501002036,157,9,107,41,22,1064,188.4,578,1830.4,43413.94015711096,21033.378798476908
250199504002017,64,33,7,24,45,197.4,76.8,110,384.2,43336.11003259235,4227.767795522464
250199505001057,0,0,0,0,5,3.5,0,3,6.5,42952.44205617095,394.29606942600697
250199504001020,1,1,0,0,28,20.3,1.2,17.3,38.8,43371.810915952185,1622.8508929325062
250199504001001,27,8,0,19,49,106.4,32.4,60,198.8,43355.21649916848,3516.607837297763
250199505001058,0,0,0,0,16,11.2,0,9.6,20.8,43096.659165222634,436.34099513413196
250199501002028,5,0,5,0,1,42.7,6,24.1,72.8,43410.912050160434,21276.33043507111
250199504002004,68,41,15,12,51,232.4,81.6,138.4,452.4,43347.17265667811,3353.6331178073983
250199503071053,0,0,0,0,1,0.7,0,0.6,1.3,6366.018407097416,14.107365943431384
250199505001077,2,0,0,2,4,9.8,2.4,5.2,17.4,42696.98067263368,1879.4826116959416
250199504001002,18,16,0,2,48,51.8,21.6,39.6,112.99999999999999,43301.15093028349,460.0160030463951
250199502011021,1,0,0,1,13,12.6,1.2,9.2,23,43418.41207275006,18285.59535017962
250199501002037,0,0,0,0,13,9.1,0,7.8,16.9,43421.518922061674,22495.729344290496
