id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210023001003,1,0,0,1,19,16.8,1.2,12.8,30.8,547131.6479396484,585.4510288941445
260210201002000,0,0,0,0,21,14.7,0,12.6,27.3,123623.95499317403,28.9291162879289
260210005001030,0,0,0,0,17,11.9,0,10.2,22.1,568668.4306852962,17938.329919371365
260210209001037,0,0,0,0,4,2.8,0,2.4,5.2,247164.34098904236,20051.108257607782
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102011016,7,0,0,7,60,66.5,8.4,45.8,120.7,479929.74910271546,5357.889999586658
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210102014015,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,537413.323030547,10970.239532172265
260210011002026,0,0,0,0,16,11.2,0,9.6,20.8,594951.0497929801,4059.089391130598
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210018001022,1,1,0,0,14,10.5,1.2,8.9,20.6,585369.0773079542,144.14043666730646
260210106002026,0,0,0,0,1,0.7,0,0.6,1.3,295363.8763846936,89.56755279223275
260210106001041,0,0,0,0,11,7.7,0,6.6,14.3,416028.1716380483,106.8019271810786
260210014003007,0,0,0,0,19,13.3,0,11.4,24.7,600395.2235140766,1360.6001696229596
260210014003017,2,0,0,2,7,11.9,2.4,7,21.3,618241.2919804122,7339.635654358164
260210014003017,2,0,0,2,7,11.9,2.4,7,21.3,618241.2919804122,7339.635654358164
260210014003017,2,0,0,2,7,11.9,2.4,7,21.3,618241.2919804122,7339.635654358164
