id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
360775904023063,0,0,0,0,2,1.4,0,1.2,2.6,29229.717667862078,101.78201220037089
360775904023105,0,0,0,0,6,4.2,0,3.6,7.8,22823.04238708351,7.085596092794265
360775916021006,0,0,0,0,3,2.1,0,1.8,3.9,10385.952504114406,6.6378001596216905
360775901022067,0,0,0,0,3,2.1,0,1.8,3.9,120045.75592188866,103.07124636071278
360775906001135,0,0,0,0,2,1.4,0,1.2,2.6,16964.86008400797,6.093259646488978
360775905003049,4,4,0,0,7,7.7,4.8,6.2,18.7,143779.54462141806,413.32617812310997
360775902022012,3,0,0,3,73,61.6,3.6,48,113.2,80754.92505128788,31827.698965293417
360775901013009,0,0,0,0,6,4.2,0,3.6,7.8,29968.053272281795,8.082412643265148
360775909003005,121,6,16,99,40,513.1,145.2,240.8,899.1,119468.28926211612,31518.998260881603
360775911002024,29,0,0,29,63,145.6,34.8,78.4,258.8,117315.85907154951,24260.159583344488
360775904023024,0,0,0,0,6,4.2,0,3.6,7.8,17681.611242704326,7.147194606169975
360775902011048,0,0,0,0,2,1.4,0,1.2,2.6,108317.49759395361,1015.7497307666011
360775914022045,0,0,0,0,1,0.7,0,0.6,1.3,98122.97449787946,9.726031957165334
360775906001022,0,0,0,0,7,4.9,0,4.2,9.1,48834.092204192486,42.69014731170124
360775917002009,0,0,0,0,8,5.6,0,4.8,10.4,115744.06071281816,5770.103508378668
360775907012032,0,0,0,0,8,5.6,0,4.8,10.4,93458.95054994716,1145.1763306922871
360775916021017,0,0,0,0,16,11.2,0,9.6,20.8,9142.3322907116,21.03302754155878
360775915004021,0,0,0,0,8,5.6,0,4.8,10.4,80233.59533060897,631.7498985504926
360775911001000,337,128,5,204,132,938,404.4,452.3,1794.7,110538.5790773185,5506.831057108654
360775904012003,0,0,0,0,7,4.9,0,4.2,9.1,7407.387503912677,29.463395033417612
360775905003058,0,0,0,0,12,8.4,0,7.2,15.6,142619.33120840078,1979.4779014041574
360775905002009,0,0,0,0,1,0.7,0,0.6,1.3,100026.51504816592,8.614306984128827
360775915003056,0,0,0,0,3,2.1,0,1.8,3.9,49080.172491417754,7.45139459436211
360775904021051,0,0,0,0,2,1.4,0,1.2,2.6,41621.74504706978,3.8310731276371275
360775902011009,0,0,0,0,3,2.1,0,1.8,3.9,59207.02910181407,9.290970807786897
360775915003043,0,0,0,0,5,3.5,0,3,6.5,87944.07506016585,28.139525092679275
360775901022017,0,0,0,0,2,1.4,0,1.2,2.6,54650.75531340455,38.30613078865169
360775902021046,0,0,0,0,8,5.6,0,4.8,10.4,57160.37315228522,18.34209671625532
