id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
261550303002029,0,0,0,0,11,7.7,0,6.6,14.3,222189.36262616128,5869.261780100039
261550302002025,0,0,0,0,6,4.2,0,3.6,7.8,149485.665212995,34.23753606303326
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550314022065,9,0,9,0,26,93.8,10.8,57.9,162.5,116574.71565631965,354.4741090077609
261550302002023,0,0,0,0,6,4.2,0,3.6,7.8,128729.89115966528,14.252488748764215
261550301002067,0,0,0,0,2,1.4,0,1.2,2.6,100967.29760054531,2.4334588917319686
261550316001036,0,0,0,0,8,5.6,0,4.8,10.4,239704.98424059956,19033.05322112086
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550316002052,5,5,0,0,7,8.4,6,6.7,21.1,239475.27834506158,15766.61928225004
261550301004027,0,0,0,0,4,2.8,0,2.4,5.2,203598.38727115816,6.633243027245845
261550316002042,0,0,0,0,4,2.8,0,2.4,5.2,239711.6876870634,15182.936169340042
261550304002016,0,0,0,0,5,3.5,0,3,6.5,227459.2879544829,46174.69133067229
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550304003015,1,0,0,1,38,30.1,1.2,24.2,55.5,230932.30154449248,52764.34877037632
261550308002026,0,0,0,0,22,15.4,0,13.2,28.6,230600.08258360173,23070.201415962714
261550314014040,0,0,0,0,5,3.5,0,3,6.5,106741.62914553394,5538.361938711736
261550318001042,0,0,0,0,2,1.4,0,1.2,2.6,65449.3503874009,43.26250518549191
261550304003003,0,0,0,0,25,17.5,0,15,32.5,227187.98690715106,42710.55065593375
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550319001027,8,8,0,0,15,16.1,9.6,13,38.7,185624.3080169419,16094.769723496534
261550314012037,0,0,0,0,10,7,0,6,13,208658.75058636614,85.04472030548159
261550319003048,0,0,0,0,5,3.5,0,3,6.5,201762.17181984312,19223.32613692685
261550302003024,0,0,0,0,12,8.4,0,7.2,15.6,188755.2866821533,209.10682293779877
261550303003007,0,0,0,0,8,5.6,0,4.8,10.4,207474.4349188546,1163.446633564453
261550301005067,0,0,0,0,8,5.6,0,4.8,10.4,223031.8253958041,1651.9467243655895
261550304001014,0,0,0,0,8,5.6,0,4.8,10.4,218695.00800408053,17089.992273522643
261550317001014,0,0,0,0,19,13.3,0,11.4,24.7,207806.52445445204,117.66282527362233
261550313023047,0,0,0,0,14,9.8,0,8.4,18.2,205472.15295419245,967.8869551136584
261550318001038,0,0,0,0,20,14,0,12,26,80732.77819347501,35.330657021475865
261550314011022,0,0,0,0,1,0.7,0,0.6,1.3,121327.88522211181,33.28987044088101
261550301002061,0,0,0,0,1,0.7,0,0.6,1.3,111796.70483667328,12.153616447514729
261550306001011,0,0,0,0,3,2.1,0,1.8,3.9,232400.55911606736,53219.77030043573
261550313013050,0,0,0,0,10,7,0,6,13,112764.01872022603,2468.8267844553284
261550314012000,0,0,0,0,5,3.5,0,3,6.5,220914.11338452125,304.22145343992275
261550318001020,5,0,0,5,22,32.9,6,20.2,59.1,63246.367874815835,123.63421593394497
261550318001020,5,0,0,5,22,32.9,6,20.2,59.1,63246.367874815835,123.63421593394497
261550318001020,5,0,0,5,22,32.9,6,20.2,59.1,63246.367874815835,123.63421593394497
261550318001020,5,0,0,5,22,32.9,6,20.2,59.1,63246.367874815835,123.63421593394497
261550318001020,5,0,0,5,22,32.9,6,20.2,59.1,63246.367874815835,123.63421593394497
