id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
250039008004018,0,0,0,0,13,9.1,0,7.8,16.9,279694.43121564627,3717.103211250183
250039201013018,21,0,0,21,24,90.3,25.2,43.8,159.3,113309.92264351525,16587.632128474124
250039313001003,2,0,0,2,1,7.7,2.4,3.4,13.5,81865.79941968873,137.6910871008815
250039201014012,3,0,0,3,6,14.7,3.6,7.8,26.1,115395.31320060884,14778.050496914188
250039213003011,22,0,10,12,24,142.8,26.4,78.2,247.4,98203.71693459808,20390.36539588688
250039002003010,9,0,0,9,33,54.6,10.8,32.4,97.8,291310.66775379324,69324.55443596838
250039111003016,0,0,0,0,9,6.3,0,5.4,11.7,292094.9004386052,3303.1918102049967
250039008004020,0,0,0,0,22,15.4,0,13.2,28.6,280985.2279682008,4995.227312077621
250039004004002,0,0,0,0,11,7.7,0,6.6,14.3,283521.8156807827,1229.9882741179404
250039004003027,0,0,0,0,5,3.5,0,3,6.5,275038.5737330532,2039.9756041403864
250039131003016,1,0,0,1,2,4.9,1.2,2.6,8.7,277481.89078403916,52.53193721881017
250039131005014,122,0,5,117,69,499.8,146.4,228.7,874.9,283177.7005995877,7519.076699905246
250039121007004,1,0,0,1,25,21,1.2,16.4,38.6,232129.4185858482,1465.5885988466964
250039141001013,0,0,0,0,6,4.2,0,3.6,7.8,254276.74824593862,135.98221811090724
250039004004006,0,0,0,0,39,27.3,0,23.4,50.7,275113.71022061876,1574.7826899506417
250039311002021,23,0,0,23,7,85.4,27.6,36.4,149.4,90824.61228693275,339.2835228434462
250039261001071,0,0,0,0,4,2.8,0,2.4,5.2,49685.51713601749,58.90369216863976
250039215001004,0,0,0,0,36,25.2,0,21.6,46.8,96944.48729412253,2928.5297155301055
250039008003012,0,0,0,0,28,19.6,0,16.8,36.4,268595.12538727175,326.1003501359778
250039314001063,0,0,0,0,2,1.4,0,1.2,2.6,197579.34145474396,15.627550962286449
250039111003018,1,0,1,0,10,15.4,1.2,10.7,27.3,298624.57115332433,4020.034955092928
250039008001006,0,0,0,0,44,30.8,0,26.4,57.2,268604.7690793913,1094.2628347309706
250039352002011,0,0,0,0,11,7.7,0,6.6,14.3,277759.7912586414,10526.671637624364
250039008001004,0,0,0,0,14,9.8,0,8.4,18.2,263415.8358881985,803.1741677716935
250039121006000,42,2,39,1,24,349.3,50.4,200.1,599.8,234694.89403183243,2573.3691452331836
250039334002032,0,0,0,0,5,3.5,0,3,6.5,18993.005520775954,155.95485332554316
250039351002018,4,4,0,0,8,8.4,4.8,6.8,20,133347.68321784106,20.415451662249858
250039332002041,0,0,0,0,1,0.7,0,0.6,1.3,78236.12715171056,93.97944597318852
250039353003012,2,0,0,2,29,27.3,2.4,20.2,49.9,97711.34477729582,19467.051285630107
250039251012011,31,27,0,4,10,39.9,37.2,25.1,102.2,109798.72454996718,576.7223992559461
250039111003014,0,0,0,0,5,3.5,0,3,6.5,295598.9305753372,3017.956553855549
250039353003056,3,0,0,3,21,25.2,3.6,16.8,45.6,108149.84213163005,25280.39817559155
250039141003014,37,4,0,33,39,145.6,44.4,71.6,261.6,258299.25287457727,10733.200033798044
250039322002035,0,0,0,0,14,9.8,0,8.4,18.2,57373.81597540986,234.13314767884572
250039131006013,3,0,0,3,8,16.1,3.6,9,28.7,273713.86245724926,2960.2820834466766
250039131006012,0,0,0,0,6,4.2,0,3.6,7.8,269272.87889114185,4971.52635354783
250039131001005,30,0,1,29,72,160.3,36,88.5,284.8,267212.8571207075,2431.728070605744
250039221003021,2,0,0,2,8,12.6,2.4,7.6,22.6,204875.25777883668,9152.895035009791
250039004003010,0,0,0,0,7,4.9,0,4.2,9.1,272020.0850110758,1667.6169846363027
250039131007020,7,0,5,2,37,74.9,8.4,48.5,131.8,268522.9901510857,1269.5004230017862
250039251021067,0,0,0,0,1,0.7,0,0.6,1.3,71315.51768447962,280.50746193019313
250039214001009,36,19,17,0,14,165.9,43.2,97.8,306.9,106659.08632383183,6828.029584326245
250039002004002,0,0,0,0,7,4.9,0,4.2,9.1,288859.8244237192,69505.94020613587
250039223002019,0,0,0,0,27,18.9,0,16.2,35.1,195278.0342678506,757.3425178423639
250039121006021,0,0,0,0,3,2.1,0,1.8,3.9,278082.07851401187,929.926120926437
250039333002055,0,0,0,0,5,3.5,0,3,6.5,19558.320592896107,10.147535818674271
250039215002015,3,0,0,3,32,32.9,3.6,23.4,59.9,97161.17873845148,2743.6863285832615
250039353002005,0,0,0,0,3,2.1,0,1.8,3.9,93980.08956812588,9709.058671431627
250039131005012,0,0,0,0,9,6.3,0,5.4,11.7,283299.1380111181,7722.6843555032265
250039009005002,119,0,0,119,14,426.3,142.8,175,744.1,288021.49832139217,65761.95421095581
250039241001019,0,0,0,0,1,0.7,0,0.6,1.3,252952.63535684583,366.7123742151259
250039222003044,8,1,0,7,58,65.8,9.6,45.1,120.5,189964.64544442788,7901.732823285672
250039353003007,2,0,0,2,17,18.9,2.4,13,34.3,107043.34272008641,22063.487935143996
250039351002023,0,0,0,0,2,1.4,0,1.2,2.6,238210.19598659186,911.7111833913583
250039111002006,0,0,0,0,26,18.2,0,15.6,33.8,298234.94970461103,3987.9786605779254
250039251022010,0,0,0,0,7,4.9,0,4.2,9.1,86753.61501315927,10815.420464535717
250039121006001,7,6,0,1,10,14.7,8.4,10.4,33.5,224194.35242315108,221.74810427149964
250039215001011,17,17,0,0,2,13.3,20.4,9.7,43.4,98115.10654326361,3028.0309500509825
250039352003008,136,0,53,83,19,749,163.2,376.7,1288.9,283123.412335511,29591.565371283268
250039213002011,0,0,0,0,62,43.4,0,37.2,80.6,105627.74305300247,22111.576123948613
250039201022025,0,0,0,0,5,3.5,0,3,6.5,122591.58562129247,13852.00525382799
250039231002013,0,0,0,0,7,4.9,0,4.2,9.1,194507.3053545391,43.59543117246706
250039005002009,0,0,0,0,5,3.5,0,3,6.5,201894.64822515135,41.86454575890596
250039353003013,3,0,0,3,16,21.7,3.6,13.8,39.1,99785.87216113733,20493.571119166903
250039201021014,0,0,0,0,4,2.8,0,2.4,5.2,149701.0567971088,28.743267105695992
250039009004010,0,0,0,0,28,19.6,0,16.8,36.4,284494.11902615736,19673.6595689643
250039131005003,10,0,0,10,21,49.7,12,26.6,88.3,278578.4505728411,1439.2260067015247
250039351002008,0,0,0,0,8,5.6,0,4.8,10.4,65904.16554724354,13.554367086388867
250039333001006,0,0,0,0,3,2.1,0,1.8,3.9,41594.01177272614,48.292058182015914
250039322002041,0,0,0,0,2,1.4,0,1.2,2.6,46314.3082027932,192.4091903488444
250039121005014,0,0,0,0,11,7.7,0,6.6,14.3,266575.62864160276,3472.621595401884
250039333001021,0,0,0,0,3,2.1,0,1.8,3.9,18438.565041528967,58.47990200247377
250039251024020,0,0,0,0,5,3.5,0,3,6.5,103412.26535063001,16633.372104355953
250039352002008,0,0,0,0,13,9.1,0,7.8,16.9,272333.9591401728,5065.80705863773
250039001003039,116,0,16,100,2,485.8,139.2,216.4,841.4,288765.7406076859,86895.0237923109
250039201011009,17,9,0,8,41,63,20.4,40.3,123.7,110336.43511801263,6528.1289963503195
250039201011021,76,58,0,18,2,105,91.2,55.4,251.6,106118.7376288019,1552.086919027253
250039352004001,0,0,0,0,9,6.3,0,5.4,11.7,274661.27147620235,2080.2194842119666
250039314001029,0,0,0,0,4,2.8,0,2.4,5.2,152576.08038754598,12.233643997632658
250039322002039,0,0,0,0,4,2.8,0,2.4,5.2,38471.80095430905,106.2922045999072
250039141003011,41,41,0,0,39,56,49.2,43.9,149.1,270794.1239478867,7448.756572678047
250039201013015,0,0,0,0,17,11.9,0,10.2,22.1,114826.86289158052,15869.943515118397
250039223002025,0,0,0,0,6,4.2,0,3.6,7.8,251310.8776095071,105.11630404106383
250039352004004,0,0,0,0,79,55.3,0,47.4,102.7,282060.9299457482,8287.942061768084
250039111001040,0,0,0,0,2,1.4,0,1.2,2.6,284761.0881553974,460.88276285492356
250039111001029,22,22,0,0,2,16.8,26.4,12.2,55.4,288266.2209452499,277.6641016560296
250039141001002,128,0,0,128,79,503.3,153.6,226.6,883.5,259486.5550663192,1681.410035239398
250039333002005,0,0,0,0,14,9.8,0,8.4,18.2,64325.218049049174,50.61149496119936
250039352002010,0,0,0,0,17,11.9,0,10.2,22.1,275614.278658632,11069.919272639814
250039333001013,0,0,0,0,8,5.6,0,4.8,10.4,32211.853238403713,37.127251744892654
250039333002018,7,7,0,0,21,19.6,8.4,16.1,44.1,47993.24611586209,49.975404272732426
250039241003026,2,0,0,2,4,9.8,2.4,5.2,17.4,165930.80312950793,73.93519947139008
250039313001011,0,0,0,0,10,7,0,6,13,55407.96111548429,24.88283124018108
250039261003026,0,0,0,0,8,5.6,0,4.8,10.4,44601.79250806917,348.95498346891804
250039231002017,0,0,0,0,5,3.5,0,3,6.5,270881.9982292641,157.52094893148143
250039251022013,12,12,0,0,12,16.8,14.4,13.2,44.4,92438.48741245735,16543.206865180633
250039141004035,0,0,0,0,10,7,0,6,13,233109.58658428292,1423.4312365428739
250039261001063,0,0,0,0,2,1.4,0,1.2,2.6,55363.327572104376,75.82465546562733
250039009001010,2,2,0,0,93,66.5,2.4,56.8,125.7,283480.02605134714,6987.049556953259
250039008001013,0,0,0,0,24,16.8,0,14.4,31.2,260926.668820302,186.96264153366653
250039009004007,0,0,0,0,9,6.3,0,5.4,11.7,287547.3717844283,57322.45658782514
250039261003028,1,0,0,1,3,5.6,1.2,3.2,10,38871.055310024756,42.29259137645027
250039007002010,2,0,0,2,33,30.1,2.4,22.6,55.1,272873.1149528441,3048.3577036242664
250039221001000,9,0,0,9,92,95.9,10.8,67.8,174.5,193694.37701093973,9547.276513148247
250039352004005,11,0,0,11,27,57.4,13.2,31.6,102.2,282289.6714376177,7947.988862709345
250039001002010,60,0,3,57,70,273.7,72,135.9,481.6,286387.547363823,82286.5757360689
250039009002004,0,0,0,0,34,23.8,0,20.4,44.2,286992.8131754652,38558.97498851669
250039241001016,0,0,0,0,8,5.6,0,4.8,10.4,262563.8401983942,641.9552044255404
250039222003018,0,0,0,0,37,25.9,0,22.2,48.1,167704.80717702667,2587.9841070231028
250039008002011,0,0,0,0,1,0.7,0,0.6,1.3,282112.6737359579,1753.734717112504
250039201011014,4,4,0,0,8,8.4,4.8,6.8,20,133842.05520289534,13166.6657944883
250039006001009,0,0,0,0,24,16.8,0,14.4,31.2,268437.6468519141,9602.267686074369
250039005002037,9,0,3,6,37,72.1,10.8,44.7,127.6,265761.78215002,1539.5939408716526
250039004003016,0,0,0,0,3,2.1,0,1.8,3.9,283623.949604637,1445.8340913695606
250039351004021,10,0,0,10,7,39.9,12,18.2,70.1,261641.57761523605,145.7332956430684
250039251021043,48,1,36,11,38,368.2,57.6,207.9,633.7,123506.00706070542,7631.253856344526
250039334002020,0,0,0,0,2,1.4,0,1.2,2.6,34321.42928638908,17.182309808318145
250039141004008,3,0,0,3,2,11.9,3.6,5.4,20.9,133108.2028944399,34.175653378642124
250039213001025,7,7,0,0,44,35.7,8.4,29.9,74,93001.17011772424,2033.6534406199671
250039314002027,2,1,0,1,35,28.7,2.4,22.9,54,158351.19838471993,77.93547885400686
250039311001012,0,0,0,0,8,5.6,0,4.8,10.4,99140.80044520405,10325.01044302235
250039009002010,60,2,0,58,91,268.1,72,136.8,476.9,291133.3221815012,36035.35328462125
250039231003003,0,0,0,0,2,1.4,0,1.2,2.6,152423.9463329061,392.37866678054303
250039121004011,2,0,0,2,22,22.4,2.4,16,40.8,263740.05659927905,3934.1281469462083
250039201022023,1,0,0,1,37,29.4,1.2,23.6,54.2,91752.57579379689,2608.139921143182
250039333002020,7,2,0,5,2,20.3,8.4,9.2,37.9,53139.054767241505,71.78646101458462
250039002002000,20,0,0,20,44,100.8,24,54.4,179.2,284784.69140303927,34800.22374007704
250039121003014,0,0,0,0,18,12.6,0,10.8,23.4,254751.83487182992,4731.810727226671
250039121007001,0,0,0,0,6,4.2,0,3.6,7.8,215447.50693277328,38.870539947507275
250039241003008,0,0,0,0,2,1.4,0,1.2,2.6,201728.49772396556,460.84008604862805
250039241003029,0,0,0,0,1,0.7,0,0.6,1.3,216818.5071881202,5187.140312212202
250039008004007,0,0,0,0,43,30.1,0,25.8,55.9,283730.3281141474,10710.157017302203
250039141001020,18,0,2,16,63,116.9,21.6,69.6,208.1,229997.0511566858,1449.9719908026445
250039251011016,1,0,0,1,4,6.3,1.2,3.8,11.3,132371.53808118321,1170.4293351078622
250039322002113,0,0,0,0,5,3.5,0,3,6.5,95505.26349140143,61.76565885235028
250039343001012,1,0,0,1,2,4.9,1.2,2.6,8.7,70446.17859526134,156.1513790015496
250039322002095,0,0,0,0,3,2.1,0,1.8,3.9,67948.11582151034,47.0592996254907
250039314001071,0,0,0,0,2,1.4,0,1.2,2.6,235937.42233020047,56.66058495062296
250039011003007,2,0,0,2,8,12.6,2.4,7.6,22.6,287732.9746579444,22609.463320078103
250039334003013,0,0,0,0,6,4.2,0,3.6,7.8,43555.84479182296,256.82982945860454
250039111003017,3,0,0,3,2,11.9,3.6,5.4,20.9,298263.6140616046,4221.1160290502
250039141005022,104,92,11,1,14,170.1,124.8,107.5,402.4,242029.54901396835,6815.133018087675
250039006004004,0,0,0,0,24,16.8,0,14.4,31.2,276380.6672050627,50119.78271874297
250039121002005,6,0,6,0,15,60.9,7.2,37.2,105.3,250320.21535022548,5099.539793854717
250039213002006,0,0,0,0,8,5.6,0,4.8,10.4,94116.37002001077,5928.009359750312
