id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
391450026003040,1,0,0,1,3,5.6,1.2,3.2,10,52967.94577865819,1491.8326547473673
391450027002026,2,2,0,0,16,12.6,2.4,10.6,25.6,159289.5331597271,851.2298887350631
391450025004011,0,0,0,0,1,0.7,0,0.6,1.3,166099.68587067793,201.75400241836968
391450028001052,0,0,0,0,21,14.7,0,12.6,27.3,105053.99563200041,31.77578329761305
391450039002001,0,0,0,0,22,15.4,0,13.2,28.6,159310.11532970972,1589.9462563361262
391450026004015,6,0,0,6,3,23.1,7.2,10.2,40.5,52135.515255646744,1581.17734344467
391450021003038,0,0,0,0,1,0.7,0,0.6,1.3,157041.10396100915,3751.3583186213377
391450039003073,0,0,0,0,21,14.7,0,12.6,27.3,166653.70045677462,2016.7912691716251
391450038001013,0,0,0,0,10,7,0,6,13,167887.7106540845,1573.0505304218375
391450026003034,0,0,0,0,25,17.5,0,15,32.5,46920.56931535829,1455.6667196998746
391450030004005,0,0,0,0,12,8.4,0,7.2,15.6,170188.21998422212,2688.670238418174
391450021003002,0,0,0,0,8,5.6,0,4.8,10.4,153198.64643885967,3199.525320676093
391450022001042,0,0,0,0,5,3.5,0,3,6.5,85664.94526583883,28.848645493576285
391450031003023,29,3,8,18,18,144.9,34.8,75.1,254.8,173455.084882387,7622.129803916263
391450037003007,0,0,0,0,9,6.3,0,5.4,11.7,170859.4337255797,22477.17067366539
391450030002049,0,0,0,0,7,4.9,0,4.2,9.1,172930.3164056828,2989.0445520941153
391450021003028,7,0,0,7,19,37.8,8.4,21.2,67.4,142940.79915009715,897.0488635649675
391450040003023,0,0,0,0,10,7,0,6,13,143683.18658097315,304.19823777663987
391450039002016,0,0,0,0,8,5.6,0,4.8,10.4,161518.15241554455,1867.3482006499728
391450028004024,0,0,0,0,7,4.9,0,4.2,9.1,26751.125615772708,44.982264532859006
391450021001041,0,0,0,0,10,7,0,6,13,95455.54188995452,101.13195479298226
391450022004023,0,0,0,0,6,4.2,0,3.6,7.8,167848.23877612725,2665.2686893993296
391450030002036,32,32,0,0,5,25.9,38.4,19,83.3,161049.01426193357,228.27233714533384
391450039001022,0,0,0,0,28,19.6,0,16.8,36.4,164535.07565187017,1635.7490992632106
391450023004065,0,0,0,0,2,1.4,0,1.2,2.6,1447.5306378782934,248.87641972148714
391450028001003,0,0,0,0,16,11.2,0,9.6,20.8,147633.04682980094,23.508358226785607
391450040002008,0,0,0,0,6,4.2,0,3.6,7.8,165358.7613648457,240.01885223035447
391450023001022,0,0,0,0,6,4.2,0,3.6,7.8,2850.903276667188,12.803638548544377
391450040003036,0,0,0,0,9,6.3,0,5.4,11.7,124665.07981176386,10.999797533663315
391450039001009,3,0,0,3,9,16.8,3.6,9.6,29.999999999999996,166253.19374096335,2039.8788280375754
391450023003022,0,0,0,0,1,0.7,0,0.6,1.3,27875.001790440274,26.02734293083858
391450033002001,0,0,0,0,26,18.2,0,15.6,33.8,169945.35416247175,14897.18608881724
391450036002033,39,0,0,39,102,207.9,46.8,115.8,370.5,172238.04856717135,38094.079268523725
391450040001058,0,0,0,0,10,7,0,6,13,160578.42365059006,148.83178314233504
391450036001008,0,0,0,0,16,11.2,0,9.6,20.8,173209.07964204857,45003.86522831391
391450029021031,0,0,0,0,9,6.3,0,5.4,11.7,162982.88454682066,8813.102703374434
391450028001015,2,0,0,2,21,21.7,2.4,15.4,39.5,156235.58995645237,596.6766305986458
391450021001000,0,0,0,0,24,16.8,0,14.4,31.2,17511.073768759838,33.25406855145521
391450040001036,0,0,0,0,36,25.2,0,21.6,46.8,65668.57718169002,46.411780689137146
391450028003024,0,0,0,0,11,7.7,0,6.6,14.3,139809.32725083933,3246.5545290312
391450039003011,0,0,0,0,17,11.9,0,10.2,22.1,165936.90040733584,1481.5307286964883
391450039003069,0,0,0,0,7,4.9,0,4.2,9.1,163865.84769511232,1886.5170838150548
391450039003022,0,0,0,0,10,7,0,6,13,166999.51945996057,540.4469511266807
391450021003034,9,9,0,0,2,7.7,10.8,5.7,24.2,159565.46394095322,3828.541583687172
391450026003027,0,0,0,0,4,2.8,0,2.4,5.2,57928.44374651487,1668.541261299277
391450026003038,0,0,0,0,1,0.7,0,0.6,1.3,56869.72324295464,1553.2482559290322
391450021003040,6,0,6,0,2,51.8,7.2,29.4,88.4,158729.45055475133,3776.147191670179
391450030004016,0,0,0,0,10,7,0,6,13,170414.08101191,2724.9150952657023
391450033002002,0,0,0,0,9,6.3,0,5.4,11.7,170523.25264618162,15031.87551628025
391450031002005,0,0,0,0,29,20.3,0,17.4,37.7,172835.2636843582,7801.241855006958
391450038003005,0,0,0,0,12,8.4,0,7.2,15.6,172550.722868995,20326.91279644716
391450037001022,4,0,0,4,5,17.5,4.8,8.6,30.9,173705.31738324894,36502.954546544745
391450021003065,0,0,0,0,4,2.8,0,2.4,5.2,113171.13298847106,22.052566929171174
391450031003012,55,0,20,35,12,298.9,66,150.2,515.1,171091.87110076292,2592.3211990039204
391450039003080,0,0,0,0,5,3.5,0,3,6.5,168593.92239713823,1818.332408879113
391450039001018,0,0,0,0,25,17.5,0,15,32.5,163789.9440914144,1887.3673606999173
391450023001003,0,0,0,0,2,1.4,0,1.2,2.6,81598.92221712586,9.540996911842097
391450025001024,0,0,0,0,10,7,0,6,13,164256.74367326044,1629.808019692631
391450040001042,0,0,0,0,3,2.1,0,1.8,3.9,142774.10475641265,397.8158281488729
391450036002038,11,0,0,11,20,52.5,13.2,27.4,93.1,172429.68643225287,37281.70908340723
391450040003033,0,0,0,0,18,12.6,0,10.8,23.4,146868.9599392436,656.9142010631493
391450029012027,0,0,0,0,4,2.8,0,2.4,5.2,163672.64678060482,5640.8400740342195
391450022004032,0,0,0,0,1,0.7,0,0.6,1.3,166970.12971905887,2700.603351531263
391450021003053,26,0,0,26,5,94.5,31.2,39.4,165.1,162453.59592082517,3649.6090055602285
391450026004018,0,0,0,0,17,11.9,0,10.2,22.1,56754.30981846109,1639.5822990643258
391450039001003,0,0,0,0,9,6.3,0,5.4,11.7,166608.03202987337,2043.7024470775616
391450035002002,3,0,0,3,48,44.1,3.6,33,80.7,171184.52673762207,18761.151082751345
391450033002015,1146,0,0,1146,52,4047.4,1375.2,1635.6,7058.2,170176.8656161027,23424.584824077683
391450022002001,0,0,0,0,8,5.6,0,4.8,10.4,133609.73212651184,293.04652120176314
391450026004029,0,0,0,0,2,1.4,0,1.2,2.6,66031.64821648323,1656.536238606644
391450025003007,2,0,0,2,42,36.4,2.4,28,66.8,133818.97598571132,233.6665751609626
391450024001029,0,0,0,0,3,2.1,0,1.8,3.9,149804.06119225346,68.28543455399024
391450039002004,0,0,0,0,13,9.1,0,7.8,16.9,161988.7231326613,1871.6859223027266
391450025001011,0,0,0,0,1,0.7,0,0.6,1.3,158011.33098655968,40.17573261120711
391450036002017,0,0,0,0,6,4.2,0,3.6,7.8,170838.3273501792,22510.56344829259
391450034005013,7,0,0,7,3,26.6,8.4,11.6,46.6,175696.3369913371,30287.842091830305
391450028002039,15,10,0,5,55,63,18,45,126,111693.877688918,507.1819559487239
391450029011022,0,0,0,0,3,2.1,0,1.8,3.9,160823.35515580527,3093.1250902684183
391450029021039,15,0,1,14,2,58.8,18,25.5,102.3,159075.0120789818,3891.801086041961
391450036003006,10,10,0,0,1,7.7,12,5.6,25.3,173775.53439045046,48912.10298983512
391450026003022,0,0,0,0,4,2.8,0,2.4,5.2,63132.71719380302,1669.487351893082
391450031002027,35,0,0,35,16,133.7,42,58.6,234.3,173789.76168541732,9848.011641581166
391450028002010,0,0,0,0,9,6.3,0,5.4,11.7,100559.94695821476,54.894183750036404
391450034005014,0,0,0,0,17,11.9,0,10.2,22.1,174455.42683331537,30552.99289855459
391450021003039,0,0,0,0,3,2.1,0,1.8,3.9,159719.46996902218,3681.6423898452613
391450021003052,4,0,0,4,42,43.4,4.8,30.8,79,158688.43097644378,3481.084769708595
391450025004014,2,0,2,0,6,21,2.4,13,36.4,168473.92699933294,240.0918377703625
391450032001015,0,0,0,0,4,2.8,0,2.4,5.2,171313.53533013735,5897.935983769515
391450027003044,0,0,0,0,10,7,0,6,13,19176.25190450277,13.543638258260382
391450031001028,0,0,0,0,11,7.7,0,6.6,14.3,173466.9836016332,3008.287732584978
391450039001005,0,0,0,0,5,3.5,0,3,6.5,167827.82631833214,2034.938847753419
391450037001015,0,0,0,0,10,7,0,6,13,172585.41042529015,34151.59557787567
391450040003003,0,0,0,0,17,11.9,0,10.2,22.1,163155.85950096184,200.5661506016595
391450034002006,0,0,0,0,21,14.7,0,12.6,27.3,173830.3296228642,35374.54529576891
391450040002007,8,0,0,8,30,49,9.6,29.2,87.8,156519.10350353923,97.3504671605095
391450039001008,0,0,0,0,7,4.9,0,4.2,9.1,165968.8119182889,2037.348798497297
391450040004048,0,0,0,0,4,2.8,0,2.4,5.2,59017.11657149443,127.85560816190402
391450027002000,0,0,0,0,2,1.4,0,1.2,2.6,118170.9292152469,101.04468875618147
391450040003016,3,3,0,0,38,28.7,3.6,24.3,56.6,105919.83736995305,68.9318312430811
391450021003027,3,0,0,3,2,11.9,3.6,5.4,20.9,93247.63822147196,82.15543918164899
391450024004004,14,6,8,0,8,77,16.8,45.4,139.2,162855.51862516257,258.26864837306283
391450025002013,0,0,0,0,2,1.4,0,1.2,2.6,160742.79401918247,246.54669411100465
391450028002023,0,0,0,0,6,4.2,0,3.6,7.8,138764.47337822057,3169.7266344234463
391450030003005,0,0,0,0,10,7,0,6,13,167068.48298103755,2536.809086405723
391450023003020,0,0,0,0,1,0.7,0,0.6,1.3,25574.785657305336,40.84760646428256
391450021001047,0,0,0,0,1,0.7,0,0.6,1.3,123819.3941618602,439.59786158851597
391450027002008,0,0,0,0,1,0.7,0,0.6,1.3,155988.4403412907,32.620925136997236
391450024001024,0,0,0,0,2,1.4,0,1.2,2.6,128111.16639183264,29.08577036169391
391450039001001,0,0,0,0,6,4.2,0,3.6,7.8,166092.45393819493,2056.1148505979213
391450021001039,0,0,0,0,4,2.8,0,2.4,5.2,130401.312821527,376.9132539892408
391450024002034,0,0,0,0,4,2.8,0,2.4,5.2,131157.22525890107,423.93278198184817
391450026003049,0,0,0,0,9,6.3,0,5.4,11.7,131629.99206969878,222.89609132303954
391450023004099,0,0,0,0,2,1.4,0,1.2,2.6,27625.6668543476,32.607654018346324
391450035003016,11,0,0,11,9,44.8,13.2,20.8,78.8,173671.63937831295,26087.834409643732
391450037001023,0,0,0,0,8,5.6,0,4.8,10.4,173633.95109310705,34946.526690978506
391450031001031,0,0,0,0,14,9.8,0,8.4,18.2,173343.08122255452,6272.586058233489
391450039003004,1,0,0,1,12,11.9,1.2,8.6,21.7,164469.60498900485,1347.7829949876
391450040004020,0,0,0,0,2,1.4,0,1.2,2.6,100465.6839883966,1.9999941352253503
391450032001001,40,0,0,40,86,200.2,48,107.6,355.8,170632.88716281264,6592.9026787958155
391450036001018,0,0,0,0,1,0.7,0,0.6,1.3,169730.53650892148,38731.231485977434
391450032001007,12,0,12,0,13,109.9,14.4,64.2,188.5,173358.08740907858,10489.73402006398
391450030002037,0,0,0,0,1,0.7,0,0.6,1.3,164429.17883582256,360.7098957308083
391450038002012,6,0,1,5,155,134.4,7.2,104.7,246.3,168593.23316618745,12891.861758602612
391450035003022,0,0,0,0,16,11.2,0,9.6,20.8,173180.75531154522,25648.08500812468
391450029022045,9,0,0,9,15,42,10.8,21.6,74.4,166293.74356476127,10633.890803411141
391450029021041,0,0,0,0,3,2.1,0,1.8,3.9,152909.53401261958,2644.268082145949
391450037001016,15,0,0,15,22,67.9,18,34.2,120.1,172885.05886084554,32171.683120767077
391450027002022,0,0,0,0,21,14.7,0,12.6,27.3,145621.3550850717,1352.594933823454
391450022004028,3,0,0,3,1,11.2,3.6,4.8,19.6,169173.45003397952,2726.4587955676075
391450026004020,139,0,6,133,18,528.5,166.8,225.2,920.5,49479.80279564078,1594.01856709213
391450040003024,8,0,0,8,6,32.2,9.6,14.8,56.6,142017.3706906534,376.63634278780665
391450036002031,9,4,0,5,1,21,10.8,9.6,41.4,171611.316590546,34570.32844383222
391450028002009,0,0,0,0,6,4.2,0,3.6,7.8,60775.40266255889,106.20978310239346
391450022004033,0,0,0,0,3,2.1,0,1.8,3.9,165540.39417118984,2695.2618564291993
391450031002009,258,80,64,114,26,1010.8,309.6,516,1836.4,171267.72025773715,7709.761627057984
391450023001021,0,0,0,0,21,14.7,0,12.6,27.3,1782.5296953075385,28.886947059286058
391450027002017,0,0,0,0,18,12.6,0,10.8,23.4,148167.66656324157,302.12563877700387
391450027002014,0,0,0,0,1,0.7,0,0.6,1.3,161428.8023709302,578.9583007179749
391450035002007,0,0,0,0,4,2.8,0,2.4,5.2,172209.1007550357,19137.671655072998
391450035002006,11,0,0,11,17,50.4,13.2,25.6,89.2,171665.7978097085,26103.050222135687
391450038001028,12,0,0,12,21,56.7,14.4,29.4,100.5,169434.18539635104,2229.8788636994973
391450021001002,0,0,0,0,3,2.1,0,1.8,3.9,71747.92840296365,21.297160046791156
391450022004040,32,0,32,0,2,270.2,38.4,151.6,460.2,166766.17479933484,2695.1728656638998
391450027003037,0,0,0,0,3,2.1,0,1.8,3.9,112326.28795381081,65.38454297508203
391450023001019,0,0,0,0,7,4.9,0,4.2,9.1,3447.4693943198363,29.87456922952167
391450030004015,0,0,0,0,1,0.7,0,0.6,1.3,171084.8599656489,2736.0932857638404
391450034003006,16,0,0,16,29,76.3,19.2,39.8,135.3,173369.06204862453,34335.15490339812
391450030001017,0,0,0,0,3,2.1,0,1.8,3.9,169418.94638392172,791.4332744089945
391450035001004,0,0,0,0,29,20.3,0,17.4,37.7,172212.59336633782,26558.559171288118
391450036001003,42,5,0,37,10,140,50.4,60.3,250.7,171007.83056734683,45338.26040785495
391450038002015,0,0,0,0,23,16.1,0,13.8,29.9,166675.1092312572,8777.640065680032
391450028002002,0,0,0,0,6,4.2,0,3.6,7.8,119883.66535782714,269.0896427036548
391450021002002,0,0,0,0,1,0.7,0,0.6,1.3,14200.630701300977,5.111700715459611
391450025004015,5,0,5,0,60,84,6,59.5,149.5,162106.617860106,331.78323991975
391450038002005,4,0,4,0,39,60.9,4.8,42.2,107.9,165315.88543001757,4533.387815513686
391450029012025,1,1,0,0,18,13.3,1.2,11.3,25.8,158282.5394399049,6132.851186252352
391450021002014,0,0,0,0,4,2.8,0,2.4,5.2,26458.211988686875,6.642050587026476
391450026002038,196,0,26,170,5,816.9,235.2,363.2,1415.3,150613.6794062155,3675.8284514436154
391450032002009,17,2,0,15,86,114.1,20.4,73.6,208.1,174506.00438156904,8012.167037130464
391450021003036,0,0,0,0,2,1.4,0,1.2,2.6,160635.4090734151,3871.8287830192503
391450039003009,3,0,0,3,29,30.8,3.6,21.6,56,156891.42260447118,1134.6578042125575
391450021002034,0,0,0,0,1,0.7,0,0.6,1.3,63755.820923949264,8.409606101228672
391450039003010,0,0,0,0,16,11.2,0,9.6,20.8,162275.13338603705,1785.7987231209831
391450022003037,0,0,0,0,3,2.1,0,1.8,3.9,153171.1118284178,19.43727011929139
391450029022028,0,0,0,0,18,12.6,0,10.8,23.4,164963.58076148873,2970.4330517359363
391450031001024,0,0,0,0,5,3.5,0,3,6.5,173252.4126536809,6947.631117626019
391450021002040,0,0,0,0,1,0.7,0,0.6,1.3,20290.468925847148,1.488016188764696
391450034003008,0,0,0,0,12,8.4,0,7.2,15.6,172570.32726398468,33235.598250884635
391450037002019,0,0,0,0,20,14,0,12,26,173986.73747367013,47430.95334140573
391450040004050,0,0,0,0,3,2.1,0,1.8,3.9,51804.11073075376,121.00376299531588
391450023001028,0,0,0,0,3,2.1,0,1.8,3.9,18839.050487969314,5.773608291764772
391450031001027,2,0,0,2,13,16.1,2.4,10.6,29.1,171947.3441812564,4435.786160216308
391450033001001,0,0,0,0,21,14.7,0,12.6,27.3,172255.11386755778,19802.77416679499
391450033001007,0,0,0,0,47,32.9,0,28.2,61.1,172687.88812101883,28271.37980476756
391450035003028,7,0,7,0,30,79.8,8.4,50.9,139.1,173531.6770894362,45657.75010844139
391450036001015,0,0,0,0,39,27.3,0,23.4,50.7,173532.16287859244,39830.93950825722
391450031003010,0,0,0,0,10,7,0,6,13,170092.7954077122,2663.308427363753
391450029022035,57,6,0,51,64,227.5,68.4,112.8,408.7,167457.2654243547,10571.280771180896
391450022003031,0,0,0,0,1,0.7,0,0.6,1.3,82561.36698012546,28.004292304520725
391450033002006,369,0,0,369,38,1318.1,442.8,539.4,2300.3,168572.46896618695,15210.51004062677
391450027004031,0,0,0,0,2,1.4,0,1.2,2.6,97638.30900957917,72.4557576224862
391450024002018,0,0,0,0,2,1.4,0,1.2,2.6,159852.4973057898,13.144972784365873
391450024002000,0,0,0,0,13,9.1,0,7.8,16.9,132628.57053636198,121.13348513691332
391450037002003,40,9,8,23,25,171.5,48,89.3,308.8,171782.24148881872,44231.53744784897
391450035001006,3,0,0,3,19,23.8,3.6,15.6,43,168320.49312333393,15501.621052470673
391450038002026,10,0,10,0,17,95.9,12,57.2,165.1,171340.43086880664,16266.442655575476
391450026003044,0,0,0,0,3,2.1,0,1.8,3.9,44090.676227591255,77.38419390486645
391450027004009,0,0,0,0,3,2.1,0,1.8,3.9,131562.8097865349,29.33690776864167
391450035001011,0,0,0,0,31,21.7,0,18.6,40.3,171115.87987364203,17195.33644671515
391450022003035,0,0,0,0,3,2.1,0,1.8,3.9,113518.01018075444,42.2115303014039
391450021003016,0,0,0,0,32,22.4,0,19.2,41.6,146262.4035441382,502.4542708462087
391450036002006,81,0,0,81,2,284.9,97.2,114.6,496.7,173009.68564668586,41893.6866617164
391450036002035,787,43,1,743,1,2639.7,944.4,1067,4651.1,172911.2549913844,38841.982170767704
391450032001000,0,0,0,0,7,4.9,0,4.2,9.1,173682.85995406072,4894.851408137691
391450023001043,0,0,0,0,3,2.1,0,1.8,3.9,102167.91082202511,27.18983402253964
391450023001036,0,0,0,0,11,7.7,0,6.6,14.3,9025.760224898766,41.60130245001025
391450028004034,0,0,0,0,4,2.8,0,2.4,5.2,83222.28565705866,118.41382951990914
391450029012006,0,0,0,0,7,4.9,0,4.2,9.1,136901.25553377406,3184.3781972593724
391450029022049,0,0,0,0,13,9.1,0,7.8,16.9,167349.9611664075,10674.696150996457
391450026001030,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,63437.11682575909,1539.30276868673
391450037001008,31,0,6,25,30,158.9,37.2,81.2,277.3,172861.61547809126,33532.90991305648
391450021003067,0,0,0,0,3,2.1,0,1.8,3.9,165431.0133205026,78.40757668186119
391450021001007,0,0,0,0,34,23.8,0,20.4,44.2,57967.4254961669,96.94853960877694
391450034001005,13,0,0,13,6,49.7,15.6,21.8,87.1,175608.62213774223,15090.198130584722
391450040001000,0,0,0,0,2,1.4,0,1.2,2.6,94681.70946484803,7.310244395248645
391450023001042,0,0,0,0,1,0.7,0,0.6,1.3,60249.84124643625,27.037415965653185
391450024001003,0,0,0,0,6,4.2,0,3.6,7.8,56535.80678501389,7.987941789965751
391450030004004,74,0,0,74,1,259.7,88.8,104.2,452.7,170854.3515417015,2614.795112310205
391450024004041,0,0,0,0,2,1.4,0,1.2,2.6,88516.34577199926,35.508530323032716
391450039003070,0,0,0,0,13,9.1,0,7.8,16.9,162144.02094379507,1945.3414970446725
391450039002003,0,0,0,0,24,16.8,0,14.4,31.2,160134.6329075915,1943.3988051737244
391450031003004,6,6,0,0,52,40.6,7.2,34.2,82,163568.10647735902,1358.4408133753652
391450024002044,0,0,0,0,5,3.5,0,3,6.5,148495.2000114672,64.04949411213283
391450026003028,0,0,0,0,5,3.5,0,3,6.5,57166.86726549323,1672.1440420100805
391450026003036,0,0,0,0,7,4.9,0,4.2,9.1,60801.55887996989,1625.9651677126826
391450034003009,0,0,0,0,47,32.9,0,28.2,61.1,174134.1252539494,31687.53331882025
391450036003017,71,3,3,65,9,261.1,85.2,112,458.3,173990.4762296741,43372.239798191375
391450040003011,20,0,20,0,8,173.6,24,98.8,296.4,157328.20888081464,863.7838733393053
391450039003036,0,0,0,0,19,13.3,0,11.4,24.7,169335.62851444058,538.269677529459
391450034003005,0,0,0,0,33,23.1,0,19.8,42.9,173378.2668337468,31681.496564221954
391450029022063,0,0,0,0,13,9.1,0,7.8,16.9,160854.9681480281,8878.329763737716
391450023004087,0,0,0,0,8,5.6,0,4.8,10.4,62023.24708971703,187.98708139184745
391450028004035,0,0,0,0,28,19.6,0,16.8,36.4,35872.673072560196,77.43448437033923
391450031003008,207,4,175,28,71,1620.5,248.4,906.3,2775.2,150662.6330825555,2794.8067339998647
391450030004002,0,0,0,0,10,7,0,6,13,170738.28902281696,2692.884490904823
391450040003034,0,0,0,0,13,9.1,0,7.8,16.9,149783.92297739608,869.8817757688477
391450036003035,31,4,19,8,1,191.1,37.2,103.1,331.4,173362.5158551859,41197.0827252842
391450023004083,0,0,0,0,2,1.4,0,1.2,2.6,50286.940510111715,86.02989591776245
391450030003013,0,0,0,0,32,22.4,0,19.2,41.6,166260.4500348018,2608.150236926797
391450037001021,290,0,0,290,18,1027.6,348,416.8,1792.4,172780.330171826,36557.67886452135
391450029021042,0,0,0,0,1,0.7,0,0.6,1.3,154072.34690596504,2485.1523457254048
391450029021044,0,0,0,0,22,15.4,0,13.2,28.6,153064.592387887,2199.433700541693
391450029012011,27,0,0,27,2,95.9,32.4,39,167.3,141990.59656657925,3252.671008845863
