id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
550050003001083,0,0,0,0,2,1.4,0,1.2,2.6,41364.315129965995,18.743452400418555
550050004001022,0,0,0,0,4,2.8,0,2.4,5.2,97653.86272220472,5.215781221887028
550050009004006,0,0,0,0,1,0.7,0,0.6,1.3,19770.14131044265,3.830619320830311
550050005003029,0,0,0,0,8,5.6,0,4.8,10.4,121838.15637299776,15975.752737053383
550050006011015,0,0,0,0,6,4.2,0,3.6,7.8,119005.47456105564,23460.856063426407
550050004004008,2,0,0,2,1,7.7,2.4,3.4,13.5,134043.742908264,16967.040288287593
550050003002031,565,215,0,350,54,1413.3,678,629.9,2721.2,44917.937938945404,4522.687029642695
550050010043077,0,0,0,0,9,6.3,0,5.4,11.7,107022.32485519898,4395.179415723461
550050004005027,227,0,0,227,19,807.8,272.4,329.2,1409.4,130463.93005742236,15868.27773615873
550050004005044,0,0,0,0,11,7.7,0,6.6,14.3,125805.83979755118,11337.118791488021
550050010043105,0,0,0,0,2,1.4,0,1.2,2.6,100815.8661684442,3154.1812843583716
550050003001076,0,0,0,0,1,0.7,0,0.6,1.3,55392.72548831501,37.25478805751629
550050002002051,0,0,0,0,2,1.4,0,1.2,2.6,75317.08017382746,22.383571841024736
550050005004003,2,0,2,0,8,22.4,2.4,14.2,39,123071.20236740794,19327.522970712773
550050008001013,5,0,0,5,8,23.1,6,11.8,40.9,120996.20034235631,1110.2638827748544
550050006023020,0,0,0,0,3,2.1,0,1.8,3.9,118979.0870931256,23577.068109514348
550050006023023,0,0,0,0,9,6.3,0,5.4,11.7,119161.6890890393,23245.53770708901
550050004004015,0,0,0,0,7,4.9,0,4.2,9.1,130916.42674846148,14527.446150337573
550050004005029,2,2,0,0,10,8.4,2.4,7,17.8,130940.23997244221,15389.641254314598
550050010043010,0,0,0,0,6,4.2,0,3.6,7.8,110096.10332889913,7548.246134393738
550050010043078,0,0,0,0,14,9.8,0,8.4,18.2,101135.59856806479,2847.625322147067
550050009003011,1,1,0,0,7,5.6,1.2,4.7,11.5,22344.897433052232,20.173918717742083
550050002001006,0,0,0,0,2,1.4,0,1.2,2.6,41869.28504638988,392.44022612014925
550050001001061,0,0,0,0,2,1.4,0,1.2,2.6,500.57379685094304,171.26158888891297
550050010043011,0,0,0,0,9,6.3,0,5.4,11.7,110193.25829787378,7657.434367140515
550050009005025,5,0,0,5,8,23.1,6,11.8,40.9,17498.658068635035,234.25975449966285
550050005002004,1,0,0,1,32,25.9,1.2,20.6,47.7,119853.84451419018,3225.0275643021578
550050003001084,0,0,0,0,4,2.8,0,2.4,5.2,24776.08693450919,5.972903110451931
550050009001027,0,0,0,0,4,2.8,0,2.4,5.2,68547.25208326081,8.330360652586174
550050005002027,0,0,0,0,10,7,0,6,13,121220.5441016852,1303.1415492627716
550050009004009,0,0,0,0,1,0.7,0,0.6,1.3,21264.03171269309,30.554311780903706
550050004003015,0,0,0,0,2,1.4,0,1.2,2.6,108271.51735989966,17.21654122589206
550050010043013,0,0,0,0,4,2.8,0,2.4,5.2,111621.84510282085,7608.185552513354
550050004004019,0,0,0,0,9,6.3,0,5.4,11.7,46861.772320161275,10.992652390704317
550050010044052,0,0,0,0,1,0.7,0,0.6,1.3,28250.676622897736,406.12809836784146
550050001001026,0,0,0,0,1,0.7,0,0.6,1.3,51680.291480239466,1.1151212274185691
550050001001011,0,0,0,0,1,0.7,0,0.6,1.3,498.3437540805095,71.94889876810046
550050003004007,0,0,0,0,4,2.8,0,2.4,5.2,42598.49573202693,27.03269105358382
550050004002003,1,0,0,1,1,4.2,1.2,2,7.4,125989.71555294383,2322.698560733159
550050002002066,0,0,0,0,17,11.9,0,10.2,22.1,107197.85452477756,6675.479461906585
550050010044053,0,0,0,0,2,1.4,0,1.2,2.6,27344.414645814195,368.58086474962914
550050005003019,0,0,0,0,10,7,0,6,13,123059.98014261406,9247.659309715373
550050008004018,0,0,0,0,8,5.6,0,4.8,10.4,121945.4110640435,2588.7923650877547
550050002002058,0,0,0,0,5,3.5,0,3,6.5,73988.63971843391,397.8651177667116
550050001004019,0,0,0,0,8,5.6,0,4.8,10.4,73415.22682662541,16.800396087584218
550050005002021,0,0,0,0,8,5.6,0,4.8,10.4,119279.6426454602,18800.140631568695
550050006023029,10,0,0,10,96,102.2,12,71.6,185.8,116113.87915242494,10901.027999596006
550050009001013,0,0,0,0,6,4.2,0,3.6,7.8,80616.0288342198,29.43488148605824
550050008001030,0,0,0,0,13,9.1,0,7.8,16.9,123692.00935306323,1099.1558267927087
550050004005048,0,0,0,0,10,7,0,6,13,132484.82417516204,8971.892198850763
550050008001043,0,0,0,0,21,14.7,0,12.6,27.3,126186.48577794117,544.2622247608587
550050005003034,0,0,0,0,20,14,0,12,26,120382.4752790296,10392.724652034289
550050004001052,0,0,0,0,4,2.8,0,2.4,5.2,115946.93062869564,18.93929323890834
550050003004017,0,0,0,0,4,2.8,0,2.4,5.2,39346.570639151585,11.12867062130243
550050010012035,0,0,0,0,10,7,0,6,13,41300.476027249904,17.85669617245577
550050005002001,1,1,0,0,1,1.4,1.2,1.1,3.7,123142.53915647346,10189.736416853226
550050001003051,0,0,0,0,1,0.7,0,0.6,1.3,80918.14167033463,121.69516002696452
550050005002028,195,0,0,195,14,692.3,234,281.4,1207.7,117112.32607249699,4699.501262950814
550050010031019,6,0,6,0,3,52.5,7.2,30.000000000000004,89.7,109885.97274834926,7216.90606075758
550050010011041,0,0,0,0,1,0.7,0,0.6,1.3,86453.9521523315,13.004930664658218
550050004001033,4,0,0,4,5,17.5,4.8,8.6,30.9,95798.11830015335,30.393839537030743
550050004004045,0,0,0,0,2,1.4,0,1.2,2.6,102362.60419114245,1260.3952596018203
550050006011028,0,0,0,0,7,4.9,0,4.2,9.1,119544.31821211473,25466.334657780266
550050004001039,0,0,0,0,3,2.1,0,1.8,3.9,104353.13086088412,8.632551666909054
550050006011029,0,0,0,0,26,18.2,0,15.6,33.8,118042.83659412619,21892.073624532713
550050009002045,0,0,0,0,3,2.1,0,1.8,3.9,34635.789183721565,12.926769610225364
550050002002076,0,0,0,0,6,4.2,0,3.6,7.8,112651.6644430883,4111.978257700006
