id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
172010040041038,0,0,0,0,8,5.6,0,4.8,10.4,683404.7398869259,5734.750295699914
172010015005003,0,0,0,0,34,23.8,0,20.4,44.2,921033.446302755,33984.21244642752
172010015004021,0,0,0,0,18,12.6,0,10.8,23.4,911239.7498222729,23267.038867448253
172010015001015,0,0,0,0,17,11.9,0,10.2,22.1,912787.1309552307,26987.00573751887
172010005071002,197,2,5,190,57,748.3,236.4,324.7,1309.4,927001.6571610104,24451.496392545403
172010043001028,36,0,10,26,11,182.7,43.2,90,315.9,450878.84235178604,4500.102033008165
172010022002059,0,0,0,0,44,30.8,0,26.4,57.2,897324.1337609595,1671.0224128306118
172010040044050,4,0,0,4,3,16.1,4.8,7.4,28.3,693921.1904271262,6786.055715637938
172010040043058,0,0,0,0,12,8.4,0,7.2,15.6,813738.2516354149,1969.047720856973
172010004033024,1,0,0,1,21,18.2,1.2,14,33.4,919505.0854014048,5120.523483241228
172010037112017,0,0,0,0,24,16.8,0,14.4,31.2,777834.7759138393,135.6182142616336
172010038102002,0,0,0,0,28,19.6,0,16.8,36.4,925158.4338377886,1134.9094426038737
172010026004007,0,0,0,0,102,71.4,0,61.2,132.6,911072.5447294131,27568.893771096333
172010031003006,1,0,0,1,24,20.3,1.2,15.8,37.3,910526.5858807901,19309.17046786244
172010041003032,0,0,0,0,8,5.6,0,4.8,10.4,471647.3233883441,35.6950859886748
172010003001004,21,0,0,21,45,105,25.2,56.4,186.6,937860.7722045302,19062.340621645424
172010038052041,0,0,0,0,26,18.2,0,15.6,33.8,857058.283770807,3397.7191672161484
172010026003003,0,0,0,0,19,13.3,0,11.4,24.7,901873.1118867707,16598.304045011213
172010042004023,0,0,0,0,2,1.4,0,1.2,2.6,721145.5023270882,32.69105995971938
172010005132021,0,0,0,0,14,9.8,0,8.4,18.2,926990.6761528538,9300.505715927495
172010038012046,0,0,0,0,1,0.7,0,0.6,1.3,808522.5427416725,4782.757181041986
172010025001002,0,0,0,0,10,7,0,6,13,895835.4402292059,8465.705503396412
172010005141012,0,0,0,0,14,9.8,0,8.4,18.2,936679.4243548182,27213.66691475618
172010008001023,0,0,0,0,5,3.5,0,3,6.5,925916.9976433559,101522.52141583996
172010033001012,0,0,0,0,6,4.2,0,3.6,7.8,891646.7723693217,29169.400627782663
172010004023018,0,0,0,0,16,11.2,0,9.6,20.8,922489.8181535847,12729.245161900475
172010042003000,25,25,0,0,1,18.2,30,13.1,61.3,834817.9822018652,323.05960380173576
172010040044005,0,0,0,0,2,1.4,0,1.2,2.6,718647.7489965968,6443.448019679652
172010039031016,3,3,0,0,41,30.8,3.6,26.1,60.5,393313.1681530209,189.00568313277452
172010041002062,0,0,0,0,6,4.2,0,3.6,7.8,186099.4400391593,1670.5980068570445
172010008003025,1,1,0,0,32,23.1,1.2,19.7,44,925512.94641116,59418.8381005739
172010005012001,0,0,0,0,9,6.3,0,5.4,11.7,917608.379360993,4295.047797006915
172010040031028,0,0,0,0,7,4.9,0,4.2,9.1,560560.141636146,168.78739366032872
172010013002015,0,0,0,0,23,16.1,0,13.8,29.9,921824.724733145,50286.55287992276
172010040041028,0,0,0,0,6,4.2,0,3.6,7.8,664827.5200157496,5960.468659793976
172010036061034,0,0,0,0,2,1.4,0,1.2,2.6,911706.3140316062,14462.130312840518
172010040023043,0,0,0,0,7,4.9,0,4.2,9.1,729040.1007257189,5325.146004491325
172010007002011,0,0,0,0,24,16.8,0,14.4,31.2,922936.2754651435,18393.995967296803
172010019003000,0,0,0,0,16,11.2,0,9.6,20.8,900594.8190850164,7632.023785989206
172010037055008,0,0,0,0,14,9.8,0,8.4,18.2,903362.7682863085,1168.1530347336188
172010018004004,0,0,0,0,7,4.9,0,4.2,9.1,916066.1211446908,23970.410557387702
172010018004006,0,0,0,0,6,4.2,0,3.6,7.8,917729.750390029,23837.62014686392
172010038092006,0,0,0,0,5,3.5,0,3,6.5,928448.4331540009,6605.281223298
172010037114012,0,0,0,0,13,9.1,0,7.8,16.9,708277.5410404325,116.15500833696666
172010005111021,0,0,0,0,34,23.8,0,20.4,44.2,906839.6925487283,13296.847740131247
172010001014005,2,2,0,0,38,27.999999999999996,2.4,23.8,54.2,914753.6240878811,11665.359358497619
172010037101013,0,0,0,0,17,11.9,0,10.2,22.1,915990.5076513401,3541.2253295623846
172010038091035,0,0,0,0,27,18.9,0,16.2,35.1,921287.7762264563,7546.913090792137
172010031001011,0,0,0,0,25,17.5,0,15,32.5,909377.8767997633,32391.740212774865
172010001043002,6,2,0,4,104,88.2,7.2,69,164.4,918835.1861257014,13096.569166794212
172010034003021,0,0,0,0,8,5.6,0,4.8,10.4,898610.9418069827,16585.392864876172
172010042002026,0,0,0,0,4,2.8,0,2.4,5.2,756096.2310264345,6142.173970605873
172010022001023,0,0,0,0,28,19.6,0,16.8,36.4,872764.7043267961,2704.2963496827238
172010033002018,0,0,0,0,5,3.5,0,3,6.5,896737.2513597213,30522.212448504953
172010006003016,0,0,0,0,31,21.7,0,18.6,40.3,928891.5128773127,34781.64553867465
172010001013004,13,1,12,0,11,109.2,15.6,63.5,188.3,917518.9076857548,13042.250268953712
172010011002000,44,0,35,9,177,449.4,52.8,283.3,785.5,929166.860965131,90023.91922836273
172010040032006,7,0,7,0,19,72.1,8.4,44.3,124.8,606390.221840184,2289.56837767912
172010037063022,2,2,0,0,46,33.6,2.4,28.6,64.6,897161.2673647392,1494.7275159258256
172010040021054,0,0,0,0,11,7.7,0,6.6,14.3,692410.0410010029,6249.789697763082
172010043002009,59,5,28,26,70,378.7,70.8,212.5,662,420193.55885806103,3732.4167822247673
172010010003020,2,0,0,2,6,11.2,2.4,6.4,20,909481.4387079265,22368.33319753118
172010012002012,0,0,0,0,8,5.6,0,4.8,10.4,916341.3746201824,40347.75707199439
172010040022028,0,0,0,0,7,4.9,0,4.2,9.1,721804.9029657713,7470.877200714338
172010037052018,0,0,0,0,15,10.5,0,9,19.5,922891.1135260069,2000.670394682716
172010041003095,0,0,0,0,1,0.7,0,0.6,1.3,560607.3399081847,16.111692402898516
172010019003003,0,0,0,0,10,7,0,6,13,897164.3597408159,8678.965551764533
172010002003008,1,0,0,1,16,14.7,1.2,11,26.9,929522.292294954,16090.773453193888
172010005123019,153,0,0,153,40,563.5,183.6,238.2,985.3,935911.2830860883,46156.797373287685
172010006004016,0,0,0,0,6,4.2,0,3.6,7.8,915893.8494098729,31337.8284654858
172010040031016,0,0,0,0,2,1.4,0,1.2,2.6,532036.7845192105,1256.5446535722851
172010038053013,0,0,0,0,15,10.5,0,9,19.5,829378.6528841946,1584.6386264164948
172010002001013,17,0,17,0,6,147,20.4,83.5,250.9,936837.6709415715,18083.349175893836
172010037053075,0,0,0,0,4,2.8,0,2.4,5.2,460649.46583275415,5.9946690151729385
172010039031021,1,0,0,1,11,11.2,1.2,8,20.4,719061.2193889708,105.62715750460248
172010038011013,0,0,0,0,13,9.1,0,7.8,16.9,839991.9524147263,465.81738258788937
172010004022017,0,0,0,0,30,21,0,18,39,935512.1456132333,9786.369773342969
172010034004014,0,0,0,0,12,8.4,0,7.2,15.6,892106.2870440473,24992.303577457133
172010041001020,0,0,0,0,1,0.7,0,0.6,1.3,40985.16375718417,213.98893465887753
172010004012015,0,0,0,0,35,24.5,0,21,45.5,919815.7795770284,8021.18293931429
172010006004017,14,14,0,0,20,23.8,16.8,19,59.6,926821.9692921434,29826.33895382044
172010011002008,0,0,0,0,1,0.7,0,0.6,1.3,929012.3535260011,94233.88082645882
172010034002036,0,0,0,0,4,2.8,0,2.4,5.2,893737.7193494075,28274.2784935877
172010005022011,1,0,0,1,28,23.1,1.2,18.2,42.5,915689.543143686,11920.869145157538
172010036021025,8,0,0,8,51,63.7,9.6,41.8,115.1,898986.2452421187,22359.35310853859
172010039041026,2,2,0,0,20,15.4,2.4,13,30.8,734675.8651529965,2702.634584341138
172010043002029,0,0,0,0,5,3.5,0,3,6.5,468886.8758302437,4595.395941297524
172010039043017,4,0,0,4,2,15.4,4.8,6.8,27,818511.1715352968,6471.296381993269
172010005012009,4,0,0,4,42,43.4,4.8,30.8,79,918412.7759454397,4141.890854697802
172010036011025,0,0,0,0,10,7,0,6,13,898707.7573001864,1301.7220119958538
172010038011018,0,0,0,0,14,9.8,0,8.4,18.2,869589.6994171907,567.801545528534
172010026003011,0,0,0,0,3,2.1,0,1.8,3.9,910242.2737785283,39432.22235041237
172010008001001,144,30,0,114,9,426.3,172.8,180,779.1,920744.5293743255,89698.5922851764
172010041002061,0,0,0,0,5,3.5,0,3,6.5,96343.16305071789,1409.286624770293
172010041003088,0,0,0,0,1,0.7,0,0.6,1.3,263550.7774162754,2.596924192191846
