id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
500219622002005,45,40,0,5,125,133,54,102,289,74321.4599146479,1609.212179764955
500219622003017,0,0,0,0,7,4.9,0,4.2,9.1,16356.851002096391,14.164014691971072
500219642002036,0,0,0,0,11,7.7,0,6.6,14.3,42906.30230306156,25.12379752589236
500219640003000,0,0,0,0,2,1.4,0,1.2,2.6,27558.989218225066,2.0034871278763613
500219625002034,0,0,0,0,8,5.6,0,4.8,10.4,148806.2922026366,592.90727174845
500219636001072,0,0,0,0,6,4.2,0,3.6,7.8,122192.44064917024,312.74390452114744
500219622003020,0,0,0,0,22,15.4,0,13.2,28.6,76576.02093816354,2743.755047040427
500219636002054,0,0,0,0,11,7.7,0,6.6,14.3,122762.8477599233,14.136182610170625
500219635002024,0,0,0,0,1,0.7,0,0.6,1.3,79886.07335852993,59.89216424850724
500219636001063,4,4,0,0,38,29.4,4.8,24.8,59,142481.69528155302,305.65330040422316
500219630002008,0,0,0,0,10,7,0,6,13,169133.32306381493,30437.731306265225
500219627002013,20,16,0,4,12,33.6,24,20.8,78.4,153813.1790524514,967.0658225420566
500219631003017,19,3,4,12,10,84.7,22.8,43.1,150.6,170464.27926316016,47625.98161196803
500219622004005,2,0,0,2,44,37.8,2.4,29.2,69.4,99261.83483937795,2531.886382566888
500219632004004,0,0,0,0,56,39.2,0,33.6,72.8,168602.40998695238,36450.50498863893
500219630003021,0,0,0,0,14,9.8,0,8.4,18.2,167821.69685571323,27853.66542758253
500219636002049,0,0,0,0,3,2.1,0,1.8,3.9,153875.1372813062,95.82779977897583
500219632001000,62,19,0,43,13,172.9,74.4,77.5,324.8,168474.25925427428,4937.744123135896
500219624001039,17,17,0,0,4,14.7,20.4,10.9,45.99999999999999,155679.96781469995,249.5741693217535
500219637002017,0,0,0,0,6,4.2,0,3.6,7.8,143228.99930388117,4904.055567784947
500219630003024,2,0,0,2,18,19.6,2.4,13.6,35.6,163512.6621516976,24996.471356811053
500219643002025,13,0,0,13,39,72.8,15.6,41.6,130,1140.6476242034075,128.72535040127056
500219624002048,27,0,0,27,44,125.3,32.4,64.2,221.9,149168.2344541451,1886.4696969300335
500219625002011,0,0,0,0,4,2.8,0,2.4,5.2,163180.85891650777,585.150330274529
500219628002017,0,0,0,0,10,7,0,6,13,155644.10031309663,837.5528183968456
500219624002033,1,0,0,1,2,4.9,1.2,2.6,8.7,131642.25857086066,49.3574499429416
500219640003098,0,0,0,0,11,7.7,0,6.6,14.3,56969.33046697382,39.44213305741116
500219622001026,3,0,3,0,2,26.6,3.6,15.3,45.5,55690.655519620595,691.2375989453343
500219622003030,0,0,0,0,2,1.4,0,1.2,2.6,82914.12614537058,32.24268657673559
500219640003066,0,0,0,0,5,3.5,0,3,6.5,73044.05615599362,128.9972409023445
500219623003049,3,0,2,1,2,21.7,3.6,12,37.3,28930.681441048997,137.11242011004444
500219623002041,0,0,0,0,5,3.5,0,3,6.5,45889.40557319192,59.19396480849691
500219633004010,6,2,0,4,46,47.6,7.2,34.2,89,167031.7549478178,44229.613684671654
500219628003003,0,0,0,0,1,0.7,0,0.6,1.3,82930.7313200025,2.8746717002874433
500219628002005,34,6,0,28,18,114.8,40.8,52.99999999999999,208.6,141873.59131815555,250.00088880815375
500219640001026,15,12,0,3,29,39.2,18,27.6,84.8,149934.44399325483,2040.5441970978509
500219640001018,0,0,0,0,6,4.2,0,3.6,7.8,144828.36094047673,1403.2571719897549
500219638001043,0,0,0,0,1,0.7,0,0.6,1.3,83979.43728618434,246.6768658864863
500219643001002,5,5,0,0,37,29.4,6,24.7,60.1,7197.465502588113,60.01732437813163
500219634002023,0,0,0,0,3,2.1,0,1.8,3.9,148023.09734933078,88.369052177315
500219642001044,4,3,0,1,28,25.2,4.8,19.7,49.7,7890.245438015263,49.079728233054766
500219628002020,114,28,19,67,54,451.5,136.8,229.5,817.8,157893.29164370924,831.3535185906064
500219630005001,0,0,0,0,6,4.2,0,3.6,7.8,166020.6384428423,30097.27001120975
500219643002021,0,0,0,0,1,0.7,0,0.6,1.3,15183.547847381305,19.791817477770064
500219642001040,0,0,0,0,3,2.1,0,1.8,3.9,20609.91706555342,3.497732819746479
500219635001009,4,0,2,2,40,51.8,4.8,36.2,92.8,94687.07929160369,94.049421915125
500219624001002,0,0,0,0,4,2.8,0,2.4,5.2,103417.29565658304,20.680628940095623
500219637001004,0,0,0,0,16,11.2,0,9.6,20.8,89624.23669741178,52.8924288022437
500219623002027,0,0,0,0,28,19.6,0,16.8,36.4,16131.30821051955,64.77751484151705
500219623003050,2,0,2,0,34,40.6,2.4,29.8,72.8,34747.85301296821,418.52230039222485
500219630002010,3,0,0,3,33,33.6,3.6,24,61.2,168517.47295069275,36527.52677634354
500219630002012,5,0,0,5,47,50.4,6,35.2,91.6,169250.4559581398,33489.50164244538
500219633005007,3,0,3,0,17,37.1,3.6,24.3,65,162941.63901012499,31153.544319457804
500219627001020,76,1,0,75,30,284.2,91.2,123.5,498.9,156704.55680995184,1283.387916936675
500219626001021,26,26,0,0,13,27.3,31.2,20.8,79.3,167373.0808255121,2952.3056315817576
500219626001032,2,0,0,2,32,29.4,2.4,22,53.8,164406.82645672074,3062.8566560030185
500219637001011,0,0,0,0,11,7.7,0,6.6,14.3,87780.26872071142,19.46947751927654
500219643001017,0,0,0,0,4,2.8,0,2.4,5.2,17723.183220797997,62.69473844465947
500219635002006,0,0,0,0,3,2.1,0,1.8,3.9,139731.58592910875,17.645675120557588
500219640003019,3,1,0,2,9,14,3.6,8.7,26.3,112685.17920952187,93.8721935504277
500219623003071,0,0,0,0,1,0.7,0,0.6,1.3,59057.72042913828,87.21079078526792
500219622002017,150,2,18,130,32,630,180,286.8,1096.8,94752.2131994057,3604.7004604354665
500219628002023,0,0,0,0,1,0.7,0,0.6,1.3,153675.22116737353,336.6632881238805
500219640003051,0,0,0,0,2,1.4,0,1.2,2.6,105352.4283148334,49.34552020316083
500219640003041,0,0,0,0,8,5.6,0,4.8,10.4,88502.92569918121,25.60896289880498
500219638004011,0,0,0,0,3,2.1,0,1.8,3.9,39336.56027516983,129.2611530260693
500219638004024,0,0,0,0,7,4.9,0,4.2,9.1,28696.36715764506,186.20243337397363
500219643001010,2,0,0,2,20,21,2.4,14.8,38.2,9286.71774652538,39.011279492156234
500219643001006,4,0,0,4,4,16.8,4.8,8,29.6,16119.245202845088,62.444964861446785
500219630002016,68,0,9,59,75,334.6,81.6,169.9,586.1,170487.37313849642,37532.949000826695
500219625002002,0,0,0,0,5,3.5,0,3,6.5,153605.91179985733,1307.3494061498202
500219623001036,0,0,0,0,3,2.1,0,1.8,3.9,19443.065866849884,55.4669724472732
500219633005001,0,0,0,0,17,11.9,0,10.2,22.1,166763.49755308137,39782.940102618566
500219633003010,0,0,0,0,2,1.4,0,1.2,2.6,171953.0220882534,50360.7415951981
500219640003007,2,2,0,0,5,4.9,2.4,4,11.3,17271.58041003464,13.545340640725712
