id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
260339704001027,0,0,0,0,10,7,0,6,13,143854.59323053627,49885.45242906467
260339703003035,0,0,0,0,1,0.7,0,0.6,1.3,143570.00561478685,24517.788540976926
260339708001037,0,0,0,0,5,3.5,0,3,6.5,45937.49533700816,6.004717404215383
260339703003031,0,0,0,0,5,3.5,0,3,6.5,145493.4481136371,45365.22677477372
260339703003019,0,0,0,0,8,5.6,0,4.8,10.4,146287.11983864655,28012.430526164197
260339706011031,0,0,0,0,3,2.1,0,1.8,3.9,117758.59584871898,1509.1681739522048
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339711001002,2,2,0,0,12,9.8,2.4,8.2,20.4,2834.051758764928,39.98061780988429
260339703002017,4,0,0,4,21,28.7,4.8,18.2,51.7,145328.23771256753,58212.81558317195
260339703002017,4,0,0,4,21,28.7,4.8,18.2,51.7,145328.23771256753,58212.81558317195
260339703002017,4,0,0,4,21,28.7,4.8,18.2,51.7,145328.23771256753,58212.81558317195
260339703002017,4,0,0,4,21,28.7,4.8,18.2,51.7,145328.23771256753,58212.81558317195
260339703002017,4,0,0,4,21,28.7,4.8,18.2,51.7,145328.23771256753,58212.81558317195
260339703002017,4,0,0,4,21,28.7,4.8,18.2,51.7,145328.23771256753,58212.81558317195
