id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420159511001054,0,0,0,0,1,0.7,0,0.6,1.3,12787.11264264962,14.68049239220267
420159504001031,64,0,0,64,17,235.9,76.8,99.8,412.5,94881.46663309234,20777.182233391155
420159505022056,18,10,0,8,4,37.8,21.6,18.6,78,100794.25789368173,1133.313245278925
420159512005023,22,0,20,2,19,188.3,26.4,108.2,322.9,94957.01939937491,1175.5566237904322
420159512002028,0,0,0,0,15,10.5,0,9,19.5,17323.586954790062,21.23859066121955
420159506003013,0,0,0,0,3,2.1,0,1.8,3.9,12394.606899453778,32.32954059576045
420159511002085,7,7,0,0,4,7.7,8.4,5.9,22,39311.71647148115,29.210391113917886
420159511001099,0,0,0,0,10,7,0,6,13,11459.223623767686,18.880171676781984
420159513002069,0,0,0,0,6,4.2,0,3.6,7.8,34873.14022241285,31.064441343047594
420159505013018,89,0,89,0,19,760.9,106.8,429.7,1297.4,92314.152629545,8438.687154896585
420159506001045,0,0,0,0,2,1.4,0,1.2,2.6,18008.64997859315,21.170397132217833
420159513001032,5,0,0,5,6,21.7,6,10.6,38.3,73521.19074048141,169.8889001171716
420159512003026,5,0,5,0,10,49,6,29.5,84.5,43622.64620737268,284.3033274208879
420159512003066,0,0,0,0,1,0.7,0,0.6,1.3,36401.81184342193,4.558549568492032
420159506002046,0,0,0,0,15,10.5,0,9,19.5,11432.030533751738,34.19093573374817
420159514003040,48,14,16,18,14,217,57.6,115.8,390.4,24818.925119525135,4544.612604031835
420159502003077,0,0,0,0,5,3.5,0,3,6.5,73274.22049445122,9.92448451763326
420159504002008,5,0,0,5,4,20.3,6,9.4,35.7,98049.52560662683,11091.755317007963
420159506001020,0,0,0,0,9,6.3,0,5.4,11.7,30955.620665217513,11.028715643311669
420159503003014,0,0,0,0,19,13.3,0,11.4,24.7,84414.43029537993,35072.61056951155
420159512002003,18,18,0,0,6,16.8,21.6,12.6,50.99999999999999,36241.793648763065,100.37937876020048
420159505023059,0,0,0,0,10,7,0,6,13,100550.94252153923,111.66299153995399
420159506004023,0,0,0,0,12,8.4,0,7.2,15.6,5460.133484145446,187.84793393770877
420159505011038,0,0,0,0,18,12.6,0,10.8,23.4,84194.39788534131,9432.239471580766
420159506004064,0,0,0,0,3,2.1,0,1.8,3.9,14435.807666058974,24.952226699004964
420159505021038,0,0,0,0,10,7,0,6,13,67382.3154360487,73.44322221087704
420159514003033,22,6,0,16,6,64.4,26.4,29,119.8,25691.850615536165,6265.065407007918
420159509001068,0,0,0,0,3,2.1,0,1.8,3.9,51624.378001385965,9.245779671602838
420159507001100,0,0,0,0,5,3.5,0,3,6.5,22868.0916777094,6.249231050418249
420159514001053,0,0,0,0,1,0.7,0,0.6,1.3,24389.668267170175,67.42018543477697
420159509005050,0,0,0,0,3,2.1,0,1.8,3.9,43012.06228176362,15.292668014502834
420159513002060,0,0,0,0,2,1.4,0,1.2,2.6,24007.54675229392,37.86106173549578
420159509003005,0,0,0,0,5,3.5,0,3,6.5,116918.377159072,1112.2229375441875
420159505023015,0,0,0,0,4,2.8,0,2.4,5.2,78287.06883365352,55.24279076839016
420159512005022,0,0,0,0,17,11.9,0,10.2,22.1,92711.9670232211,1148.7535203210202
420159503003011,0,0,0,0,12,8.4,0,7.2,15.6,86589.80762658935,34820.80622533892
420159507004012,1,0,0,1,2,4.9,1.2,2.6,8.7,35546.10298240602,422.4834989095766
420159508001044,0,0,0,0,18,12.6,0,10.8,23.4,112484.91939787984,33.44506137782172
420159506004062,0,0,0,0,2,1.4,0,1.2,2.6,17352.8429780587,24.85347264207528
420159513002045,0,0,0,0,5,3.5,0,3,6.5,26404.49568678467,106.41662518523964
420159501001078,0,0,0,0,9,6.3,0,5.4,11.7,3503.1871642658666,11.20555563662009
420159509002002,0,0,0,0,4,2.8,0,2.4,5.2,56435.43879837244,17.660218597869996
420159507001015,0,0,0,0,1,0.7,0,0.6,1.3,29709.827601343462,17.025699582196157
420159510001028,0,0,0,0,10,7,0,6,13,112419.22028855176,15073.541245279599
420159506003004,0,0,0,0,3,2.1,0,1.8,3.9,15717.840741663134,67.46271662274016
420159503002026,4,0,0,4,26,32.2,4.8,21.2,58.2,91474.81746922886,37720.30162292898
420159509001061,0,0,0,0,6,4.2,0,3.6,7.8,48391.35989202785,12.217636332154418
420159501004002,0,0,0,0,4,2.8,0,2.4,5.2,23380.803466025605,6.156645208799971
420159503002011,0,0,0,0,34,23.8,0,20.4,44.2,86892.60708844692,32132.089366160377
420159513004103,0,0,0,0,2,1.4,0,1.2,2.6,3467.210611696927,2.6485085375239876
420159509002001,0,0,0,0,5,3.5,0,3,6.5,45917.7477672497,15.03238693585613
420159506004030,0,0,0,0,6,4.2,0,3.6,7.8,2927.7849448220527,47.69287972446183
420159514001012,0,0,0,0,10,7,0,6,13,29439.964515108015,120.7718895154589
420159511001088,0,0,0,0,1,0.7,0,0.6,1.3,14546.238224082392,21.034731419639236
420159505012001,0,0,0,0,11,7.7,0,6.6,14.3,87808.76856185337,9153.19160656994
420159508001006,0,0,0,0,2,1.4,0,1.2,2.6,106763.549281067,233.71931804445072
420159512003070,0,0,0,0,2,1.4,0,1.2,2.6,25200.20658891049,11.85812149616616
420159508002012,0,0,0,0,4,2.8,0,2.4,5.2,71041.56632453803,21.69645659308884
420159512005038,0,0,0,0,3,2.1,0,1.8,3.9,78304.94327768576,1100.7463592790532
420159509004052,0,0,0,0,4,2.8,0,2.4,5.2,50902.618508516956,13.936034618101258
420159506004003,13,2,9,2,11,91.7,15.6,52.7,160,3018.0159571905247,161.0174604880994
420159512003067,0,0,0,0,5,3.5,0,3,6.5,21950.361022092686,65.90016662339214
420159509005061,0,0,0,0,5,3.5,0,3,6.5,34649.48473710482,9.479103645715783
420159513001133,0,0,0,0,6,4.2,0,3.6,7.8,43764.02157379481,10.263073077801778
420159512002025,0,0,0,0,6,4.2,0,3.6,7.8,30813.804578012354,21.329916973285634
420159514002000,0,0,0,0,2,1.4,0,1.2,2.6,23580.57895917358,56.21993327520236
420159513002028,0,0,0,0,1,0.7,0,0.6,1.3,35729.06563552011,48.929054379805514
420159512001019,0,0,0,0,4,2.8,0,2.4,5.2,14489.60614900168,4.999972857786702
420159514003005,6,6,0,0,16,15.4,7.2,12.6,35.2,25513.99061074902,5164.374246292974
420159501002068,0,0,0,0,2,1.4,0,1.2,2.6,44835.56920549733,5.941158911289708
420159509001059,0,0,0,0,5,3.5,0,3,6.5,51160.023138171666,104.5114053946076
420159509005018,74,74,0,0,15,62.3,88.8,46,197.1,55839.5562346515,360.9137890592227
420159512003028,0,0,0,0,9,6.3,0,5.4,11.7,40225.48998914974,271.8605608647389
420159513004100,0,0,0,0,2,1.4,0,1.2,2.6,12582.00928300815,2.6258594039208174
420159513002029,0,0,0,0,3,2.1,0,1.8,3.9,32361.610862296962,40.144158965101106
420159501001044,0,0,0,0,7,4.9,0,4.2,9.1,3035.4007056693526,15.109971882328187
420159511001048,0,0,0,0,2,1.4,0,1.2,2.6,19004.311122101084,46.4006890175975
420159513002042,15,4,5,6,10,72.8,18,39.9,130.7,24318.377383296785,147.0699577027522
420159505011048,0,0,0,0,8,5.6,0,4.8,10.4,85091.00210358312,11323.92006360864
420159505012003,0,0,0,0,9,6.3,0,5.4,11.7,90101.01171477679,9978.549346400894
420159503002014,3,3,0,0,18,14.7,3.6,12.3,30.6,90788.21821009353,37988.097867013894
420159513003037,0,0,0,0,6,4.2,0,3.6,7.8,33244.95473392124,192.58629292100366
420159506004058,0,0,0,0,1,0.7,0,0.6,1.3,12849.038745154938,20.627947666446598
420159513001064,0,0,0,0,1,0.7,0,0.6,1.3,103862.10282631934,240.38417385675783
420159506002049,2,0,2,0,10,23.8,2.4,15.4,41.6,34325.52984026925,105.13825650730168
420159501003036,3,0,0,3,25,28,3.6,19.2,50.8,12388.789253495072,457.4030650664405
420159513002007,0,0,0,0,12,8.4,0,7.2,15.6,25867.147229553062,37.9504958141737
420159513002044,0,0,0,0,5,3.5,0,3,6.5,26186.94614166318,151.28835611763705
420159502003056,0,0,0,0,4,2.8,0,2.4,5.2,88933.52031920702,24.51989866956501
420159505012010,0,0,0,0,11,7.7,0,6.6,14.3,86012.11911656978,30047.909212657236
420159503001015,49,0,2,47,1,182,58.8,75.8,316.6,84087.44170685248,19173.674656233994
420159510003012,0,0,0,0,24,16.8,0,14.4,31.2,99601.21054465379,10188.011409309636
420159509002019,0,0,0,0,6,4.2,0,3.6,7.8,65021.01358202827,74.46835071348806
420159513003014,0,0,0,0,6,4.2,0,3.6,7.8,19946.98923437585,33.92401991828041
420159509002043,14,0,8,6,10,95.2,16.8,52,164,61074.76448894754,994.0425822181933
420159510002025,93,0,0,93,11,333.2,111.6,136.8,581.6,105111.13602151097,11876.022156292664
420159505013003,480,0,282,198,64,3106.6,576,1641.0000000000002,5323.6,92856.31863210733,10722.731983526583
420159502004003,0,0,0,0,4,2.8,0,2.4,5.2,37718.46683559882,8.565099930622294
420159510003005,0,0,0,0,30,21,0,18,39,93233.78462713699,10411.571404422833
420159511002066,0,0,0,0,6,4.2,0,3.6,7.8,41007.775598208784,14.178864532176073
420159502003023,11,11,0,0,9,14,13.2,10.9,38.1,92417.18664919578,45.25986676662769
420159501002078,0,0,0,0,7,4.9,0,4.2,9.1,20431.458288755566,499.2100609271074
420159514001005,0,0,0,0,13,9.1,0,7.8,16.9,28877.61201962618,147.07564407763346
420159509001084,29,12,8,9,4,109.9,34.8,58.6,203.3,52731.43120712196,461.40341302763204
