id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
421090702005032,0,0,0,0,2,1.4,0,1.2,2.6,107091.79367999204,261.9015706568258
421090706001058,0,0,0,0,1,0.7,0,0.6,1.3,108499.24199571383,165.93368102028225
421090701005046,15,0,0,15,6,56.7,18,24.6,99.3,107175.22475752147,20684.917006429165
421090706003018,0,0,0,0,18,12.6,0,10.8,23.4,93860.62428458274,424.76530449097567
421090703001046,0,0,0,0,1,0.7,0,0.6,1.3,54202.46598062201,32.9454437408045
421090705001033,0,0,0,0,5,3.5,0,3,6.5,6712.842050591518,39.35748772704957
421090701004017,0,0,0,0,26,18.2,0,15.6,33.8,104177.42670131844,8335.719369218075
421090701002008,0,0,0,0,21,14.7,0,12.6,27.3,104565.73744744027,13676.598071703855
421090706001006,0,0,0,0,15,10.5,0,9,19.5,102138.61629045925,28.635812921726068
421090707013038,0,0,0,0,14,9.8,0,8.4,18.2,110179.32127642437,22724.89591550326
421090702002001,0,0,0,0,6,4.2,0,3.6,7.8,82329.34371426186,19.87225363961064
421090707012011,0,0,0,0,4,2.8,0,2.4,5.2,109359.54505057225,19092.397173048575
421090702002095,0,0,0,0,1,0.7,0,0.6,1.3,114204.31528221827,775.2558535559925
421090701005010,12,12,0,0,6,12.6,14.4,9.6,36.6,104028.81125416172,8008.35265003877
421090704002118,0,0,0,0,4,2.8,0,2.4,5.2,65810.65673544201,1586.1896528708257
421090706004007,2,2,0,0,5,4.9,2.4,4,11.3,109278.40134753706,532.601150925991
421090702004028,27,0,5,22,55,157.5,32.4,87.3,277.2,109502.2356942978,10407.47249506277
421090703004035,0,0,0,0,9,6.3,0,5.4,11.7,108124.694359586,2213.1166303246277
421090705001026,0,0,0,0,3,2.1,0,1.8,3.9,9046.295450220363,83.6955049080757
421090702002079,0,0,0,0,2,1.4,0,1.2,2.6,113125.48389922825,738.2889129863278
421090702001024,0,0,0,0,1,0.7,0,0.6,1.3,76097.00236273548,57.707794864080626
421090701004004,0,0,0,0,12,8.4,0,7.2,15.6,103905.93498614355,6866.69430264678
421090703005066,0,0,0,0,1,0.7,0,0.6,1.3,111002.79119953445,7336.223372699899
421090703003019,0,0,0,0,9,6.3,0,5.4,11.7,77429.64400537018,542.7221392625142
421090701005028,0,0,0,0,4,2.8,0,2.4,5.2,106449.89324243405,21179.43371295083
421090701002054,0,0,0,0,1,0.7,0,0.6,1.3,109339.496562978,23858.25999430542
421090706004025,0,0,0,0,11,7.7,0,6.6,14.3,110177.42760886076,534.5723603484832
421090704001041,0,0,0,0,1,0.7,0,0.6,1.3,51401.28900448491,6.9977346801317015
421090701002032,0,0,0,0,4,2.8,0,2.4,5.2,106293.66937966205,16359.154666819
421090706002033,0,0,0,0,3,2.1,0,1.8,3.9,95819.80433645379,42.25024365793511
421090703001040,0,0,0,0,5,3.5,0,3,6.5,79655.8757348346,525.6730165866213
421090701005014,38,0,0,38,13,142.1,45.6,60.99999999999999,248.7,104875.96617226515,11755.52829098965
421090701002015,0,0,0,0,5,3.5,0,3,6.5,107339.67030822764,19912.324166964907
421090703001049,24,5,19,0,9,169.4,28.8,97.2,295.4,79837.11162310271,644.379140805733
421090701002033,0,0,0,0,4,2.8,0,2.4,5.2,107504.49124350182,20442.238217892427
421090701003010,0,0,0,0,13,9.1,0,7.8,16.9,90670.00590167951,39.33559937096488
421090703003027,88,88,0,0,13,70.7,105.6,51.8,228.1,33492.35536142314,237.77629431430893
421090705001074,0,0,0,0,12,8.4,0,7.2,15.6,7645.977220635286,45.68600611291028
421090701001030,6,0,0,6,7,25.9,7.2,12.6,45.7,102793.3887303547,2366.352004185457
421090702002027,0,0,0,0,16,11.2,0,9.6,20.8,108468.73638959973,97.9415837651045
421090703002009,0,0,0,0,20,14,0,12,26,80442.70962278942,79.12943733752324
421090704002101,0,0,0,0,16,11.2,0,9.6,20.8,73094.09649844102,1589.9315518979029
421090704002100,0,0,0,0,10,7,0,6,13,66219.63417454367,1584.0681345712271
421090701003027,6,0,0,6,6,25.2,7.2,11.999999999999998,44.4,102534.17642433717,526.7290350326026
421090706001035,0,0,0,0,5,3.5,0,3,6.5,101871.49954145112,15.668737955830924
421090706002004,0,0,0,0,5,3.5,0,3,6.5,97404.90696956929,22.26128840935259
421090705002004,3,3,0,0,11,9.8,3.6,8.1,21.5,22963.896792963435,1174.4490776172443
421090707011011,0,0,0,0,2,1.4,0,1.2,2.6,109613.60834276526,20027.29604499273
421090706001087,0,0,0,0,1,0.7,0,0.6,1.3,88614.70882805165,165.3712636382278
421090701002031,0,0,0,0,6,4.2,0,3.6,7.8,106503.26049149534,16521.590680609148
421090701005064,13,13,0,0,7,14,15.6,10.7,40.3,107231.52979212558,18088.35855820404
421090703005001,57,0,36,21,5,379.4,68.4,201.6,649.4,111916.00728610605,7864.748446225228
421090704004043,0,0,0,0,4,2.8,0,2.4,5.2,92538.84176212367,1050.3494772051595
421090705001054,0,0,0,0,3,2.1,0,1.8,3.9,18343.702666562604,13.68387385099023
421090706003009,0,0,0,0,5,3.5,0,3,6.5,75796.5430567808,22.121747636188694
421090702002031,0,0,0,0,1,0.7,0,0.6,1.3,99093.23441501238,16.063587214408802
421090704002062,0,0,0,0,4,2.8,0,2.4,5.2,60952.86511450723,618.7264821420745
421090707011020,0,0,0,0,8,5.6,0,4.8,10.4,109353.21721174552,19006.979477948666
421090701002002,197,0,31,166,5,844.9,236.4,381.1,1462.4,103631.37567001498,14514.239254101543
421090706003033,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,62433.92427192902,202.03515232649363
421090706001012,0,0,0,0,23,16.1,0,13.8,29.9,102275.26690146531,64.68383954542871
421090704002035,0,0,0,0,7,4.9,0,4.2,9.1,28874.840640627484,11.02900562591333
421090701001028,0,0,0,0,9,6.3,0,5.4,11.7,100678.91130378813,8735.811053024641
421090702002093,0,0,0,0,1,0.7,0,0.6,1.3,113502.16549880695,461.2991783385697
421090707011015,0,0,0,0,11,7.7,0,6.6,14.3,109990.5700209329,21266.263359032026
421090703005008,285,0,0,285,7,1002.4,342,403.2,1747.6,112324.12391579752,8727.826252639601
421090704003011,0,0,0,0,7,4.9,0,4.2,9.1,36257.444937813736,22.92751383314805
421090705003063,12,3,0,9,3,35.7,14.4,15.9,66,52192.0064950236,2181.2783382739617
421090704004027,9,0,0,9,2,32.9,10.8,13.8,57.5,106742.47171126456,1456.512757338531
421090704004049,0,0,0,0,8,5.6,0,4.8,10.4,94789.26212335765,323.3487915783718
421090705003068,0,0,0,0,19,13.3,0,11.4,24.7,50378.00832214379,2202.531068139661
421090705003087,0,0,0,0,3,2.1,0,1.8,3.9,47491.85036143008,2141.568316106573
421090703001039,11,11,0,0,3,9.8,13.2,7.3,30.3,78672.64323083199,519.5737105748904
421090707013031,0,0,0,0,6,4.2,0,3.6,7.8,109856.4463963869,21749.951593528178
421090703001010,0,0,0,0,1,0.7,0,0.6,1.3,75510.76061707221,513.7346947945977
421090702001072,0,0,0,0,4,2.8,0,2.4,5.2,96639.05727225724,93.25011412980909
421090707013007,7,0,0,7,9,30.8,8.4,15.2,54.4,110060.75584848397,21958.26686799579
421090706004011,2,0,0,2,4,9.8,2.4,5.2,17.4,110841.06143840184,545.695249103622
421090705002021,0,0,0,0,6,4.2,0,3.6,7.8,19373.754424221483,1154.6678325136293
421090707012043,0,0,0,0,4,2.8,0,2.4,5.2,108204.78657370665,8188.998482439676
421090702002071,0,0,0,0,1,0.7,0,0.6,1.3,111309.16234540883,226.8222294687999
421090707013029,0,0,0,0,7,4.9,0,4.2,9.1,110233.87134896142,22184.400558546746
421090705001036,0,0,0,0,3,2.1,0,1.8,3.9,8239.099866347655,62.291908107860344
421090705002031,0,0,0,0,13,9.1,0,7.8,16.9,18358.59396391491,924.4148355496236
421090705001075,0,0,0,0,3,2.1,0,1.8,3.9,5441.6974554450035,3.149475804675048
421090704003037,4,0,0,4,19,27.3,4.8,17,49.1,18172.941708470586,248.78010564896633
421090706001011,2,0,0,2,4,9.8,2.4,5.2,17.4,103412.91031245781,59.63147813470236
421090701001011,0,0,0,0,31,21.7,0,18.6,40.3,94228.94813991677,154.92745331343605
421090702003035,52,0,0,52,78,236.6,62.4,119.6,418.6,107408.11723136551,1082.7177780590973
421090703002053,0,0,0,0,14,9.8,0,8.4,18.2,89608.03860179364,213.67294885260443
421090704004003,0,0,0,0,2,1.4,0,1.2,2.6,93300.90736367123,766.7585470727702
421090707013075,0,0,0,0,5,3.5,0,3,6.5,109754.4250089194,21910.983828556782
421090706001003,0,0,0,0,1,0.7,0,0.6,1.3,108766.39187016079,55.514935807088094
421090704002117,0,0,0,0,2,1.4,0,1.2,2.6,56532.234643137206,60.29251237192195
421090706003027,0,0,0,0,1,0.7,0,0.6,1.3,80878.64810345694,35.460714581386256
421090707012029,3,0,0,3,17,22.4,3.6,14.4,40.4,109872.55690312982,17451.448316697453
421090704004153,0,0,0,0,3,2.1,0,1.8,3.9,98839.84474322291,807.1230509427954
421090702004024,9,0,0,9,10,38.5,10.8,18.6,67.9,112075.21642166047,5013.1005394372705
421090706001091,5,5,0,0,4,6.3,6,4.9,17.2,82961.76376197797,166.26011717336894
421090707013058,0,0,0,0,19,13.3,0,11.4,24.7,110035.28463012553,23576.466240901802
421090704004110,0,0,0,0,3,2.1,0,1.8,3.9,60391.82174640866,14.885948346232425
421090703005019,13,0,0,13,11,53.2,15.6,24.8,93.6,112578.83436072795,9634.137799884214
421090705001050,0,0,0,0,3,2.1,0,1.8,3.9,13715.513751847908,28.067696705753622
421090701005012,0,0,0,0,9,6.3,0,5.4,11.7,104262.89355840649,10145.468224655813
421090701005048,29,14,0,15,5,65.8,34.8,31,131.6,107304.07864700712,21122.242328620152
