id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
171290101002038,0,0,0,0,8,5.6,0,4.8,10.4,186405.08709291375,1036.213334010997
171290102002028,0,0,0,0,8,5.6,0,4.8,10.4,66852.1928514029,6163.481110266913
171290102002006,0,0,0,0,21,14.7,0,12.6,27.3,15795.008177602296,27.035755456410236
171670036042016,0,0,0,0,27,18.9,0,16.2,35.1,908748.4527019502,19709.326224392433
171670042002035,0,0,0,0,8,5.6,0,4.8,10.4,910177.291108206,40661.17187786041
171670032033006,0,0,0,0,18,12.6,0,10.8,23.4,421596.5447465042,22.915799238837028
171670035001032,0,0,0,0,11,7.7,0,6.6,14.3,681397.9431994769,2037.5113830340752
171670032035012,10,2,0,8,11,37.1,12,18.8,67.9,796964.1761328377,1954.0835981617552
171670036011008,0,0,0,0,8,5.6,0,4.8,10.4,461977.06884347013,48.57362944057587
171670037024026,0,0,0,0,5,3.5,0,3,6.5,854347.4580212517,154.78621853959095
171670035002082,0,0,0,0,1,0.7,0,0.6,1.3,337150.7536887411,19.849084237393825
171670035005088,0,0,0,0,2,1.4,0,1.2,2.6,61288.32701855586,2.258469136937003
171670035005107,2,2,0,0,1,2.1,2.4,1.6,6.1,6418.405145850219,7.603233848684668
171670035005137,0,0,0,0,2,1.4,0,1.2,2.6,12306.848107886695,8.583702569108452
171670038022017,0,0,0,0,6,4.2,0,3.6,7.8,871759.026455069,4872.343604212477
171670031004046,0,0,0,0,1,0.7,0,0.6,1.3,893780.3514104581,463.1462966517709
171670039011022,0,0,0,0,34,23.8,0,20.4,44.2,902232.4933216752,2922.04857057848
171670039021035,13,13,0,0,16,20.3,15.6,16.1,52,897858.6795634358,3623.8617605677678
171670002021002,0,0,0,0,1,0.7,0,0.6,1.3,907885.5415702097,671.6147725595433
171670035001024,0,0,0,0,8,5.6,0,4.8,10.4,655191.5256025834,1938.2998556301914
171670002024003,317,0,4,313,68,1176.7,380.4,497.8,2054.9,905334.0240222221,74968.76729516545
171670010041010,0,0,0,0,46,32.2,0,27.6,59.8,912779.7120520348,49275.769999639495
171670036022019,21,21,0,0,39,42,25.2,33.9,101.1,891206.4218998279,1277.9698840492053
171670042002004,0,0,0,0,9,6.3,0,5.4,11.7,908962.6361492927,76159.87174952475
171670040005050,2,2,0,0,1,2.1,2.4,1.6,6.1,447732.96516582137,536.7751010745835
171670038024063,0,0,0,0,2,1.4,0,1.2,2.6,622085.4249199097,171.22454257020246
171670031003042,0,0,0,0,1,0.7,0,0.6,1.3,881595.3249860831,196.71842881926977
171670038011029,0,0,0,0,2,1.4,0,1.2,2.6,867279.6331338895,907.9405996866712
171670035005123,0,0,0,0,1,0.7,0,0.6,1.3,16725.5705093305,3.006029708208755
171670029001014,39,0,34,5,82,360.5,46.8,216,623.3,907027.0445305763,62070.10433918447
171670019001003,0,0,0,0,62,43.4,0,37.2,80.6,913613.5929395526,266804.59173231455
171670018001032,3,0,0,3,18,23.1,3.6,14.999999999999998,41.7,912657.6916244461,237929.9350548425
171670020011007,0,0,0,0,18,12.6,0,10.8,23.4,910883.8269442955,36633.74075130773
171670034005033,0,0,0,0,4,2.8,0,2.4,5.2,544160.4979225874,4211.823868871635
171670035003063,0,0,0,0,27,18.9,0,16.2,35.1,624769.7104639582,1464.6394700753447
171670005033007,4,0,4,0,16,44.8,4.8,28.4,78,901772.2910341198,19142.261633553582
171670020012025,0,0,0,0,24,16.8,0,14.4,31.2,913775.4755648084,43274.75115191453
171290101001173,6,0,0,6,2,22.4,7.2,9.6,39.2,140216.56576605543,39.002376122998506
171670036033022,0,0,0,0,9,6.3,0,5.4,11.7,900145.4662184961,298.29242065199816
171670032022033,4,0,0,4,6,18.2,4.8,9.2,32.2,873925.6264675424,7172.3336001817925
171670033002032,0,0,0,0,16,11.2,0,9.6,20.8,638668.5674972634,1383.052081569112
171670038021017,0,0,0,0,1,0.7,0,0.6,1.3,891519.0770680101,1482.8695956540403
171670002022022,0,0,0,0,2,1.4,0,1.2,2.6,908976.764738945,46136.27689510296
171290101002031,0,0,0,0,2,1.4,0,1.2,2.6,120021.48325421065,929.0503268080801
171670038022006,0,0,0,0,17,11.9,0,10.2,22.1,864939.1704322385,3414.9137219584118
171670035003058,0,0,0,0,1,0.7,0,0.6,1.3,737178.5293399637,2174.4534971325993
171670016002000,0,0,0,0,6,4.2,0,3.6,7.8,910359.5656015989,13105.033303695795
171670035003045,0,0,0,0,4,2.8,0,2.4,5.2,788352.837302671,110.31816617536512
171670036022015,89,1,0,88,7,313.6,106.8,127.9,548.3,894810.1267024209,1813.09328978773
171670010044003,5,0,0,5,17,29.4,6,17.2,52.6,911177.9178693753,29390.505378916198
171670029001007,0,0,0,0,31,21.7,0,18.6,40.3,909761.6523381362,58060.70376556872
171670031002043,0,0,0,0,14,9.8,0,8.4,18.2,903575.2756572154,18001.559951127852
171670016002015,0,0,0,0,9,6.3,0,5.4,11.7,909232.1942672208,18427.05830802934
171670033002007,0,0,0,0,12,8.4,0,7.2,15.6,703173.1496788287,4047.945323123822
171670025004014,2,2,0,0,28,20.999999999999996,2.4,17.8,41.2,909047.9684683688,27386.872688772844
171670040003015,0,0,0,0,3,2.1,0,1.8,3.9,392024.1604957117,11.988382462777237
