id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
550979608001010,0,0,0,0,7,4.9,0,4.2,9.1,228773.23204400612,4731.678778997268
550979604004010,4,4,0,0,69,51.1,4.8,43.4,99.3,229759.75559603813,15273.742294283698
550979606004137,0,0,0,0,2,1.4,0,1.2,2.6,79472.06789918085,15.370209050131228
550979604002011,0,0,0,0,14,9.8,0,8.4,18.2,229931.01723486494,33463.63144513977
550979605003081,0,0,0,0,12,8.4,0,7.2,15.6,226253.70636622095,425.12534155142686
550979611011054,9,0,0,9,18,44.1,10.8,23.4,78.3,227588.1238895724,8385.76091242323
550979608004024,38,0,8,30,12,180.6,45.6,86.8,313,227380.59677099757,13616.087101845967
550979603001036,0,0,0,0,1,0.7,0,0.6,1.3,221807.18888679656,2867.0580346982206
550979609004011,1,0,0,1,26,21.7,1.2,17,39.9,230655.9078983224,37459.2471076172
550979611012045,0,0,0,0,19,13.3,0,11.4,24.7,225139.66859672862,20976.82943480887
550979611022008,9,9,0,0,1,7,10.8,5.1,22.9,226737.3453710134,30384.59667311163
550979611023013,70,68,0,2,8,60.2,84,41.6,185.8,226163.26113201762,10005.761135261266
550979607021074,0,0,0,0,14,9.8,0,8.4,18.2,228907.00243456967,1902.5986337974698
550979603002012,0,0,0,0,3,2.1,0,1.8,3.9,226305.0912632976,19082.856942635695
550979603002020,0,0,0,0,7,4.9,0,4.2,9.1,225557.7420380984,20896.0927086509
550979603002017,0,0,0,0,10,7,0,6,13,225189.84763720736,22187.199893310055
550979604004036,0,0,0,0,27,18.9,0,16.2,35.1,231341.8554715162,14663.341150375747
550979607011106,33,21,0,12,13,65.8,39.6,35.1,140.5,229619.62978768823,831.1019157018015
550979605002125,0,0,0,0,42,29.4,0,25.2,54.6,219946.78030400735,59.23026448465576
550979609003014,18,0,0,18,14,72.8,21.6,33.6,128,227883.4521654777,41398.11096770853
550979613003066,0,0,0,0,4,2.8,0,2.4,5.2,49455.22418794913,1063.7758773229311
550979608001026,1,1,0,0,2,2.1,1.2,1.7,5,229811.8579034756,9230.726139315862
550979601003000,0,0,0,0,1,0.7,0,0.6,1.3,62245.4384161032,12.282164201859102
550979612002001,13,10,0,3,69,65.8,15.6,50.6,132,226090.5516720943,5599.126065142376
550979607013019,0,0,0,0,9,6.3,0,5.4,11.7,225894.18277631464,3579.405301337261
550979612003022,0,0,0,0,10,7,0,6,13,227093.6978837651,2451.47568208851
550979605002080,5,0,0,5,15,28,6,16,50,230683.12598201694,13523.218231727538
550979608001027,0,0,0,0,8,5.6,0,4.8,10.4,229713.9333156197,6170.586010657595
550979602001080,0,0,0,0,10,7,0,6,13,222547.50309724305,235.06382367201144
550979604002025,0,0,0,0,10,7,0,6,13,231184.13352580764,35420.059280669346
550979609002014,1,0,0,1,14,13.3,1.2,9.8,24.3,228908.31375655674,51573.41281751576
550979611011122,0,0,0,0,12,8.4,0,7.2,15.6,206258.42784808873,45.610805359194785
550979607013014,0,0,0,0,23,16.1,0,13.8,29.9,226599.25501761655,2750.2957309342464
550979611022029,0,0,0,0,21,14.7,0,12.6,27.3,221044.11399116443,4604.547593580372
550979610001011,0,0,0,0,9,6.3,0,5.4,11.7,228437.26251323157,53404.67979332179
550979613001055,0,0,0,0,17,11.9,0,10.2,22.1,15619.017553707932,39.826942221148094
550979613001070,0,0,0,0,5,3.5,0,3,6.5,23768.325059117105,370.3521260938117
550979603002007,0,0,0,0,12,8.4,0,7.2,15.6,223856.37585716925,14400.474219029784
550979606004126,0,0,0,0,2,1.4,0,1.2,2.6,126438.25926869037,11.873133310471903
550979607012028,0,0,0,0,2,1.4,0,1.2,2.6,219422.732273367,1595.3747858734682
550979608003005,0,0,0,0,23,16.1,0,13.8,29.9,231484.56934587023,14739.72061123145
550979601003015,4,0,0,4,5,17.5,4.8,8.6,30.9,154110.738791784,45.64273594061052
550979607011010,0,0,0,0,33,23.1,0,19.8,42.9,227264.15650811308,12875.049046363585
550979613003090,0,0,0,0,10,7,0,6,13,49982.99652177396,834.4431338485268
550979613003007,0,0,0,0,4,2.8,0,2.4,5.2,198293.84593729547,274.0851407081934
550979612003009,0,0,0,0,2,1.4,0,1.2,2.6,210512.40719278142,403.62072221538835
550979602003079,0,0,0,0,11,7.7,0,6.6,14.3,200035.4121056965,745.8147349912648
550979612002024,0,0,0,0,86,60.2,0,51.6,111.8,226569.09634980693,2143.1522587607947
550979613001073,0,0,0,0,1,0.7,0,0.6,1.3,45888.81640087786,9.909582312727677
550979613004041,0,0,0,0,3,2.1,0,1.8,3.9,4310.905732553066,3.5819016487521234
550979613004059,0,0,0,0,3,2.1,0,1.8,3.9,2486.979238237152,102.46692916699352
550979612004096,0,0,0,0,1,0.7,0,0.6,1.3,168568.2337549587,28.577615161849092
550979603002022,0,0,0,0,16,11.2,0,9.6,20.8,225045.25757911764,25896.78530675393
550979610001021,30,11,0,19,1,74.9,36,32.7,143.6,226725.33163941395,44512.04884472924
550979609002002,0,0,0,0,21,14.7,0,12.6,27.3,229246.04637659664,55355.69236507697
550979602002080,0,0,0,0,2,1.4,0,1.2,2.6,152198.60698607104,2.3806944133411925
550979607021060,0,0,0,0,4,2.8,0,2.4,5.2,230522.7607200994,22485.08823032725
550979607022011,0,0,0,0,19,13.3,0,11.4,24.7,228451.61273734557,3507.2426566960708
550979611022007,0,0,0,0,14,9.8,0,8.4,18.2,225982.6831550875,23436.49981818993
550979611023021,0,0,0,0,26,18.2,0,15.6,33.8,225324.05616899332,4570.246885979401
550979607022041,0,0,0,0,9,6.3,0,5.4,11.7,227160.28888190808,4744.559499111706
550979608004021,0,0,0,0,36,25.2,0,21.6,46.8,228241.24800901287,15078.368957777817
550979608001024,0,0,0,0,5,3.5,0,3,6.5,229144.8091943984,8283.653908738443
550979604004020,0,0,0,0,12,8.4,0,7.2,15.6,230233.72559594738,20039.764343399118
550979611023041,0,0,0,0,4,2.8,0,2.4,5.2,226517.09088489503,8733.977378307794
550979604001015,0,0,0,0,21,14.7,0,12.6,27.3,229873.7166551056,42235.539098603585
550979611011069,0,0,0,0,3,2.1,0,1.8,3.9,228693.4523424158,12579.866233325693
550979613001038,0,0,0,0,2,1.4,0,1.2,2.6,124567.67356080229,6.367128474727355
550979602004034,0,0,0,0,5,3.5,0,3,6.5,207984.84333078546,84.79897348741805
550979606003026,0,0,0,0,1,0.7,0,0.6,1.3,191045.82322969718,762.1342508781327
550979611011141,0,0,0,0,17,11.9,0,10.2,22.1,225181.27122017287,3623.942766250176
550979606001059,0,0,0,0,7,4.9,0,4.2,9.1,216637.60270329745,40.726896914483625
550979606001031,0,0,0,0,6,4.2,0,3.6,7.8,225584.4403015979,281.4000775548669
550979611011129,0,0,0,0,5,3.5,0,3,6.5,221001.25062407818,460.5423033215011
550979613002061,0,0,0,0,2,1.4,0,1.2,2.6,137369.08255793102,8.925839041824485
550979612002022,0,0,0,0,6,4.2,0,3.6,7.8,225717.14215623908,3259.5512332857857
550979605003035,0,0,0,0,17,11.9,0,10.2,22.1,227218.40314729346,567.7685766532818
550979605002011,0,0,0,0,13,9.1,0,7.8,16.9,229790.79232472478,9246.189275917051
550979604003018,0,0,0,0,1,0.7,0,0.6,1.3,231015.45274682457,10313.92621254438
550979603004005,0,0,0,0,15,10.5,0,9,19.5,226014.28333404774,49629.06375242907
550979610001002,0,0,0,0,42,29.4,0,25.2,54.6,226602.67627134756,52053.25572432852
550979613002033,4,4,0,0,16,14,4.8,11.6,30.4,213431.46833744916,35.17271062769742
550979612004011,0,0,0,0,2,1.4,0,1.2,2.6,217299.48144422966,327.72183896507556
550979612004021,0,0,0,0,14,9.8,0,8.4,18.2,194812.4546129897,28.210792233902772
550979608002024,0,0,0,0,47,32.9,0,28.2,61.1,226856.51164322151,9637.51662368869
550979609002006,2,0,0,2,12,15.4,2.4,10,27.8,229080.68251516856,54970.1076537413
550979609002003,0,0,0,0,15,10.5,0,9,19.5,229578.40957612783,55170.26717266238
550979610002020,0,0,0,0,14,9.8,0,8.4,18.2,228406.9519560985,49233.98489413508
550979609001019,0,0,0,0,1,0.7,0,0.6,1.3,229533.77280112612,16409.8296143459
550979613003038,0,0,0,0,1,0.7,0,0.6,1.3,131632.6945939671,1.340100389043035
550979608004004,0,0,0,0,11,7.7,0,6.6,14.3,228843.0553754708,23048.728336054828
550979608004009,0,0,0,0,24,16.8,0,14.4,31.2,227183.3389726315,13845.176631310616
550979608001020,0,0,0,0,19,13.3,0,11.4,24.7,229892.47425024462,10522.87015676274
550979605002030,0,0,0,0,8,5.6,0,4.8,10.4,231087.0340059819,18451.38334406997
550979613003008,0,0,0,0,7,4.9,0,4.2,9.1,201594.98276866044,352.3460244766299
