id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
360430105021003,0,0,0,0,4,2.8,0,2.4,5.2,118008.11974072165,15.528223504874074
360430112007002,0,0,0,0,1,0.7,0,0.6,1.3,361556.7643258258,18417.542661996074
360430102013009,25,0,0,25,22,102.9,30,48.2,181.1,518176.56988063623,5321.768647947709
360430101005048,0,0,0,0,37,25.9,0,22.2,48.1,257553.32976396283,2605.075092563604
360430109002105,0,0,0,0,2,1.4,0,1.2,2.6,41983.52992932849,12.539507162556669
360430109002130,0,0,0,0,5,3.5,0,3,6.5,44230.141126701164,14.767209909374573
360430114004002,2,2,0,0,2,2.8,2.4,2.2,7.4,32270.45062698437,21.25623458474979
360430113021035,0,0,0,0,3,2.1,0,1.8,3.9,210163.31913746425,9.689617968746218
360430109001068,0,0,0,0,16,11.2,0,9.6,20.8,134961.05873346276,50.43112252523204
360430104002007,0,0,0,0,36,25.2,0,21.6,46.8,452600.1070960169,14409.451824498183
360430103005017,12,0,12,0,23,116.9,14.4,70.2,201.5,420370.57141433354,8988.616566840894
360430101002037,0,0,0,0,2,1.4,0,1.2,2.6,167801.47552895173,19.43451200609626
360430101003077,0,0,0,0,14,9.8,0,8.4,18.2,111481.68803339738,156.8565889171993
360430112006007,12,12,0,0,18,21,14.4,16.8,52.2,165279.12717237964,100.18127428793917
360430109002060,0,0,0,0,1,0.7,0,0.6,1.3,89295.9042583354,15.82149416276096
360430101006075,0,0,0,0,2,1.4,0,1.2,2.6,61173.55430254915,22.272014160743943
360430110022033,0,0,0,0,9,6.3,0,5.4,11.7,63408.96175972789,88.45520396829085
360430101006065,0,0,0,0,2,1.4,0,1.2,2.6,13806.805154689355,16.383622990903273
360430105022022,0,0,0,0,1,0.7,0,0.6,1.3,385578.62193639507,4671.2724499976885
360430113012034,0,0,0,0,2,1.4,0,1.2,2.6,232418.58751170617,149.26870758214247
360430101006022,0,0,0,0,1,0.7,0,0.6,1.3,95709.16407650047,15.154305720193596
360430113023015,0,0,0,0,8,5.6,0,4.8,10.4,587862.0426472484,154.84075652605344
360430105013021,3,0,0,3,18,23.1,3.6,14.999999999999998,41.7,428468.80707827845,6870.586901374187
360430115041004,0,0,0,0,5,3.5,0,3,6.5,8031.149722359708,14.864628935056565
360430103001007,0,0,0,0,24,16.8,0,14.4,31.2,480830.27143906674,7060.417617899925
360430115042075,0,0,0,0,6,4.2,0,3.6,7.8,14313.562665072815,16.31390021938405
360430102022032,0,0,0,0,1,0.7,0,0.6,1.3,445381.026745955,82.31886294754662
360430101006019,0,0,0,0,7,4.9,0,4.2,9.1,69495.11119137649,33.43553893874426
360430102013011,0,0,0,0,19,13.3,0,11.4,24.7,513943.5005853074,5404.089008502694
360430110012023,0,0,0,0,12,8.4,0,7.2,15.6,84778.8468656917,4535.892530482064
360430101002005,0,0,0,0,2,1.4,0,1.2,2.6,200856.2298220618,26.46438862475064
360650222002006,0,0,0,0,17,11.9,0,10.2,22.1,652848.1771017485,35024.68759393305
360650249003066,0,0,0,0,2,1.4,0,1.2,2.6,460263.0130180747,96.70505012812163
360650254002013,0,0,0,0,24,16.8,0,14.4,31.2,702052.5566438627,11791.47256652931
360650243013012,3,0,0,3,59,51.8,3.6,39.6,95,197868.43152487624,169.9151539274103
360650227023035,0,0,0,0,4,2.8,0,2.4,5.2,486492.3925998485,58.80715044539539
360650240001099,2,2,0,0,11,9.1,2.4,7.6,19.1,574087.0816345542,629.5871609454109
360650215001000,0,0,0,0,7,4.9,0,4.2,9.1,742297.4047839312,92955.09044421923
360650244001063,0,0,0,0,3,2.1,0,1.8,3.9,25685.132266365636,4.969472134404131
360650207052014,5,0,0,5,33,40.6,6,26.8,73.4,717952.6766000882,54199.881691132
360650252001001,0,0,0,0,3,2.1,0,1.8,3.9,735623.3803648556,6421.823884159499
360650230001051,3,0,0,3,49,44.8,3.6,33.6,82,469015.9078466214,173.30244624472132
360650247001142,0,0,0,0,2,1.4,0,1.2,2.6,198242.8487724137,30.826318943804306
360650213022016,0,0,0,0,8,5.6,0,4.8,10.4,693583.2856675658,42052.42569192451
360650220003013,14,0,14,0,10,124.6,16.8,71.8,213.2,676072.5712884673,21095.43095564771
360650256011075,0,0,0,0,2,1.4,0,1.2,2.6,233007.66954458292,640.7640772826784
360650267003034,0,0,0,0,9,6.3,0,5.4,11.7,77199.76009954998,144.6517255903972
360650242002065,0,0,0,0,30,21,0,18,39,39269.62495967298,9085.695877221195
360650227012023,0,0,0,0,25,17.5,0,15,32.5,577307.0979280267,14820.331907774767
360650244003029,0,0,0,0,4,2.8,0,2.4,5.2,17911.17744978736,6.671807083949784
360650249003076,0,0,0,0,18,12.6,0,10.8,23.4,383454.3021465809,75.75159953902988
360650253001003,0,0,0,0,3,2.1,0,1.8,3.9,719658.0113659247,9038.255315286315
360650234001018,0,0,0,0,30,21,0,18,39,731891.5381227107,16291.253974219944
360650254004038,0,0,0,0,4,2.8,0,2.4,5.2,540789.8187969882,23.367055293484974
360650216022027,0,0,0,0,11,7.7,0,6.6,14.3,765223.1839248026,19362.962007803668
360659800021049,20,0,0,20,1,70.7,24,28.6,123.3,788226.0453905256,31946.20135597618
360650263001017,0,0,0,0,14,9.8,0,8.4,18.2,678865.0016848788,31048.32683751869
360650235023058,0,0,0,0,9,6.3,0,5.4,11.7,743450.8644326441,3464.836776287716
360650216022015,0,0,0,0,11,7.7,0,6.6,14.3,743459.2518146186,10127.785798613757
360650213022036,0,0,0,0,20,14,0,12,26,686111.9823697717,36701.97209875299
360650235022015,0,0,0,0,6,4.2,0,3.6,7.8,745920.260747434,11364.678578888206
360650252002007,0,0,0,0,8,5.6,0,4.8,10.4,720422.5996249731,32302.88442683903
360650242003034,0,0,0,0,2,1.4,0,1.2,2.6,33273.40916795738,10.475301343420437
360650242001011,0,0,0,0,2,1.4,0,1.2,2.6,16216.948887433296,12.848654602454694
360650250024007,0,0,0,0,26,18.2,0,15.6,33.8,573439.1258099789,42.36186931570662
360650224001028,6,0,0,6,17,32.9,7.2,18.6,58.7,676707.1744995402,32199.677233966195
360650214012003,0,0,0,0,5,3.5,0,3,6.5,753014.1584045992,40939.22454324773
360650220001004,0,0,0,0,12,8.4,0,7.2,15.6,580954.2373298241,8682.382468339743
360650244002030,0,0,0,0,5,3.5,0,3,6.5,152707.8943324244,52.38773421763758
360650244001036,1,1,0,0,7,5.6,1.2,4.7,11.5,15931.864548813735,24.686992972577432
360650244001001,0,0,0,0,2,1.4,0,1.2,2.6,8452.896899989975,6.33743212613089
360650237021038,4,0,0,4,5,17.5,4.8,8.6,30.9,509935.7052816948,41.18446151418149
360650241021101,0,0,0,0,7,4.9,0,4.2,9.1,147986.53531693734,139.10183615499474
360650217023016,1,0,0,1,2,4.9,1.2,2.6,8.7,743413.6088177164,12467.048642715958
360650242002002,0,0,0,0,13,9.1,0,7.8,16.9,20406.730618218215,73.02299903365684
360650225001022,0,0,0,0,21,14.7,0,12.6,27.3,720197.7337781967,14319.380732801474
360650247004002,0,0,0,0,3,2.1,0,1.8,3.9,171261.98307390636,3.065468395736026
360650252002014,0,0,0,0,11,7.7,0,6.6,14.3,732542.2895667418,4807.250776498195
360650209001013,19,19,0,0,19,26.6,22.8,20.9,70.3,763713.1264326379,91997.67980524135
360650256011096,0,0,0,0,3,2.1,0,1.8,3.9,295253.9365426728,14.376703562251716
360650255003027,0,0,0,0,9,6.3,0,5.4,11.7,384670.0470743843,29.313144122900887
360650215001018,0,0,0,0,74,51.8,0,44.4,96.2,721581.4378478259,49057.804343153024
360650264001011,3,0,0,3,25,28,3.6,19.2,50.8,736090.5543740704,99074.0276869279
360650216012023,0,0,0,0,16,11.2,0,9.6,20.8,737759.6542817403,2322.5308818302265
360650217012011,0,0,0,0,20,14,0,12,26,721437.5919319247,25053.04252086663
360650243032069,10,9,0,1,6,14,12,9.5,35.5,151138.7968813846,198.07676296054524
360650262003063,0,0,0,0,10,7,0,6,13,772224.3367646252,1478.9888919097898
360650267004080,0,0,0,0,7,4.9,0,4.2,9.1,92546.64502235157,15.26658925741103
360650253005025,0,0,0,0,42,29.4,0,25.2,54.6,593254.6452639216,1214.5365077534425
360650245002032,8,8,0,0,4,8.4,9.6,6.4,24.4,67135.95724360085,1290.0580770019042
360650240002135,0,0,0,0,1,0.7,0,0.6,1.3,539835.329205454,99.97579938296373
360650211031012,0,0,0,0,194,135.8,0,116.4,252.2,696787.0621015962,35613.13754785501
360650212011000,8,4,0,4,39,44.1,9.6,31,84.7,723129.235623454,61841.40250314809
360650221001032,0,0,0,0,3,2.1,0,1.8,3.9,605131.296283858,16308.69976624676
360650230003040,0,0,0,0,9,6.3,0,5.4,11.7,618401.3454165265,155.8464207836812
