id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
180839552021008,0,0,0,0,5,3.5,0,3,6.5,113215.77617120599,362.5844072218767
180839555002002,0,0,0,0,1,0.7,0,0.6,1.3,111623.3160512382,32848.49059209047
180839557005041,0,0,0,0,6,4.2,0,3.6,7.8,112039.29211567929,462.9723312004587
180839551003009,0,0,0,0,9,6.3,0,5.4,11.7,12872.35547505958,16.395990258044673
180839551003021,0,0,0,0,2,1.4,0,1.2,2.6,63360.93065851011,10.169721874038169
180839557005051,0,0,0,0,6,4.2,0,3.6,7.8,111527.38419571091,375.3489460458063
180839558003005,0,0,0,0,10,7,0,6,13,89705.27082262667,634.9916527732925
180839552011040,0,0,0,0,9,6.3,0,5.4,11.7,75916.61044477996,601.5640705413708
180839558003037,0,0,0,0,5,3.5,0,3,6.5,94946.93364627824,645.1931747233401
180839555004025,0,0,0,0,13,9.1,0,7.8,16.9,110674.33397989486,19228.826493598386
180839558004027,0,0,0,0,1,0.7,0,0.6,1.3,102706.43070630472,249.78885015375747
180839551001039,0,0,0,0,2,1.4,0,1.2,2.6,10539.020853301017,239.97071193032505
180839558004074,0,0,0,0,2,1.4,0,1.2,2.6,39801.44088980259,9.066048889392064
180839552023016,0,0,0,0,1,0.7,0,0.6,1.3,109844.396025991,210.75548409794555
180839558003066,0,0,0,0,5,3.5,0,3,6.5,77998.50797636731,13.680327380012587
180839559002066,0,0,0,0,1,0.7,0,0.6,1.3,109899.19005424673,3521.5188082588033
180839550002011,0,0,0,0,3,2.1,0,1.8,3.9,97607.34942037666,4816.231336870963
180839552011049,12,12,0,0,1,9.1,14.4,6.6,30.1,90722.8215448943,381.38342070458845
180839553003020,3,3,0,0,31,23.8,3.6,20.1,47.5,112162.83860953641,38778.649221831496
180839551001044,0,0,0,0,24,16.8,0,14.4,31.2,10672.700458335017,267.6372721215979
180839555004005,0,0,0,0,17,11.9,0,10.2,22.1,110767.30099208982,27378.525891766687
180839551003003,0,0,0,0,5,3.5,0,3,6.5,25540.000429180276,268.73358066916927
180839559002088,0,0,0,0,1,0.7,0,0.6,1.3,35924.953064180096,1.4311097188463617
180839558004095,0,0,0,0,4,2.8,0,2.4,5.2,34277.14544688298,6.571834163630722
180839558004103,0,0,0,0,6,4.2,0,3.6,7.8,9602.136913773127,32.888972069128954
180839552012070,0,0,0,0,8,5.6,0,4.8,10.4,107738.58542909073,35.89077673681112
180839551004033,0,0,0,0,8,5.6,0,4.8,10.4,37866.83282995899,13.21519413842926
180839552023009,0,0,0,0,2,1.4,0,1.2,2.6,109551.13908173787,28.603495792138425
180839557005006,0,0,0,0,6,4.2,0,3.6,7.8,112603.65701085402,2984.0120445153875
180839554003039,0,0,0,0,11,7.7,0,6.6,14.3,112406.58009696726,40570.742017962984
180839558003028,0,0,0,0,3,2.1,0,1.8,3.9,93506.566133903,632.5706477610785
180839555001022,11,0,0,11,12,46.9,13.2,22.6,82.7,112252.88853732482,37574.461487762914
180839555002016,2,0,0,2,1,7.7,2.4,3.4,13.5,111827.77459282926,33343.47502140276
180839557002016,0,0,0,0,9,6.3,0,5.4,11.7,113146.91785620379,26105.648582448935
180839553004007,0,0,0,0,3,2.1,0,1.8,3.9,113173.51541476828,25561.92008679494
180839557001028,2,2,0,0,17,13.3,2.4,11.2,26.9,113009.9188787575,16689.25235093001
180839558003017,0,0,0,0,4,2.8,0,2.4,5.2,96888.85149094064,641.0094079163226
180839556003000,0,0,0,0,8,5.6,0,4.8,10.4,112275.2380275968,26680.970207660586
180839553004027,13,13,0,0,6,13.3,15.6,10.1,39,113588.58312563655,27552.32908493531
180839550001016,0,0,0,0,7,4.9,0,4.2,9.1,89378.38311897196,4030.739530896572
180839559003087,0,0,0,0,1,0.7,0,0.6,1.3,22437.87816300214,1.8137254255216542
180839558003047,0,0,0,0,4,2.8,0,2.4,5.2,92773.31256805683,635.2174927615521
180839551001025,0,0,0,0,5,3.5,0,3,6.5,11815.93863977898,272.7601662075122
180839551004019,0,0,0,0,12,8.4,0,7.2,15.6,55658.59772169133,199.78494398780572
180839550002030,0,0,0,0,4,2.8,0,2.4,5.2,92253.18310418072,4962.8823707189495
180839550004020,0,0,0,0,2,1.4,0,1.2,2.6,77639.58888566952,2704.472874633121
180839552011011,7,0,0,7,4,27.3,8.4,12.2,47.9,96313.25421455585,167.02821282203024
180839558003049,0,0,0,0,3,2.1,0,1.8,3.9,94972.75953009471,640.4367398119944
180839552012065,0,0,0,0,4,2.8,0,2.4,5.2,65950.59221922282,5.473339246886736
180839552011035,0,0,0,0,2,1.4,0,1.2,2.6,102939.36086107936,849.2653775400659
180839552012072,0,0,0,0,5,3.5,0,3,6.5,111896.05767598968,38.05974146899417
180839551003055,3,3,0,0,4,4.9,3.6,3.9,12.4,74482.94033117569,37.666433717679276
180839558003054,0,0,0,0,3,2.1,0,1.8,3.9,93645.82612998832,637.7656439775687
180839550003005,30,0,3,27,4,122.5,36,54.3,212.8,101908.30634095846,4606.272560740563
180839550004042,0,0,0,0,11,7.7,0,6.6,14.3,75835.56990007617,2319.5130683866764
180839556002016,0,0,0,0,13,9.1,0,7.8,16.9,112652.20740548203,29057.93794161169
180839552012101,32,0,0,32,11,119.7,38.4,51.4,209.5,107743.17807987868,213.26287712266043
180839558004025,0,0,0,0,3,2.1,0,1.8,3.9,106209.98572738722,311.56936552508967
180839556002011,0,0,0,0,14,9.8,0,8.4,18.2,112281.00637856705,36515.51232732574
180839551001031,0,0,0,0,4,2.8,0,2.4,5.2,10266.79805423497,269.4376900211084
