id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
550551012012019,0,0,0,0,1,0.7,0,0.6,1.3,58765.21040505432,17.849852764056838
550551007001082,0,0,0,0,3,2.1,0,1.8,3.9,189004.82332744967,639.7750299112481
550551017022037,3,3,0,0,15,12.6,3.6,10.5,26.7,101485.40453291361,1562.5003324683703
550551003011018,0,0,0,0,14,9.8,0,8.4,18.2,132713.31528138233,2387.605781178241
550551012021039,0,0,0,0,5,3.5,0,3,6.5,87211.3772772716,96.50362945408223
550551009003087,11,3,0,8,34,53.9,13.2,33.1,100.2,91313.17153080259,100.33489025585955
550551004003013,0,0,0,0,4,2.8,0,2.4,5.2,71533.71935724413,6.2694138741295795
550551009003077,2,2,0,0,3,3.5,2.4,2.8,8.7,122982.81468619664,62.23465487026713
550551009003068,0,0,0,0,25,17.5,0,15,32.5,133225.57599394975,62.514893795772345
550551014002031,0,0,0,0,1,0.7,0,0.6,1.3,142231.50306389603,10493.742807384244
550551003022043,1,1,0,0,9,7,1.2,5.9,14.1,139807.4206419876,28675.971010213776
550551015004003,10,0,0,10,16,46.2,12,23.6,81.8,164600.17364306413,21375.267785725515
550551013003052,0,0,0,0,18,12.6,0,10.8,23.4,160824.1276968366,21701.59863631701
550551002003008,9,0,0,9,20,45.5,10.8,24.6,80.9,131322.78345043032,26408.480734768156
550551016004021,0,0,0,0,15,10.5,0,9,19.5,8805.60585958583,18.998596521364
550551006022018,16,0,0,16,12,64.4,19.2,29.6,113.2,87429.29774113017,309.7328689953201
550551009003062,0,0,0,0,2,1.4,0,1.2,2.6,130636.98219470704,99.43163854600698
550551015004022,0,0,0,0,14,9.8,0,8.4,18.2,167213.88192790686,27617.048257525068
550551002003023,0,0,0,0,14,9.8,0,8.4,18.2,134874.58473339086,28856.07784158907
550551004002058,7,0,0,7,13,33.6,8.4,17.6,59.6,54842.29776962495,6198.480783617596
550551016002003,0,0,0,0,10,7,0,6,13,28884.404887192977,17.330142865052483
550551017022028,0,0,0,0,8,5.6,0,4.8,10.4,90600.62748493829,36.380981497868376
550551008003047,0,0,0,0,11,7.7,0,6.6,14.3,75245.14338626903,418.64338446295164
550551010003015,0,0,0,0,2,1.4,0,1.2,2.6,185819.15497774736,10005.485416124458
550551012012000,6,6,0,0,13,13.3,7.2,10.8,31.3,90594.06080313218,35.87400658701435
550551015001003,21,0,0,21,34,97.3,25.2,49.8,172.3,161924.12981297285,23167.47612690883
550551016003026,0,0,0,0,5,3.5,0,3,6.5,29609.816481740534,3179.005581963741
550551002001023,0,0,0,0,13,9.1,0,7.8,16.9,128603.64915752859,28501.00506769725
550551010001006,0,0,0,0,1,0.7,0,0.6,1.3,135665.96574732233,21.340733896505466
550551010003027,4,0,0,4,23,30.1,4.8,19.4,54.3,190286.31669584816,13712.933444079887
550551010001071,0,0,0,0,10,7,0,6,13,189194.96731640806,14279.891491184653
550551009002011,1,1,0,0,10,7.7,1.2,6.5,15.4,143270.5342620311,46.81637275888617
550551012021018,0,0,0,0,10,7,0,6,13,122786.62119063461,1204.3514510187915
550551011002021,0,0,0,0,10,7,0,6,13,187244.52303660515,12884.82045547159
550551009001015,2,0,0,2,3,9.1,2.4,4.6,16.1,9443.703617863915,17.65600965489805
550551003022026,0,0,0,0,15,10.5,0,9,19.5,138408.89580573115,25199.70340616879
550551009003009,0,0,0,0,2,1.4,0,1.2,2.6,144751.58275104366,98.00981972331121
550551003022046,0,0,0,0,7,4.9,0,4.2,9.1,146088.1159344303,28447.456022015704
550551017024026,0,0,0,0,2,1.4,0,1.2,2.6,64020.23734450283,27.258694893909805
550551007003012,10,0,0,10,52,71.4,12,45.2,128.6,191617.59907172012,4036.9119321144676
550551004004053,0,0,0,0,8,5.6,0,4.8,10.4,67546.07495793831,16.927090684602007
550551015001005,14,0,8,6,6,92.4,16.8,49.6,158.8,163951.1218907809,26707.13889113992
550551003012022,0,0,0,0,9,6.3,0,5.4,11.7,132825.90877569385,5132.40233534053
550551017024048,0,0,0,0,15,10.5,0,9,19.5,95332.07998424854,719.9715024889275
550551006021048,0,0,0,0,1,0.7,0,0.6,1.3,137604.3302661985,1476.8287750016905
550551004003032,0,0,0,0,15,10.5,0,9,19.5,53894.085378700875,19.494184228546054
550551003012024,2,0,0,2,17,18.9,2.4,13,34.3,127865.9586817455,1485.0484144224688
550551006023000,0,0,0,0,1,0.7,0,0.6,1.3,161881.02128122086,68.50912909845839
550551006021007,0,0,0,0,2,1.4,0,1.2,2.6,113693.750885782,104.0329710607139
550551004003017,4,1,0,3,24,27.999999999999996,4.8,19.1,51.9,28020.469291849608,50.9330669442083
550551007002053,0,0,0,0,7,4.9,0,4.2,9.1,187856.98966420832,747.7390958952572
550551005001035,11,0,11,0,21,107.1,13.2,64.3,184.6,185163.54009571922,10888.827430778609
550551009003038,0,0,0,0,6,4.2,0,3.6,7.8,56992.82829572985,10.50277365857841
550551009003033,0,0,0,0,4,2.8,0,2.4,5.2,85734.26021268057,35.28426586007135
550551010003002,0,0,0,0,2,1.4,0,1.2,2.6,173919.0694656872,1664.4141422704754
550551008001007,0,0,0,0,5,3.5,0,3,6.5,54960.56241045169,9.055377938118806
550551010001052,2,2,0,0,2,2.8,2.4,2.2,7.4,192593.18286574198,1005.57283798072
