id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
360450614003009,2,2,0,0,8,7,2.4,5.8,15.2,243176.41698236365,10493.016440278274
360450614001007,0,0,0,0,10,7,0,6,13,248003.01910648888,37521.36176105841
360450616001034,11,5,0,6,38,51.1,13.2,33.7,98,237618.14368977034,1726.2949799292808
360450617003019,0,0,0,0,21,14.7,0,12.6,27.3,14975.28905932697,27.463139358306595
360450624002087,0,0,0,0,1,0.7,0,0.6,1.3,196597.96216261087,20.10794015641978
360450603022056,8,0,0,8,5,31.5,9.6,14.2,55.3,174764.61444273678,988.7930415920405
360450604021035,11,0,0,11,18,51.1,13.2,26.2,90.5,189625.32636676545,2412.412049275491
360450612001015,0,0,0,0,22,15.4,0,13.2,28.6,239562.94076351973,9067.888644105225
360450616002059,0,0,0,0,15,10.5,0,9,19.5,222165.141514663,1688.4581966067958
360450609022000,3,0,0,3,36,35.7,3.6,25.8,65.1,61841.46237884592,1419.6826221253702
360450606013035,1,0,1,0,8,14,1.2,9.5,24.7,213974.17987543467,43.34693187928961
360450612002008,0,0,0,0,22,15.4,0,13.2,28.6,245803.62224925467,22474.04255045695
360450608031015,0,0,0,0,17,11.9,0,10.2,22.1,165211.34975732898,172.98407111191568
360450624003000,0,0,0,0,3,2.1,0,1.8,3.9,171437.33017504637,17.756631882014375
360450606013065,0,0,0,0,1,0.7,0,0.6,1.3,218688.29700547873,871.4851990290123
360450611021007,0,0,0,0,9,6.3,0,5.4,11.7,231782.69898208327,234.19991842559565
360450625001045,0,0,0,0,3,2.1,0,1.8,3.9,32434.115745820956,10.369292522200094
360450618022023,0,0,0,0,13,9.1,0,7.8,16.9,192049.24444493713,4557.273749705356
360450624002088,0,0,0,0,2,1.4,0,1.2,2.6,156655.0362970632,5.059850245632436
360450603012059,0,0,0,0,6,4.2,0,3.6,7.8,18326.49422272728,2031.7168880656377
360450603023046,2,1,0,1,6,8.4,2.4,5.5,16.3,191404.7822651853,296.0310475206839
360450611023011,2,0,0,2,4,9.8,2.4,5.2,17.4,233770.4970841749,349.6466816584927
360450624002091,0,0,0,0,6,4.2,0,3.6,7.8,88933.99160574804,7.4174548193706995
360450610003019,0,0,0,0,3,2.1,0,1.8,3.9,125148.20691525642,22.986725421027472
360450617001030,0,0,0,0,14,9.8,0,8.4,18.2,28660.048098496936,18.851020085482038
360450603021010,6,6,0,0,12,12.6,7.2,10.2,29.999999999999996,14942.22999310039,30.93141595336117
360450625002031,0,0,0,0,13,9.1,0,7.8,16.9,45689.24222505013,164.80854957204798
360450625003047,0,0,0,0,4,2.8,0,2.4,5.2,68356.49477909789,131.46130012464064
360450604013019,0,0,0,0,12,8.4,0,7.2,15.6,187304.01707925898,338.147586950371
360450602031029,0,0,0,0,2,1.4,0,1.2,2.6,61599.98084142561,8.445731778999207
360450603021075,0,0,0,0,16,11.2,0,9.6,20.8,137070.0632047157,133.0927594756044
360450624001019,0,0,0,0,7,4.9,0,4.2,9.1,173050.99459567285,17.830761022167973
360450608061022,0,0,0,0,14,9.8,0,8.4,18.2,202644.30676847015,1646.8955184795086
360450619003002,96,9,20,67,86,469,115.2,243.9,828.1,241521.61848412137,47104.76399898531
360450624003006,0,0,0,0,3,2.1,0,1.8,3.9,207147.12482803807,31.94780733637913
360450604021037,0,0,0,0,115,80.5,0,69,149.5,185657.14535304598,1634.539164285633
360450604011004,0,0,0,0,16,11.2,0,9.6,20.8,180755.75471476134,80.38028187791346
360450621001026,0,0,0,0,15,10.5,0,9,19.5,247510.82245303926,51091.9219742373
360450605004008,0,0,0,0,63,44.1,0,37.8,81.9,251001.07923817716,1447.2156829123246
360450603022064,0,0,0,0,2,1.4,0,1.2,2.6,178207.46707867124,1120.2715741948077
360450603012083,0,0,0,0,5,3.5,0,3,6.5,21138.01895254947,141.18732612194398
360450616003069,0,0,0,0,13,9.1,0,7.8,16.9,191828.39283581957,33.819400212506046
360450618011031,4,4,0,0,8,8.4,4.8,6.8,20,214565.19790772014,920.123532816111
360450625001027,0,0,0,0,1,0.7,0,0.6,1.3,72055.39721266663,14.55657201259295
360450605004016,0,0,0,0,16,11.2,0,9.6,20.8,221655.44383324846,46.70009274323468
360450604011043,0,0,0,0,2,1.4,0,1.2,2.6,175499.37884608464,8.945594363165903
360450606011030,0,0,0,0,54,37.8,0,32.4,70.2,178941.12826333815,1876.9652954305277
360450624002014,0,0,0,0,1,0.7,0,0.6,1.3,224527.99554776904,70.12619202496919
360450611021003,3,0,0,3,20,24.5,3.6,16.2,44.3,229872.56804154845,1111.9541693242736
360450601013033,5,0,0,5,4,20.3,6,9.4,35.7,16720.225392406668,109.67485882948307
360450604011014,0,0,0,0,15,10.5,0,9,19.5,73509.6576723229,29.407351143015884
360450604013003,0,0,0,0,11,7.7,0,6.6,14.3,148881.1261826736,31.46234025353713
