id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
420810009001011,0,0,0,0,15,10.5,0,9,19.5,335075.3557882027,17902.984114743485
420810108007015,0,0,0,0,7,4.9,0,4.2,9.1,303906.2172057432,7071.968878973191
420810108006002,0,0,0,0,8,5.6,0,4.8,10.4,302899.49442170403,7187.936170885443
420810116044012,11,11,0,0,27,26.6,13.2,21.7,61.5,338768.3025482481,16889.395190032585
420810108003027,0,0,0,0,3,2.1,0,1.8,3.9,193921.3438009047,13.808083317610699
420810114002030,0,0,0,0,2,1.4,0,1.2,2.6,299979.50172295305,122.00860202450838
420810110004061,5,0,0,5,4,20.3,6,9.4,35.7,340298.7324622863,17558.62685066807
420810107004065,0,0,0,0,9,6.3,0,5.4,11.7,280702.5148027976,5624.351321771766
420810003006019,3,0,0,3,21,25.2,3.6,16.8,45.6,336380.02285126515,27647.97175982133
420810002001022,0,0,0,0,2,1.4,0,1.2,2.6,336695.5568073588,29173.217541501646
420810112001022,0,0,0,0,21,14.7,0,12.6,27.3,326485.76945598796,780.6343499983847
420810101001081,0,0,0,0,6,4.2,0,3.6,7.8,713.0160699958684,16.83964068922698
420810103001023,0,0,0,0,13,9.1,0,7.8,16.9,195383.05529023943,595.1144961810381
420810118001012,0,0,0,0,3,2.1,0,1.8,3.9,227268.89343332313,220.8199164938897
420810116043023,0,0,0,0,4,2.8,0,2.4,5.2,341476.4188063626,20918.352024110703
420810116041032,0,0,0,0,13,9.1,0,7.8,16.9,336646.64789474936,7332.614541066685
420810116043033,0,0,0,0,4,2.8,0,2.4,5.2,340819.170800306,14286.04851362466
420810116043019,0,0,0,0,7,4.9,0,4.2,9.1,341049.11524934147,18040.99731565459
420810111003006,0,0,0,0,10,7,0,6,13,337592.10701132077,14674.585552423643
420810110003019,0,0,0,0,5,3.5,0,3,6.5,338793.54519337683,18905.605717088318
420810110004015,0,0,0,0,6,4.2,0,3.6,7.8,335568.34689564724,21357.28950044984
420810107005002,0,0,0,0,49,34.3,0,29.4,63.7,285838.5953210885,5477.082203034382
420810102002014,0,0,0,0,2,1.4,0,1.2,2.6,4081.9370332390026,2.041634955972814
420810001003050,0,0,0,0,6,4.2,0,3.6,7.8,337722.51227565424,41628.09018889853
420810108001019,0,0,0,0,5,3.5,0,3,6.5,226593.3251470065,22.022313601820336
420810107004077,11,0,0,11,2,39.9,13.2,16.6,69.7,290332.6700649265,5002.089549354446
420810107004034,0,0,0,0,6,4.2,0,3.6,7.8,290525.0951063114,5398.740487601547
420810001003025,0,0,0,0,7,4.9,0,4.2,9.1,336908.1535426277,34228.45621051797
420810106002053,0,0,0,0,1,0.7,0,0.6,1.3,141524.03223302463,70.90312751910363
420810102002023,0,0,0,0,2,1.4,0,1.2,2.6,198004.04337379336,64.10058223375762
420810116044011,0,0,0,0,7,4.9,0,4.2,9.1,342176.9924315005,21615.54413250949
420810106004019,0,0,0,0,8,5.6,0,4.8,10.4,5806.151310585829,44.93748818475548
420810113023037,0,0,0,0,11,7.7,0,6.6,14.3,332590.4284749836,10753.480118386911
420810112003010,191,148,2,41,78,318.5,229.2,187.6,735.3,298742.03536624386,4076.805072676417
420810103002038,0,0,0,0,2,1.4,0,1.2,2.6,204319.99661481354,11.178667808630937
420810002002000,0,0,0,0,16,11.2,0,9.6,20.8,336551.56826062663,7620.261226806104
420810119003019,40,0,7,33,10,181.3,48,85.1,314.4,264144.94115830964,12236.722975712253
420810116042016,0,0,0,0,11,7.7,0,6.6,14.3,341813.3105619845,44392.19013196951
420810009001007,5,0,0,5,2,18.9,6,8.2,33.1,336809.95953427587,17406.98822164078
420810111001021,0,0,0,0,9,6.3,0,5.4,11.7,339398.7046735023,20495.655304705106
420810004002019,0,0,0,0,14,9.8,0,8.4,18.2,336092.19613094296,35485.59253425193
420810106004014,0,0,0,0,14,9.8,0,8.4,18.2,6903.210167495967,54.08244613438944
420810001001022,7,0,0,7,10,31.5,8.4,15.8,55.7,339030.52157282736,34826.71969445093
420810112002008,0,0,0,0,42,29.4,0,25.2,54.6,309619.07856158516,260.9130443392508
420810009001051,0,0,0,0,8,5.6,0,4.8,10.4,330613.28820187034,13683.465651783372
420810110001013,0,0,0,0,9,6.3,0,5.4,11.7,337591.18613223906,17866.605320995044
420810113023045,105,91,1,13,65,163.1,126,107.4,396.5,328492.69879696163,5010.293904314781
420810119006031,0,0,0,0,5,3.5,0,3,6.5,260881.87047763405,9375.55788092574
420810101002075,0,0,0,0,6,4.2,0,3.6,7.8,56729.72685478817,69.86434928185118
420810116032025,0,0,0,0,17,11.9,0,10.2,22.1,338911.64920948027,8169.833014841291
420810008002038,0,0,0,0,13,9.1,0,7.8,16.9,341898.5745577154,64042.48408241828
420810009002016,0,0,0,0,16,11.2,0,9.6,20.8,336944.07353828655,17174.68835510784
420810107004047,0,0,0,0,7,4.9,0,4.2,9.1,282351.40876497753,5746.377718714759
420810105023021,0,0,0,0,18,12.6,0,10.8,23.4,289316.0782655947,148.73064258432063
420810105023007,0,0,0,0,2,1.4,0,1.2,2.6,293770.7537914094,110.3031682846724
420810113021013,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,320820.53140734695,3730.2334002078865
420810006001048,26,0,0,26,4,93.8,31.2,38.8,163.8,342278.03354111896,42036.461171584444
420810110002025,3,0,0,3,6,14.7,3.6,7.8,26.1,333923.4542336591,14607.497357467459
420810003001015,0,0,0,0,8,5.6,0,4.8,10.4,334454.7827845303,39222.06487702429
420810119005029,0,0,0,0,5,3.5,0,3,6.5,261434.54985364375,11540.12825408919
420810111001013,0,0,0,0,8,5.6,0,4.8,10.4,338886.4796696041,17151.51759424883
420810108003031,0,0,0,0,6,4.2,0,3.6,7.8,253494.94660277982,221.72019536727618
420810103003057,31,27,0,4,18,45.5,37.2,29.9,112.6,272077.33713804535,215.8293445463715
420810004004002,0,0,0,0,23,16.1,0,13.8,29.9,340251.7444063636,65348.138306917754
