id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
421330230004011,0,0,0,0,12,8.4,0,7.2,15.6,883258.1818472936,13584.036770791987
421330236022031,0,0,0,0,8,5.6,0,4.8,10.4,683645.7008746665,1531.475248055767
421330207102047,2,0,0,2,6,11.2,2.4,6.4,20,893122.3052525683,5204.455905126512
421330224011017,0,0,0,0,20,14,0,12,26,122023.66985390043,41.72175694437097
421330238233004,0,0,0,0,16,11.2,0,9.6,20.8,711854.3938822569,14648.01923300192
421330232001017,1,0,0,1,60,45.5,1.2,37.4,84.1,832239.3600084644,2420.319490400472
421330235004014,4,4,0,0,26,21,4.8,17.6,43.4,771685.7760406043,7040.095807288281
421330013002007,123,123,0,0,75,138.6,147.6,106.5,392.7,1032033.3615250092,35990.78771115764
421330101202024,0,0,0,0,13,9.1,0,7.8,16.9,981162.1869298273,2371.3557008778603
421330237101022,0,0,0,0,3,2.1,0,1.8,3.9,802594.4466474516,55.494985349416176
421330102203005,4,4,0,0,14,12.6,4.8,10.4,27.8,963773.408342507,31999.16776934121
421330237222003,0,0,0,0,4,2.8,0,2.4,5.2,90676.74927546896,11.352363619482654
421330002002009,46,0,0,46,57,200.9,55.2,98.6,354.7,1011121.4707279493,82565.6239224374
421330210201019,0,0,0,0,11,7.7,0,6.6,14.3,917158.6676971245,10385.163320994
421330007003009,0,0,0,0,9,6.3,0,5.4,11.7,1017413.3347904971,101575.13811227975
421330221002030,204,0,5,199,4,741.3,244.8,304.5,1290.6,242552.71443372912,33579.53171316832
421330237221049,0,0,0,0,6,4.2,0,3.6,7.8,19316.57520114177,7.088292209118108
421330212232065,5,5,0,0,23,19.6,6,16.3,41.9,1020103.4031126067,69045.49730579174
421330002002010,29,9,20,0,21,189,34.8,111.1,334.9,1000210.4615122457,80823.62004428962
421330204211027,6,0,0,6,25,38.5,7.2,23.4,69.1,169454.02977318503,406.3103880786348
421330236023014,0,0,0,0,2,1.4,0,1.2,2.6,413446.1496686758,312.5219914043653
421330235004032,214,214,0,0,2,151.2,256.8,108.2,516.2,784971.5193072255,6429.80324640681
421330003001010,0,0,0,0,15,10.5,0,9,19.5,1004300.0730871403,56941.67878439666
421330002003004,0,0,0,0,26,18.2,0,15.6,33.8,1012336.1242272018,84174.4427217301
421330230003027,0,0,0,0,1,0.7,0,0.6,1.3,873743.6539965791,10081.46556230229
421330005003018,0,0,0,0,4,2.8,0,2.4,5.2,1000016.7558663711,66239.63763701584
421330212212020,5,0,0,5,21,32.2,6,19.6,57.8,899510.5844840237,1306.0262265912334
421330237222050,4,0,0,4,7,18.9,4.8,9.8,33.5,49062.927233103444,122.4375564820119
421330226021021,78,0,0,78,16,284.2,93.6,118.8,496.6,896457.2296716872,4415.420925477545
421330238232012,48,0,41,7,58,409.5,57.6,237.3,704.4,656183.5747319786,6718.1353075607585
421330237102010,0,0,0,0,14,9.8,0,8.4,18.2,577725.112507636,105.13929278379402
421330229202007,4,1,0,3,127,100.1,4.8,80.9,185.8,878260.329312197,4849.316892415498
421330237222051,0,0,0,0,2,1.4,0,1.2,2.6,28946.065606047694,12.30013765850132
421330204222001,1,0,0,1,17,15.4,1.2,11.6,28.2,245422.82159351595,292.5089998228596
421330202211015,0,0,0,0,46,32.2,0,27.6,59.8,761075.9019715176,1036.152001772865
421330103001081,2,0,0,2,14,16.8,2.4,11.2,30.4,1010692.4145175739,37244.057283930226
421330231006056,0,0,0,0,6,4.2,0,3.6,7.8,827132.7411506006,9900.581080022841
421330015001023,0,0,0,0,4,2.8,0,2.4,5.2,1024385.820991452,69065.84533867033
421330212232067,0,0,0,0,13,9.1,0,7.8,16.9,1030481.5230483232,59099.797179089204
421330240012056,4,4,0,0,29,23.1,4.8,19.4,47.3,26924.22434082278,253.4881441918235
421330205102040,0,0,0,0,10,7,0,6,13,495173.4520158683,298.5293761676865
421330236022000,0,0,0,0,23,16.1,0,13.8,29.9,375384.5110367652,70.83144361374639
421330208011007,2,0,0,2,50,42,2.4,32.8,77.2,902877.2363746195,1051.938723676383
421330238212035,2,0,0,2,3,9.1,2.4,4.6,16.1,466779.51247827074,3942.2165099532535
421330213001008,0,0,0,0,11,7.7,0,6.6,14.3,1026516.0469150064,26870.618580473536
421330237214023,0,0,0,0,7,4.9,0,4.2,9.1,164538.67546181643,43.9891409102343
421330220003001,0,0,0,0,10,7,0,6,13,281542.02397239476,33080.71783291097
421330205241020,58,50,0,8,31,84.7,69.6,54.8,209.1,938012.4597429744,1004.3642468220053
421330231006003,0,0,0,0,12,8.4,0,7.2,15.6,873990.6015255037,14269.42094039431
421330231006008,0,0,0,0,8,5.6,0,4.8,10.4,875483.6597458378,14726.742108062892
421330238242001,7,0,0,7,24,41.3,8.4,24.2,73.9,753450.8794976036,2268.909638222092
421330207221007,0,0,0,0,8,5.6,0,4.8,10.4,892463.7768652086,1945.8772899323224
421330204211017,0,0,0,0,10,7,0,6,13,94767.34927535355,214.56720215701964
421330013003030,0,0,0,0,14,9.8,0,8.4,18.2,1035591.5280544445,29190.788340774914
421330237221041,0,0,0,0,5,3.5,0,3,6.5,152030.7167647388,69.29675774400722
421330238104019,0,0,0,0,1,0.7,0,0.6,1.3,574922.0370131076,330.02058787147456
421330224042010,0,0,0,0,11,7.7,0,6.6,14.3,185755.91959080246,205.5249996183539
421330233012030,0,0,0,0,27,18.9,0,16.2,35.1,887753.4322224368,1202.068384258409
421330205242003,4,0,0,4,148,117.6,4.8,94.4,216.8,989309.6641964979,1396.124780507506
421330224032005,0,0,0,0,43,30.1,0,25.8,55.9,198396.2348546773,3660.25126616688
421330213003000,29,0,12,17,22,175.7,34.8,93.4,303.9,1040459.8719514266,25340.08488365119
421330203213046,1,0,0,1,13,12.6,1.2,9.2,23,177358.10627331983,172.40165264037188
421330204212022,0,0,0,0,5,3.5,0,3,6.5,321750.16426242935,7232.493961670288
421330226012031,27,4,0,23,3,85.4,32.4,35.99999999999999,153.8,879681.3014533259,3745.7158722944523
421330013003031,0,0,0,0,18,12.6,0,10.8,23.4,1035995.0994739217,28351.375180288986
421330209221014,0,0,0,0,2,1.4,0,1.2,2.6,751043.0049838478,814.423115203888
421330014003011,0,0,0,0,34,23.8,0,20.4,44.2,1015980.5815587892,33656.09057571774
421330212232000,26,0,0,26,13,100.1,31.2,44.2,175.5,1023493.3805947151,26969.448892915556
421330007001011,2,0,2,0,20,30.8,2.4,21.4,54.6,1014924.3587567832,97152.65102889815
421330203223026,4,4,0,0,36,28,4.8,23.6,56.4,419759.75604909955,1081.4731912087911
421330234002002,0,0,0,0,19,13.3,0,11.4,24.7,624391.419423159,139.72810160686186
421330211004012,62,45,0,17,249,265.3,74.4,195.7,535.4,961036.1361682058,1644.3470628161285
421330229233005,0,0,0,0,8,5.6,0,4.8,10.4,980402.3363485382,11163.601170680256
421330104005000,15,0,15,0,7,130.9,18,74.7,223.6,1012137.3368569495,30213.369693616954
421330203213001,8,7,0,1,34,32.2,9.6,25.3,67.1,228570.33190012974,95.22921902536511
421330232004005,7,2,0,5,64,63.7,8.4,46.4,118.5,761836.8084823096,2364.5625201618554
421330208022020,0,0,0,0,13,9.1,0,7.8,16.9,827651.4199031239,933.6434665903244
421330205221015,0,0,0,0,5,3.5,0,3,6.5,932412.4395271449,701.2373478841397
421330207213001,0,0,0,0,16,11.2,0,9.6,20.8,872245.2682210936,2311.237150604651
421330209221028,4,0,0,4,43,44.1,4.8,31.4,80.3,495552.40936906124,206.38650899628118
421330209221026,14,0,0,14,2,50.4,16.8,20.8,88,780473.408122391,979.5975347409105
421330219021004,0,0,0,0,12,8.4,0,7.2,15.6,297102.3104683116,26062.044140338003
421330008002053,0,0,0,0,3,2.1,0,1.8,3.9,1013373.2081882645,72093.77545918744
421330220003022,9,0,0,9,57,71.4,10.8,46.8,129,266168.73722112307,36336.77152562521
421330014002006,67,0,19,48,12,336,80.4,163.7,580.1,1037280.3522299227,44612.609789774506
421330233011006,0,0,0,0,20,14,0,12,26,930659.1095298993,1155.5866223305277
421330217203029,0,0,0,0,23,16.1,0,13.8,29.9,845850.6414014305,870.4486908718815
421330217203000,0,0,0,0,27,18.9,0,16.2,35.1,835618.9954076596,141.22602860538427
421330102101032,0,0,0,0,25,17.5,0,15,32.5,1018361.3343727293,49018.15950654427
421330214202018,0,0,0,0,17,11.9,0,10.2,22.1,991496.5315564027,7138.194208468781
421330225004013,57,0,0,57,44,230.3,68.4,106.2,404.9,300142.46282491233,431.22114451251997
421330214203001,0,0,0,0,69,48.3,0,41.4,89.7,983387.8068220943,8001.490664388061
421330208021011,15,5,0,10,50,73.5,18,46.5,138,852345.183305294,314.7286483792776
421330207103009,0,0,0,0,55,38.5,0,33,71.5,861979.2374328566,4689.160298566066
421330006002006,4,4,0,0,17,14.7,4.8,12.2,31.7,1005317.793250634,69057.17697889522
421330204222008,0,0,0,0,21,14.7,0,12.6,27.3,226533.51987428902,3545.4901998834252
421330204222012,1,0,0,1,14,13.3,1.2,9.8,24.3,409014.33216267294,417.41484602099104
421330203211000,25,0,13,12,13,160.3,30,85.7,276,561392.708097229,1211.497003494585
421330220001021,0,0,0,0,1,0.7,0,0.6,1.3,233363.07867625455,32705.231042271134
421330015002037,0,0,0,0,16,11.2,0,9.6,20.8,1030413.2240322274,76170.43536011981
421330229221023,0,0,0,0,2,1.4,0,1.2,2.6,933941.0919727514,1904.4657833898818
421330204223023,0,0,0,0,8,5.6,0,4.8,10.4,214351.05421215805,5101.0586395923165
421330203101007,2,0,0,2,59,48.3,2.4,38.2,88.9,176209.92732253933,233.29132193744246
421330229211017,32,1,8,23,55,186.9,38.4,103.3,328.6,934149.3392928521,4220.2339693124
421330209213002,0,0,0,0,16,11.2,0,9.6,20.8,702915.9750312527,663.2283974160778
421330016001008,17,17,0,0,17,23.8,20.4,18.7,62.9,1004681.2809899183,68038.94953830178
421330005003000,0,0,0,0,24,16.8,0,14.4,31.2,1005295.8806584523,58972.53001850073
421330224042036,1,1,0,0,23,16.8,1.2,14.3,32.3,206548.60775390864,6797.563861015333
421330101302010,0,0,0,0,19,13.3,0,11.4,24.7,864469.2281700124,2126.303880048839
421330231006000,3,0,0,3,14,20.3,3.6,12.6,36.5,871723.2666197624,13362.857330157593
421330204212000,0,0,0,0,3,2.1,0,1.8,3.9,307741.4912098665,7228.191276656002
421330239042011,4,0,0,4,13,23.1,4.8,13.4,41.3,442208.15001040656,43.75917683978308
421330239042035,0,0,0,0,13,9.1,0,7.8,16.9,500693.2482622828,170.21014754513234
421330234001020,3,0,0,3,38,37.1,3.6,27,67.7,738960.3093481819,211.64728342791545
421330214101005,15,0,0,15,77,106.4,18,67.2,191.6,952106.5498636235,10728.870459484024
421330209105031,1,0,1,0,13,17.5,1.2,12.5,31.2,822800.3962690267,1033.2478022342323
421330234004003,0,0,0,0,8,5.6,0,4.8,10.4,893913.1988091392,6177.927147073781
421330202202020,0,0,0,0,9,6.3,0,5.4,11.7,542380.809631309,371.192486848569
421330226022014,0,0,0,0,3,2.1,0,1.8,3.9,938622.2716337695,3037.610619694225
421330235002020,0,0,0,0,19,13.3,0,11.4,24.7,720359.7555005106,6081.662570252977
421330233023008,24,0,0,24,101,154.7,28.8,94.2,277.7,851612.5575264682,1225.072823813156
421330203213044,0,0,0,0,17,11.9,0,10.2,22.1,274594.6434792035,128.75185795110582
421330225004023,15,8,0,7,37,56,18,36,110,176271.54326334957,114.4543436600589
421330205102039,8,0,7,1,48,95.9,9.6,63.1,168.6,386226.58647961466,243.68784426135755
421330239032037,0,0,0,0,18,12.6,0,10.8,23.4,507912.1595914767,4276.415476255306
421330231001021,0,0,0,0,20,14,0,12,26,882215.1391869937,11854.98402915662
421330209212000,15,0,0,15,68,100.1,18,61.8,179.9,784953.777399799,7734.306374052117
421330202222008,12,4,0,8,39,58.1,14.4,36.6,109.1,310075.4801121944,182.01060259348492
421330212241012,0,0,0,0,4,2.8,0,2.4,5.2,972813.7193478559,1848.1807611371626
421330207101002,0,0,0,0,17,11.9,0,10.2,22.1,826414.958094729,1917.424303200878
421330204103003,0,0,0,0,5,3.5,0,3,6.5,184885.39244009982,478.2069565941625
421330239041012,0,0,0,0,14,9.8,0,8.4,18.2,403559.69686237077,3192.0952408797807
421330232003013,3,3,0,0,46,34.3,3.6,29.1,67,614180.9208976319,268.1806481537874
421330217122002,6,6,0,0,17,16.1,7.2,13.2,36.5,718657.0651402314,297.89276076337575
421330104003002,0,0,0,0,21,14.7,0,12.6,27.3,991584.0421556473,22704.16387734942
421330105201004,0,0,0,0,28,19.6,0,16.8,36.4,987988.8803029706,50213.48445666297
421330205231009,2,0,0,2,14,16.8,2.4,11.2,30.4,833771.5764588147,7952.984208967296
421330217125031,0,0,0,0,23,16.1,0,13.8,29.9,253173.00211790527,56.93775431269586
421330216003021,0,0,0,0,11,7.7,0,6.6,14.3,1005605.9107124683,20268.322906073157
421330234002016,17,0,0,17,11,67.2,20.4,30.4,118,620422.4027761501,183.98432369362254
421330233021000,3,3,0,0,15,12.6,3.6,10.5,26.7,902081.1239952915,692.2142419618148
421330240021036,0,0,0,0,12,8.4,0,7.2,15.6,39853.43159643897,16.297310020860255
421330232001006,0,0,0,0,29,20.3,0,17.4,37.7,841617.8981367839,2144.703560394277
421330213004027,7,0,0,7,9,30.8,8.4,15.2,54.4,1024353.9143546446,24183.199921309544
421330002004008,0,0,0,0,39,27.3,0,23.4,50.7,1013131.0255979255,89689.51927639096
421330213002009,0,0,0,0,11,7.7,0,6.6,14.3,1029113.4817413604,27778.343586116334
421330217111002,0,0,0,0,18,12.6,0,10.8,23.4,582568.8310082788,208.7006612062959
421330213005010,17,0,0,17,39,86.8,20.4,47.2,154.4,1020923.3953747398,23180.752390843172
421330219022007,0,0,0,0,12,8.4,0,7.2,15.6,253377.1522405232,18762.813008625908
421330239022041,0,0,0,0,1,0.7,0,0.6,1.3,80933.93967705914,16.819654748802666
421330218021046,3,0,0,3,11,18.2,3.6,10.8,32.6,337371.2893935841,1763.560465097793
421330240011008,0,0,0,0,4,2.8,0,2.4,5.2,30793.037772087184,111.74180965163087
421330237222052,0,0,0,0,2,1.4,0,1.2,2.6,36555.06340520023,19.730031198554595
421330003002021,0,0,0,0,14,9.8,0,8.4,18.2,1007379.1458146103,71799.02137162161
421330223003025,308,9,0,299,9,1059.1,369.6,428.5,1857.2,242145.63690605306,48808.59205530606
421330226023037,0,0,0,0,5,3.5,0,3,6.5,864488.2121893349,2456.120704196815
421330209214010,55,0,0,55,52,228.9,66,108.2,403.1,676500.2620598953,2850.675720469595
421330237214003,0,0,0,0,14,9.8,0,8.4,18.2,134097.66294076672,31.26789831136251
421330235003052,12,0,0,12,3,44.1,14.4,18.6,77.1,817035.0948677443,7208.577225494661
421330205223023,0,0,0,0,11,7.7,0,6.6,14.3,364766.6206061598,103.24576262487761
421330102204013,0,0,0,0,9,6.3,0,5.4,11.7,1001254.2971298741,14730.018803318517
421330104005020,0,0,0,0,4,2.8,0,2.4,5.2,1004994.3772597483,29184.2693772072
421330225004015,0,0,0,0,1,0.7,0,0.6,1.3,414517.1661026848,423.14295225850816
421330205103018,0,0,0,0,16,11.2,0,9.6,20.8,289419.38393871585,121.53366656511028
421330240013001,0,0,0,0,15,10.5,0,9,19.5,15555.941270165431,61.55629407011704
421330217201010,0,0,0,0,22,15.4,0,13.2,28.6,956341.5969399791,2321.2380971406296
421330003001031,2,0,2,0,32,39.2,2.4,28.6,70.2,1005321.4692079843,62357.9247434817
421330004002011,3,3,0,0,16,13.3,3.6,11.1,28,1005964.4766707203,47525.31531650743
421330240011009,0,0,0,0,4,2.8,0,2.4,5.2,23664.900485177393,132.6377960793045
421330228011011,10,0,0,10,20,49,12,26,87,992361.2883083596,14630.414428245449
421330014002004,0,0,0,0,27,18.9,0,16.2,35.1,1025395.8411225479,44463.736553556686
421330211001016,176,176,0,0,1,123.9,211.2,88.6,423.7,980616.2033191322,4104.165371227015
421330204213014,0,0,0,0,8,5.6,0,4.8,10.4,270474.5661477053,7825.7260350121815
421330212232015,0,0,0,0,13,9.1,0,7.8,16.9,1025090.458896668,38802.668277831
421330240011025,0,0,0,0,6,4.2,0,3.6,7.8,17991.788726054605,2259.245149557056
421330219021010,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,262587.44154264935,19608.03143433453
421330222003002,0,0,0,0,7,4.9,0,4.2,9.1,219738.1174092612,56689.95285183275
421330219011006,0,0,0,0,5,3.5,0,3,6.5,228620.76359051737,13076.663025325322
421330232002016,21,11,0,10,100,112.7,25.2,79.5,217.4,579221.4211146121,365.45591812496497
421330009001001,3,3,0,0,14,11.9,3.6,9.9,25.4,1012037.6722583218,100622.53414145146
421330218021054,22,0,22,0,5,188.3,26.4,106.4,321.1,373862.2708665572,8606.586763519294
421330210203043,3,0,0,3,33,33.6,3.6,24,61.2,876823.4041169711,2916.408885429509
421330009002023,135,0,0,135,9,478.8,162,194.4,835.2,1003388.2997841438,59195.00309254504
421330218021010,0,0,0,0,17,11.9,0,10.2,22.1,287030.17743040016,1003.5629017143963
421330225004033,24,4,20,0,29,191.1,28.8,113.4,333.3,244973.75352894224,352.6429567869844
421330238213001,71,13,9,49,40,284.2,85.2,141.4,510.8,430608.79683671496,4198.506651957789
421330001001032,286,0,40,246,30,1218,343.2,550.4,2111.6,1020340.8623598485,87195.78424201545
421330012003008,52,6,0,46,58,205.8,62.4,102.2,370.4,1029923.6812281946,36192.90901844869
421330228011020,0,0,0,0,5,3.5,0,3,6.5,977182.3004865224,14661.891052350376
421330237222032,0,0,0,0,1,0.7,0,0.6,1.3,68578.19350108698,54.611283712713266
421330209213001,203,1,33,169,33,892.5,243.6,412,1548.1,786478.744963756,6285.676914927974
